"ID"	"State"	"InitialState"
"376"	"CTSP.ACZW"	"S01"	"IS04"
"377"	"CTSP.AD1R"	"S01"	"IS04"
"378"	"CTSP.AD4Q"	"S01"	"IS04"
"379"	"CTSP.B02C"	"S01"	"IS04"
"380"	"CTSP.B02F"	"S01"	"IS04"
"381"	"DLBCL10456"	"S01"	"IS04"
"382"	"DLBCL10472"	"S01"	"IS04"
"383"	"DLBCL10478"	"S01"	"IS04"
"384"	"DLBCL10484"	"S01"	"IS04"
"385"	"DLBCL10494"	"S01"	"IS04"
"386"	"DLBCL10510"	"S01"	"IS04"
"387"	"DLBCL10513"	"S01"	"IS04"
"388"	"DLBCL10519"	"S01"	"IS04"
"389"	"DLBCL10522"	"S01"	"IS04"
"390"	"DLBCL10523"	"S01"	"IS04"
"391"	"DLBCL10528"	"S01"	"IS04"
"392"	"DLBCL10532"	"S01"	"IS04"
"393"	"DLBCL10540"	"S01"	"IS04"
"394"	"DLBCL10541"	"S01"	"IS04"
"395"	"DLBCL10544"	"S01"	"IS04"
"396"	"DLBCL10545"	"S01"	"IS04"
"397"	"DLBCL10549"	"S01"	"IS04"
"398"	"DLBCL10553"	"S01"	"IS04"
"399"	"DLBCL10554"	"S01"	"IS04"
"400"	"DLBCL10555"	"S01"	"IS04"
"401"	"DLBCL10566"	"S01"	"IS04"
"402"	"DLBCL10844"	"S01"	"IS04"
"403"	"DLBCL10864"	"S01"	"IS04"
"404"	"DLBCL10865"	"S01"	"IS04"
"405"	"DLBCL10868"	"S01"	"IS04"
"406"	"DLBCL10883"	"S01"	"IS04"
"407"	"DLBCL10899"	"S01"	"IS04"
"408"	"DLBCL10901"	"S01"	"IS04"
"409"	"DLBCL10902"	"S01"	"IS04"
"410"	"DLBCL10918"	"S01"	"IS04"
"411"	"DLBCL10939"	"S01"	"IS04"
"412"	"DLBCL11186"	"S01"	"IS04"
"413"	"DLBCL11201"	"S01"	"IS04"
"414"	"DLBCL11206"	"S01"	"IS04"
"415"	"DLBCL11257"	"S01"	"IS04"
"416"	"DLBCL11432"	"S01"	"IS04"
"417"	"DLBCL11433"	"S01"	"IS04"
"418"	"DLBCL11455"	"S01"	"IS04"
"419"	"DLBCL11462"	"S01"	"IS04"
"420"	"DLBCL11479"	"S01"	"IS04"
"421"	"DLBCL11489"	"S01"	"IS04"
"422"	"DLBCL11492"	"S01"	"IS04"
"423"	"DLBCL11494"	"S01"	"IS04"
"424"	"DLBCL11496"	"S01"	"IS04"
"425"	"DLBCL11497"	"S01"	"IS04"
"426"	"DLBCL11520"	"S01"	"IS04"
"427"	"DLBCL11525"	"S01"	"IS04"
"428"	"DLBCL11534"	"S01"	"IS04"
"429"	"DLBCL11559"	"S01"	"IS04"
"430"	"DLBCL11562"	"S01"	"IS04"
"431"	"DLBCL11577"	"S01"	"IS04"
"432"	"DLBCL11587"	"S01"	"IS04"
"433"	"DLBCL11590"	"S01"	"IS04"
"434"	"DLBCL11655"	"S01"	"IS04"
"435"	"DLBCL11656"	"S01"	"IS04"
"436"	"DLBCL11658"	"S01"	"IS04"
"437"	"DLBCL11673"	"S01"	"IS04"
"438"	"DLBCL11683"	"S01"	"IS04"
"264"	"CTSP.ACY5"	"S02"	"IS03"
"265"	"CTSP.ACY6"	"S02"	"IS03"
"266"	"CTSP.ACYX"	"S02"	"IS03"
"267"	"CTSP.ACZE"	"S02"	"IS03"
"268"	"CTSP.ACZK"	"S02"	"IS03"
"269"	"CTSP.AD0Z"	"S02"	"IS03"
"270"	"CTSP.AD14"	"S02"	"IS03"
"271"	"CTSP.AD1A"	"S02"	"IS03"
"272"	"CTSP.B02E"	"S02"	"IS03"
"273"	"DLBCL10455"	"S02"	"IS03"
"274"	"DLBCL10457"	"S02"	"IS03"
"275"	"DLBCL10459"	"S02"	"IS03"
"276"	"DLBCL10467"	"S02"	"IS03"
"277"	"DLBCL10471"	"S02"	"IS03"
"278"	"DLBCL10474"	"S02"	"IS03"
"279"	"DLBCL10479"	"S02"	"IS03"
"280"	"DLBCL10486"	"S02"	"IS03"
"281"	"DLBCL10487"	"S02"	"IS03"
"282"	"DLBCL10488"	"S02"	"IS03"
"283"	"DLBCL10500"	"S02"	"IS03"
"284"	"DLBCL10504"	"S02"	"IS03"
"285"	"DLBCL10505"	"S02"	"IS03"
"286"	"DLBCL10507"	"S02"	"IS03"
"287"	"DLBCL10514"	"S02"	"IS03"
"288"	"DLBCL10517"	"S02"	"IS03"
"289"	"DLBCL10534"	"S02"	"IS03"
"290"	"DLBCL10535"	"S02"	"IS03"
"291"	"DLBCL10536"	"S02"	"IS03"
"292"	"DLBCL10537"	"S02"	"IS03"
"293"	"DLBCL10538"	"S02"	"IS03"
"294"	"DLBCL10539"	"S02"	"IS03"
"295"	"DLBCL10543"	"S02"	"IS03"
"296"	"DLBCL10548"	"S02"	"IS03"
"297"	"DLBCL10552"	"S02"	"IS03"
"298"	"DLBCL10858"	"S02"	"IS03"
"299"	"DLBCL10927"	"S02"	"IS03"
"300"	"DLBCL10932"	"S02"	"IS03"
"301"	"DLBCL10936"	"S02"	"IS03"
"302"	"DLBCL10941"	"S02"	"IS03"
"303"	"DLBCL10942"	"S02"	"IS03"
"304"	"DLBCL10946"	"S02"	"IS03"
"305"	"DLBCL10954"	"S02"	"IS03"
"306"	"DLBCL10955"	"S02"	"IS03"
"307"	"DLBCL10957"	"S02"	"IS03"
"308"	"DLBCL10960"	"S02"	"IS03"
"309"	"DLBCL10965"	"S02"	"IS03"
"310"	"DLBCL10970"	"S02"	"IS03"
"311"	"DLBCL10971"	"S02"	"IS03"
"312"	"DLBCL10975"	"S02"	"IS03"
"313"	"DLBCL10979"	"S02"	"IS03"
"314"	"DLBCL10982"	"S02"	"IS03"
"315"	"DLBCL10983"	"S02"	"IS03"
"316"	"DLBCL10989"	"S02"	"IS03"
"317"	"DLBCL10991"	"S02"	"IS03"
"318"	"DLBCL10992"	"S02"	"IS03"
"319"	"DLBCL10994"	"S02"	"IS03"
"320"	"DLBCL10996"	"S02"	"IS03"
"321"	"DLBCL11004"	"S02"	"IS03"
"322"	"DLBCL11180"	"S02"	"IS03"
"323"	"DLBCL11196"	"S02"	"IS03"
"324"	"DLBCL11202"	"S02"	"IS03"
"325"	"DLBCL11208"	"S02"	"IS03"
"326"	"DLBCL11211"	"S02"	"IS03"
"327"	"DLBCL11256"	"S02"	"IS03"
"328"	"DLBCL11260"	"S02"	"IS03"
"329"	"DLBCL11271"	"S02"	"IS03"
"330"	"DLBCL11439"	"S02"	"IS03"
"331"	"DLBCL11444"	"S02"	"IS03"
"332"	"DLBCL11445"	"S02"	"IS03"
"333"	"DLBCL11446"	"S02"	"IS03"
"334"	"DLBCL11447"	"S02"	"IS03"
"335"	"DLBCL11448"	"S02"	"IS03"
"336"	"DLBCL11450"	"S02"	"IS03"
"337"	"DLBCL11452"	"S02"	"IS03"
"338"	"DLBCL11453"	"S02"	"IS03"
"339"	"DLBCL11458"	"S02"	"IS03"
"340"	"DLBCL11466"	"S02"	"IS03"
"341"	"DLBCL11485"	"S02"	"IS03"
"342"	"DLBCL11488"	"S02"	"IS03"
"343"	"DLBCL11503"	"S02"	"IS03"
"344"	"DLBCL11506"	"S02"	"IS03"
"345"	"DLBCL11507"	"S02"	"IS03"
"346"	"DLBCL11508"	"S02"	"IS03"
"347"	"DLBCL11511"	"S02"	"IS03"
"348"	"DLBCL11533"	"S02"	"IS03"
"349"	"DLBCL11535"	"S02"	"IS03"
"350"	"DLBCL11538"	"S02"	"IS03"
"351"	"DLBCL11539"	"S02"	"IS03"
"352"	"DLBCL11560"	"S02"	"IS03"
"353"	"DLBCL11561"	"S02"	"IS03"
"354"	"DLBCL11568"	"S02"	"IS03"
"355"	"DLBCL11569"	"S02"	"IS03"
"356"	"DLBCL11571"	"S02"	"IS03"
"357"	"DLBCL11573"	"S02"	"IS03"
"358"	"DLBCL11581"	"S02"	"IS03"
"359"	"DLBCL11591"	"S02"	"IS03"
"360"	"DLBCL11596"	"S02"	"IS03"
