"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"
"LOC100287927__pos"	3.77310222011583	1.94913653750891	3.0693420175528	6.67265886822989	1.53105956718189	3.33335599244855	3.90107276404102
"HLA.DRB5__pos"	2.87003612713517	2.14265157053979	4.78522658223513	1.23340565119502	7.66500110636106	6.05620554230337	1.76286223671524
"ABLIM1__pos"	3.38675964361375	2.22044604925031e-16	11.126804417933	6.2157844134857	1.36981119335295	0.968020430318196	2.22044604925031e-16
"KRT10__pos"	1.27952978453843	12.9803916060417	1.7908737160663	4.24315332759647	2.22044604925031e-16	0.0200181315669246	2.22044604925031e-16
"DNAJC2__pos"	12.6510136055686	2.22044604925031e-16	0.278608655016437	2.20250884645216	1.7729881930481	1.06357863913831	1.59457629501951
"PSMC2__pos"	4.50011073468105	6.64745146853521	2.66541879161392	0.15631437401	3.82748722476459	2.22044604925031e-16	2.03249604538171
"RGS1__pos"	1.12319852480751	5.28606846899899	0.0773564611641492	2.22044604925031e-16	3.84983821084263	3.0790912401095	8.35542646058114
"NCF1C__pos"	3.21770931653453	2.22044604925031e-16	6.86913276844315	0.0653781806667375	4.54829791732049	6.35162996665291	2.22044604925031e-16
"SQRDL__pos"	2.78499150615523	4.41083911177524	0.655371699896749	0.875563904878098	7.54381632567462	0.969717908236722	5.01252921701821
"AP1S1__pos"	5.35496869338168	7.2961886896424	3.28040826494038	0.737409235322388	0.812435872387453	2.20605707258603	2.47084906668158
"KRIT1__pos"	10.2273889366128	2.22044604925031e-16	1.65932505404063	6.16165118573532	2.31660891328442	0.133627805203071	0.632503561266384
"MRPS10__pos"	4.69987225838321	8.41661247980105	1.4500834883241	2.05910804281457	0.333059935713808	2.22044604925031e-16	1.28525859796125
"MMP7__pos"	0.414041879025374	4.07299592068162	9.1333293708295	2.15933368651914	3.20456823471789	0.0735013502701999	7.53043636697968
"PADI2__pos"	0.21494915647403	2.22044604925031e-16	8.86873805109872	2.71226392280973	15.8683720116731	0.675238388992006	1.19623335169175
"EEF1A2__pos"	2.63820507243516	0.163331623340341	10.8922971745474	3.36436412794135	6.47548694750266	4.47398874721924	2.22044604925031e-16
"NAPEPLD__pos"	10.8677099749901	0.522964162877881	1.16354534444987	4.90804725608951	2.00883105228368	2.22044604925031e-16	0.890688959921682
"PMPCB__pos"	5.10746978135573	10.4900213093372	3.93161772208968	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16
"PHF6__pos"	11.4506361886857	2.22044604925031e-16	9.43941360294502	0.600014079739812	0.195460278659348	2.22044604925031e-16	1.12311784776115
"CILP__pos"	0.381589662913668	2.22044604925031e-16	9.63523083668956	1.68220725297068	0.0311141971364256	2.22044604925031e-16	13.8499249902835
"MMP1__pos"	0.797406014807107	5.45254816576527	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	2.22044604925031e-16	16.3308971548161
"FABP4__pos"	1.09742238441935	4.80449325366272	2.22044604925031e-16	18.0376046413398	2.22044604925031e-16	2.22044604925031e-16	1.48456591534466
"TG__pos"	8.07840164929173	1.86297331129791	0.338440716947818	1.91991373553223	1.90316217454779	5.00396036103567	3.84418598468493
"RN7SK__pos"	1.87157230192619	12.9095482143431	2.95125802631904	4.83147671519032	1.80654316032044	2.22044604925031e-16	0.940545700184997
"SERPINA9__pos"	1.2285560912102	1.08568862923469	23.6173326606884	0.209283837596818	2.22044604925031e-16	6.55452084703464e-05	3.09153096745199
"CTPS2__pos"	8.72450966793009	2.22044604925031e-16	13.6277761244919	2.22044604925031e-16	0.118285130398957	0.274203658226677	0.213377512223968
"GREM1__pos"	0.624574037779072	1.32025433204779	1.85587133489305	7.18229998061391	2.50128293795206	1.28374639742684	11.7177473656288
"COMP__pos"	2.22044604925031e-16	1.04427224518725	4.48907408938046	4.00031741488964	0.79462088350949	2.98787778793329	13.4063442301741
