"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"RNF130"	"RNF130"	-0.867431783063433	-0.145723187248369	-0.448443551281348	-0.00958665425430645	1.439620834748	-0.412588883962838	0.724296031721317	"S01"	1.439620834748	"IS05"
"ZNF385A"	"ZNF385A"	-0.726306974330355	-0.95943593936803	-0.0577332820712388	-0.157421692151465	1.40901224870118	0.321257153243072	0.683023658488709	"S01"	1.40901224870118	"IS05"
"PLD3"	"PLD3"	-0.870897158740427	-0.692724318188696	-0.0672789344228103	-0.141800643283098	1.39903404211227	0.103709531602551	0.786022151103628	"S01"	1.39903404211227	"IS05"
"CXCL16"	"CXCL16"	-0.804722650187267	-0.614634313548734	-0.335161640005934	-0.0841777733810879	1.38890278919127	-0.276895875469287	1.07095389565072	"S01"	1.38890278919127	"IS05"
"ITGB2"	"ITGB2"	-1.00538179881002	-0.693459795209129	0.372205948165656	-0.277524149208487	1.35916842014549	0.0727694395464594	0.823738469048681	"S01"	1.35916842014549	"IS05"
"EPB41L3"	"EPB41L3"	-0.722063187143008	-0.926670102788468	-0.244149011518096	0.452877351431254	1.33716118736453	-0.478905625133748	1.03285678900837	"S01"	1.33716118736453	"IS05"
"MYOF"	"MYOF"	-0.720146734295343	-0.868075311233012	-0.287958111928945	0.46622353329897	1.32865325165881	-0.49067720574373	1.00554390274948	"S01"	1.32865325165881	"IS05"
"GAA"	"GAA"	-0.698687572977847	-0.972277713722827	-0.199026670281535	0.138865594187414	1.31455248475706	0.277657126943549	0.673181848599703	"S01"	1.31455248475706	"IS05"
"SDC3"	"SDC3"	-0.588489299243557	-0.912184369604108	-0.263619872594342	0.4855045954645	1.31345446486145	0.196448869260644	0.286037684615375	"S01"	1.31345446486145	"IS05"
"CD4"	"CD4"	-0.820655589820403	-0.900549388362312	0.0146291361171267	0.199220649379491	1.29491098647447	0.234647270670405	0.625807277356823	"S01"	1.29491098647447	"IS05"
"TMEM86A"	"TMEM86A"	-0.934262771667746	-0.405480485592109	-0.0979710339115069	-0.106500956644811	1.27643019687225	-0.143465902987825	0.879625789740869	"S01"	1.27643019687225	"IS05"
"IL15RA"	"IL15RA"	-0.639440491688978	-0.764320028237272	-0.520379439800949	0.0512035079859199	1.26397740703606	0.0245953314822916	0.913573819223553	"S01"	1.26397740703606	"IS05"
"FTH1"	"FTH1"	-0.946329991967207	-0.232604524377212	-0.496821482106955	-0.257978517270077	1.2208340539143	-0.151200631604881	1.19131963193572	"S01"	1.2208340539143	"IS05"
"CTSD"	"CTSD"	-0.775303554977407	-0.711668200660469	0.000929198784885823	-0.495190221322773	1.21491115258933	0.207196933057206	0.97902414449549	"S01"	1.21491115258933	"IS05"
"MPP1"	"MPP1"	-0.54576864701494	-0.63741876847297	-0.107026891517632	-0.14966826733119	1.21152270566059	-0.0737763007528116	0.583506272071343	"S01"	1.21152270566059	"IS05"
"KIAA1598"	"KIAA1598"	-0.775241923900026	-0.366408014586957	-0.133201135969846	0.381945027877356	1.21056518008937	-0.578617783229038	0.657294285224622	"S01"	1.21056518008937	"IS05"
"LACTB"	"LACTB"	-0.766579958198311	0.0588268870014301	-0.535895324990422	-0.116245063840511	1.2079652507338	-0.709510018356077	0.957143878002302	"S01"	1.2079652507338	"IS05"
"SLCO2B1"	"SLCO2B1"	-0.606315855978611	-0.782952288553143	-0.0732932022947525	0.387071881307412	1.18063777037704	-0.0573425266261535	0.431741580088254	"S01"	1.18063777037704	"IS05"
"RAB27A"	"RAB27A"	-0.804387244689145	-0.12313142572034	-0.0592677188589171	0.275957021576946	1.17726482685015	-0.490073837942456	0.413425703565561	"S01"	1.17726482685015	"IS05"
