"V1"	"CTSP.ACY5"
"LOC100287927"	"LOC100287927"	0.467571474578347
"HLA.DRB5"	"HLA.DRB5"	-1.67527135818041
"ABLIM1"	"ABLIM1"	-0.960293027403067
"KRT10"	"KRT10"	0.548051420273382
"DNAJC2"	"DNAJC2"	-0.125883319433443
"PSMC2"	"PSMC2"	0.162962645148075
"RGS1"	"RGS1"	0.930836893481979
"NCF1C"	"NCF1C"	-0.0497344926970286
"SQRDL"	"SQRDL"	0.682212472319896
"AP1S1"	"AP1S1"	0.51035497055988
"KRIT1"	"KRIT1"	-1.11953212177135
"MRPS10"	"MRPS10"	0.473955418507508
"MMP7"	"MMP7"	0.346689216887894
"PADI2"	"PADI2"	-0.764308570686735
"EEF1A2"	"EEF1A2"	-0.766540553505646
"NAPEPLD"	"NAPEPLD"	-1.74093971549422
"PMPCB"	"PMPCB"	-0.0535985514295395
"PHF6"	"PHF6"	-1.79525040585227
"CILP"	"CILP"	0.156298380350045
"MMP1"	"MMP1"	2.4278448503135
"FABP4"	"FABP4"	2.24142402862925
"TG"	"TG"	-0.93090836838701
"RN7SK"	"RN7SK"	0.950005662229797
"SERPINA9"	"SERPINA9"	-0.471542190890015
"CTPS2"	"CTPS2"	-0.766931565470645
"GREM1"	"GREM1"	0.650841384989096
"COMP"	"COMP"	2.06257210819426
"ADIPOQ"	"ADIPOQ"	2.23904826124931
"GLA"	"GLA"	1.4039160909611
"SLAMF1"	"SLAMF1"	0.156433580251347
"SFRP2"	"SFRP2"	2.20293136968923
"SLC9A9"	"SLC9A9"	0.0567174480101675
"ARMC10"	"ARMC10"	0.0590783485029009
"IFI6"	"IFI6"	0.171743115169807
"PEX1"	"PEX1"	-0.394481069413134
"SCARA5"	"SCARA5"	0.589549912230366
"GPR137B"	"GPR137B"	0.886076685977126
"DBNDD1"	"DBNDD1"	-0.833268105057241
"SFRP4"	"SFRP4"	2.07592500039625
"SPINK2"	"SPINK2"	-0.309694064938368
"MYO1A"	"MYO1A"	0.867652792925564
"TNFRSF13C"	"TNFRSF13C"	0.0050020005059623
"ZNF185"	"ZNF185"	-2.02230360319353
"KIAA1881"	"KIAA1881"	1.92689670357084
"LOC100288550"	"LOC100288550"	-1.13600559563609
"CACNA1E"	"CACNA1E"	-0.253361203184028
"NDNL2"	"NDNL2"	0.555493589311772
"CAMK2B"	"CAMK2B"	-0.161167677403111
"PI16"	"PI16"	0.486509772108505
"LOC220594"	"LOC220594"	0.342382863776684
"PLIN"	"PLIN"	2.09107145526185
"LEPROTL1"	"LEPROTL1"	0.567759760761768
"SEPT7"	"SEPT7"	-0.0509401077978675
