"ID"	"State"	"InitialState"
"321"	"CTSP.ACYM"	"S01"	"IS05"
"322"	"CTSP.ACYV"	"S01"	"IS05"
"323"	"CTSP.ACZC"	"S01"	"IS05"
"324"	"CTSP.ACZU"	"S01"	"IS05"
"325"	"CTSP.AD0Z"	"S01"	"IS05"
"326"	"CTSP.AD14"	"S01"	"IS05"
"327"	"CTSP.B02E"	"S01"	"IS05"
"328"	"DLBCL10455"	"S01"	"IS05"
"329"	"DLBCL10457"	"S01"	"IS05"
"330"	"DLBCL10474"	"S01"	"IS05"
"331"	"DLBCL10479"	"S01"	"IS05"
"332"	"DLBCL10481"	"S01"	"IS05"
"333"	"DLBCL10488"	"S01"	"IS05"
"334"	"DLBCL10500"	"S01"	"IS05"
"335"	"DLBCL10503"	"S01"	"IS05"
"336"	"DLBCL10525"	"S01"	"IS05"
"337"	"DLBCL10527"	"S01"	"IS05"
"338"	"DLBCL10531"	"S01"	"IS05"
"339"	"DLBCL10834"	"S01"	"IS05"
"340"	"DLBCL10836"	"S01"	"IS05"
"341"	"DLBCL10839"	"S01"	"IS05"
"342"	"DLBCL10853"	"S01"	"IS05"
"343"	"DLBCL10855"	"S01"	"IS05"
"344"	"DLBCL10861"	"S01"	"IS05"
"345"	"DLBCL10874"	"S01"	"IS05"
"346"	"DLBCL10889"	"S01"	"IS05"
"347"	"DLBCL10891"	"S01"	"IS05"
"348"	"DLBCL10892"	"S01"	"IS05"
"349"	"DLBCL10905"	"S01"	"IS05"
"350"	"DLBCL10909"	"S01"	"IS05"
"351"	"DLBCL10920"	"S01"	"IS05"
"352"	"DLBCL10923"	"S01"	"IS05"
"353"	"DLBCL10932"	"S01"	"IS05"
"354"	"DLBCL10941"	"S01"	"IS05"
"355"	"DLBCL10942"	"S01"	"IS05"
"356"	"DLBCL10946"	"S01"	"IS05"
"357"	"DLBCL10960"	"S01"	"IS05"
"358"	"DLBCL10967"	"S01"	"IS05"
"359"	"DLBCL10971"	"S01"	"IS05"
"360"	"DLBCL10973"	"S01"	"IS05"
"361"	"DLBCL10974"	"S01"	"IS05"
"362"	"DLBCL10977"	"S01"	"IS05"
"363"	"DLBCL10979"	"S01"	"IS05"
"364"	"DLBCL10982"	"S01"	"IS05"
"365"	"DLBCL10984"	"S01"	"IS05"
"366"	"DLBCL10989"	"S01"	"IS05"
"367"	"DLBCL10991"	"S01"	"IS05"
"368"	"DLBCL11180"	"S01"	"IS05"
"369"	"DLBCL11181"	"S01"	"IS05"
"370"	"DLBCL11202"	"S01"	"IS05"
"371"	"DLBCL11204"	"S01"	"IS05"
"372"	"DLBCL11256"	"S01"	"IS05"
"373"	"DLBCL11271"	"S01"	"IS05"
"374"	"DLBCL11437"	"S01"	"IS05"
"375"	"DLBCL11447"	"S01"	"IS05"
"376"	"DLBCL11453"	"S01"	"IS05"
"377"	"DLBCL11456"	"S01"	"IS05"
"378"	"DLBCL11457"	"S01"	"IS05"
"379"	"DLBCL11476"	"S01"	"IS05"
"380"	"DLBCL11480"	"S01"	"IS05"
"381"	"DLBCL11486"	"S01"	"IS05"
"382"	"DLBCL11491"	"S01"	"IS05"
"383"	"DLBCL11503"	"S01"	"IS05"
"384"	"DLBCL11509"	"S01"	"IS05"
"385"	"DLBCL11511"	"S01"	"IS05"
"386"	"DLBCL11517"	"S01"	"IS05"
"387"	"DLBCL11518"	"S01"	"IS05"
"388"	"DLBCL11535"	"S01"	"IS05"
"389"	"DLBCL11596"	"S01"	"IS05"
"390"	"DLBCL11646"	"S01"	"IS05"
"391"	"DLBCL11648"	"S01"	"IS05"
"392"	"DLBCL11663"	"S01"	"IS05"
"393"	"DLBCL11674"	"S01"	"IS05"
"394"	"DLBCL11676"	"S01"	"IS05"
"395"	"DLBCL11682"	"S01"	"IS05"
"215"	"CTSP.AD50"	"S02"	"IS03"
"216"	"DLBCL10454"	"S02"	"IS03"
"217"	"DLBCL10456"	"S02"	"IS03"
"218"	"DLBCL10459"	"S02"	"IS03"
"219"	"DLBCL10460"	"S02"	"IS03"
"220"	"DLBCL10464"	"S02"	"IS03"
