"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"	"InitialState"
"ROCK1"	"ROCK1"	0.162573435810817	-0.924358355444127	0.155835258955277	0.000161664715732555	-0.908622759203041	1.20046693374081	"S01"	1.20046693374081	"IS06"
"POLR1B"	"POLR1B"	-0.241403401349611	-0.690563010478028	0.690399806772552	-0.43112082813078	-0.835913153684358	1.11436561035624	"S01"	1.11436561035624	"IS06"
"EARS2"	"EARS2"	-0.448652742972794	-0.149307370695543	0.710988276744312	-0.276543472326175	-1.2954291003144	1.06533030803157	"S01"	1.06533030803157	"IS06"
"TMEM219"	"TMEM219"	-0.172869592635957	-0.680881892841662	0.656258539213947	-0.552922376855601	-0.649674663680402	1.04691402591248	"S01"	1.04691402591248	"IS06"
"SPATA13"	"SPATA13"	0.288746231576496	-0.814942036061817	-0.749937071219327	0.920124027391017	-0.792873106961521	1.04070020852376	"S01"	1.04070020852376	"IS06"
"KIAA1432"	"KIAA1432"	0.25818362575178	-0.717435777192946	0.0608996939759843	-0.0897169370529908	-0.783777818953629	1.0369717125757	"S01"	1.0369717125757	"IS06"
"CXorf15"	"CXorf15"	0.292832089997004	-0.919217203342629	0.453946951438666	-0.357015147487423	-0.837278740195794	1.0280383086312	"S01"	1.0280383086312	"IS06"
"ENTPD5"	"ENTPD5"	0.268439669641314	-0.959784529161068	-0.0605460093133619	0.388771994467785	-0.914866822668634	1.00971139107549	"S01"	1.00971139107549	"IS06"
"C1orf109"	"C1orf109"	-0.334109689778629	-0.73713179854837	0.581057918119061	-0.553332704290565	-0.257175019794942	0.992606270910724	"S01"	0.992606270910724	"IS06"
"MTF1"	"MTF1"	0.195109092541532	-0.538391500111659	-0.441277120460633	0.958911915909258	-1.36562672919846	0.987027721514203	"S01"	0.987027721514203	"IS06"
"SSH1"	"SSH1"	0.832443856906466	-0.84861039278931	-0.487034220007924	0.378194388780966	-0.985511980934199	0.975857020333337	"S01"	0.975857020333337	"IS06"
"XPO5"	"XPO5"	-0.158729527069911	-0.0257891085414413	0.282588730851359	0.0237244459437873	-1.33166415554806	0.934597076325021	"S01"	0.934597076325021	"IS06"
"LMBRD2"	"LMBRD2"	0.312602003533462	-1.13180305247796	-0.0680049353702983	-0.00810218818350458	-0.19036836759676	0.898390043434628	"S01"	0.898390043434628	"IS06"
"RBM41"	"RBM41"	0.137049052788706	-0.777954280126924	-0.0551193123199686	-0.0237715079180314	-0.335789430017718	0.886009673651099	"S01"	0.886009673651099	"IS06"
