"V1"	"CTSP.ACY5"
"PDAP1"	"PDAP1"	-0.0361847310466647
"AKAP12"	"AKAP12"	1.29136202229577
"PTCD1"	"PTCD1"	-0.519074786348438
"RN7SL2"	"RN7SL2"	0.699771878934362
"PRPF31"	"PRPF31"	-0.319601245415806
"CLEC10A"	"CLEC10A"	0.187486647112123
"SIPA1L1"	"SIPA1L1"	-0.427946707529175
"CYP27B1"	"CYP27B1"	1.87624183869048
"ORM1"	"ORM1"	2.29649666687281
"LOC441481"	"LOC441481"	-1.32192193680405
"FEZ1"	"FEZ1"	0.281591344208195
"CTSK"	"CTSK"	2.09073697046459
"CP"	"CP"	1.39394137179855
"MADD"	"MADD"	-0.102400136994762
"GCNT1"	"GCNT1"	0.0070407618411146
"POLR2J"	"POLR2J"	-0.51483113247338
"ACE"	"ACE"	-0.0828949692679223
"SILV"	"SILV"	-0.549980279940459
"CX3CL1"	"CX3CL1"	-0.417351953893244
"NUPR1"	"NUPR1"	1.70336879202823
"COPS6"	"COPS6"	-1.00029847635446
"LOC729009"	"LOC729009"	0.99726703175309
"CMPK2"	"CMPK2"	-0.202358946711614
"LAMP3"	"LAMP3"	1.32862723216498
"SS18"	"SS18"	-0.675208803550881
"TLR8"	"TLR8"	0.897676608395811
"FLJ45422"	"FLJ45422"	1.13148508516032
"SULT1C2"	"SULT1C2"	1.75589567091469
"ARHGEF11"	"ARHGEF11"	0.313507509847882
"SPATA13"	"SPATA13"	-0.151770575094983
"SNTB1"	"SNTB1"	0.902959262785284
"FCN1"	"FCN1"	0.759323343190073
"ASNS"	"ASNS"	-1.55544978540311
"MFGE8"	"MFGE8"	0.790657964055568
"CHIT1"	"CHIT1"	0.181448303941496
"PILRA"	"PILRA"	1.43494491610662
"UAP1"	"UAP1"	0.178601314029883
"APOC2"	"APOC2"	0.965552670960782
"PADI2"	"PADI2"	-0.429068569559604
"SLC1A3"	"SLC1A3"	1.27372487013867
"PDCD1LG2"	"PDCD1LG2"	1.03464755675627
"HK3"	"HK3"	1.72210622367321
"TWSG1"	"TWSG1"	0.799932587774142
"FEM1B"	"FEM1B"	-0.292061856464003
"IL18BP"	"IL18BP"	-0.441949934951258
"MMP25"	"MMP25"	0.0112440241157538
"GPX3"	"GPX3"	1.94934553402173
"FABP3"	"FABP3"	-0.187177952602649
"MRPL42"	"MRPL42"	0.496617986383392
"SAMD9"	"SAMD9"	-0.530730167121858
"HAMP"	"HAMP"	0.421086403907
"CD58"	"CD58"	1.14031626038381
"CPM"	"CPM"	1.30794998996596
"CPSF4"	"CPSF4"	-0.872400348512721
"FBP1"	"FBP1"	0.453930778563004
"ARHGAP21"	"ARHGAP21"	0.769063856424861
"IL3RA"	"IL3RA"	1.55771308121111
"TFEC"	"TFEC"	1.11653293146807
