"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"State"	"MaxFC"
"TSKU"	"TSKU"	1.58718259732035	0.0794236531158482	-0.803016704345111	0.4329837266927	-0.573331673798205	-0.49389887911935	"IS01"	1.58718259732035
"PAPSS2"	"PAPSS2"	1.49646562084554	-0.36265811468921	-0.765822215399697	0.113206691783141	-0.575282382353197	0.22042413346071	"IS01"	1.49646562084554
"DOCK1"	"DOCK1"	1.47311870955402	-0.378400053440687	-0.835642497874539	0.667781563301011	-0.91471035358034	0.0786651828450008	"IS01"	1.47311870955402
"FOSL2"	"FOSL2"	1.44712708799484	-0.297000731282247	-0.811789767437472	0.726669493807734	-0.968389381711392	-0.00472756797164465	"IS01"	1.44712708799484
"KIAA1462"	"KIAA1462"	1.44130997508793	-0.505105624451916	-0.477445294066371	0.147788963683172	-0.83877915144953	0.244296419241969	"IS01"	1.44130997508793
"GPR153"	"GPR153"	1.4288433737397	-0.0636194154139454	-0.617770858371496	0.25714192366211	-0.874775348376248	-0.0232137309651318	"IS01"	1.4288433737397
"WWC2"	"WWC2"	1.42828947607663	-0.683779983956816	-0.75954346555474	0.455088710212635	-0.565665840736485	0.196234588058726	"IS01"	1.42828947607663
"PPAP2B"	"PPAP2B"	1.42598710909762	-0.47161152661007	-0.62251422311179	0.317930413032093	-0.458147221781514	-0.0894032294626917	"IS01"	1.42598710909762
"EFNB1"	"EFNB1"	1.42093089733449	0.273203658826541	-0.616941322621307	0.215728307209194	-0.905172344517054	-0.227963167911309	"IS01"	1.42093089733449
"LAMB1"	"LAMB1"	1.39296557510049	-0.157410469112921	-0.541159904501087	0.305644613597213	-0.86802390960712	-0.0549044989166057	"IS01"	1.39296557510049
"MFGE8"	"MFGE8"	1.36547131119153	0.518826695726415	-0.811119872685733	0.134591871919503	-0.779654032674501	-0.18496576165073	"IS01"	1.36547131119153
"CTTNBP2NL"	"CTTNBP2NL"	1.33826178933683	-0.764657005181404	-0.629530798218189	0.714630411767567	-0.733338186711048	0.0817701239029911	"IS01"	1.33826178933683
"C1orf198"	"C1orf198"	1.33419032829652	-0.0483901431825689	-0.297697862255584	0.143847750922796	-0.973767516169531	-0.124241338642069	"IS01"	1.33419032829652
"CTSK"	"CTSK"	1.32761073020638	-0.298604263267962	-0.929063940332214	0.306137115038133	0.419475398919723	-0.519779964471869	"IS01"	1.32761073020638
"ARRDC4"	"ARRDC4"	1.32223824935445	-0.368836943127902	-0.804555035064007	0.380501473645201	-0.169790656108649	-0.177006699924759	"IS01"	1.32223824935445
"TNKS1BP1"	"TNKS1BP1"	1.29418569748006	0.27068278803084	-0.431925429969169	0.213908040587074	-1.50197184269063	0.178137590360671	"IS01"	1.29418569748006
"H2AFY2"	"H2AFY2"	1.29217668392057	0.321619502534445	-0.834125535091622	0.354482838782056	-0.462274659896854	-0.412662198671388	"IS01"	1.29217668392057
"LOC100131082"	"LOC100131082"	1.28377585561496	-0.421327596520227	-0.52928386268689	0.356309657909222	-0.981146978784096	0.290789594216694	"IS01"	1.28377585561496
"EPAS1"	"EPAS1"	1.28197143290085	-0.115094748925419	-0.777533118769202	0.489552700435759	-1.01191628727888	0.220680092929449	"IS01"	1.28197143290085
"SPHK1"	"SPHK1"	1.2796454449679	0.535947970298594	-0.866228574127812	0.359387272579519	-0.408718298545125	-0.590708874738038	"IS01"	1.2796454449679
"IL13RA1"	"IL13RA1"	1.279218761476	-0.450609224376752	-0.905858767736149	0.813512625276631	-0.360322552555279	-0.217733947711442	"IS01"	1.279218761476
"MAFF"	"MAFF"	1.27855526677781	-0.0464503229371777	-0.856480551781287	0.768455745239108	-0.631918123966538	-0.333514224489456	"IS01"	1.27855526677781
"CTNND1"	"CTNND1"	1.2690995540115	-0.105788271767085	-0.727607203969086	0.585873508065852	-1.32190037560275	0.333964415986627	"IS01"	1.2690995540115
"SH3PXD2B"	"SH3PXD2B"	1.25684945253976	-0.235515849529415	-1.00820864520375	1.13937613576441	-0.933805964984613	-0.0932477685377619	"IS01"	1.25684945253976
"RARB"	"RARB"	1.25029842561432	-0.350488681747952	-0.754365888971947	0.271057725770944	0.0362941732510181	-0.252228115484754	"IS01"	1.25029842561432
"VEGFC"	"VEGFC"	1.24642579083795	0.157887108339324	-0.724798108271922	0.49629943635063	-0.909086398656941	-0.125364508282155	"IS01"	1.24642579083795
"PLAU"	"PLAU"	1.23262114252349	0.286825737100542	-0.945998868992988	0.52537523884615	-0.379585563848981	-0.439389920057827	"IS01"	1.23262114252349
"ST18"	"ST18"	1.22367020547887	-0.144630296812729	-0.552500525902171	0.215103776446038	-0.229807088657749	-0.350446322176852	"IS01"	1.22367020547887
"PRR16"	"PRR16"	1.22105463953682	-0.205549622110182	-0.74500235203227	0.549590320132721	-0.259966006655134	-0.378578616479916	"IS01"	1.22105463953682
"ZSWIM4"	"ZSWIM4"	1.20953805409528	0.462249778313489	-0.461266797060628	0.322980390415683	-1.37143008247797	-0.0866545878681417	"IS01"	1.20953805409528
"ANO10"	"ANO10"	1.20355565117906	-0.276894812109916	-0.848481325240201	0.91902146640397	-0.627141362664171	-0.237612363356936	"IS01"	1.20355565117906
"PKD2"	"PKD2"	1.19745629270263	-0.290502001023658	-0.504957357351892	0.424858199250246	-1.06644858152193	0.236874729578947	"IS01"	1.19745629270263
"ACVRL1"	"ACVRL1"	1.19079064540038	0.317986335813402	-1.13872208551509	0.906559491165521	-0.776783545858533	-0.24524951070601	"IS01"	1.19079064540038
"S1PR3"	"S1PR3"	1.16546306321131	-0.288018060910237	-0.571177153204438	0.175428207558816	-0.49037665398905	0.0979145196064571	"IS01"	1.16546306321131
"RBMS2"	"RBMS2"	1.16118106893547	0.109626988116612	-0.574026984631645	0.612906779330616	-1.20640079828183	-0.0463731643770755	"IS01"	1.16118106893547
"PPP1R3B"	"PPP1R3B"	1.15321048922407	-0.473578295129084	-0.289928124562748	0.391221746306165	-0.667546633694032	-0.121799552613758	"IS01"	1.15321048922407
"PPM1H"	"PPM1H"	1.14605843215096	-0.0487953241097876	-0.45515204327108	0.266168281521039	-0.690327444080481	-0.134500480717379	"IS01"	1.14605843215096
"OLFML2B"	"OLFML2B"	1.14544024151686	-0.177840264820997	-0.88770771471643	0.876617866588797	-0.538873045456283	-0.255477021604895	"IS01"	1.14544024151686
"GSN"	"GSN"	1.14171596596306	0.309177309751444	-0.760423426797719	0.721196157898796	-0.874358585176447	-0.364461967950049	"IS01"	1.14171596596306
"HES2"	"HES2"	1.14158232866867	-0.0400449918900834	-0.672677200698207	0.459365370241365	-0.234934621430708	-0.459922607740171	"IS01"	1.14158232866867
"ACVR1B"	"ACVR1B"	1.13729022045438	-0.168811202905451	-0.787906463983945	1.1099775342041	-1.1524700504766	-0.081603746944661	"IS01"	1.13729022045438
"LOC100132891"	"LOC100132891"	1.13679834112624	-0.483830602723535	-0.907795307061606	0.565163384407962	0.0188120358480822	-0.138566054111474	"IS01"	1.13679834112624
"RELL1"	"RELL1"	1.13265215122437	0.234958503576465	-0.586632262677717	0.404411472201959	-0.523530998751714	-0.480266831828468	"IS01"	1.13265215122437
"KIF13A"	"KIF13A"	1.10947492195665	-0.400444740840657	-0.573241130136481	0.507522142197393	-1.09998370734519	0.430876269599628	"IS01"	1.10947492195665
"GNA14"	"GNA14"	1.10373646328624	0.161364329021858	-0.748826442773138	0.356095147732223	-0.606791124339026	-0.0916674363676647	"IS01"	1.10373646328624
"MSC"	"MSC"	1.10197519181791	0.428191892931635	-0.866005476576538	0.60143389486845	-0.639637629861055	-0.386809807800004	"IS01"	1.10197519181791
"C6orf145"	"C6orf145"	1.09950975005432	-0.237102499181842	-1.06154930405236	0.990928608591708	-0.50320271127443	-0.108671046761285	"IS01"	1.09950975005432
"CRIM1"	"CRIM1"	1.09749066099145	-0.529951577479292	-0.767446712951921	0.826401792631507	-0.489847507271657	-0.0534808241790132	"IS01"	1.09749066099145
"C1orf226"	"C1orf226"	1.09273307050733	0.14676968571526	-0.735158993777578	0.489908940453926	-0.812283472914001	-0.0432834318898157	"IS01"	1.09273307050733
"WASL"	"WASL"	1.09092360550604	-0.644232567197529	-0.396556005762724	0.214779893709053	-0.58475809590767	0.297907276264828	"IS01"	1.09092360550604
"RASL12"	"RASL12"	1.08824709077273	0.198257191200253	-0.798635008324412	0.385595573239902	-0.23759665958661	-0.390272282273172	"IS01"	1.08824709077273
"SULT1C4"	"SULT1C4"	1.07259569563331	-0.420614455885813	-0.283549764170009	0.109308775101153	-0.796865061705091	0.282234153743534	"IS01"	1.07259569563331
"LOC728288"	"LOC728288"	1.07156935903176	-0.0220783540760531	-0.57438268718677	0.129795195430264	0.270269830740908	-0.628376846018049	"IS01"	1.07156935903176
"GGT5"	"GGT5"	1.0711337079753	0.67762717060991	-1.03052130437895	0.857460130688507	-0.88617485294257	-0.418615414549585	"IS01"	1.0711337079753
"PINK1"	"PINK1"	1.06984358362948	0.339307076224281	-0.741289786306524	0.750003917851284	-1.11097234977961	-0.176643860770188	"IS01"	1.06984358362948
"PLXND1"	"PLXND1"	1.06867642008954	0.345453733275307	-0.894756329200986	0.851516030880828	-1.41824979411258	0.154102422024839	"IS01"	1.06867642008954
"STXBP5"	"STXBP5"	1.0634496609768	-0.770761217454134	-0.459495096689137	0.372231016304593	-0.965051895810533	0.664293282992087	"IS01"	1.0634496609768
"DENND5A"	"DENND5A"	1.05349609428731	-0.437324984905972	-0.789686966831513	0.946310125973064	-1.04503125519014	0.284508193159919	"IS01"	1.05349609428731
"MST150"	"MST150"	1.03835448381198	-0.475756078621935	-1.09445926014049	0.869154300869566	0.556882666211407	-0.592882729385097	"IS01"	1.03835448381198
"FAM119B"	"FAM119B"	1.03767861827363	0.00542806871054704	-0.774114048098167	0.884245228779102	-0.861190286107167	-0.177016440213129	"IS01"	1.03767861827363
"LOC100288791"	"LOC100288791"	1.03164208178225	-0.0762473685835219	-0.850174252724844	0.730639630106904	-0.787460793109911	0.070141861349354	"IS01"	1.03164208178225
"TCF7L2"	"TCF7L2"	1.02570017719451	-0.39889797560899	-0.785314952578912	1.0039570607948	-0.977046629814174	0.159270418160741	"IS01"	1.02570017719451
"RCAN1"	"RCAN1"	1.02058388781557	-0.443399775878447	-0.591367308927587	0.60290268346445	-0.459768105388802	-0.0652403543761076	"IS01"	1.02058388781557
"FPR3"	"FPR3"	1.0187442940186	-0.351941763980087	-0.859472371876943	0.771553388054303	-0.186859596742535	-0.225850106721861	"IS01"	1.0187442940186
"CYP1B1"	"CYP1B1"	1.00947166572441	-0.658957616288339	-0.90334925186703	0.793439510184554	0.153006135504698	-0.222147703844322	"IS01"	1.00947166572441
"ARMCX1"	"ARMCX1"	1.00863187717477	-0.506074967016842	-0.843328812233198	0.544812392145311	0.422010108953292	-0.399385792148959	"IS01"	1.00863187717477
"EPHB2"	"EPHB2"	1.00853021686861	0.406958057845305	-0.994582015225905	0.677706613561796	-0.98911660977951	0.0798113791444664	"IS01"	1.00853021686861
"CES1"	"CES1"	1.00773843852547	-0.00289901331566076	-0.819175659080217	0.699503458921101	-0.0977032738174584	-0.553630340928809	"IS01"	1.00773843852547
"ALDH2"	"ALDH2"	1.00554771568685	-0.153774444849178	-0.636477691903751	0.798641741048638	-0.185824440406199	-0.659211970646356	"IS01"	1.00554771568685
"OAT"	"OAT"	1.00515696659572	-0.830483009776744	-0.233448265173109	0.234553848054617	0.360184632610928	-0.472870362246658	"IS01"	1.00515696659572
"CPN2"	"CPN2"	1.00424668285253	0.205048288274427	-0.2313355960568	-0.257458434670929	-0.412008845937972	-0.196874169051628	"IS01"	1.00424668285253
"NRIP1"	"NRIP1"	1.00226436940287	-0.617802008691172	-0.506603903998526	0.268035678001746	0.0496560428066579	-0.104382308311384	"IS01"	1.00226436940287
"RXRA"	"RXRA"	0.997845420243669	0.381020789560888	-0.704238370984209	0.672225428783231	-1.3088152778353	0.052571214922268	"IS01"	0.997845420243669
"CAMK1G"	"CAMK1G"	0.994420718594388	0.173737576621357	-0.677090514108791	0.698318305846151	-0.549867250686986	-0.468307967172363	"IS01"	0.994420718594388
"FSTL3"	"FSTL3"	0.991031496198067	0.460270013377908	-0.492762764361007	0.178451543367788	-0.810530717686655	-0.185827695236041	"IS01"	0.991031496198067
"JUNB"	"JUNB"	0.986804219049102	0.151669751064505	-0.894025838051924	0.728310230180325	-0.406807248949477	-0.344808195774883	"IS01"	0.986804219049102
"ABHD2"	"ABHD2"	0.983560199489885	-0.628730754588709	-0.587855415473003	0.832507913136013	-1.20358296872388	0.5170810477536	"IS01"	0.983560199489885
"LOC283143"	"LOC283143"	0.978541483618427	-0.268072854649745	-0.898218534855824	0.596836279515203	0.211378564753409	-0.379187308723574	"IS01"	0.978541483618427
"PANX1"	"PANX1"	0.972821491030211	-0.804564771409346	-0.518827769291699	0.826290558199423	-0.68941386090121	0.166130687430935	"IS01"	0.972821491030211
"LAMP3"	"LAMP3"	0.965173897906968	-0.115952787093676	-0.737066597550494	0.503751818118996	-0.339002088391713	-0.123394615026299	"IS01"	0.965173897906968
"FLJ32810"	"FLJ32810"	0.950440077286395	-0.617192404977896	-0.257838941757306	-0.098467156146838	-0.371352302436387	0.367521709832633	"IS01"	0.950440077286395
"TTYH2"	"TTYH2"	0.946823523573736	0.290012258736024	-0.908561821255036	0.665802175894216	-0.818044824874735	6.6456236719614e-05	"IS01"	0.946823523573736
"RPS6KA2"	"RPS6KA2"	0.942557830711178	-0.57290585284497	-0.381804220610347	0.246473320688112	-0.946289599424163	0.626840532008878	"IS01"	0.942557830711178
"LOC149837"	"LOC149837"	0.939616471936236	-0.202906467268426	-0.734653272520401	0.293114653221264	-0.234280515307585	0.0852044097072251	"IS01"	0.939616471936236
"HDAC11"	"HDAC11"	0.933722181114323	-0.033999694031349	-0.498086198926991	0.52795855527505	-0.676018739678071	-0.17651247595246	"IS01"	0.933722181114323
"TMTC3"	"TMTC3"	0.92993128589839	-0.893618964756052	-0.209486769513962	-0.139245567589553	-0.0870478785465081	0.358345796591021	"IS01"	0.92993128589839
"C10orf55"	"C10orf55"	0.904153988761281	0.184134694070107	-0.811653103610909	0.578104852023062	-0.313696876521361	-0.324281788895896	"IS01"	0.904153988761281
"HS6ST1"	"HS6ST1"	0.902991434699715	0.061813991229173	-0.469733025952661	0.591952202065061	-1.3975247447557	0.283498797080759	"IS01"	0.902991434699715
"IQCK"	"IQCK"	0.899558159839438	-0.00108808792330303	-0.32862164239823	0.504887362137448	-0.854577251686995	-0.194525468163226	"IS01"	0.899558159839438
"ZFHX2"	"ZFHX2"	0.893481253001448	0.313536302902443	-0.424835796021837	0.324236950838708	-1.16864666557124	0.102356171105959	"IS01"	0.893481253001448
"NRIP3"	"NRIP3"	0.892044813218828	-0.234097341692364	-0.862538473211244	0.781626536874106	-0.0240736851369699	-0.353470130582384	"IS01"	0.892044813218828
"MCHR1"	"MCHR1"	0.890491099679551	0.160619133866493	-0.46895888558846	0.565711902160793	-0.529407280172808	-0.491377923257339	"IS01"	0.890491099679551
"PXN"	"PXN"	0.886554996307454	0.481293766370851	-0.912715285920405	0.846331905998382	-1.30530189347789	0.134593956508887	"IS01"	0.886554996307454
"SGK1"	"SGK1"	0.876495063963671	-0.293632185347408	-0.648860517197198	0.45449406929621	0.242367291594481	-0.440206294521184	"IS01"	0.876495063963671
