"ID"	"State"	"InitialState"
"430"	"CTSP.AD05"	"S01"	"IS06"
"431"	"CTSP.AD0Z"	"S01"	"IS06"
"432"	"CTSP.AD18"	"S01"	"IS06"
"433"	"CTSP.AD28"	"S01"	"IS06"
"434"	"CTSP.AD2E"	"S01"	"IS06"
"435"	"CTSP.AD50"	"S01"	"IS06"
"436"	"CTSP.ADRS"	"S01"	"IS06"
"437"	"CTSP.B02B"	"S01"	"IS06"
"438"	"CTSP.B02I"	"S01"	"IS06"
"439"	"DLBCL10116"	"S01"	"IS06"
"440"	"DLBCL10458"	"S01"	"IS06"
"441"	"DLBCL10463"	"S01"	"IS06"
"442"	"DLBCL10471"	"S01"	"IS06"
"443"	"DLBCL10485"	"S01"	"IS06"
"444"	"DLBCL10507"	"S01"	"IS06"
"445"	"DLBCL10508"	"S01"	"IS06"
"446"	"DLBCL10509"	"S01"	"IS06"
"447"	"DLBCL10529"	"S01"	"IS06"
"448"	"DLBCL10540"	"S01"	"IS06"
"449"	"DLBCL10550"	"S01"	"IS06"
"450"	"DLBCL10833"	"S01"	"IS06"
"451"	"DLBCL10835"	"S01"	"IS06"
"452"	"DLBCL10845"	"S01"	"IS06"
"453"	"DLBCL10853"	"S01"	"IS06"
"454"	"DLBCL10857"	"S01"	"IS06"
"455"	"DLBCL10859"	"S01"	"IS06"
"456"	"DLBCL10860"	"S01"	"IS06"
"457"	"DLBCL10861"	"S01"	"IS06"
"458"	"DLBCL10865"	"S01"	"IS06"
"459"	"DLBCL10866"	"S01"	"IS06"
"460"	"DLBCL10869"	"S01"	"IS06"
"461"	"DLBCL10870"	"S01"	"IS06"
"462"	"DLBCL10871"	"S01"	"IS06"
"463"	"DLBCL10876"	"S01"	"IS06"
"464"	"DLBCL10877"	"S01"	"IS06"
"465"	"DLBCL10883"	"S01"	"IS06"
"466"	"DLBCL10884"	"S01"	"IS06"
"467"	"DLBCL10885"	"S01"	"IS06"
"468"	"DLBCL10895"	"S01"	"IS06"
"469"	"DLBCL10897"	"S01"	"IS06"
"470"	"DLBCL10901"	"S01"	"IS06"
"471"	"DLBCL10909"	"S01"	"IS06"
"472"	"DLBCL10913"	"S01"	"IS06"
"473"	"DLBCL10921"	"S01"	"IS06"
"474"	"DLBCL10936"	"S01"	"IS06"
"475"	"DLBCL10943"	"S01"	"IS06"
"476"	"DLBCL10947"	"S01"	"IS06"
"477"	"DLBCL10954"	"S01"	"IS06"
"478"	"DLBCL10955"	"S01"	"IS06"
"479"	"DLBCL10964"	"S01"	"IS06"
"480"	"DLBCL10968"	"S01"	"IS06"
"481"	"DLBCL10969"	"S01"	"IS06"
"482"	"DLBCL10975"	"S01"	"IS06"
"483"	"DLBCL10977"	"S01"	"IS06"
"484"	"DLBCL10980"	"S01"	"IS06"
"485"	"DLBCL10983"	"S01"	"IS06"
"486"	"DLBCL10985"	"S01"	"IS06"
"487"	"DLBCL10992"	"S01"	"IS06"
"488"	"DLBCL10993"	"S01"	"IS06"
"489"	"DLBCL10994"	"S01"	"IS06"
"490"	"DLBCL11180"	"S01"	"IS06"
"491"	"DLBCL11182"	"S01"	"IS06"
"492"	"DLBCL11184"	"S01"	"IS06"
"493"	"DLBCL11185"	"S01"	"IS06"
"494"	"DLBCL11187"	"S01"	"IS06"
"495"	"DLBCL11201"	"S01"	"IS06"
"496"	"DLBCL11204"	"S01"	"IS06"
"497"	"DLBCL11211"	"S01"	"IS06"
"498"	"DLBCL11258"	"S01"	"IS06"
"499"	"DLBCL11260"	"S01"	"IS06"
"500"	"DLBCL11262"	"S01"	"IS06"
"501"	"DLBCL11429"	"S01"	"IS06"
"502"	"DLBCL11435"	"S01"	"IS06"
"503"	"DLBCL11440"	"S01"	"IS06"
"504"	"DLBCL11445"	"S01"	"IS06"
"505"	"DLBCL11450"	"S01"	"IS06"
"506"	"DLBCL11454"	"S01"	"IS06"
"507"	"DLBCL11455"	"S01"	"IS06"
"508"	"DLBCL11464"	"S01"	"IS06"
"509"	"DLBCL11467"	"S01"	"IS06"
"510"	"DLBCL11468"	"S01"	"IS06"
"511"	"DLBCL11469"	"S01"	"IS06"
"512"	"DLBCL11471"	"S01"	"IS06"
"513"	"DLBCL11477"	"S01"	"IS06"
"514"	"DLBCL11488"	"S01"	"IS06"
"515"	"DLBCL11499"	"S01"	"IS06"
"516"	"DLBCL11500"	"S01"	"IS06"
"517"	"DLBCL11503"	"S01"	"IS06"
"518"	"DLBCL11504"	"S01"	"IS06"
"519"	"DLBCL11540"	"S01"	"IS06"
"520"	"DLBCL11574"	"S01"	"IS06"
"521"	"DLBCL11589"	"S01"	"IS06"
"522"	"DLBCL11673"	"S01"	"IS06"
"1"	"CTSP.ACY5"	"S02"	"IS01"
"2"	"CTSP.ACYH"	"S02"	"IS01"
"3"	"CTSP.ACZE"	"S02"	"IS01"
"4"	"CTSP.ACZK"	"S02"	"IS01"
"5"	"CTSP.AD1A"	"S02"	"IS01"
"6"	"DLBCL10456"	"S02"	"IS01"
"7"	"DLBCL10459"	"S02"	"IS01"
"8"	"DLBCL10478"	"S02"	"IS01"
"9"	"DLBCL10481"	"S02"	"IS01"
"10"	"DLBCL10487"	"S02"	"IS01"
"11"	"DLBCL10490"	"S02"	"IS01"
"12"	"DLBCL10505"	"S02"	"IS01"
"13"	"DLBCL10513"	"S02"	"IS01"
"14"	"DLBCL10514"	"S02"	"IS01"
"15"	"DLBCL10523"	"S02"	"IS01"
"16"	"DLBCL10528"	"S02"	"IS01"
"17"	"DLBCL10537"	"S02"	"IS01"
"18"	"DLBCL10538"	"S02"	"IS01"
"19"	"DLBCL10539"	"S02"	"IS01"
"20"	"DLBCL10548"	"S02"	"IS01"
"21"	"DLBCL10553"	"S02"	"IS01"
"22"	"DLBCL10554"	"S02"	"IS01"
"23"	"DLBCL10555"	"S02"	"IS01"
"24"	"DLBCL10565"	"S02"	"IS01"
"25"	"DLBCL10782"	"S02"	"IS01"
"26"	"DLBCL10844"	"S02"	"IS01"
"27"	"DLBCL10875"	"S02"	"IS01"
"28"	"DLBCL10879"	"S02"	"IS01"
"29"	"DLBCL10910"	"S02"	"IS01"
"30"	"DLBCL10927"	"S02"	"IS01"
"31"	"DLBCL10965"	"S02"	"IS01"
"32"	"DLBCL10989"	"S02"	"IS01"
"33"	"DLBCL10996"	"S02"	"IS01"
"34"	"DLBCL11186"	"S02"	"IS01"
"35"	"DLBCL11206"	"S02"	"IS01"
"36"	"DLBCL11257"	"S02"	"IS01"
