"V1"	"CTSP.ACY5"
"CD247"	"CD247"	0.241270488000222
"C13orf18"	"C13orf18"	-0.593225612082103
"SNX26"	"SNX26"	-0.116896438070054
"C11orf9"	"C11orf9"	-0.0280806935421269
"COL27A1"	"COL27A1"	0.615657526768891
"SLC16A3"	"SLC16A3"	1.24823404179363
"F5"	"F5"	-0.127368634806407
"ACSL1"	"ACSL1"	1.73439057095763
"AFAP1L2"	"AFAP1L2"	0.881494277629997
"TUBB4"	"TUBB4"	1.14222572758252
"CD274"	"CD274"	0.47324612547796
"CCL4"	"CCL4"	0.70353370816841
"PRSS21"	"PRSS21"	0.444667376960677
"SIGLEC12"	"SIGLEC12"	-0.0552305871019491
"LOC100289383"	"LOC100289383"	1.30787826173366
"COMMD9"	"COMMD9"	2.51164560615242
"TXNDC11"	"TXNDC11"	-0.580475137739189
"HLF"	"HLF"	0.809519828558707
"MGLL"	"MGLL"	0.0610375636793289
"FER1L4"	"FER1L4"	0.212298615871707
"IGF2BP2"	"IGF2BP2"	0.881587092071663
"PSORS1C2"	"PSORS1C2"	-0.0201545267388354
"KDM5D"	"KDM5D"	-0.949928811691007
"SLC38A5"	"SLC38A5"	0.252231683310395
"LEPREL1"	"LEPREL1"	0.279826410546713
"BSPRY"	"BSPRY"	-1.22496873121994
"NR5A1"	"NR5A1"	-0.147531033473927
"FOXC1"	"FOXC1"	0.352808955481887
"KLHL12"	"KLHL12"	-1.29351168733119
"BARX1"	"BARX1"	0.84512465591925
"PIK3R5"	"PIK3R5"	-0.167664176630733
"C4A"	"C4A"	0.188614292168804
"NOD2"	"NOD2"	0.0587565680687089
"FOXJ1"	"FOXJ1"	-0.773051951542952
"NGEF"	"NGEF"	-0.826837164900513
"SEPT3"	"SEPT3"	-0.236135410019047
"NINJ1"	"NINJ1"	1.39030900407538
"ACAD11"	"ACAD11"	-0.614163835589502
"PRDM1"	"PRDM1"	-0.225731394260676
"HIVEP2"	"HIVEP2"	-1.23641671742007
"STAB1"	"STAB1"	1.91956637591795
"DUSP5"	"DUSP5"	0.570847892266088
"FLT1"	"FLT1"	0.33972843451241
"PHLDA1"	"PHLDA1"	0.790627179500772
"KIR3DL2"	"KIR3DL2"	-0.351635184518437
"PLTP"	"PLTP"	1.93465501145029
"ZNF841"	"ZNF841"	-0.633085194308528
"C14orf83"	"C14orf83"	-0.371798826196258
"GRB10"	"GRB10"	0.898614663944503
"FADS2"	"FADS2"	-0.630174394009902
"PHKA1"	"PHKA1"	0.0893611258026424
"SECTM1"	"SECTM1"	0.492441872857776
"PREX1"	"PREX1"	-0.0843764667725561
"RIMS3"	"RIMS3"	0.0109848298360124
"PRKAR2A"	"PRKAR2A"	-0.347527202158973
"STAT5A"	"STAT5A"	-0.596231270697817
"FURIN"	"FURIN"	0.553651950197443
"ACTN3"	"ACTN3"	0.706059444697325
"TP53I11"	"TP53I11"	0.0345195736568494
"FAIM2"	"FAIM2"	0.697331422296806
"SOCS3"	"SOCS3"	1.65306863545029
"ATXN7L1"	"ATXN7L1"	-0.351058919735352
"TBKBP1"	"TBKBP1"	0.788443331877779
"HHAT"	"HHAT"	-0.361924284853981
"LOC100288336"	"LOC100288336"	0.803160761050068
"FAM178A"	"FAM178A"	0.0562208191171085
"LOC84740"	"LOC84740"	-0.653996203002913
"FAM127B"	"FAM127B"	0.81612857547158
"PRICKLE4"	"PRICKLE4"	-0.35319091348102
"OAS2"	"OAS2"	-0.399203132586261
"HSP90B1"	"HSP90B1"	0.244724299873444
"ASCL1"	"ASCL1"	0.655234883392231
"MPZ"	"MPZ"	1.28977719993408
"EGFL8"	"EGFL8"	0.317592992790349
"RASGEF1A"	"RASGEF1A"	0.152190540872743
"GBP2"	"GBP2"	0.435315504967698
"C6orf170"	"C6orf170"	-0.378514983346085
"KCNT1"	"KCNT1"	-0.675704318931715
"HOXB9"	"HOXB9"	-0.254691939813709
"OSBPL5"	"OSBPL5"	0.294057175250795
"ABHD4"	"ABHD4"	-0.0555946901792619
"LOC653340"	"LOC653340"	0.756243699016268
"MED25"	"MED25"	-0.734702714470307
"PYCR1"	"PYCR1"	0.295178442348556
"HIPK2"	"HIPK2"	0.0982487739273492
"KCNA3"	"KCNA3"	-0.0145277265977144
"BAG3"	"BAG3"	0.540190289129957
"CCR7"	"CCR7"	0.0871968219890472
"ZFP57"	"ZFP57"	-1.01730324247657
"LOC642131"	"LOC642131"	0.49073088467855
"KIR3DX1"	"KIR3DX1"	-0.25785077124485
"ECE2"	"ECE2"	-0.427064934913455
"SEMA7A"	"SEMA7A"	0.124808977020246
"DCLK2"	"DCLK2"	0.668091286535432
"LTK"	"LTK"	-0.133468724894401
"STC2"	"STC2"	1.56476440697761
"FAM59B"	"FAM59B"	-0.781347267608111
"MIER2"	"MIER2"	0.18987488817851
"LOC100288165"	"LOC100288165"	0.0215276532545051
