"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"ANKZF1"	"ANKZF1"	1.74945795629304	-0.976931159907739	-0.590312295992109	-0.0430516890893964	"IS01"	1.74945795629304
"LOC91316"	"LOC91316"	1.74841959813186	-0.948708946884942	-0.382677298071627	-0.257417241077779	"IS01"	1.74841959813186
"LOC100289010"	"LOC100289010"	1.71624959444413	-0.913433474144811	-0.638369238846935	-0.0385546548218936	"IS01"	1.71624959444413
"SNORD83B"	"SNORD83B"	1.70755674879502	-0.792214004149012	-0.597459421547178	-0.198938815192809	"IS01"	1.70755674879502
"FLJ10404"	"FLJ10404"	1.68897740433447	-0.934174240274523	-0.375287058530156	-0.224355826026826	"IS01"	1.68897740433447
"CXorf65"	"CXorf65"	1.62888669278803	-0.677764066738134	-0.171374412197381	-0.629030520504275	"IS01"	1.62888669278803
"TIAF1"	"TIAF1"	1.60522260075414	-0.966606154587769	-0.186195299197354	-0.278929713713442	"IS01"	1.60522260075414
"ITGB1BP2"	"ITGB1BP2"	1.55996971442778	-0.706324947902466	-0.594909282274596	-0.157091875044945	"IS01"	1.55996971442778
"GLP.1"	"GLP.1"	1.55451351996792	-0.740534545486855	-0.490075425564623	-0.207900461555862	"IS01"	1.55451351996792
"ACAD11"	"ACAD11"	1.54225314669776	-0.938871852749144	-0.444038575075146	-0.021191499993744	"IS01"	1.54225314669776
"TCIRG1"	"TCIRG1"	1.53657748239331	-1.03957086717448	0.145780197637572	-0.430436206203056	"IS01"	1.53657748239331
"ITIH4"	"ITIH4"	1.53552944389127	-0.752555197310427	-0.299586447037531	-0.346411547590754	"IS01"	1.53552944389127
"TMPRSS5"	"TMPRSS5"	1.53260150836707	-0.811099794815621	-0.36131219431899	-0.22499508637573	"IS01"	1.53260150836707
"LOC100129268"	"LOC100129268"	1.5269027428428	-0.980081222817367	-0.189994293894888	-0.187773477554811	"IS01"	1.5269027428428
"SNORD38A"	"SNORD38A"	1.51031137561962	-0.698473909079866	-0.613759954887931	-0.102549643137596	"IS01"	1.51031137561962
"SPTBN5"	"SPTBN5"	1.50503218804611	-1.01121791099933	0.14159955662188	-0.42818572188846	"IS01"	1.50503218804611
"EGFL8"	"EGFL8"	1.50368739652885	-0.84613801514244	-0.175744559331715	-0.324774893718078	"IS01"	1.50368739652885
"LOC678655"	"LOC678655"	1.49295443422664	-0.778150030567791	-0.202843652610119	-0.364777244154697	"IS01"	1.49295443422664
"LOC100288244"	"LOC100288244"	1.4791629867354	-1.02100441809576	-0.268192427528385	-0.0291016978378624	"IS01"	1.4791629867354
"PI4KAP1"	"PI4KAP1"	1.40813525683398	-0.953625652298741	-0.441768775599205	0.118036807049186	"IS01"	1.40813525683398
"LOC401433"	"LOC401433"	1.40273156392996	-0.965589230290198	0.308231092736728	-0.530573583771593	"IS01"	1.40273156392996
"NHLH1"	"NHLH1"	1.39638177511974	-0.991546103481125	-0.348474288870887	0.0874076179920641	"IS01"	1.39638177511974
