"ID"	"State"
"CTSP.ACY8"	"IS01"
"CTSP.B02B"	"IS01"
"DLBCL10519"	"IS01"
"DLBCL10547"	"IS01"
"DLBCL10554"	"IS01"
"DLBCL10555"	"IS01"
"DLBCL10782"	"IS01"
"DLBCL10834"	"IS01"
"DLBCL10835"	"IS01"
"DLBCL10836"	"IS01"
"DLBCL10837"	"IS01"
"DLBCL10838"	"IS01"
"DLBCL10839"	"IS01"
"DLBCL10842"	"IS01"
"DLBCL10843"	"IS01"
"DLBCL10844"	"IS01"
"DLBCL10845"	"IS01"
"DLBCL10846"	"IS01"
"DLBCL10848"	"IS01"
"DLBCL10850"	"IS01"
"DLBCL10852"	"IS01"
"DLBCL10853"	"IS01"
"DLBCL10854"	"IS01"
"DLBCL10855"	"IS01"
"DLBCL10856"	"IS01"
"DLBCL10858"	"IS01"
"DLBCL10859"	"IS01"
"DLBCL10860"	"IS01"
"DLBCL10862"	"IS01"
"DLBCL10863"	"IS01"
"DLBCL10864"	"IS01"
"DLBCL10865"	"IS01"
"DLBCL10868"	"IS01"
"DLBCL10869"	"IS01"
"DLBCL10870"	"IS01"
"DLBCL10871"	"IS01"
"DLBCL10872"	"IS01"
"DLBCL10873"	"IS01"
"DLBCL10874"	"IS01"
"DLBCL10878"	"IS01"
"DLBCL10879"	"IS01"
"DLBCL10880"	"IS01"
"DLBCL10883"	"IS01"
"DLBCL10884"	"IS01"
"DLBCL10885"	"IS01"
"DLBCL10888"	"IS01"
"DLBCL10889"	"IS01"
"DLBCL10890"	"IS01"
"DLBCL10891"	"IS01"
"DLBCL10894"	"IS01"
"DLBCL10895"	"IS01"
"DLBCL10896"	"IS01"
"DLBCL10897"	"IS01"
"DLBCL10898"	"IS01"
"DLBCL10899"	"IS01"
"DLBCL10902"	"IS01"
"DLBCL10903"	"IS01"
"DLBCL10904"	"IS01"
"DLBCL10905"	"IS01"
"DLBCL10906"	"IS01"
"DLBCL10908"	"IS01"
"DLBCL10909"	"IS01"
"DLBCL10910"	"IS01"
"DLBCL10911"	"IS01"
"DLBCL10912"	"IS01"
"DLBCL10913"	"IS01"
"DLBCL10915"	"IS01"
"DLBCL10917"	"IS01"
"DLBCL10918"	"IS01"
"DLBCL10920"	"IS01"
"DLBCL10921"	"IS01"
"DLBCL10922"	"IS01"
"DLBCL10923"	"IS01"
"DLBCL10924"	"IS01"
"DLBCL10941"	"IS01"
"DLBCL10963"	"IS01"
"DLBCL11429"	"IS01"
"DLBCL11430"	"IS01"
"DLBCL11431"	"IS01"
"DLBCL11432"	"IS01"
"DLBCL11433"	"IS01"
"DLBCL11434"	"IS01"
"DLBCL11436"	"IS01"
"DLBCL11437"	"IS01"
"DLBCL11454"	"IS01"
"DLBCL11457"	"IS01"
"DLBCL11458"	"IS01"
"DLBCL11459"	"IS01"
"DLBCL11460"	"IS01"
