"V1"	"CTSP.ACY5"
"MMP12"	"MMP12"	0.677505357448979
"IL10"	"IL10"	0.43961249525361
"MARCO"	"MARCO"	1.56576631879202
"IL8"	"IL8"	2.32945727737215
"ISG15"	"ISG15"	-0.202611307534258
"LILRA3"	"LILRA3"	-0.0463849267856219
"PLS1"	"PLS1"	-1.31850798527427
"CR1"	"CR1"	0.58256666280431
"EMR1"	"EMR1"	0.218013865978693
"TCF21"	"TCF21"	-0.686768206713226
"TMTC1"	"TMTC1"	0.515428934870914
"C15orf48"	"C15orf48"	1.78214881605127
"PITPNM3"	"PITPNM3"	-0.867323855750828
"GDPD2"	"GDPD2"	-0.773913016977514
"SLC8A1"	"SLC8A1"	-0.587164620320109
"PCDH17"	"PCDH17"	1.35792012341116
"CCL8"	"CCL8"	1.35527549967511
"CXCL1"	"CXCL1"	1.69123536161836
"SIGLEC9"	"SIGLEC9"	0.889121173195774
"GPR116"	"GPR116"	1.05430668814396
"ENTPD2"	"ENTPD2"	1.013919864587
"HSD3B2"	"HSD3B2"	-0.257495170951446
"CSF2"	"CSF2"	0.751449299235953
"ADRA1A"	"ADRA1A"	0.40321683953618
"SERPINB4"	"SERPINB4"	-0.0613409273625728
"CSF3R"	"CSF3R"	1.75366220568311
"CXCL5"	"CXCL5"	1.58708293591534
"DOCK5"	"DOCK5"	1.02396928057302
"DCLK3"	"DCLK3"	1.66201324999984
"CPD"	"CPD"	0.593161863903583
"KRT8"	"KRT8"	0.129174247936244
"FLRT3"	"FLRT3"	0.278104513497442
"TNFAIP6"	"TNFAIP6"	1.90832316963503
"CD93"	"CD93"	1.39712307714851
"MERTK"	"MERTK"	1.46472685824892
"RSAD2"	"RSAD2"	-0.156182505378474
"GPIHBP1"	"GPIHBP1"	0.836865843403111
"S100B"	"S100B"	0.315506744939223
"WDR63"	"WDR63"	-1.29457433756229
"C9orf46"	"C9orf46"	0.130195525684066
"STARD8"	"STARD8"	-1.59197146395186
"PPBP"	"PPBP"	2.51355047242434
"PDGFRA"	"PDGFRA"	2.10995940231326
"ELTD1"	"ELTD1"	2.16310591563222
"MEGF9"	"MEGF9"	0.128860597666833
"SLC6A4"	"SLC6A4"	0.229172803140876
"GLDN"	"GLDN"	0.819786361598844
"ADM"	"ADM"	-0.702113479034123
"CXCL2"	"CXCL2"	1.21730731857872
"TRIM58"	"TRIM58"	1.48238693585338
"KRTAP5.8"	"KRTAP5.8"	-0.260092157084186
"CCL20"	"CCL20"	1.29208348353137
"HBB"	"HBB"	2.87883266469468
"ALAS2"	"ALAS2"	2.04870411823734
"HSD17B6"	"HSD17B6"	2.65268997647565
"CD5L"	"CD5L"	0.578738117480633
"CDKN1A"	"CDKN1A"	-0.258816550391936
"NAMPT"	"NAMPT"	2.06729754303095
"TNFRSF8"	"TNFRSF8"	-0.41681163897532
"TRIM55"	"TRIM55"	2.46080663464783
"AIF1L"	"AIF1L"	0.614665180997885
"APOBEC3A"	"APOBEC3A"	2.05439140944292
"TMEM136"	"TMEM136"	0.514369596003203
"DDX58"	"DDX58"	-0.344209538193939
"SLAMF9"	"SLAMF9"	2.06926798414911
"VSIG4"	"VSIG4"	2.01524027477596
"CHGA"	"CHGA"	2.58809134061599
"IL6"	"IL6"	1.88846374543268
"IL8RA"	"IL8RA"	1.98132331218419
"SPATA9"	"SPATA9"	-1.52723075159769
"GPR183"	"GPR183"	1.25975091498148
"CXCL6"	"CXCL6"	1.05000150389868
"GK"	"GK"	1.65668439263581
"CD300A"	"CD300A"	1.66771008648557
"CXCL3"	"CXCL3"	1.3123547074041
"TMEM56"	"TMEM56"	1.24956895224513
"NAIP"	"NAIP"	-1.33102487998827
"RORA"	"RORA"	0.653937224641743
"CGN"	"CGN"	-0.846590712915191
"NTN4"	"NTN4"	-0.695819047387654
"STOM"	"STOM"	1.11833097451639
"DSG2"	"DSG2"	-0.117395490792654
"LOC100128993"	"LOC100128993"	1.45745714969037
"LOC100130520"	"LOC100130520"	1.7488414183843
"LILRA5"	"LILRA5"	2.25378512135382
"PLB1"	"PLB1"	1.56188678719607
"S100A12"	"S100A12"	2.06139378376904
"PLAUR"	"PLAUR"	2.55380033010598
"FCGR3B"	"FCGR3B"	2.40371512113671
"ITLN1"	"ITLN1"	-0.393001354352744
"KCTD14"	"KCTD14"	0.962989125956701
"PADI4"	"PADI4"	1.09123803642919
"SOCS2"	"SOCS2"	0.1471786764142
"BMP8B"	"BMP8B"	-0.806287592756201
"PTPRH"	"PTPRH"	-0.048082391605989
"GPRC5A"	"GPRC5A"	0.444592949516398
"CSF3"	"CSF3"	1.88084884930372
"SCG5"	"SCG5"	1.58444581377854
"SLITRK2"	"SLITRK2"	0.679966129464732
"PTGS2"	"PTGS2"	1.42662376106022
"LOC100288679"	"LOC100288679"	2.39633731998028
"C19orf21"	"C19orf21"	-0.523821622148796
"MYCT1"	"MYCT1"	1.77925896578526
"NIACR2"	"NIACR2"	2.10960276830382
"LYVE1"	"LYVE1"	2.3240315687278
"TCF7L2"	"TCF7L2"	-0.836070305654581
"STX12"	"STX12"	-0.803078900071768
"INHBA"	"INHBA"	1.64831653374214
"GPR88"	"GPR88"	-0.756091472889635
"FCN3"	"FCN3"	3.22336561643326
"MAMDC2"	"MAMDC2"	0.973193365153367
"CCL1"	"CCL1"	1.31456462741718
"P2RY1"	"P2RY1"	0.505419262151026
"TRIM15"	"TRIM15"	-0.459194463134093
"FNDC3B"	"FNDC3B"	1.32840837184559
"TLX1"	"TLX1"	-0.441947147825468
"PTPRR"	"PTPRR"	1.6440599946946
"FFAR2"	"FFAR2"	1.98853351940504
"CCL7"	"CCL7"	1.55749950371061
"IFI6"	"IFI6"	-0.178881834041006
"C4BPA"	"C4BPA"	-0.07217439678933
"DEFA4"	"DEFA4"	2.0532805369344
"SLC4A1"	"SLC4A1"	0.743578126235056
"FAM123A"	"FAM123A"	-0.156741710463528
"ENC1"	"ENC1"	1.30143085383073
"LMAN1L"	"LMAN1L"	0.852460462979484
"DUOXA2"	"DUOXA2"	-0.599921080629219
"PYGL"	"PYGL"	2.52056744152209
"NFE2"	"NFE2"	1.99897737545652
"NID1"	"NID1"	0.282806574461819
"ITGA2B"	"ITGA2B"	1.59641860238189
"SULT1B1"	"SULT1B1"	1.20262424894325
"C3AR1"	"C3AR1"	1.19431505972509
"NRP1"	"NRP1"	1.4463870572361
"C1QTNF7"	"C1QTNF7"	0.419118977258704
"SIGLEC7"	"SIGLEC7"	1.05031617028467
"IL8RB"	"IL8RB"	1.83248765945092
"HERC5"	"HERC5"	0.397631696197478
"IL1B"	"IL1B"	1.51558462166872
"C19orf59"	"C19orf59"	2.19195474308122
"PROX1"	"PROX1"	0.0385752896807671
"CHRM4"	"CHRM4"	-0.533598752129328
"EDNRA"	"EDNRA"	0.452833825303666
"CLEC4D"	"CLEC4D"	2.27329823261586
"ITGA9"	"ITGA9"	0.379902604590089
"TDGF1"	"TDGF1"	-0.602758554651571
"VMO1"	"VMO1"	2.62759798068297
"DACH1"	"DACH1"	2.04353502249452
"UPB1"	"UPB1"	0.94597986817065
"LOC441601"	"LOC441601"	-0.620744144796725
"EPHA7"	"EPHA7"	-0.654276399300491
"CASP1"	"CASP1"	-0.0578554602655802
"LOC100288575"	"LOC100288575"	-0.376622471183569
"OPRM1"	"OPRM1"	0.325543470628155
"LOC93432"	"LOC93432"	-1.04802085350558
"TREML2P"	"TREML2P"	0.0660248513680375
"LOC100287739"	"LOC100287739"	0.879760829964053
"IL28B"	"IL28B"	0.431964765360964
"PABPC1L2B"	"PABPC1L2B"	-0.403763521909931
"LOC388931"	"LOC388931"	-0.455700512479877
"C2orf80"	"C2orf80"	-0.287835129420762
"ANKRD33"	"ANKRD33"	-0.652354209736477
"ZP1"	"ZP1"	2.32784049855278
"FAM157B"	"FAM157B"	0.794069154595552
"HAS2"	"HAS2"	1.71425360579657
"HIGD1A"	"HIGD1A"	1.00144048371694
"LOC100288388"	"LOC100288388"	-1.1584123053724
"AQP9"	"AQP9"	2.60222245877883
"TM4SF18"	"TM4SF18"	1.8297782724307
"CEBPD"	"CEBPD"	0.91730167567728
"FAM13A"	"FAM13A"	-0.231405939873128
"RALB"	"RALB"	0.0983348280702215
"CD244"	"CD244"	1.30304600658565
"RPS27L"	"RPS27L"	0.823023310026415
"LOC100132146"	"LOC100132146"	0.845709318891556
"CYP19A1"	"CYP19A1"	2.36801578246088
"PECR"	"PECR"	-0.109507264278676
"TRIM40"	"TRIM40"	-0.407987155938015
"DOCK4"	"DOCK4"	0.289005815205813
"LIN7A"	"LIN7A"	0.997525776139785
"REG1B"	"REG1B"	-0.3266254685635
"GPR27"	"GPR27"	0.0106198754069778
"SLC35D3"	"SLC35D3"	-0.480056968381116
"RNASE3"	"RNASE3"	2.26631200426753
"IFNG"	"IFNG"	1.76492054405253
"PLSCR1"	"PLSCR1"	0.192674139937814
"ZNF503"	"ZNF503"	1.57961447279064
"DCUN1D3"	"DCUN1D3"	0.108058109040222
"CNIH4"	"CNIH4"	0.181242026216342
"MSRB3"	"MSRB3"	1.40317423617355
"TMBIM1"	"TMBIM1"	0.709682472219035
"SLC26A8"	"SLC26A8"	0.918659711954981
