"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"State"	"MaxFC"
"LOC100288575"	"LOC100288575"	1.17882576230502	-0.839428467821328	0.0954013672877203	-0.240493996839438	"IS01"	1.17882576230502
"TREML2P"	"TREML2P"	0.81931614138227	-0.698575455389901	0.0635965109563934	-0.024823924416535	"IS01"	0.81931614138227
"FAM13A"	"FAM13A"	0.693485176959336	-0.00459293417336132	-0.392714290818326	-0.37498189486702	"IS01"	0.693485176959336
"IL28B"	"IL28B"	0.607682375518748	-0.555505832062896	0.0405924893945204	0.0323791135722504	"IS01"	0.607682375518748
"RPS27L"	"RPS27L"	0.538044152651997	-0.501390435626018	0.17612425122281	-0.0727489496070542	"IS01"	0.538044152651997
"HIGD1A"	"HIGD1A"	0.319504821274752	-0.195179110823823	0.0326041644704288	-0.109977525241414	"IS01"	0.319504821274752
"BCL2A1"	"BCL2A1"	0.313833340528501	-0.318461315561681	0.302243638052293	-0.171652080051488	"IS01"	0.313833340528501
"TMEM136"	"TMEM136"	0.28928316933969	-0.348622935273475	0.0145021399836915	0.121748987067747	"IS01"	0.28928316933969
"C9orf46"	"C9orf46"	0.23542268599567	-0.191930072904953	-0.0201075485889597	0.0131060912500308	"IS01"	0.23542268599567
"LOC441601"	"LOC441601"	0.23541315478619	-0.139566449516431	-0.246411904492316	0.131860579576939	"IS01"	0.23541315478619
"PECR"	"PECR"	0.212804006889825	-0.204145774750105	-0.000534384729569786	0.034931428020525	"IS01"	0.212804006889825
"RALB"	"RALB"	0.146438724995261	-0.133068531637866	0.102014632849254	-0.0675357696903367	"IS01"	0.146438724995261
"LOC100288781"	"LOC100288781"	0.107890062211179	0.0240213473660997	-0.167461314604622	-0.00267952702535325	"IS01"	0.107890062211179
"BXDC5"	"BXDC5"	0.0979103173850562	-0.0736854307252103	-0.016639022558989	0.00465564102854539	"IS01"	0.0979103173850562
"LOC441864"	"LOC441864"	-1.3592019035735	0.85770724613104	-0.0651782128832274	0.375227289405469	"IS02"	0.85770724613104
"TUBB1"	"TUBB1"	-0.696706959074603	0.820213511114565	-0.247610584455788	-0.0981099051352662	"IS02"	0.820213511114565
"PF4V1"	"PF4V1"	-1.26408866493986	0.812580733336714	-0.123099473118326	0.381224564039854	"IS02"	0.812580733336714
"IFIT1L"	"IFIT1L"	-1.2479797022126	0.771236814199308	-0.165720343690428	0.449711541738722	"IS02"	0.771236814199308
"PGLYRP1"	"PGLYRP1"	-0.690929681393067	0.763225698284587	-0.581060504912448	0.23430401580065	"IS02"	0.763225698284587
"LOC100129417"	"LOC100129417"	-1.29893531292018	0.762487893183745	-0.240438024200864	0.571835723278556	"IS02"	0.762487893183745
"ANKRD33"	"ANKRD33"	-1.1851038739121	0.760495975721106	-0.151125241413497	0.387800393251649	"IS02"	0.760495975721106
"C2orf80"	"C2orf80"	-1.07179807762876	0.754310271080203	-0.0214248127560801	0.176832259493825	"IS02"	0.754310271080203
"LOC100132146"	"LOC100132146"	-1.14912054878429	0.753121295996807	-0.0638925416331643	0.290261070333158	"IS02"	0.753121295996807
"LOC100289009"	"LOC100289009"	-1.09723784445317	0.703625139129733	0.0505232417683558	0.206081626393209	"IS02"	0.703625139129733
"C6orf25"	"C6orf25"	-1.20416246346709	0.656837037937265	-0.287707732561225	0.64324672012765	"IS02"	0.656837037937265
"KRTAP5.8"	"KRTAP5.8"	-0.917898052987494	0.640987200650396	-0.272936799730973	0.362818690784809	"IS02"	0.640987200650396
"LOC100128993"	"LOC100128993"	-1.17249722339333	0.608477798636857	0.1078955140545	0.351283801664717	"IS02"	0.608477798636857
"LOC100287739"	"LOC100287739"	-0.868978294097452	0.465833131520255	0.240923160706599	0.112469107950202	"IS02"	0.465833131520255
