"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"XAGE5"	"XAGE5"	-0.313974485950911	0.0580122941076056	-0.317168559371784	-0.20863506801938	-0.556622124519134	-0.140307586791635	2.57298432049222	"S01"	2.57298432049222	"IS07"
"SSX9"	"SSX9"	-0.390126135889034	0.314606981364665	-0.370974570709634	-0.271342478739397	-0.508066643530371	-0.0488035062825695	2.55253364077278	"S01"	2.55253364077278	"IS07"
"LOC652191"	"LOC652191"	-0.348372513233643	0.111439800758357	-0.320208503017543	-0.335615058172382	-0.464117145769121	-0.0168249437758049	2.54448421877308	"S01"	2.54448421877308	"IS07"
"DAZ2"	"DAZ2"	-0.31567534999035	-0.000203651667245667	-0.269972851322445	-0.328399702407397	-0.471479354596503	-0.077589199119824	2.54184020348306	"S01"	2.54184020348306	"IS07"
"FEZF1"	"FEZF1"	-0.235680135037035	0.292378987976605	-0.381078441679739	-0.250766596079765	-0.633645951270521	-0.0739589674148947	2.54167249942907	"S01"	2.54167249942907	"IS07"
"HDGFL1"	"HDGFL1"	-0.378615057376047	0.169399814711697	-0.354367331923512	-0.236051691828113	-0.417889269756943	-0.0968622089021185	2.41438438868244	"S01"	2.41438438868244	"IS07"
"NXF2"	"NXF2"	-0.319539869164394	0.121264836124489	-0.350633664461432	-0.290883314966383	-0.353970785227463	-0.150901643394892	2.36986472948484	"S01"	2.36986472948484	"IS07"
"LOC440243"	"LOC440243"	-0.38017421550677	0.324583258430776	-0.313782762165806	-0.251403990364533	-0.558858641219352	0.113068203245676	2.34705703042216	"S01"	2.34705703042216	"IS07"
"RIT2"	"RIT2"	-0.391873099458152	0.0968903584344953	-0.375543471403714	-0.286109538317015	-0.376608461412263	0.106542954030609	2.34567785695527	"S01"	2.34567785695527	"IS07"
"TGIF2LX"	"TGIF2LX"	-0.263118864968266	0.22660632313726	-0.253094592509097	-0.138881384504648	-0.719014842647337	-0.00903875016763964	2.32587546724565	"S01"	2.32587546724565	"IS07"
"FTHL17"	"FTHL17"	-0.391249171807587	0.0919573074572744	-0.328578456787244	-0.261948919206999	-0.41470183728966	0.0878908951078671	2.31833128495811	"S01"	2.31833128495811	"IS07"
"LOC255025"	"LOC255025"	-0.162431003791105	0.0682238169085734	-0.295798642899472	-0.128527041590453	-0.654957943503079	-0.143922704621757	2.31366485219572	"S01"	2.31366485219572	"IS07"
"SSX7"	"SSX7"	-0.231616244995847	0.0579377852790038	-0.316137924026649	-0.279256932004643	-0.519338237704109	0.0520645745733301	2.31080428999944	"S01"	2.31080428999944	"IS07"
"LOC730121"	"LOC730121"	-0.369680623561933	-0.147634834342632	-0.265212764953829	-0.262381976369678	-0.285060006241682	-0.138318010897331	2.30946521583535	"S01"	2.30946521583535	"IS07"
"C10orf96"	"C10orf96"	-0.255469597542859	-0.182986796073443	-0.290808490293953	-0.211811901106489	-0.490951649549348	0.0782399621379165	2.27399628022056	"S01"	2.27399628022056	"IS07"
"OR6B3"	"OR6B3"	-0.322372170446906	-0.142043484555228	-0.352981166656125	-0.332602682051751	-0.32907115008646	0.1897211666435	2.27215097548212	"S01"	2.27215097548212	"IS07"
"RHOXF2B"	"RHOXF2B"	-0.316439762561526	0.361182703775173	-0.326775801561798	-0.262424237506632	-0.449650661701689	-0.128636355454576	2.27077405130412	"S01"	2.27077405130412	"IS07"
"LOC100132257"	"LOC100132257"	-0.0971129868875028	0.291376953818316	-0.501470932254506	-0.212930700487789	-0.593616380090773	0.0129090447730501	2.26933199317853	"S01"	2.26933199317853	"IS07"
"LOC100287273"	"LOC100287273"	-0.317193192607573	0.292163045743647	-0.343268053284369	-0.2927265868044	-0.364691873477855	-0.155080366306151	2.2648575696633	"S01"	2.2648575696633	"IS07"
"PRG1"	"PRG1"	-0.320607105608188	-0.140549103943852	-0.305252082668673	-0.255870730803038	-0.340631674254628	-0.0155330190172652	2.26325623026387	"S01"	2.26325623026387	"IS07"
"LOC150527"	"LOC150527"	-0.370904947964682	0.250189436762852	-0.295610845031664	-0.406072257913906	-0.439326371838416	0.273833158712764	2.26240506817586	"S01"	2.26240506817586	"IS07"
"SSX4B"	"SSX4B"	-0.377860403741634	0.545214036794837	-0.257252242174966	-0.30128555373432	-0.462655469584669	-0.149794294191778	2.25590471407817	"S01"	2.25590471407817	"IS07"
"MGC33407"	"MGC33407"	-0.139820408094182	-0.0479095150936227	-0.320426383391605	-0.30659809335273	-0.548010606305272	0.141577927611723	2.25384451743317	"S01"	2.25384451743317	"IS07"
"MCHR2"	"MCHR2"	-0.423070514778927	-0.0247412327056973	-0.344841668944899	-0.286963183569426	-0.458489697935127	0.472605521419423	2.25076153881961	"S01"	2.25076153881961	"IS07"
"ADAD1"	"ADAD1"	-0.355931386057058	-0.00506229610147365	-0.296319404332703	-0.236923401950144	-0.485806091609731	0.209154342763594	2.24881745512425	"S01"	2.24881745512425	"IS07"
"LOC645202"	"LOC645202"	-0.36199441657996	0.0309724465163466	-0.303152624412373	-0.29510478909103	-0.377853425146103	0.105317554641152	2.24444307221073	"S01"	2.24444307221073	"IS07"
"LOC100127989"	"LOC100127989"	-0.354708775675291	0.250345326993203	-0.248292375171164	-0.361211714766004	-0.540856665157384	0.321152346948652	2.22509902250143	"S01"	2.22509902250143	"IS07"
"LOC100289603"	"LOC100289603"	-0.2156537926135	0.124811571089067	-0.30940872648499	-0.334688341224731	-0.460929657513383	0.0593537882222978	2.21163344290373	"S01"	2.21163344290373	"IS07"
"DSCR8"	"DSCR8"	-0.369448166057989	0.462920424863898	-0.408455605007915	-0.295193023879758	-0.450804950251597	0.172335883079098	2.20540359742969	"S01"	2.20540359742969	"IS07"
"LOC100289323"	"LOC100289323"	-0.402341197670501	-0.0658109767951514	-0.158369455141615	-0.150489033966532	-0.465789551173983	-0.0584116201552616	2.20205957786615	"S01"	2.20205957786615	"IS07"
"LOC100287843"	"LOC100287843"	-0.0265137858351789	0.0960715472319733	-0.272306575285608	-0.03237791371992	-0.796816677755397	-0.234781818819192	2.19962776175964	"S01"	2.19962776175964	"IS07"
"OLIG3"	"OLIG3"	-0.19856388114157	0.0310750842973924	-0.183206132091693	-0.33262996059537	-0.445448133206109	-0.115373623716153	2.17482922779293	"S01"	2.17482922779293	"IS07"
"SSX2"	"SSX2"	-0.213813783487751	0.228313800756839	-0.135757216642686	-0.0241839342928803	-0.853096569936777	-0.058065756403786	2.14177095544119	"S01"	2.14177095544119	"IS07"
"KRTAP19.1"	"KRTAP19.1"	-0.113547647630255	0.408635010115756	-0.256190721523518	-0.0240076236755823	-0.831914645589604	-0.208653621656235	2.13673522084497	"S01"	2.13673522084497	"IS07"
"ARD1B"	"ARD1B"	-0.389473146791937	0.392921504184683	-0.382256283695906	-0.363148178464834	-0.449816890997087	0.445491064509172	2.11593235576443	"S01"	2.11593235576443	"IS07"
"SMEK3P"	"SMEK3P"	-0.293011456761663	0.201930917958158	-0.336998958208414	-0.0795752022488235	-0.583864116141618	0.0616422660927064	2.09656228610795	"S01"	2.09656228610795	"IS07"
"LOC440233"	"LOC440233"	-0.284317665040482	0.168641981913428	-0.254940228090611	-0.339716711178446	-0.400004550243412	0.0825626680959059	2.08544853181867	"S01"	2.08544853181867	"IS07"
"LOC401805"	"LOC401805"	-0.223954213063699	0.0294453852960754	-0.352696552472022	-0.278974666399559	-0.404183427765733	0.146364975106379	2.06902038249792	"S01"	2.06902038249792	"IS07"
"GABRA1"	"GABRA1"	-0.297156708880728	0.114540712051135	-0.344212835896946	-0.242679205427633	-0.435138641284411	0.201811707522452	2.06352640337782	"S01"	2.06352640337782	"IS07"
"SNORD114.10"	"SNORD114.10"	-0.295193439640813	-0.167282012219354	-0.170179946757106	-0.213803084933939	-0.456283239689907	0.113613127252018	2.04504787630385	"S01"	2.04504787630385	"IS07"
"VCX3A"	"VCX3A"	-0.136587438228893	-0.0470126618832607	-0.404342089437006	0.101262144429332	-0.798572455085182	0.233073638436888	2.01952741627194	"S01"	2.01952741627194	"IS07"
"GABRG2"	"GABRG2"	-0.38794120740708	0.69274770559707	-0.323243081588164	-0.337564919737639	-0.546830874242278	0.394041484251037	1.99893558649461	"S01"	1.99893558649461	"IS07"
"STOML3"	"STOML3"	-0.263110438073856	-0.0986360817055043	-0.296571003902226	-0.420617730220173	-0.35886913809128	0.502445874957123	1.97941897142683	"S01"	1.97941897142683	"IS07"
"PRDM9"	"PRDM9"	-0.347547011586663	0.195048034169359	-0.230110639490399	-0.198533099549498	-0.580961946333907	0.36828039602129	1.95431003528683	"S01"	1.95431003528683	"IS07"
"LOC100288776"	"LOC100288776"	-0.243375984617757	0.0974417924315899	-0.359342220589042	-0.36728268608151	-0.189027534149841	0.0234004135692516	1.93559157184272	"S01"	1.93559157184272	"IS07"
"LOC100131132"	"LOC100131132"	-0.0936970967263777	-0.0971853599731472	-0.285061335422669	-0.274881334241914	-0.348069790482939	-0.0700435445166827	1.91118533900744	"S01"	1.91118533900744	"IS07"
"UGT2A1"	"UGT2A1"	0.0134603231025872	0.252590187648398	-0.214081677323928	0.156163691012457	-0.981987239777476	-0.194210068233528	1.89726397675753	"S01"	1.89726397675753	"IS07"
"FAM75C1"	"FAM75C1"	-0.390275552768947	-0.191053673676799	-0.14889696532546	-0.403107804946882	-0.436029012717425	0.773239022874969	1.88925388179832	"S01"	1.88925388179832	"IS07"
"DACH2"	"DACH2"	-0.175903500180753	0.185460212676774	-0.214065883881087	-0.269112178861286	-0.524689713139077	0.136453689310884	1.8788283697904	"S01"	1.8788283697904	"IS07"
"SSX3"	"SSX3"	-0.292198591120094	0.159166298475643	-0.228221000960347	-0.231583906170375	-0.557442681851611	0.402734460148415	1.86506198995222	"S01"	1.86506198995222	"IS07"
"LOC400794"	"LOC400794"	-0.301534701607357	-0.0919235696719584	-0.23042880566965	-0.338993973069158	-0.260157201010656	0.225643430804487	1.85523264914593	"S01"	1.85523264914593	"IS07"
"IFLTD1"	"IFLTD1"	-0.25756090884985	-0.133845997765648	-0.368830838148637	-0.290171187302846	-0.36561425408446	0.577648783619706	1.81148223972781	"S01"	1.81148223972781	"IS07"
"LOC390705"	"LOC390705"	-0.326319475462406	0.292845121726461	-0.178550344939883	-0.276096051108189	-0.326873600545979	0.00734233111730228	1.76539338160767	"S01"	1.76539338160767	"IS07"
"MAGEC3"	"MAGEC3"	-0.183414377241061	0.215293761074584	-0.131121004702929	-0.174738762956262	-0.623756034415454	0.163012724123311	1.72876350378299	"S01"	1.72876350378299	"IS07"
"OTOS"	"OTOS"	-0.368368522086579	-0.24278898012722	-0.160812446873522	-0.308361917049367	-0.114053213763971	0.17955488088073	1.67219073130275	"S01"	1.67219073130275	"IS07"
"DSCR4"	"DSCR4"	-0.175247277749315	0.320055179667873	-0.15208832457681	-0.217640037448126	-0.430364339615797	-0.125490959451347	1.65670878453075	"S01"	1.65670878453075	"IS07"
