"V1"	"CTSP.ACY5"
"LOC100287927"	"LOC100287927"	0.659615053652311
"HMGN1"	"HMGN1"	1.13367230696049
"NUCB1"	"NUCB1"	-1.21805194906051
"AKT2"	"AKT2"	0.452597339331244
"FBL"	"FBL"	-1.97939994733291
"IGJ"	"IGJ"	0.265285004107563
"PAF1"	"PAF1"	0.262403745636781
"SMPD3"	"SMPD3"	0.458752293498253
"P4HB"	"P4HB"	0.675832860286908
"TGM2"	"TGM2"	0.923145627615425
"CAMP"	"CAMP"	0.348264626484745
"SDC1"	"SDC1"	0.810691337085801
"SERPINE2"	"SERPINE2"	1.06166252229807
"MED29"	"MED29"	-1.31989205444035
"DNAJB11"	"DNAJB11"	-0.0486002308324152
"PDGFA"	"PDGFA"	0.821769063502567
"PTP4A3"	"PTP4A3"	0.370414919082162
"CRMP1"	"CRMP1"	-0.316800601010289
"BSCL2"	"BSCL2"	0.831628476561856
"CDC2"	"CDC2"	0.103597556521334
"CFI"	"CFI"	0.247621628551744
"LDLRAD3"	"LDLRAD3"	0.565874800931714
"WFS1"	"WFS1"	0.459087602166295
"RPS16"	"RPS16"	-0.138022263121958
"RTTN"	"RTTN"	-0.0862984183201294
"TARS"	"TARS"	1.45393300562894
"SIAE"	"SIAE"	1.25217065890646
"SEL1L"	"SEL1L"	0.360917914289271
"CD38"	"CD38"	0.215486434097612
"NLRP11"	"NLRP11"	-0.918531209570393
"SPP1"	"SPP1"	1.72071932302448
"HIPK2"	"HIPK2"	0.454905036378336
"NUCB2"	"NUCB2"	0.700382716464749
"EPHA3"	"EPHA3"	0.739220818628107
"SDF2L1"	"SDF2L1"	-0.112432997123017
"KCNN3"	"KCNN3"	0.771332131034203
"LRPAP1"	"LRPAP1"	0.751185134074014
"CD320"	"CD320"	0.683682463348357
"NAGA"	"NAGA"	-2.23496439190665
"BXDC2"	"BXDC2"	-1.46197069878823
"AGT"	"AGT"	0.0761063955703356
"PIGT"	"PIGT"	1.10327483685146
"KCTD3"	"KCTD3"	0.93894135458148
"FAM129A"	"FAM129A"	0.139562905512454
"APOBEC3B"	"APOBEC3B"	0.464607295316674
