"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"
"TGM2"	"TGM2"	1.1822403255163	0.0343662772467316	-0.189556576696382	-0.398660540376191	-0.691165035511586	0.075471031109309	0.219359930557905	"IS01"	1.1822403255163
"PANX1"	"PANX1"	1.00701636281019	0.380023823035484	-0.610658445411465	0.0230505790810049	-0.585672826264869	-0.239647914105258	0.268943442407781	"IS01"	1.00701636281019
"RAPGEF2"	"RAPGEF2"	0.88338008713106	0.379314505661568	-0.283928229782164	0.0112378173691591	-0.943658065188028	-0.300686558942267	0.719449296618422	"IS01"	0.88338008713106
"LRPAP1"	"LRPAP1"	0.878135427770834	0.618398983325244	0.0337862019655665	-0.333346870215274	-0.688825478025568	0.0583917960648514	-0.121018741589092	"IS01"	0.878135427770834
"CADPS2"	"CADPS2"	0.860623881380262	0.215037764651373	-0.394652543072092	-0.534468240786211	-0.434352358949969	0.467993708716172	0.373923533450914	"IS01"	0.860623881380262
"LDLRAD3"	"LDLRAD3"	0.857927218723267	-0.0827592065565692	-0.38651936018907	-0.0836093148043186	-0.684520728563649	0.130872961951977	0.525506703057377	"IS01"	0.857927218723267
"LOC100287216"	"LOC100287216"	0.848930330715074	0.474671414534166	-0.477613042452439	-0.221459789813086	-0.721161184646624	0.187581440459023	0.575276390185821	"IS01"	0.848930330715074
"CPD"	"CPD"	0.83678940296818	0.313276996601603	-0.438676995917476	-0.167345774766331	-0.471102195250082	0.116601956083584	0.137058477017579	"IS01"	0.83678940296818
"IL6R"	"IL6R"	0.830665490804891	0.270139736697332	-0.375702164484573	-0.209771619673537	-0.632144174656828	0.00124984208924135	0.567304806747727	"IS01"	0.830665490804891
"C4B"	"C4B"	0.815504990769627	0.0150504308065602	0.121332483543418	-0.366235677249417	-0.702519891750208	-0.127160560593839	0.518773849179884	"IS01"	0.815504990769627
"GBA"	"GBA"	0.798092529590905	0.243156495290871	-0.0143059634489548	-0.255331516430335	-0.680952040275602	0.0982102759983002	0.153985749233967	"IS01"	0.798092529590905
"DNAJC1"	"DNAJC1"	0.789273735123128	0.544166716642593	-0.269012616329482	-0.766763782355559	-0.0464269172473794	0.141766608299993	0.0675111654808497	"IS01"	0.789273735123128
"FUCA2"	"FUCA2"	0.780989695302797	0.169934942217572	-0.320812286434301	-0.498991222465812	0.0618821737517022	-0.19643279404225	0.0352734520429842	"IS01"	0.780989695302797
"MGLL"	"MGLL"	0.773481147236154	-0.0496497013929286	0.0776306547604586	0.116937108978696	-0.835259186531372	0.0506365498909081	-0.0988145630041343	"IS01"	0.773481147236154
"RCAN2"	"RCAN2"	0.755812607204037	0.0337175442688277	-0.368368195696583	-0.473869383912772	-0.291864987701961	0.455881463165706	0.26595898783267	"IS01"	0.755812607204037
"PPM1H"	"PPM1H"	0.749801567424963	0.0546575419429356	-0.180716155713086	-0.163440922567229	-0.61638289022685	0.488669376205655	-0.023587519069595	"IS01"	0.749801567424963
"WFS1"	"WFS1"	0.7495134735579	0.266998968828871	0.319427979237249	-0.142882305829718	-1.44701579849601	0.391198580798596	0.663339742875822	"IS01"	0.7495134735579
"ABHD4"	"ABHD4"	0.743569404230986	0.182996424273863	0.211661758140747	-0.216868967621572	-0.889834975670627	-0.0482027441190936	0.39055512768979	"IS01"	0.743569404230986
"CHSY3"	"CHSY3"	0.725750099327348	0.164837740305866	-0.555976068851263	-0.467852643759809	-0.140694173203035	0.531259310344714	0.158626840067372	"IS01"	0.725750099327348
"CHST11"	"CHST11"	0.723204132382402	0.128112466273452	-0.134245619269307	-0.220519072673976	-0.593159894941113	0.231868406200362	0.197471481758564	"IS01"	0.723204132382402
"LDHD"	"LDHD"	0.721087925533531	0.0831127316600341	0.169087530255848	-0.390799833746421	-0.482980186674475	-0.10780500777001	0.170005552746049	"IS01"	0.721087925533531
"SURF4"	"SURF4"	0.72062124358731	0.551224837127677	-0.182660531576876	-0.235763002489393	-0.589304476984659	0.126813491601731	0.107766362550993	"IS01"	0.72062124358731
"NUCB1"	"NUCB1"	0.720580865165295	0.118685214848745	0.328053068973484	-0.265202674972409	-0.745056525304832	-0.163734888484308	0.21104801620375	"IS01"	0.720580865165295
"C20orf3"	"C20orf3"	0.719096145011791	0.426883870550839	-0.323828731609955	-0.310129626548483	-0.300783250711421	-0.0244649830240964	0.150414537219705	"IS01"	0.719096145011791
"GAS1"	"GAS1"	0.713556352347131	0.249732611080013	-0.167225759556221	-0.299336223103978	-0.320046738404489	0.120126857021946	-0.0852828432489126	"IS01"	0.713556352347131
"NAGA"	"NAGA"	0.70156456327651	0.0900628109157175	0.122928886430704	-0.0221031939538043	-0.970859269501062	0.132044766242311	0.294789232592601	"IS01"	0.70156456327651
"FAM174A"	"FAM174A"	0.695132540503144	0.668392767193544	-0.324797395205256	-0.380153361957916	-0.108012074948639	-0.139527385153541	-0.101472372357457	"IS01"	0.695132540503144
"NLGN4X"	"NLGN4X"	0.687782294618399	0.0885913333009371	-0.211695583753133	-0.398037014613063	-0.441877935590176	0.611069105194701	0.0969912165151993	"IS01"	0.687782294618399
"SIAE"	"SIAE"	0.687535486157653	0.217894363145365	-0.170721237579291	-0.418607958765513	-0.617531092433672	0.269999959109375	0.631024638724618	"IS01"	0.687535486157653
"TSHZ2"	"TSHZ2"	0.679467222660228	0.214706239990952	-0.177545136122596	-0.162600197584061	-0.72768937236216	0.102254030163163	0.550677063732427	"IS01"	0.679467222660228
"PSEN2"	"PSEN2"	0.677813907666712	0.46891478880475	0.344185104671295	-0.724327574685705	-0.515524770594302	0.157812272924036	0.131978412940992	"IS01"	0.677813907666712
"LOC100286995"	"LOC100286995"	0.667377025599552	0.41933247467929	0.00366753161360109	0.432938006155538	-1.45287600968678	-0.103159042090401	0.61112909213577	"IS01"	0.667377025599552
"SCIN"	"SCIN"	0.665241773409865	0.378797233611271	-0.124884333921397	-0.593423940862111	-0.333244566169366	0.358058062781509	0.188211726466903	"IS01"	0.665241773409865
"ATF6"	"ATF6"	0.665128577411716	0.651987319775767	-0.757214876017231	0.283521399886614	-0.69938113365886	-0.0211409328230337	0.436392274855571	"IS01"	0.665128577411716
"IL1RAP"	"IL1RAP"	0.664174892905799	0.0309518839611295	-0.563319720661695	-0.0228353859480291	-0.518282727142844	0.182968264133242	0.586457425686803	"IS01"	0.664174892905799
"PCDHB13"	"PCDHB13"	0.659776082011227	-0.328446281080902	0.031081349522281	-0.0932649920096519	-0.56062280504941	0.0421716012016486	0.235952872941998	"IS01"	0.659776082011227
"SDF4"	"SDF4"	0.658197962844986	0.508435153517052	0.0613921615154004	-0.382423238490946	-0.701678289295258	0.356235158141079	0.126764353758388	"IS01"	0.658197962844986
"DNAJC3"	"DNAJC3"	0.652965129307845	0.525296187426565	-0.237901947405502	-0.152615084481982	-0.605196850592645	-0.0547157272861248	0.374925274321928	"IS01"	0.652965129307845
"ANKRD50"	"ANKRD50"	0.635223908161287	0.224609545626069	-0.439630999953753	-0.202391678005422	-0.515418942037531	0.534736309628996	0.306238069022575	"IS01"	0.635223908161287
"PXDN"	"PXDN"	0.633461102366803	0.408157849203893	-0.188747894904112	-0.0064358887835	-0.668180465127845	-0.113321789205511	0.314883815578321	"IS01"	0.633461102366803
"APBA1"	"APBA1"	0.63047810978893	-0.0988159867667988	-0.000247503022005281	-0.07288789008728	-0.870825923026346	0.365021628173663	0.429701986691469	"IS01"	0.63047810978893
"KDELC1"	"KDELC1"	0.628701143624976	0.297512673846928	-0.404182087605048	-0.353855622432721	-0.115295745754451	0.256727636431757	-0.00984769817447662	"IS01"	0.628701143624976
"HIPK2"	"HIPK2"	0.62734369732775	0.225093246407874	0.188904759065416	0.244202975813271	-1.31010182264897	-0.125286010817612	0.616137448190151	"IS01"	0.62734369732775
"CSGALNACT1"	"CSGALNACT1"	0.622742368451047	0.571464915117428	-0.26867699072524	-0.552069583204344	-0.377863315788303	0.287481441815109	0.43181943980378	"IS01"	0.622742368451047
"ANAPC5"	"ANAPC5"	0.617470165572594	-0.471743179388379	-0.300386376762809	-0.214212334383359	0.180839928254273	-0.415922506432755	0.17634292082611	"IS01"	0.617470165572594
"CFI"	"CFI"	0.606961520241043	0.288110939549521	-0.12050839160793	-0.489996935134573	-0.463024328291891	0.33211094886188	0.422878455344064	"IS01"	0.606961520241043
"PDGFA"	"PDGFA"	0.605243611063196	-0.061440296180419	0.285982218025057	-0.421065979734006	-0.762454146388143	0.371050774275751	0.423197798321138	"IS01"	0.605243611063196
"NCSTN"	"NCSTN"	0.594493873134465	0.261432506207505	0.21797062762305	0.372153114699668	-1.31320697473347	-0.185271076791083	0.427421973718324	"IS01"	0.594493873134465
"GREM2"	"GREM2"	0.591683518937858	-0.154260526516691	-0.201390141913311	-0.511561177961253	-0.299543578896872	0.387471552866839	0.558757959248447	"IS01"	0.591683518937858
"CASP10"	"CASP10"	0.587432094313175	0.253506124484798	-0.0979660271103335	-0.285881164466718	-0.445917376919542	-0.162477462418906	0.49477174455729	"IS01"	0.587432094313175
"LOC653052"	"LOC653052"	0.585329677850901	0.229861639263034	-0.346064168115077	0.531234143155389	-1.02030651322442	-0.107373925118365	0.440679661240018	"IS01"	0.585329677850901
"STC2"	"STC2"	0.583497662431654	0.506909426353542	-0.0558183070811783	-0.210679131351556	-0.636229408203231	0.183205713853323	0.162612005926867	"IS01"	0.583497662431654
"HTRA3"	"HTRA3"	0.581808093299452	0.14480235416047	0.00467227795114695	-0.444242127953638	-0.497121750525358	0.502039349223217	0.187874376163678	"IS01"	0.581808093299452
