"ID"	"State"	"InitialState"
"473"	"CTSP.ACYV"	"S01"	"IS07"
"474"	"CTSP.B02B"	"S01"	"IS07"
"475"	"DLBCL10509"	"S01"	"IS07"
"476"	"DLBCL10529"	"S01"	"IS07"
"477"	"DLBCL10535"	"S01"	"IS07"
"478"	"DLBCL10538"	"S01"	"IS07"
"479"	"DLBCL10835"	"S01"	"IS07"
"480"	"DLBCL10849"	"S01"	"IS07"
"481"	"DLBCL10857"	"S01"	"IS07"
"482"	"DLBCL10859"	"S01"	"IS07"
"483"	"DLBCL10860"	"S01"	"IS07"
"484"	"DLBCL10865"	"S01"	"IS07"
"485"	"DLBCL10870"	"S01"	"IS07"
"486"	"DLBCL10871"	"S01"	"IS07"
"487"	"DLBCL10872"	"S01"	"IS07"
"488"	"DLBCL10879"	"S01"	"IS07"
"489"	"DLBCL10883"	"S01"	"IS07"
"490"	"DLBCL10885"	"S01"	"IS07"
"491"	"DLBCL10891"	"S01"	"IS07"
"492"	"DLBCL10921"	"S01"	"IS07"
"493"	"DLBCL10922"	"S01"	"IS07"
"494"	"DLBCL10955"	"S01"	"IS07"
"495"	"DLBCL10971"	"S01"	"IS07"
"496"	"DLBCL10996"	"S01"	"IS07"
"497"	"DLBCL11184"	"S01"	"IS07"
"498"	"DLBCL11257"	"S01"	"IS07"
"499"	"DLBCL11262"	"S01"	"IS07"
"500"	"DLBCL11271"	"S01"	"IS07"
"501"	"DLBCL11429"	"S01"	"IS07"
"502"	"DLBCL11448"	"S01"	"IS07"
"503"	"DLBCL11463"	"S01"	"IS07"
"504"	"DLBCL11467"	"S01"	"IS07"
"505"	"DLBCL11468"	"S01"	"IS07"
"506"	"DLBCL11469"	"S01"	"IS07"
"507"	"DLBCL11472"	"S01"	"IS07"
"508"	"DLBCL11473"	"S01"	"IS07"
"509"	"DLBCL11475"	"S01"	"IS07"
"510"	"DLBCL11476"	"S01"	"IS07"
"511"	"DLBCL11479"	"S01"	"IS07"
"512"	"DLBCL11480"	"S01"	"IS07"
"513"	"DLBCL11483"	"S01"	"IS07"
"514"	"DLBCL11494"	"S01"	"IS07"
"515"	"DLBCL11496"	"S01"	"IS07"
"516"	"DLBCL11497"	"S01"	"IS07"
"517"	"DLBCL11574"	"S01"	"IS07"
"518"	"DLBCL11587"	"S01"	"IS07"
"519"	"DLBCL11655"	"S01"	"IS07"
"520"	"DLBCL11656"	"S01"	"IS07"
"521"	"DLBCL11675"	"S01"	"IS07"
"522"	"DLBCL11682"	"S01"	"IS07"
"96"	"CTSP.AD28"	"S02"	"IS02"
"97"	"CTSP.AD4F"	"S02"	"IS02"
"98"	"CTSP.B02I"	"S02"	"IS02"
"99"	"DLBCL10450"	"S02"	"IS02"
"100"	"DLBCL10458"	"S02"	"IS02"
"101"	"DLBCL10477"	"S02"	"IS02"
"102"	"DLBCL10490"	"S02"	"IS02"
"103"	"DLBCL10517"	"S02"	"IS02"
"104"	"DLBCL10844"	"S02"	"IS02"
"105"	"DLBCL10850"	"S02"	"IS02"
"106"	"DLBCL10851"	"S02"	"IS02"
"107"	"DLBCL10861"	"S02"	"IS02"
"108"	"DLBCL10867"	"S02"	"IS02"
"109"	"DLBCL10897"	"S02"	"IS02"
"110"	"DLBCL10913"	"S02"	"IS02"
"111"	"DLBCL10928"	"S02"	"IS02"
"112"	"DLBCL10932"	"S02"	"IS02"
"113"	"DLBCL10936"	"S02"	"IS02"
"114"	"DLBCL10970"	"S02"	"IS02"
"115"	"DLBCL10978"	"S02"	"IS02"
"116"	"DLBCL10985"	"S02"	"IS02"
"117"	"DLBCL11188"	"S02"	"IS02"
"118"	"DLBCL11208"	"S02"	"IS02"
"119"	"DLBCL11258"	"S02"	"IS02"
"120"	"DLBCL11436"	"S02"	"IS02"
"121"	"DLBCL11446"	"S02"	"IS02"
"122"	"DLBCL11453"	"S02"	"IS02"
"123"	"DLBCL11455"	"S02"	"IS02"
"124"	"DLBCL11462"	"S02"	"IS02"
"125"	"DLBCL11517"	"S02"	"IS02"
"126"	"DLBCL11534"	"S02"	"IS02"
"127"	"DLBCL11661"	"S02"	"IS02"
"128"	"DLBCL11662"	"S02"	"IS02"
"427"	"DLBCL10454"	"S03"	"IS06"
"428"	"DLBCL10456"	"S03"	"IS06"
"429"	"DLBCL10459"	"S03"	"IS06"
"430"	"DLBCL10465"	"S03"	"IS06"
"431"	"DLBCL10470"	"S03"	"IS06"
"432"	"DLBCL10472"	"S03"	"IS06"
"433"	"DLBCL10473"	"S03"	"IS06"
"434"	"DLBCL10484"	"S03"	"IS06"
"435"	"DLBCL10493"	"S03"	"IS06"
"436"	"DLBCL10494"	"S03"	"IS06"
"437"	"DLBCL10498"	"S03"	"IS06"
"438"	"DLBCL10501"	"S03"	"IS06"
"439"	"DLBCL10514"	"S03"	"IS06"
"440"	"DLBCL10519"	"S03"	"IS06"
"441"	"DLBCL10522"	"S03"	"IS06"
"442"	"DLBCL10523"	"S03"	"IS06"
"443"	"DLBCL10528"	"S03"	"IS06"
"444"	"DLBCL10541"	"S03"	"IS06"
"445"	"DLBCL10544"	"S03"	"IS06"
"446"	"DLBCL10545"	"S03"	"IS06"
"447"	"DLBCL10549"	"S03"	"IS06"
"448"	"DLBCL10553"	"S03"	"IS06"
"449"	"DLBCL10554"	"S03"	"IS06"
"450"	"DLBCL10555"	"S03"	"IS06"
"451"	"DLBCL10565"	"S03"	"IS06"
"452"	"DLBCL10782"	"S03"	"IS06"
"453"	"DLBCL11186"	"S03"	"IS06"
"454"	"DLBCL11206"	"S03"	"IS06"
"455"	"DLBCL11428"	"S03"	"IS06"
"456"	"DLBCL11447"	"S03"	"IS06"
"457"	"DLBCL11520"	"S03"	"IS06"
"458"	"DLBCL11531"	"S03"	"IS06"
"459"	"DLBCL11558"	"S03"	"IS06"
"460"	"DLBCL11559"	"S03"	"IS06"
"461"	"DLBCL11560"	"S03"	"IS06"
"462"	"DLBCL11562"	"S03"	"IS06"
"463"	"DLBCL11569"	"S03"	"IS06"
"464"	"DLBCL11571"	"S03"	"IS06"
"465"	"DLBCL11577"	"S03"	"IS06"
"466"	"DLBCL11581"	"S03"	"IS06"
"467"	"DLBCL11585"	"S03"	"IS06"
"468"	"DLBCL11589"	"S03"	"IS06"
"469"	"DLBCL11651"	"S03"	"IS06"
"470"	"DLBCL11672"	"S03"	"IS06"
"471"	"DLBCL11673"	"S03"	"IS06"
"472"	"DLBCL11683"	"S03"	"IS06"
