"V1"	"CTSP.ACY5"
"CDKN2A"	"CDKN2A"	0.467587846392852
"MT1G"	"MT1G"	2.03026480650153
"DGKZ"	"DGKZ"	0.0625379698749139
"CHI3L2"	"CHI3L2"	0.304401626007857
"OGFR"	"OGFR"	0.160470182501349
"MT1H"	"MT1H"	2.12221403041398
"SPNS1"	"SPNS1"	0.564344161096092
"C22orf9"	"C22orf9"	-2.40645886096993
"MGP"	"MGP"	2.03646959161955
"SEPP1"	"SEPP1"	1.34799145119689
"IL2RG"	"IL2RG"	-0.369232396532835
"DRAM"	"DRAM"	1.14227351253727
"CUGBP2"	"CUGBP2"	0.010688915386527
"RN7SL1"	"RN7SL1"	1.86904034705728
"VSIG4"	"VSIG4"	1.63201540961875
"SORBS3"	"SORBS3"	0.303098543866009
"SLC22A3"	"SLC22A3"	0.245157095589333
"CENPB"	"CENPB"	0.425848987864978
"NQO1"	"NQO1"	2.27934829176002
"AP2A2"	"AP2A2"	0.0931281459207772
"MSR1"	"MSR1"	1.76808039811813
"ARRB2"	"ARRB2"	0.759193522200441
"GNLY"	"GNLY"	2.05868451693107
"CLEC4E"	"CLEC4E"	2.32290736926239
"NT5E"	"NT5E"	0.730079557517049
"CDH2"	"CDH2"	0.949848424618617
"IFIT1"	"IFIT1"	0.104898318009404
"IDO1"	"IDO1"	2.15675318551475
"WBP2"	"WBP2"	0.45928616951773
"SEMA3C"	"SEMA3C"	1.52918468625242
"GZMB"	"GZMB"	1.29629924356308
"TXN"	"TXN"	1.53527004997396
"MFSD1"	"MFSD1"	0.728559466625996
"SDF4"	"SDF4"	0.404390925278254
"REEP4"	"REEP4"	0.389865768181106
"INO80C"	"INO80C"	-0.788267865083395
"LYZ"	"LYZ"	2.18870851462095
"SIGLEC1"	"SIGLEC1"	0.644238631828375
"BTN3A2"	"BTN3A2"	-0.0314825529246654
"PTK7"	"PTK7"	0.959309741650796
"S100A11"	"S100A11"	2.46668408481583
"KIAA1128"	"KIAA1128"	0.469242238447421
"LYST"	"LYST"	0.250871829368098
"NAGA"	"NAGA"	-0.281960860386636
"TYMP"	"TYMP"	1.69621183670758
"PMP22"	"PMP22"	1.83803476612498
"MT1E"	"MT1E"	2.05242668760271
"CFP"	"CFP"	0.337207246772779
"CCL13"	"CCL13"	0.374869212070104
"MRC1L1"	"MRC1L1"	0.879362961025393
"LILRB5"	"LILRB5"	0.540372810546437
"ZBTB4"	"ZBTB4"	0.0941883415233657
"ARL4C"	"ARL4C"	0.470970830181382
"LEPROT"	"LEPROT"	1.48820834562578
"IFI44L"	"IFI44L"	-0.183887529449252
"DYSF"	"DYSF"	0.934595548198712
"COQ10A"	"COQ10A"	0.617375296666706
"ABCA2"	"ABCA2"	-0.149844247915214
"TBC1D8"	"TBC1D8"	0.29478848508196
"RHOB"	"RHOB"	1.74349165828144
"FAM125B"	"FAM125B"	0.175156124642226
"PARP12"	"PARP12"	0.691644436342104
"BCL11B"	"BCL11B"	-0.934317538718338
"MDK"	"MDK"	0.677986308388543
"IFI44"	"IFI44"	1.14840487992829
"ECHDC2"	"ECHDC2"	-0.153061653979051
"CFB"	"CFB"	1.98845924779218
"FYB"	"FYB"	0.577862763623448
"PLCH2"	"PLCH2"	-0.266011560057505
"MYO1F"	"MYO1F"	0.835687521630781
"FGFR4"	"FGFR4"	0.657617194626926
"TDRD10"	"TDRD10"	0.253554754086481
"MAN2B2"	"MAN2B2"	-0.318983630506162
"ATXN1"	"ATXN1"	0.659271914611568
"RNF149"	"RNF149"	1.39383970179309
"LOC400657"	"LOC400657"	-0.189834982018553
"CALCOCO2"	"CALCOCO2"	0.68165037284732
"APOL2"	"APOL2"	0.48923924495446
"CCL24"	"CCL24"	-0.560584103977188
"TYROBP"	"TYROBP"	1.80021890732189
"GBP1"	"GBP1"	1.20249187080005
"LCP2"	"LCP2"	0.846652686669356
"IDH1"	"IDH1"	1.33649953582206
"RBMS1"	"RBMS1"	1.45280231505733
"LOC399959"	"LOC399959"	0.461569462312856
"GBA"	"GBA"	1.02076387055629
