"ID"	"State"	"InitialState"
"308"	"DLBCL10451"	"S01"	"IS04"
"309"	"DLBCL10465"	"S01"	"IS04"
"310"	"DLBCL10466"	"S01"	"IS04"
"311"	"DLBCL10484"	"S01"	"IS04"
"312"	"DLBCL10493"	"S01"	"IS04"
"313"	"DLBCL10497"	"S01"	"IS04"
"314"	"DLBCL10498"	"S01"	"IS04"
"315"	"DLBCL10510"	"S01"	"IS04"
"316"	"DLBCL10517"	"S01"	"IS04"
"317"	"DLBCL10519"	"S01"	"IS04"
"318"	"DLBCL10521"	"S01"	"IS04"
"319"	"DLBCL10522"	"S01"	"IS04"
"320"	"DLBCL10524"	"S01"	"IS04"
"321"	"DLBCL10536"	"S01"	"IS04"
"322"	"DLBCL10537"	"S01"	"IS04"
"323"	"DLBCL10541"	"S01"	"IS04"
"324"	"DLBCL10545"	"S01"	"IS04"
"325"	"DLBCL10547"	"S01"	"IS04"
"326"	"DLBCL10549"	"S01"	"IS04"
"327"	"DLBCL10564"	"S01"	"IS04"
"328"	"DLBCL10565"	"S01"	"IS04"
"329"	"DLBCL10780"	"S01"	"IS04"
"330"	"DLBCL10837"	"S01"	"IS04"
"331"	"DLBCL10842"	"S01"	"IS04"
"332"	"DLBCL10852"	"S01"	"IS04"
"333"	"DLBCL10863"	"S01"	"IS04"
"334"	"DLBCL10864"	"S01"	"IS04"
"335"	"DLBCL10868"	"S01"	"IS04"
"336"	"DLBCL10873"	"S01"	"IS04"
"337"	"DLBCL10880"	"S01"	"IS04"
"338"	"DLBCL10888"	"S01"	"IS04"
"339"	"DLBCL10898"	"S01"	"IS04"
"340"	"DLBCL10903"	"S01"	"IS04"
"341"	"DLBCL10904"	"S01"	"IS04"
"342"	"DLBCL10906"	"S01"	"IS04"
"343"	"DLBCL10911"	"S01"	"IS04"
"344"	"DLBCL10918"	"S01"	"IS04"
"345"	"DLBCL10922"	"S01"	"IS04"
"346"	"DLBCL10953"	"S01"	"IS04"
"347"	"DLBCL10963"	"S01"	"IS04"
"348"	"DLBCL11346"	"S01"	"IS04"
"349"	"DLBCL11430"	"S01"	"IS04"
"350"	"DLBCL11431"	"S01"	"IS04"
