"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"State"	"MaxFC"	"InitialState"
"LOC100128682"	"LOC100128682"	0.143192480655867	-0.343606501817462	-0.364544329426261	-0.298569888160534	1.94701296160695	"S01"	1.94701296160695	"IS05"
"AKR1D1"	"AKR1D1"	0.000387742718382024	-0.158523601585233	-0.286021895270653	-0.381828037758164	1.93441040222353	"S01"	1.93441040222353	"IS05"
"GABRB1"	"GABRB1"	-0.272098658224508	-0.125200706725922	-0.284892170392481	-0.196600826803205	1.89834107791009	"S01"	1.89834107791009	"IS05"
"OR4D5"	"OR4D5"	0.12847136063052	-0.260996014052039	-0.295481023728502	-0.373177522735046	1.88222117302477	"S01"	1.88222117302477	"IS05"
"FLJ37786"	"FLJ37786"	0.171709694984624	-0.308558052330159	-0.32537637521565	-0.328807208880489	1.82652689566484	"S01"	1.82652689566484	"IS05"
"KCNU1"	"KCNU1"	-0.180277559852955	-0.0867786343649338	-0.242652966617862	-0.287902433217103	1.80705201845878	"S01"	1.80705201845878	"IS05"
"LOC730109"	"LOC730109"	0.015898339066152	-0.214047275465179	-0.284933284688229	-0.302467227509294	1.79535554494523	"S01"	1.79535554494523	"IS05"
"R3HDML"	"R3HDML"	-0.077113285590744	-0.258632362340904	-0.289246176503592	-0.187234261773713	1.76350376476098	"S01"	1.76350376476098	"IS05"
"LOC646603"	"LOC646603"	0.0843378850365754	-0.128839341736773	-0.395049365722153	-0.322026758361402	1.74188617984114	"S01"	1.74188617984114	"IS05"
"LOC100288728"	"LOC100288728"	0.335627326319016	-0.671997059070697	-0.186545928323949	-0.237527679764688	1.73476977940874	"S01"	1.73476977940874	"IS05"
"C3orf66"	"C3orf66"	0.0943495051659852	-0.272927037687494	-0.283922287858915	-0.27950848900936	1.69320510644419	"S01"	1.69320510644419	"IS05"
"LOC100289451"	"LOC100289451"	0.278051660464517	-0.322263255426846	-0.340992592529329	-0.335721958413648	1.68849473097399	"S01"	1.68849473097399	"IS05"
"SLCO1B3"	"SLCO1B3"	-0.0267822581183352	-0.283423039486579	-0.0574659857981713	-0.333556167514732	1.68310263426176	"S01"	1.68310263426176	"IS05"
"IFLTD1"	"IFLTD1"	0.0237024356870973	-0.229549514128147	-0.243493693843571	-0.277689426547942	1.66445294977412	"S01"	1.66445294977412	"IS05"
"TDGF3"	"TDGF3"	0.190401886360324	-0.296527167592253	-0.270533137271232	-0.325029295874157	1.64943404109229	"S01"	1.64943404109229	"IS05"
"ESSPL"	"ESSPL"	0.220172116163454	-0.356292149330652	-0.300016547659812	-0.277354847563447	1.63644526815893	"S01"	1.63644526815893	"IS05"
"LOC644768"	"LOC644768"	0.13059527781606	-0.34066656030627	-0.322851039754803	-0.205518905355628	1.62820167954012	"S01"	1.62820167954012	"IS05"
"LOC100130264"	"LOC100130264"	-0.0544654254298958	-0.13804131543645	-0.222286678715391	-0.281177762747652	1.60179644607465	"S01"	1.60179644607465	"IS05"
"LOC285692"	"LOC285692"	0.160523640682033	-0.305664801478876	-0.237896945239298	-0.294619878937249	1.58252709225396	"S01"	1.58252709225396	"IS05"
"ZNF99"	"ZNF99"	-0.222789517864464	-0.180133133616958	-0.0318302004886395	-0.230591240454313	1.52941954355896	"S01"	1.52941954355896	"IS05"
"LOC644950"	"LOC644950"	0.00218884517697326	-0.126628852979588	-0.192305351986245	-0.324412585545651	1.52715543998433	"S01"	1.52715543998433	"IS05"
"C6orf103"	"C6orf103"	-0.157099585642923	-0.212590835241421	0.0466076851717376	-0.299802391535709	1.50870388879054	"S01"	1.50870388879054	"IS05"
"LOC100131639"	"LOC100131639"	0.197393694799308	-0.281902521831662	-0.276268293979366	-0.280965348718955	1.49280767148553	"S01"	1.49280767148553	"IS05"
"PRNT"	"PRNT"	0.203132220587367	-0.266700948600593	-0.279411368086947	-0.293122351075787	1.48935162148976	"S01"	1.48935162148976	"IS05"
"TMPRSS7"	"TMPRSS7"	-0.326471727557632	-0.0150601049992861	-0.276423150568597	-0.0948300181133508	1.47931422044405	"S01"	1.47931422044405	"IS05"
"LOC100289606"	"LOC100289606"	0.148643974354703	-0.304276060605041	-0.211358350136588	-0.260559531526937	1.45858719815921	"S01"	1.45858719815921	"IS05"
