"V1"	"CTSP.ACY5"
"HOPX"	"HOPX"	0.589268320608637
"HSPA7"	"HSPA7"	1.18635728270485
"C4orf7"	"C4orf7"	1.17390732389704
"SYTL2"	"SYTL2"	0.821218686859137
"CLEC4A"	"CLEC4A"	1.51148585053447
"DUSP12"	"DUSP12"	-0.073930434860334
"FCRL4"	"FCRL4"	2.1362725464993
"ALPK2"	"ALPK2"	0.358610672417595
"ATP6V1C2"	"ATP6V1C2"	-0.856368952657529
"PDGFD"	"PDGFD"	-0.320253421192503
"LOC100287415"	"LOC100287415"	0.87287807112544
"MACF1"	"MACF1"	0.614080914129698
"IL18RAP"	"IL18RAP"	0.841062846734158
"FAM184A"	"FAM184A"	-0.749086799306816
"ZAP70"	"ZAP70"	-0.439046693873439
"TCF7"	"TCF7"	-0.0414331761266442
"DNASE1L3"	"DNASE1L3"	-0.134400233850484
"PTPN13"	"PTPN13"	0.23804299346271
"AAK1"	"AAK1"	1.00528354376802
"GVIN1"	"GVIN1"	-0.185146741734267
"ZBED2"	"ZBED2"	-0.194813504647279
"ADCY4"	"ADCY4"	0.128795329109079
"IL33"	"IL33"	1.92736932027378
"RNF207"	"RNF207"	-0.17950217418441
"EPHB6"	"EPHB6"	0.691277092184362
"LOC643733"	"LOC643733"	0.0664645074675705
"MAF"	"MAF"	0.897971656181038
"BCORL2"	"BCORL2"	-0.901576279801444
"SHC2"	"SHC2"	0.195383747967164
"LOC389787"	"LOC389787"	-0.56819861423297
"TNFRSF25"	"TNFRSF25"	-0.0911416537816882
"DIRAS2"	"DIRAS2"	0.338087873534701
"IPCEF1"	"IPCEF1"	0.153462171011565
"ETV7"	"ETV7"	-0.444023054588394
"GNG4"	"GNG4"	-0.404579261402191
"FAM65C"	"FAM65C"	0.823615319079285
"TRAT1"	"TRAT1"	-0.407182541172364
"CLU"	"CLU"	0.958648554309067
"OVCH1"	"OVCH1"	-0.653252335934954
"ICA1"	"ICA1"	0.364925621179648
"RGL4"	"RGL4"	-0.751361918933003
"HOXB2"	"HOXB2"	0.774334161544906
"MAP3K5"	"MAP3K5"	-0.242866382605115
"LOC727947"	"LOC727947"	-0.443664969338763
"KEL"	"KEL"	-0.482337409068615
"MBOAT1"	"MBOAT1"	0.318944992495654
"PDCD6"	"PDCD6"	0.284789393874392
"RGS9"	"RGS9"	-0.155675986077364
"C9orf139"	"C9orf139"	0.601041843729556
"DZIP1"	"DZIP1"	0.398942585873642
"ST8SIA1"	"ST8SIA1"	-0.783375401492296
"LOC441869"	"LOC441869"	0.601036963963815
"RAMP3"	"RAMP3"	0.620967528226717
"TBC1D4"	"TBC1D4"	-0.565317420857847
"PSD"	"PSD"	-0.170610032391569
"ANKRD29"	"ANKRD29"	-0.251369813858334
"ITM2A"	"ITM2A"	-0.1143696934359
"CBLB"	"CBLB"	-0.197534407926005
"TNFRSF18"	"TNFRSF18"	-0.0790762639181502
"CLEC9A"	"CLEC9A"	-0.408760747409457
"CD40LG"	"CD40LG"	-0.481862156708428
"CLCN1"	"CLCN1"	-0.427953474250062
"PCNXL2"	"PCNXL2"	-0.873910019064594
"PLCXD2"	"PLCXD2"	-0.353178609058448
"EPHX2"	"EPHX2"	-0.5414002685239
"KCNK5"	"KCNK5"	-0.869899127898227
"ITK"	"ITK"	-0.583986788712449
"MS4A14"	"MS4A14"	1.51143815601863
"CNO"	"CNO"	-0.0159140166689552
"THADA"	"THADA"	-0.733011650806602
"IGFL2"	"IGFL2"	-0.443680604584691
"LOC729494"	"LOC729494"	-0.547290358918173
"CCDC146"	"CCDC146"	-0.164804264557113
"ICOS"	"ICOS"	-0.557387998490505
"LOC730092"	"LOC730092"	0.312880817514377
"HMSD"	"HMSD"	0.137838402081827
"FLJ44635"	"FLJ44635"	-0.37872217070364
"NMNAT3"	"NMNAT3"	0.949342066413424
"ALKBH3"	"ALKBH3"	0.989995446281314
"SCT"	"SCT"	1.97150376491977
"C10orf35"	"C10orf35"	0.0929699000558998
"P2RY5"	"P2RY5"	1.76728867993039
"MIAT"	"MIAT"	-0.394246167756053
"CD1E"	"CD1E"	-0.697198274816133
"CD226"	"CD226"	0.0880769924301796
"C17orf91"	"C17orf91"	1.78507686879338
"DBH"	"DBH"	0.368388465101026
"SMARCD3"	"SMARCD3"	0.409899497335747
"PDCD1"	"PDCD1"	-0.990799837753565
"CD28"	"CD28"	-0.315211836837198
"STAT4"	"STAT4"	-0.161594092419043
"UBE2J2"	"UBE2J2"	0.234102562159333
"GJA4"	"GJA4"	1.89133495316507
"ANKRD18A"	"ANKRD18A"	0.257054729874611
"PCBP3"	"PCBP3"	0.79766104580012
"FAM151A"	"FAM151A"	-0.303100200545773
"ENC1"	"ENC1"	1.51124844952464
"ODZ1"	"ODZ1"	-0.389812783620221
"EBF3"	"EBF3"	0.0633867342817139
"LOC440498"	"LOC440498"	-0.631625996888839
"ZNF831"	"ZNF831"	-0.854448164757475
"RALGDS"	"RALGDS"	0.16726005373999
"TMSB15A"	"TMSB15A"	0.300785531057643
"LOC729860"	"LOC729860"	0.507942296659562
"LOC100288614"	"LOC100288614"	0.859908459326751
"SH2D1A"	"SH2D1A"	0.265313732632362
"C2orf85"	"C2orf85"	-0.526759873918864
"CADM3"	"CADM3"	-0.00321208234281999
"FAAH2"	"FAAH2"	-0.579325614306302
"C14orf72"	"C14orf72"	-0.0631756925447606
"TIGIT"	"TIGIT"	-0.293724062921577
"GPR68"	"GPR68"	0.318463934825523
"GRIK5"	"GRIK5"	-0.722035625241374
"CDKL2"	"CDKL2"	-0.223321962854832
"C7orf61"	"C7orf61"	0.0549079917866973
"BEX5"	"BEX5"	0.30829321928614
"C1orf190"	"C1orf190"	-0.117648898688549
"NHS"	"NHS"	0.172852572411647
"CYorf14"	"CYorf14"	-0.794050070595327
"SERP2"	"SERP2"	0.0262060871717359
"RGPD3"	"RGPD3"	-0.304220695534068
"RDH5"	"RDH5"	1.35087751410763
"SYNJ1"	"SYNJ1"	-0.291085569040578
"NCRNA00086"	"NCRNA00086"	-0.600529658861856
"TRAPPC1"	"TRAPPC1"	0.790234229022119
"SUMO1P3"	"SUMO1P3"	-0.644677646119494
"C8orf42"	"C8orf42"	-0.0321667826576683
"LAT"	"LAT"	-0.0207868190376786
"CAPS"	"CAPS"	0.0462625383111318
"UROD"	"UROD"	-1.80488180776498
"TCEAL7"	"TCEAL7"	1.96854337059965
"CMAH"	"CMAH"	0.721404493016585
"EGFL7"	"EGFL7"	1.52908524796848
"LOC100289586"	"LOC100289586"	-0.208937100745513
"GIPR"	"GIPR"	-0.0348862831947937
"AKIRIN2"	"AKIRIN2"	0.372554553384116
"CD5"	"CD5"	-0.817386727346954
"HOXD3"	"HOXD3"	-0.0516760268513322
"KLRB1"	"KLRB1"	-0.20127186789
"ITIH2"	"ITIH2"	-0.108886991291911
"C14orf64"	"C14orf64"	0.135094953151048
"LOC100128077"	"LOC100128077"	0.6071478436369
"FSD1"	"FSD1"	1.13348989573908
"LOC100289061"	"LOC100289061"	0.341764112430668
"MPZL3"	"MPZL3"	-1.03482999201387
"PDE3B"	"PDE3B"	0.319596725974729
"STAC"	"STAC"	0.579220581411902
"MAP1LC3C"	"MAP1LC3C"	0.747599249131282
"LOC93622"	"LOC93622"	0.288159001490608
"SLC9A9"	"SLC9A9"	0.426105368001267
"RPGRIP1"	"RPGRIP1"	-0.515466635150785
"LOC100287829"	"LOC100287829"	0.142087142619153
"PDE7B"	"PDE7B"	0.0410889367023607
"TTC39B"	"TTC39B"	0.771747758169376
"SLC35F3"	"SLC35F3"	0.769871247704994
"ARNTL"	"ARNTL"	0.964219150423929
"EIF5A2"	"EIF5A2"	0.354705402484839
"GGT7"	"GGT7"	0.374609015847546
"CARD17"	"CARD17"	0.0638875724356505
"SNAP91"	"SNAP91"	-0.287118668309541
"TMSB4X"	"TMSB4X"	1.64561690762883
"IKZF4"	"IKZF4"	-0.701349604283169
"RAE1"	"RAE1"	-1.05352810995696
"INPP5K"	"INPP5K"	-0.196021381937758
"HAR1A"	"HAR1A"	0.515840863528713
"NCALD"	"NCALD"	-0.981016387008804
"CAPZB"	"CAPZB"	-1.14098344804955
"TIAM1"	"TIAM1"	-0.109678472755667
"ZNF662"	"ZNF662"	0.157092113956119
"PDHB"	"PDHB"	0.468384316199196
"LOC100132345"	"LOC100132345"	0.18686459186613
"FLJ16686"	"FLJ16686"	-0.289658749432954
"MED8"	"MED8"	0.258852894510731
"PCDH11X"	"PCDH11X"	0.0650677921277289
"PPAPDC1B"	"PPAPDC1B"	0.107924423949031
"PBXIP1"	"PBXIP1"	-0.185845236803349
"C2orf68"	"C2orf68"	0.614480736886684
"NOVA1"	"NOVA1"	-0.0330921181506324
"CCL26"	"CCL26"	0.537661095445874
"PABPC5"	"PABPC5"	1.87687979994561
"STX5"	"STX5"	0.415044563749427
"PRRT2"	"PRRT2"	-0.722789553597344
"FYB"	"FYB"	0.310805490418356
"SERTAD1"	"SERTAD1"	1.87408544060096
"LOC100129066"	"LOC100129066"	-0.1920273038967
"KIAA1755"	"KIAA1755"	-0.367681372839771
"TMEM108"	"TMEM108"	-0.448353858051718
"TRAF3IP3"	"TRAF3IP3"	0.547733546897939
"SLA2"	"SLA2"	-0.413960692809984
"CISH"	"CISH"	-0.00915254684000891
"HMCN2"	"HMCN2"	-0.709511984832323
"C16orf81"	"C16orf81"	0.0394949978422738
"GCNT4"	"GCNT4"	0.157650553685681
"PRR17"	"PRR17"	0.168269573386565
"OXSM"	"OXSM"	-0.270341376710187
"WBP1"	"WBP1"	1.06052459208535
"GNA14"	"GNA14"	0.45176293517149
"ANKS1B"	"ANKS1B"	-0.671416035045349
"PLXDC1"	"PLXDC1"	-0.196541589225268
"LOC100289046"	"LOC100289046"	0.120927901339434
"C17orf49"	"C17orf49"	-0.7676524045482
"PRAMEF19"	"PRAMEF19"	-0.0437688109532409
"BIN2"	"BIN2"	-0.496167808140524
"TNFAIP8L2"	"TNFAIP8L2"	-0.205520421871742
"LOC100287879"	"LOC100287879"	-0.0694890039835604
"FAM32A"	"FAM32A"	-0.323501028890008
"ACSL6"	"ACSL6"	-0.191060169063571
"DLX6"	"DLX6"	-0.630626753157359
"CCL19"	"CCL19"	0.555021797811109
"C14orf73"	"C14orf73"	0.0246341174328581
"LOC151174"	"LOC151174"	0.388713652757966
"LOC100131818"	"LOC100131818"	-0.0470470717082235
"SLC35F4"	"SLC35F4"	-0.0621871535179209
"LOC100287402"	"LOC100287402"	0.0015201566143831
"LOC100128675"	"LOC100128675"	-0.344453452870846
"LOC729175"	"LOC729175"	-0.283214620754299
"C14orf182"	"C14orf182"	-0.295565510567896
"C12orf53"	"C12orf53"	-1.12980571914873
"CLN5"	"CLN5"	2.03544833351348
"LOC392452"	"LOC392452"	-0.0437688109532409
"FAM70B"	"FAM70B"	1.97749999218785
"SNORA80"	"SNORA80"	-0.0800024431484615
"SLC22A17"	"SLC22A17"	0.507627900829232
"OR6Y1"	"OR6Y1"	-0.0437688109532408
"C8orf71"	"C8orf71"	-0.319155073747108
"CPNE4"	"CPNE4"	-0.520967085647892
"LSDP5"	"LSDP5"	0.337109271765844
"LOC729992"	"LOC729992"	-0.495260963399488
