"ID"	"State"	"InitialState"
"478"	"CTSP.AD4Q"	"S01"	"IS05"
"479"	"DLBCL10470"	"S01"	"IS05"
"480"	"DLBCL10472"	"S01"	"IS05"
"481"	"DLBCL10484"	"S01"	"IS05"
"482"	"DLBCL10494"	"S01"	"IS05"
"483"	"DLBCL10498"	"S01"	"IS05"
"484"	"DLBCL10513"	"S01"	"IS05"
"485"	"DLBCL10514"	"S01"	"IS05"
"486"	"DLBCL10519"	"S01"	"IS05"
"487"	"DLBCL10522"	"S01"	"IS05"
"488"	"DLBCL10523"	"S01"	"IS05"
"489"	"DLBCL10528"	"S01"	"IS05"
"490"	"DLBCL10535"	"S01"	"IS05"
"491"	"DLBCL10538"	"S01"	"IS05"
"492"	"DLBCL10544"	"S01"	"IS05"
"493"	"DLBCL10545"	"S01"	"IS05"
"494"	"DLBCL10548"	"S01"	"IS05"
"495"	"DLBCL10549"	"S01"	"IS05"
"496"	"DLBCL10553"	"S01"	"IS05"
"497"	"DLBCL10554"	"S01"	"IS05"
"498"	"DLBCL10555"	"S01"	"IS05"
"499"	"DLBCL10879"	"S01"	"IS05"
"500"	"DLBCL10883"	"S01"	"IS05"
"501"	"DLBCL10952"	"S01"	"IS05"
"502"	"DLBCL11186"	"S01"	"IS05"
"503"	"DLBCL11206"	"S01"	"IS05"
"504"	"DLBCL11208"	"S01"	"IS05"
"505"	"DLBCL11257"	"S01"	"IS05"
"506"	"DLBCL11448"	"S01"	"IS05"
"507"	"DLBCL11483"	"S01"	"IS05"
"508"	"DLBCL11494"	"S01"	"IS05"
"509"	"DLBCL11496"	"S01"	"IS05"
"510"	"DLBCL11497"	"S01"	"IS05"
"511"	"DLBCL11520"	"S01"	"IS05"
"512"	"DLBCL11531"	"S01"	"IS05"
"513"	"DLBCL11534"	"S01"	"IS05"
"514"	"DLBCL11559"	"S01"	"IS05"
"515"	"DLBCL11571"	"S01"	"IS05"
"516"	"DLBCL11574"	"S01"	"IS05"
"517"	"DLBCL11577"	"S01"	"IS05"
"518"	"DLBCL11579"	"S01"	"IS05"
"519"	"DLBCL11587"	"S01"	"IS05"
"520"	"DLBCL11651"	"S01"	"IS05"
"521"	"DLBCL11655"	"S01"	"IS05"
"522"	"DLBCL11656"	"S01"	"IS05"
"1"	"CTSP.AD50"	"S02"	"IS01"
"2"	"CTSP.B02B"	"S02"	"IS01"
"3"	"DLBCL10782"	"S02"	"IS01"
"4"	"DLBCL10834"	"S02"	"IS01"
"5"	"DLBCL10835"	"S02"	"IS01"
"6"	"DLBCL10836"	"S02"	"IS01"
"7"	"DLBCL10837"	"S02"	"IS01"
"8"	"DLBCL10838"	"S02"	"IS01"
"9"	"DLBCL10839"	"S02"	"IS01"
"10"	"DLBCL10842"	"S02"	"IS01"
"11"	"DLBCL10843"	"S02"	"IS01"
"12"	"DLBCL10844"	"S02"	"IS01"
"13"	"DLBCL10846"	"S02"	"IS01"
"14"	"DLBCL10848"	"S02"	"IS01"
"15"	"DLBCL10852"	"S02"	"IS01"
