"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"GPR148"	"GPR148"	-0.17011196604413	0.261687615261964	-0.406840066494684	3.24663582854795	-0.377272883595051	-0.412628328832628	-0.343198511731746	"S01"	3.24663582854795	"IS04"
"C3orf22"	"C3orf22"	-0.244171341101785	-0.0552562816869839	-0.454035404083702	3.2422065756592	-0.324989152433034	-0.258746732903875	-0.285212295514696	"S01"	3.2422065756592	"IS04"
"C22orf33"	"C22orf33"	-0.221946226857131	-0.0151422603883578	-0.438492267264488	3.22584399491621	-0.318050582642264	-0.297489886180794	-0.296081469447037	"S01"	3.22584399491621	"IS04"
"LOC100128613"	"LOC100128613"	-0.267264172186748	-0.0458435503754486	-0.446315973573301	3.22462494090142	-0.323972990452486	-0.234578376284299	-0.30086256888707	"S01"	3.22462494090142	"IS04"
"LOC653073"	"LOC653073"	-0.222144333979131	0.253858378329373	-0.432310504842046	3.2053326750939	-0.252874290651625	-0.372457961839911	-0.384384679644624	"S01"	3.2053326750939	"IS04"
"GSTTP1"	"GSTTP1"	-0.335428131470204	0.289818470316348	-0.410902680452177	3.18955118261547	-0.321637669942734	-0.292091252694343	-0.36379066175946	"S01"	3.18955118261547	"IS04"
"C10orf120"	"C10orf120"	-0.277334500335054	0.155554798124336	-0.384000131271261	3.18613022120671	-0.31889312955593	-0.291442617436445	-0.391425718779433	"S01"	3.18613022120671	"IS04"
"FLJ25328"	"FLJ25328"	-0.283514337173893	0.651491657342011	-0.414228787843682	3.1773533263359	-0.344096913431564	-0.420418498251169	-0.397590344499974	"S01"	3.1773533263359	"IS04"
"DEFB123"	"DEFB123"	-0.338206654474851	0.55282003753095	-0.456980507262576	3.17492110776473	-0.372745655331571	-0.358505123587848	-0.290566164874292	"S01"	3.17492110776473	"IS04"
"LOC100288737"	"LOC100288737"	-0.332851366511967	0.246546504776832	-0.409817476905976	3.16195741191976	-0.320015398355615	-0.298656332209472	-0.325031122564838	"S01"	3.16195741191976	"IS04"
"LOC100129958"	"LOC100129958"	-0.293803806356951	0.551997390479822	-0.451489815256424	3.16130396747557	-0.364412616870622	-0.385504910132153	-0.304447852684782	"S01"	3.16130396747557	"IS04"
"NOTO"	"NOTO"	-0.22241966179767	0.0332305378092974	-0.370878938633113	3.15608450278609	-0.319130722651134	-0.285256999569605	-0.392029943330785	"S01"	3.15608450278609	"IS04"
"LOC729121"	"LOC729121"	-0.329512609860545	0.0562943318079326	-0.405705363982701	3.15534587294783	-0.317933809186267	-0.292465191006393	-0.247949616918993	"S01"	3.15534587294783	"IS04"
"OR10J3"	"OR10J3"	-0.226799944864356	0.0711764157111078	-0.439067634165593	3.14885387886639	-0.317184223029169	-0.295418862719237	-0.293746236682131	"S01"	3.14885387886639	"IS04"
"DEFB116"	"DEFB116"	-0.180591862583004	-0.115107469623563	-0.431549595738188	3.11583679375495	-0.312818740424466	-0.257803057013434	-0.288386048235581	"S01"	3.11583679375495	"IS04"
"LOC729492"	"LOC729492"	-0.325955575751678	0.166345860483835	-0.433635169546892	3.11583025826494	-0.314788399199811	-0.292023282484024	-0.245745888400035	"S01"	3.11583025826494	"IS04"
"CST9L"	"CST9L"	-0.268904679061377	0.754359629059862	-0.422476844017665	3.10654391189917	-0.376542337331424	-0.409081111461367	-0.397377612084054	"S01"	3.10654391189917	"IS04"
"LOC100288524"	"LOC100288524"	-0.262347666018892	0.536611315578578	-0.443140106402996	3.10508984529549	-0.379420613979035	-0.379228091011449	-0.302280939947646	"S01"	3.10508984529549	"IS04"
"LOC100128142"	"LOC100128142"	-0.308775302183943	0.488577166082095	-0.451427376335361	3.10429532916178	-0.384533657058346	-0.386720773882168	-0.211374967461562	"S01"	3.10429532916178	"IS04"
"GSC2"	"GSC2"	-0.358446895016868	0.901351931357046	-0.442022850525889	3.09969295072878	-0.3784640092738	-0.415586077169077	-0.345819049171976	"S01"	3.09969295072878	"IS04"
"DEFB119"	"DEFB119"	-0.273324829316276	0.136644372648189	-0.368769268355012	3.08334060684813	-0.369546677473192	-0.356994534286242	-0.229718116728111	"S01"	3.08334060684813	"IS04"
"LOC440313"	"LOC440313"	-0.27436287273374	-0.130128873545543	-0.401219020534696	3.08153274852434	-0.2568990712158	-0.291303758377889	-0.225554951458148	"S01"	3.08153274852434	"IS04"
"C6orf146"	"C6orf146"	-0.222427508250916	-0.0414717619573339	-0.439114041219442	3.07018175236976	-0.260477684588118	-0.255971399218868	-0.295313358078176	"S01"	3.07018175236976	"IS04"
"PPBPL1"	"PPBPL1"	-0.134438618978798	-0.135633116553998	-0.432485831798412	3.04892563434998	-0.309912835997705	-0.253190696431238	-0.290508232234054	"S01"	3.04892563434998	"IS04"
"LOC100287076"	"LOC100287076"	-0.131285325855334	-0.146690830175613	-0.428124845063171	3.04071455142783	-0.31308053322024	-0.250214150763537	-0.290877808842809	"S01"	3.04071455142783	"IS04"
"LOC100289119"	"LOC100289119"	0.0760081736312175	-0.0160244048737808	-0.442104204134185	3.00963231658246	-0.316724374338362	-0.338484566221232	-0.39309265209216	"S01"	3.00963231658246	"IS04"
"FLJ32682"	"FLJ32682"	-0.324891209661632	0.483016105588661	-0.402016701948633	3.00925037443782	-0.257869279500977	-0.370271761164276	-0.336926318410403	"S01"	3.00925037443782	"IS04"
"LOC100288131"	"LOC100288131"	-0.246730652291296	-0.240019165277217	-0.441084446944426	3.00503160076765	-0.318235772301048	-0.216219738333382	-0.140886138982773	"S01"	3.00503160076765	"IS04"
"PDHA2"	"PDHA2"	-0.273536301288837	-0.253270487925911	-0.375598339477628	2.98506624651586	-0.20076604159503	-0.174314008855366	-0.340812687451851	"S01"	2.98506624651586	"IS04"
"NXF2B"	"NXF2B"	-0.222322367802125	-0.149415230727104	-0.440179140310182	2.98486134342299	-0.317558283313803	-0.176625637857561	-0.246196127551626	"S01"	2.98486134342299	"IS04"
"TNP1"	"TNP1"	-0.168169284805907	-0.15693692770083	-0.413081385519471	2.98382921067672	-0.311906113784147	-0.211274206375987	-0.291923082207659	"S01"	2.98382921067672	"IS04"
"HMGB4"	"HMGB4"	-0.272937235651351	-0.155339021724146	-0.387692743395328	2.98309506886027	-0.256261007211398	-0.246185071509037	-0.236404980018669	"S01"	2.98309506886027	"IS04"
"C21orf54"	"C21orf54"	-0.214799229031598	0.775456905630895	-0.410339941415444	2.98046352928323	-0.379278220372573	-0.416480151078974	-0.393865844233057	"S01"	2.98046352928323	"IS04"
"LOC100288534"	"LOC100288534"	-0.336814652328323	0.241996156934443	-0.412033645901357	2.97274157306221	-0.258179745268347	-0.324497332208249	-0.231700751567842	"S01"	2.97274157306221	"IS04"
"SPAG4L"	"SPAG4L"	-0.236432265144707	0.693460921684858	-0.416521226635933	2.96134933498614	-0.327852211952965	-0.420326007639242	-0.352793206520184	"S01"	2.96134933498614	"IS04"
