"V1"	"CTSP.ACY5"
"GLDC"	"GLDC"	0.123558843162817
"CCND1"	"CCND1"	0.434471704359019
"WASH3P"	"WASH3P"	0.108153684153442
"CCL21"	"CCL21"	-0.333380977977615
"ACY3"	"ACY3"	0.0766643642951223
"TNFRSF8"	"TNFRSF8"	-0.118762695764702
"LOC338799"	"LOC338799"	-0.29798118155716
"EFCAB4A"	"EFCAB4A"	0.196484761425577
"SATB1"	"SATB1"	0.675392827816207
"IL1R2"	"IL1R2"	0.388035184234253
"TTLL3"	"TTLL3"	-0.275390501462735
"TMPRSS3"	"TMPRSS3"	-0.159778446380814
"FNDC3B"	"FNDC3B"	1.7943282071032
"ATP9A"	"ATP9A"	-0.3346776444476
"C21orf57"	"C21orf57"	-0.895014080006698
"CACHD1"	"CACHD1"	0.753946207474719
"MPDZ"	"MPDZ"	0.515340584238765
"JSRP1"	"JSRP1"	-0.777997791246461
"ADRA2A"	"ADRA2A"	1.75562732840382
"OTOF"	"OTOF"	1.89018343605303
"MLC1"	"MLC1"	-0.802564261085694
"HLA.DQA2"	"HLA.DQA2"	-0.886428608955488
"NELL2"	"NELL2"	0.345695188316142
"TSPAN10"	"TSPAN10"	-1.4792797580985
"AGER"	"AGER"	-0.0128998341351087
"MYL9"	"MYL9"	2.21495330562584
"HLA.DRB6"	"HLA.DRB6"	-0.715380734797124
"PAQR7"	"PAQR7"	0.224278846857508
"CCL19"	"CCL19"	-0.168283806673979
"TMEM176A"	"TMEM176A"	1.08933347911356
"PACSIN1"	"PACSIN1"	-0.980173518352806
"GLYCTK"	"GLYCTK"	0.0843857863725679
"CXCR3"	"CXCR3"	-0.463431079674118
"TNIK"	"TNIK"	0.546962736892958
"LOC100130988"	"LOC100130988"	-0.639386372529761
"DCXR"	"DCXR"	0.445869264969072
"SCARA3"	"SCARA3"	0.464919559391776
"ALOX15B"	"ALOX15B"	0.41454187603554
"CRIPAK"	"CRIPAK"	-0.841995104442163
"EML1"	"EML1"	1.0649253394473
"TRIM69"	"TRIM69"	0.0887794919287637
"ZBP1"	"ZBP1"	-0.7089138202159
"ODF3B"	"ODF3B"	0.306700564850861
"OPN3"	"OPN3"	0.344956953234241
"PDLIM4"	"PDLIM4"	0.929236562213628
"CEBPA"	"CEBPA"	0.019651948615607
"RAB24"	"RAB24"	1.03858570761428
"SPRN"	"SPRN"	-0.191866996246077
"ADCY1"	"ADCY1"	-0.0839545718981643
"NT5DC4"	"NT5DC4"	-0.0705945119785178
"DIRAS1"	"DIRAS1"	-0.111486127333644
"IGFBP4"	"IGFBP4"	1.99970851660984
"LEF1"	"LEF1"	-0.316392499313563
"LOC100287284"	"LOC100287284"	-1.04350462122782
"CLIP2"	"CLIP2"	0.536642960817323
"RBP5"	"RBP5"	-0.658050419055578
"SIGIRR"	"SIGIRR"	0.515328594133332
"MYO15B"	"MYO15B"	-0.0183709742515386
"KIAA1618"	"KIAA1618"	-0.0654461085551445
"OXER1"	"OXER1"	0.679206918407092
"IL12RB2"	"IL12RB2"	-0.264409096407775
"BBS12"	"BBS12"	0.655282355500319
"FBP1"	"FBP1"	0.242494289775347
"TKTL1"	"TKTL1"	0.597733847783363
"RAB37"	"RAB37"	-0.358026437952414
"NCAM1"	"NCAM1"	-0.451325834690935
"LOC100289367"	"LOC100289367"	-0.316036153099701
"LIMS2"	"LIMS2"	0.812331510163082
"C14orf73"	"C14orf73"	-0.0774970163175792
"MUC20"	"MUC20"	-0.835589442522144
"SEPT5"	"SEPT5"	0.835881153111872
"PRND"	"PRND"	-0.279202327709051
"MYO5B"	"MYO5B"	-1.15192435175263
"SOD3"	"SOD3"	0.972987463637193
"LCT"	"LCT"	-0.158059614546998
"MYO1F"	"MYO1F"	0.836624383113196
"THBD"	"THBD"	0.405912445160731
"LDHC"	"LDHC"	1.18068340453991
"CDRT4"	"CDRT4"	0.501221093391625
"FOXP3"	"FOXP3"	-0.714433013457183
"C3"	"C3"	0.561399996054835
"APBA2"	"APBA2"	0.790982803493677
"RARRES2"	"RARRES2"	1.88841493758215
"TNFRSF14"	"TNFRSF14"	-1.08240361491235
"EGFL7"	"EGFL7"	2.8343460020145
"SCARF1"	"SCARF1"	1.061659303367
"KRT72"	"KRT72"	0.774172165887992
"TLL2"	"TLL2"	1.98686188192417
"CLU"	"CLU"	1.03055386846011
"LOC440993"	"LOC440993"	-0.44580964121135
"ADD2"	"ADD2"	-0.296610879597356
"NPDC1"	"NPDC1"	1.10169889263587
"GPR56"	"GPR56"	-0.409357766963229
"ALOX15"	"ALOX15"	-0.63159345806894
"KSR1"	"KSR1"	-0.316159359789038
"KANK2"	"KANK2"	0.489478438734638
"C3orf37"	"C3orf37"	-0.760596696618535
"ATP2B2"	"ATP2B2"	-1.27417201170481
"PTGDS"	"PTGDS"	-0.219736552189974
"DBNDD1"	"DBNDD1"	-0.534321615036063
"DUSP16"	"DUSP16"	0.397564469529009
"SNX20"	"SNX20"	-0.329330611924432
"ACPL2"	"ACPL2"	-0.0652289214140672
"LCNL1"	"LCNL1"	0.305034349205231
"INPP4B"	"INPP4B"	-0.173235948219826
"IL11RA"	"IL11RA"	-0.0393996406261666
"ZYX"	"ZYX"	0.582507634024756
"MADD"	"MADD"	0.428762293647385
"WNT5B"	"WNT5B"	-0.740131737803825
"FAM59A"	"FAM59A"	0.0765837282302514
"RIN3"	"RIN3"	0.940848121600346
"SOAT2"	"SOAT2"	0.130896940565796
"FER1L4"	"FER1L4"	-0.484121673113024
"FAM173A"	"FAM173A"	0.325773372463801
"LOC100289580"	"LOC100289580"	0.311851765287346
"SMARCA4"	"SMARCA4"	-0.0682534790649993
"NFIC"	"NFIC"	0.0395145475107614
"SH2D4B"	"SH2D4B"	-1.35653237508553
"WASH2P"	"WASH2P"	-0.200734424745976
"HEXDC"	"HEXDC"	-0.0798770567235006
"VTN"	"VTN"	0.165084056987323
"FRMD4B"	"FRMD4B"	0.817256399882557
"C16orf7"	"C16orf7"	1.24258507831421
"TMEM63A"	"TMEM63A"	-0.648352773670312
"SPNS3"	"SPNS3"	0.370772661430173
"THNSL2"	"THNSL2"	0.571944868626845
"KIF6"	"KIF6"	-0.0274658136575026
"FAM174B"	"FAM174B"	0.224515604741877
"GSTO2"	"GSTO2"	0.456735364642664
"WASH5P"	"WASH5P"	-0.660851953325037
"CDK5R2"	"CDK5R2"	0.610980119376229
"NSUN5C"	"NSUN5C"	-0.829281941277889
"ACHE"	"ACHE"	0.305637378228103
"IER3"	"IER3"	1.56359470939356
"SEC16B"	"SEC16B"	-0.149332204481951
"SLC24A6"	"SLC24A6"	1.12332410137113
"PNMA1"	"PNMA1"	1.0539824959063
"CCR8"	"CCR8"	0.245245208814772
"CACNG3"	"CACNG3"	-0.799393995235729
"LCN10"	"LCN10"	-0.102648030976102
"TSPAN5"	"TSPAN5"	-0.205221642592408
"APLP1"	"APLP1"	0.432924987350086
"NPTXR"	"NPTXR"	-0.163596681801437
"MPV17L"	"MPV17L"	0.502914290116389
"ROGDI"	"ROGDI"	-0.504268902152357
"TMEM219"	"TMEM219"	2.69556595372871
