"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"State"	"MaxFC"	"InitialState"
"CCR8"	"CCR8"	-0.0413153328224776	-1.25867579398336	1.25031278012406	0.160408420833517	-0.840164046924101	0.343909980412823	1.37419718882854	"S01"	1.37419718882854	"IS07"
"NUB1"	"NUB1"	-0.622634768574808	-0.667516558199604	0.713273234581357	-0.192580329197655	-0.0641375645021203	0.33776583458536	1.37290145864266	"S01"	1.37290145864266	"IS07"
"TLR1"	"TLR1"	-0.144826764052657	-0.958267698228786	1.06904637113968	-0.663871711634941	0.587763759162138	-0.252228587872644	1.34552127907169	"S01"	1.34552127907169	"IS07"
"TNFRSF11A"	"TNFRSF11A"	-0.601442472572721	-0.28403629386576	0.449231774722469	-0.260706468169132	-0.670585278011212	0.730393468411133	1.327777582386	"S01"	1.327777582386	"IS07"
"FMNL3"	"FMNL3"	-0.550389001470112	-1.23599780366555	1.10935735687317	-0.455392721897084	0.877203704865977	0.213904212203547	1.29902574582894	"S01"	1.29902574582894	"IS07"
"PDE4B"	"PDE4B"	-0.0289686156093125	-0.813307206529629	0.666908826101401	-0.357472122752594	0.801074004571421	-0.500668614816715	1.25118051091872	"S01"	1.25118051091872	"IS07"
"BTN2A2"	"BTN2A2"	-0.83006507254828	-1.0055026635948	1.10037080813776	-0.283945598862603	0.363295103732555	0.352031475619614	1.17795347014945	"S01"	1.17795347014945	"IS07"
"SLC2A6"	"SLC2A6"	-0.351491047683806	-0.921384249254246	0.896528971701666	-0.094212495463297	0.457500993026853	-0.30914011787879	1.13210120956162	"S01"	1.13210120956162	"IS07"
"IFIH1"	"IFIH1"	-0.590796356277219	-0.959634665937257	0.840133067477867	-0.399815505708028	0.594247559047099	0.509284467586823	1.09626219236455	"S01"	1.09626219236455	"IS07"
"PNRC1"	"PNRC1"	-0.209494676920971	-0.764356114551178	0.586966525296644	-0.534956561601118	0.929153486631251	-0.0136206477865325	1.07280663067504	"S01"	1.07280663067504	"IS07"
"FAS"	"FAS"	0.253630628681662	-1.03222498633858	0.836884060530348	-0.804915421661988	0.958323329411365	-0.00124277428260303	1.02415962881663	"S01"	1.02415962881663	"IS07"
"GPR174"	"GPR174"	-0.291902160021265	-1.33890734235024	1.74261787319183	-0.0394530768793453	0.0146861972768106	-0.415706764120749	0.550163319208318	"S02"	1.74261787319183	"IS03"
