"ID"	"State"	"InitialState"
"238"	"TCGA.77.7465.01A.11R.2045.07"	"S01"	"IS07"
"239"	"TCGA.85.7950.01A.11R.2187.07"	"S01"	"IS07"
"240"	"TCGA.18.3410.01A.01R.0980.07"	"S01"	"IS07"
"241"	"TCGA.56.8503.01A.11R.2403.07"	"S01"	"IS07"
"242"	"TCGA.34.5239.01A.21R.1820.07"	"S01"	"IS07"
"243"	"TCGA.58.8390.01A.11R.2326.07"	"S01"	"IS07"
"244"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"S01"	"IS07"
"245"	"TCGA.22.5489.01A.01R.1635.07"	"S01"	"IS07"
"246"	"TCGA.90.7767.01A.11R.2125.07"	"S01"	"IS07"
"247"	"TCGA.77.8008.01A.21R.2187.07"	"S01"	"IS07"
"248"	"TCGA.85.7699.01A.11R.2125.07"	"S01"	"IS07"
"249"	"TCGA.85.8288.01A.11R.2296.07"	"S01"	"IS07"
"250"	"TCGA.77.8007.01A.11R.2187.07"	"S01"	"IS07"
"98"	"TCGA.55.6983.01A.11R.1949.07"	"S02"	"IS03"
"99"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"S02"	"IS03"
"100"	"TCGA.44.6775.01A.11R.1858.07"	"S02"	"IS03"
"101"	"TCGA.50.6590.01A.12R.1858.07"	"S02"	"IS03"
"102"	"TCGA.69.7761.01A.11R.2170.07"	"S02"	"IS03"
"103"	"TCGA.MP.A4T4.01A.11R.A262.07"	"S02"	"IS03"
"104"	"TCGA.93.7347.01A.11R.2187.07"	"S02"	"IS03"
"105"	"TCGA.73.4662.01A.01R.1206.07"	"S02"	"IS03"
"106"	"TCGA.60.2721.01A.01R.0851.07"	"S02"	"IS03"
"107"	"TCGA.69.8453.01A.12R.2326.07"	"S02"	"IS03"
"108"	"TCGA.38.A44F.01A.11R.A24H.07"	"S02"	"IS03"
"109"	"TCGA.63.6202.01A.11R.1820.07"	"S02"	"IS03"
"110"	"TCGA.78.8660.01A.11R.2403.07"	"S02"	"IS03"
"111"	"TCGA.86.7701.01A.11R.2170.07"	"S02"	"IS03"
"112"	"TCGA.44.3396.01A.01R.1206.07"	"S02"	"IS03"
"113"	"TCGA.85.A513.01A.12R.A26W.07"	"S02"	"IS03"
"114"	"TCGA.22.4596.01A.01R.1201.07"	"S02"	"IS03"
"115"	"TCGA.NJ.A55A.01A.11R.A262.07"	"S02"	"IS03"
"116"	"TCGA.50.5049.01A.01R.1628.07"	"S02"	"IS03"
"117"	"TCGA.38.7271.01A.11R.2039.07"	"S02"	"IS03"
"118"	"TCGA.95.8039.01A.11R.2241.07"	"S02"	"IS03"
"119"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"S02"	"IS03"
"120"	"TCGA.97.A4LX.01A.11R.A24X.07"	"S02"	"IS03"
"121"	"TCGA.51.4081.11A.01R.1758.07"	"S02"	"IS03"
"122"	"TCGA.55.8510.01A.11R.2403.07"	"S02"	"IS03"
"123"	"TCGA.39.5011.01A.01R.1443.07"	"S02"	"IS03"
"124"	"TCGA.69.7978.01A.11R.2187.07"	"S02"	"IS03"
"125"	"TCGA.46.3767.01A.01R.0980.07"	"S02"	"IS03"
"126"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"S02"	"IS03"
"127"	"TCGA.85.8287.01A.11R.2296.07"	"S02"	"IS03"
"128"	"TCGA.77.8133.01A.12R.2247.07"	"S02"	"IS03"
"129"	"TCGA.55.8619.01A.11R.2403.07"	"S02"	"IS03"
"130"	"TCGA.86.6851.01A.11R.1949.07"	"S02"	"IS03"
"131"	"TCGA.60.2712.01A.01R.0851.07"	"S02"	"IS03"
"132"	"TCGA.99.7458.01A.11R.2039.07"	"S02"	"IS03"
"133"	"TCGA.43.A475.01A.11R.A24H.07"	"S02"	"IS03"
"134"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"S02"	"IS03"
"135"	"TCGA.44.5645.01A.01R.1628.07"	"S02"	"IS03"
"136"	"TCGA.55.8091.01A.11R.2241.07"	"S02"	"IS03"
