"Gene"	"IS01"	"IS02"	"IS03"	"IS04"	"IS05"	"IS06"	"IS07"	"IS08"	"State"	"MaxFC"	"InitialState"
"MMRN2"	"MMRN2"	0.0500991973044971	2.04359491667935	0.37479359636032	-0.504971928706113	-0.0376782429772629	-1.13275724922074	0.0975106175733338	-0.872845616863645	"S01"	2.04359491667935	"IS02"
"NOVA2"	"NOVA2"	-0.192142594370884	2.04000939295883	0.304022425049706	-0.135697899207452	-0.260441519945613	-0.902287360394451	0.132121505523109	-0.837270280272771	"S01"	2.04000939295883	"IS02"
"EDNRB"	"EDNRB"	-0.139891862929974	1.92628024284091	0.871375569473392	-0.623388582298471	-0.506205305084162	-0.635316399614134	0.382087287212298	-1.12034875596109	"S01"	1.92628024284091	"IS02"
"USHBP1"	"USHBP1"	-0.327032028644239	1.92248823995622	0.371270871270511	0.067211494583187	0.142345020212273	-0.992405049512331	-0.170865489907901	-0.930221160479071	"S01"	1.92248823995622	"IS02"
"MYOC"	"MYOC"	-0.654889143339338	1.8814920139533	0.52670080421796	-0.279090396662381	-0.354204670627548	-0.524437328524005	0.399255868560188	-0.826882998127943	"S01"	1.8814920139533	"IS02"
"GPM6A"	"GPM6A"	-0.546076903834826	1.85395469108918	0.853323002064212	-0.209360079456315	-0.484141391008218	-0.527168479614249	0.0712161480521065	-0.859145526896352	"S01"	1.85395469108918	"IS02"
"TEK"	"TEK"	-0.0634163569707455	1.85343640595716	0.984650198443122	-0.632188648296745	-0.431377350852893	-0.918164673997312	0.578458432940239	-1.26920728498249	"S01"	1.85343640595716	"IS02"
"CHRM2"	"CHRM2"	-0.626148506334386	1.85217698400903	0.297748294284568	-0.522162605208688	0.0227079588106847	-0.485177942973416	-0.399945850837166	-0.187269836237696	"S01"	1.85217698400903	"IS02"
"CD300LG"	"CD300LG"	-0.581433718774207	1.84081926497376	0.619784377467741	-0.137257284783663	-0.383662228454075	-0.73146183505557	0.291753162522571	-0.791710084027164	"S01"	1.84081926497376	"IS02"
"CLEC3B"	"CLEC3B"	-0.676701087529438	1.83780616182964	1.02498629917694	0.0457846877815907	-0.71706572678312	-0.555723312144275	0.514706403113618	-1.19727116507952	"S01"	1.83780616182964	"IS02"
