"TCGA.05.4410.01A.21R.1858.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4613.01A.01R.1443.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.56.8308.01A.11R.2296.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.7697.01A.11R.2125.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.94.8491.01A.11R.2326.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.37.5819.01A.01R.1635.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.L3.A524.01A.11R.A262.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6830.01A.11R.1949.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.55.7725.01A.11R.2170.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.58.8390.01A.11R.2326.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.63.A5MB.01A.11R.A26W.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.85.8052.01A.11R.2247.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.85.A4JB.01A.51R.A262.07"	"TCGA.96.8170.01A.11R.2296.07"	"TCGA.98.8021.01A.11R.2247.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.O2.A5IB.01A.11R.A27Q.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.05.5425.01A.02R.1628.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"
"MS4A1"	4.58873968753217	4.77958084306005	3.47867606360843	4.00954253994135	6.58408856216641	4.98006050730663	5.15964122975883	4.49549617500481	5.11474100348435	5.4358844497345	5.88929085359372	4.26432548258738	2.40536857621343	5.24336998223416	3.74769599300853	5.15264627830044	4.50405081787251	4.72894583482217	4.41973248183565	7.17524378599634	4.38116136234944	4.84720934973313	5.24257098475284	5.02599362478191	5.04639685784002	4.2649078498906	5.60093547603195	5.92505199173953	5.20211154062295	6.35062780257266	4.35858000838838	6.09175291275272	1.32695036525201	0.253028901484593	2.09638087175043	3.41953512313548	1.60629431062154	1.16408964541284	3.62624821710565	1.13703246692769	2.57597992624105	2.94862467276806	2.21791540131051	2.36364818336726	0.205983877199104	2.79015248211762	0.758891971614453	2.72261880050739	2.23307144150502	0.808785073532495	0.588732735095849	0.867048637404269	1.51567162615179	0.964650483003588	3.13922081677145	1.43737968389363	2.8944475168841	0.300397011572382	0.556799959012893	1.98360997232493	2.64512396174874	0.82555867738592	1.3250554228521	0.50619539034075	2.30338538858339	3.96004624957346	0.364905631621357	4.59349507353128	3.46425326696439	0.82750172707016	1.38658624846999	1.4670234527695	2.8733260564422	1.67163111443504	1.95355375421773	3.29138501064048	3.941503665065	0.622346309283996	1.76804688131505	4.03457354338295	4.55031380776712	4.35916397067052	0.753876912875162	0.718905476373905	3.32656931825362	2.24575305712663	2.82906320625405	0.884984966443153	0.186579003607139	2.66905821694184	1.05332034931576	0.293402897558882	3.71080773642453	2.73258197744385	4.04668859569471	0.174137411993266	2.04833416754533	0.928750702396691	2.89264925340777	3.03646957909564	2.78806984138035	4.24350282820892	3.35031175081264	3.31647411558863	1.93927449881586	4.47185074118679	4.72036379548125	3.17663636254816	1.06514255579699	3.6976022819899	4.80215416789359	3.31168202723652	2.1352845007568	2.59340622781962	2.03857610257177	2.13164959781427	3.68871118218328	3.92583149289252	2.09115488813985	3.95214856746586	3.42497194686654	2.81713914372448	4.58922957381645	3.95821387421858	2.94025263738986	4.47007818866219	3.64134944777578	3.99810637528693	3.59865525006121
"FCER2"	0.98225039945095	1.69942189398749	1.17791287336405	1.98081256221915	4.11052893315906	2.27672376534837	2.54661062489386	2.01946331857799	3.09514288450639	1.7570603544781	3.195282366803	1.16809915164439	1.01024890487887	3.6346595377731	2.2943787084303	1.40740521079328	1.36510772172412	1.51019589935187	1.65702283745518	5.28829532365027	1.39304143120416	2.46071368069686	1.98346636164753	1.59419844942793	1.38442354000499	2.33057889999732	1.83320118088153	2.02533510003452	1.9681412261884	1.74744888711128	1.4931562939339	2.46081778069845	0.115522926128786	0.346903962580919	0.522287420158613	0.8182098309834	0.632418335490533	0.128329983383206	0.822173139873158	0	0.150722194783881	0.312863435402789	0.243564657509363	0.117101748298435	0.112805562462035	0.631544125065984	1.11715738474066	0.815083473217043	0.952178313463465	0.245178316901639	1.4811306638322	0.356055922588557	1.32084785818605	0.84910321158862	1.48743952321058	0.216510204113141	0.540605512082409	0.360579522143705	0.805918597362429	0.70542811208769	1.00617316098447	0.542604915021827	0.313380008338733	0.127158369471117	0.424562338749331	0.719672703900591	0.130390539007182	0.901025223805704	2.06574920276857	0.971107811564671	0.179646637258657	0.410006394965344	0.568095183484452	0.651005839745759	0.45228543500952	0.284367542006898	0.352132998090734	0.448017341195695	0.167927521209795	1.59786568443973	0.615005339814081	0.84380179943663	0.279791863822839	0.0266717965559292	0.449432003912407	0	0.403027409367506	0.0802732097725405	0.0506763399658422	0.788907874995149	0	0.0308216636360189	0.886850895118729	0.809781150058968	0.651510043023851	0.119421079892397	0.287152651902945	0.021134702249902	0.993378996136222	0.840523589882303	0.341181034019658	1.73673794530149	0.274116790307963	1.25073073134196	0.427102736361487	1.75491329031082	1.21695848986182	0.824080472558598	0.414102121905729	0.93173268154164	1.09960812286193	0.409101145736638	0.246418632767679	0.399076391459786	0.326655176471959	0.309227088452163	0.799937207646793	0.664700592322741	0.818823803054075	0.916586109618659	0.755558756656741	0.534262700636369	1.03875108050476	1.6654376671961	0.702004642165735	0.763258881844111	1.00787930091666	0.884339034582496	0.577356060502427
"FCRL1"	1.94635504951968	1.84426030171933	1.3064698084797	1.49024029813685	3.05516613057278	2.06269764874919	2.57077418832147	1.36107713371167	2.20942563219327	2.45215895353786	2.76129156914804	1.62928580226328	0.997355047893018	3.0618790847505	1.36362321733511	2.05012598933816	1.85872566744325	1.92948104683623	1.75788437178885	4.20071537782987	1.58555402008599	2.3287015303728	2.63967279962557	1.98407414200181	2.37769960844311	2.30372807084976	2.78481413006118	3.01895371236707	2.713301615394	3.58826891461032	1.86376041467176	3.57799454918436	0.318827924664446	0.19957242379225	0.719513758491979	1.19721169011768	0.382072091710756	0.47699053379409	1.41190975875838	0.339792645578761	0.875601881535697	1.30473912366225	0.849053464441709	0.366924640232138	0.340402176361162	0.822073723951738	0.555425024431895	1.34190051870853	0.80524455572703	0.516322566866834	0.397090141772139	1.57102282701295	1.03320224812217	0.868573364150639	1.3414079228484	1.09728263440636	1.02623935707867	0.398562583850176	1.0629547816323	0.549274747759606	1.5724450806581	2.44576461642241	1.95568741407995	0.26114991578794	1.02903564656505	1.7084820388189	2.26041050847081	2.5797177027999	1.33411570477956	2.1310053069972	0.325155952803565	1.0462582058408	0.691533058504138	1.48946718592308	1.80721486303859	1.38920014805418	1.98299357478472	0.3030859775153	0.630402055107958	1.65435622410096	1.72617031771256	2.46415235241497	0.558086365879709	0.246422336029669	1.17222024275423	0.739083380211307	0.659263270082736	0.39026832643041	0.198487814609413	0.764608791736049	0.295002514219599	0.343898854043484	1.66669378913044	1.04377883627498	1.58096860256211	0.30356240771047	0.312744620102638	0.440289217961515	1.57166781294681	0.898468500184258	0.838191667070458	1.51818720716524	1.60719145114863	1.20607703284531	0.403691205934858	1.25113987492888	1.66917191101811	1.07508651224773	0.337388190571169	1.50112376962556	1.93247021880681	0.81609394404099	0.595036129785479	1.23652854968028	0.861377472259959	0.649457289313431	1.46136406907712	1.81594252786698	0.774973620999935	1.81313617416015	1.22111004587921	0.86866427858589	2.27391301952426	1.54144081910033	1.14407737563893	1.55215941758601	1.46016707541284	1.98013633353923	1.16668554857081
"CD19"	2.99567685097453	2.77628150722461	2.43063085110326	3.10557103158466	5.05946161528198	3.86431700279364	2.5524462024358	2.51278922984228	3.25369001266489	4.01122714504514	3.84627871096396	1.97988188037818	3.17326523806788	3.55956801658417	2.63207013272691	2.89711243892299	3.44096088785444	3.33897550538452	2.6357904209659	5.351132399034	2.98508877654682	2.89853912228238	4.03823373978121	4.35223015776278	3.37638605366641	3.12784816900506	3.43574262238713	4.02122990592105	3.07275073318609	4.27489324031901	3.2641254277574	3.70299416798332	1.28024066362679	0.202077908127815	1.62277512525935	2.29392858237797	3.49534479605602	0.386433159530628	3.10445991159839	1.5913279574264	1.23782403386309	1.66122376686265	1.55594477763753	0.865023297385852	2.15867761558786	1.81672452516233	0.426288926599966	1.35259257420631	1.31407684730785	0.423705646256896	0.279033091097482	0.40076321033539	0.677000439070795	0.232865218344648	2.03604887721128	0.395543641296779	1.66849609996704	0.193470663019279	0.407368407743406	1.51530876468261	2.26690045487472	0.540640728359862	0.633052863095486	0.821804146055825	0.873132329505702	1.69202942266007	0.379914610929633	2.72837671138574	2.32506007769748	0.44731138808185	0.613694477963934	0.486681894886867	1.52261450410155	0.50808652706458	0.763976505891866	1.96457550158417	2.18465816990478	1.41122073915239	1.85472939005244	2.67242398171232	2.37707601806305	1.59680197666444	0.526442032262985	0.295276142340426	1.52062862686683	1.73817422873396	3.07541012520432	0.357773111861563	0.529280106229474	1.6519397700549	1.05166273642961	1.44829204023963	1.99189153232429	2.05014478430969	2.47116229420056	0.341631418610175	1.58205588199927	0.247375666452589	1.59361875583999	1.88782169708492	1.7757521561348	2.73301925463034	2.06488532454874	2.5219909214254	1.68193218902131	2.9845803086901	3.57229446481384	3.13356726003467	2.969658992843	1.11892016469546	3.42016862099373	2.18896257402255	1.74989658421784	1.30771201356958	1.96851143478619	1.43133104794578	2.64867444112439	2.49759516827573	1.32023475438984	2.92500496143533	2.80958024675718	2.17424602081345	3.89329470238441	2.25058855601674	1.5175740467184	2.50959216481174	1.50496976000472	2.9753644733215	2.65843332778935
"TCL1A"	0.979021819601959	2.77823574318432	2.30728457703688	2.40611254681582	2.80599739539134	1.67214640233696	1.85529469506275	1.52961129226916	3.27613753584946	1.78530590400974	3.24255372089188	1.68923575579324	0.64904611397235	3.77625205489211	2.94810596779163	1.2086453464203	3.0775454859014	2.25105404300152	2.17970618632867	6.21890517413076	3.11020201524217	3.4964013961162	3.25530688219552	1.60733106525762	2.37728932616623	3.78162554717249	2.01354893809415	3.54890096664747	3.16592672020333	3.08773741639363	2.11861864906297	1.75007973098015	1.08000839296644	0.258015748877989	0.875514013123515	1.15726048343902	0.501941005542346	1.0792141483777	1.72670587840956	0.449023048304454	1.22511868312328	1.52223917357838	0.844658380299811	0.919533032555942	0.712115345348968	1.78542491231628	2.23959619906642	0.875705405082679	0.595239095445926	0.551228043125812	1.01904859379643	0.517624339470227	1.85458834921342	1.40980593314669	1.46586454388091	1.58634293427059	2.06739564506083	0.491809687300732	0.511571744614297	0.438368391419974	1.47648675366153	0.637535881774054	0.928987702522321	0.386754171030359	0.461257586491311	1.87293050627328	1.90743979941164	2.03240826292576	1.77770787440162	0.952559286235595	1.15486985874571	1.03909487015444	1.36028824190147	1.59265213560448	0.866914408771488	1.29171970087616	1.15207587943683	0.83829366422306	0.506467301907539	2.69024874777879	0.81089669110743	1.59657467103192	0.350591924715628	0.498963202015963	1.12244597836678	0.918248895472272	1.3398652374819	0.539108451920141	0.276392346157487	1.42483708010526	0.476772301450091	0.457164163796469	0.522567069569548	1.37735535493702	1.55164616998116	0.387738881710843	1.1661949857567	0.634219356615748	1.64609087200635	2.66585019076605	2.49144480472056	3.76379375554943	1.60115665088714	2.005297334531	1.54105253733579	2.93746110227673	2.11846162242067	1.64302778508654	0.589407021617959	1.36540039104061	0.708646534280506	0.994771982809135	1.03250326072066	2.50136027122282	1.90746972120751	2.27911451131885	1.0506720931966	1.75949737826091	0.896013844078885	1.89230571011076	2.04240948044267	1.4204950232612	2.32923716757013	0.882685350554767	1.81549808757531	3.01452517003291	0.756704405381024	2.14128867155074	1.19110885703475
"FCRLA"	3.59364177680684	2.71669300941614	2.22085075018887	4.8872408429314	5.47238348202626	3.51722215117068	2.76372675368244	3.37441704153358	2.8602990112232	3.55355064863116	3.90986239128529	2.17429992105261	3.73135593727542	2.46712328923012	2.06482543900361	3.56456585578158	3.43229357152841	2.73570993183361	2.84797153010085	4.72463958170828	4.06610091852176	2.35568528018445	3.7275691529317	2.3719155823964	3.76104596031226	2.55443460103561	2.60415522410695	3.66028904576445	3.42956814540989	3.54668825280123	2.92860837809776	3.94429027852288	1.7471933276082	1.21635770456159	2.22566172943096	2.06970612947052	1.85277516470006	0.611201988378348	2.02485081971383	1.41704046596777	1.39934802954424	1.1914167509379	1.45146330111469	1.17646649429163	0.528476695765082	1.09520405190748	1.08193769925706	1.68830280992404	1.18740466345944	0.597754735665248	0.330385217987907	0.344555963365222	0.610459154762256	0.486933105883206	2.37228192376911	0.50323648226184	1.46902411772609	0.576009653055928	0.262841060183674	1.96091162254104	3.11681192029449	0.390278985044523	0.648087894383104	2.20747702792321	1.03620308460613	1.75723893597139	0.213320295038924	3.44061022206011	1.63180820906522	0.394239909424531	0.689991859290477	0.808785654252408	1.47261522236029	0.58558323361637	0.972061536071638	1.18919992115692	1.84614217800529	0.164289954220539	2.18111123113116	1.79905645874575	3.31852115811241	2.26251932562877	0.378603216337239	0.545477330356281	1.86770776290844	2.71582932119504	1.14959401650864	0.561715591729362	0.118678051204177	1.247587484267	1.84062650710625	0.488431941695463	1.50492422463152	2.01095210265963	1.75771919649897	0.413487196111486	1.69320113269928	0.363936090066298	1.50504509066671	1.58139431528603	1.65942079751891	2.27626727236118	1.50807087536354	1.62836335283154	2.31934135755974	4.04937633619267	3.87599988003889	3.3964918981465	5.01957287011107	1.96342085837135	4.37683288720603	1.13013530587495	1.12744555234157	1.32380800719448	2.88084313466942	1.18635361809065	3.00500372638776	2.80041773274137	2.35206330791995	2.6044490872434	1.72158992126552	2.40354056282849	3.57180437647779	2.4570321087212	1.04823507817674	2.41127805715667	1.81385193105161	2.71751512702667	1.83413210406468
"VPREB3"	3.89824563936234	3.32056223951869	4.28873231860997	3.49912552429126	6.29113465213682	4.50090011574113	3.47765521391831	4.36312265009647	2.49336480167924	3.23908823515697	5.22012239231839	3.0998545887264	4.74210779902409	3.64294461580586	3.53301998238613	3.54391507207119	3.59384640352852	3.31909918370387	3.27100019062103	6.02850753640268	3.62875964181242	2.58827465945695	5.31485856080105	3.62847273380766	4.55801758539776	3.57909574090276	3.7621739083019	4.01497731126247	3.63633882563398	4.71314216203306	3.1291476499487	4.74184883080557	2.05102507807748	1.84628709409306	2.10996342521928	4.08169070363372	2.84292248243869	2.01685096255905	2.3132375443141	2.73319450023837	1.48518594934891	1.84772445052438	1.14371722505549	1.27529779903856	2.55636524866007	1.28086101039706	1.18616036008306	2.16573744391187	2.04794474585582	0.934001284979873	0.247632084580961	0.302690876472139	0.623444391343372	0	3.64712085850643	0.7141624066485	2.44414368609053	0.160596464895872	0.177306796627378	1.92993355239744	1.89908072007732	0.322707159633141	0.781319530458571	0.884914711648352	1.17638162015463	1.92313276303874	0.391329587088762	4.08202897901721	1.6146851765254	0.537096196406863	0.848292745170692	0.857381885991791	1.78236715929188	0.590570377689108	1.04305095462958	1.52536183910045	2.4016035200521	1.13036076764235	1.67118836561881	3.31232991757293	3.28769276722691	2.18124225958015	0.247459992004112	0.806747113372822	2.57733408276595	2.68331758366661	2.01138284930512	1.55771850166855	1.56074651346475	2.88410563031808	1.43915961227776	1.11397972932623	2.21380524132638	2.96180534519033	2.18226976776446	0.823869292622867	2.03094432376372	0.6390094634736	2.43724023529901	2.27565655255344	1.40112395142494	3.53623225963662	1.97182019610221	2.71390162892141	3.0619941777887	4.60296869391932	4.01196716179995	2.95067483899093	2.10815252927121	1.61963116418997	4.14609993239391	1.4205048888945	1.53775321490197	1.92997567995736	1.82210458090922	2.56466140261909	2.30457981232069	3.10815435179376	2.66839316496569	2.69397447216662	3.17442091968802	3.21670738669396	2.68646204619603	3.31551896904904	1.95057806812255	2.12864413873594	2.4956615653131	3.08895841584395	3.18128632870895
"CR2"	3.20439006493197	3.19254506925326	1.81526279506413	2.55860506303477	7.10648617800303	4.13493649300849	3.80068619903472	3.24585348905436	3.64840875805698	3.09704296218253	5.68625890850224	4.11303495519681	1.43209143963139	2.90141068915573	2.54658787194214	2.56490758928957	2.31638671058038	1.83864534799431	3.17491580682839	6.26304227210175	3.62671516572741	3.33323690180682	2.97811769063739	2.43889806638014	3.12023510716013	2.97184748902837	4.13931307772751	4.70664041247194	3.75010406765695	3.78416685074027	2.28614559287967	4.56042251307759	0.855648815352934	1.75330404207649	0.585859231943208	1.0831222809695	1.61618926985514	0.894748289574504	1.71870379511453	0.941235349418286	1.1441006281466	0.956727303979363	0.880770963280163	0.493719625838969	0.426918944491582	1.5239177934969	0.660395027420392	1.82336591911678	0.970834256614137	0.0951749884984285	0.261577853315831	0.288059487509945	0.677893331216976	0.348460101199768	2.79074977504953	0.321932487800225	2.32352497573752	0.0605830735521644	0.151069832153913	1.78810449880966	0.97675519664084	0.449532644944079	0.628032411217248	0.970677394435089	1.49973839311706	2.73477240894413	0.145477845397818	2.04929870696354	1.68593116346614	0.402791626118514	0.323845794524334	0.7659373873058	2.40379581677149	0.505609527850046	1.46478013896542	1.85171066235696	1.01835196820427	0.808529574866465	1.04063465476404	2.9877478919235	2.9715638825125	2.93560851412201	0.760018971083785	0.0924352567802346	1.07873033326426	1.60368720625987	0.595912700988886	0.684626306743253	1.34487975915475	1.79086129263231	1.13056008901434	0.548354054188871	0.995488055658857	2.20302023131844	1.62056295935237	1.20007454198794	0.913561349568476	1.36125071739414	2.1259619674598	1.0815070743685	0.610030682866093	2.26064918291575	0.981990432202853	1.76311784292115	1.41963386453714	3.05563826171209	3.04079327041885	2.66825498388911	1.64847827189024	2.24254857567741	1.59616359041305	0.975013475974453	1.21789739925977	0.578292178970301	0.811764022466709	1.24978497913242	2.01663530095074	1.19488517163008	1.52669552837187	2.35207558764011	1.15131180710132	1.62487800084488	1.71443760899705	2.87280047189564	1.63239148289851	2.39675892194665	2.39763666118407	1.81456277810634	2.2711719220703
"BLK"	2.59060037289774	2.30015104807891	1.57607023235075	2.41554284735713	5.04314836090743	2.88257633675038	2.67135377113308	2.28190779371606	2.25260267003447	2.4250953317164	3.35780237120143	1.87202514117127	1.96116867359501	2.54491019734856	1.52516547802044	2.82693116821521	2.60871961031328	2.628875434825	2.83833102616814	3.9260005433153	2.07944031959445	1.92443211567514	3.10685860966397	2.53109406878143	2.39440463195502	1.73224159862688	3.51920397321835	3.3158948650425	2.04254034290406	3.27531348487554	3.00864918809149	3.60598115996814	0.435366904589209	0.188345281370649	0.816439072478663	2.4650712183753	0.852189152327212	0.547619702827541	1.91523312984087	0.335809406020892	0.469174870546318	1.80209479044156	1.64781245505328	0.603950728686571	0.197281800971355	1.25945734865782	0.606237511805022	1.33290901128078	1.48795158488038	0.635231411866726	0.587508880663753	0.710048584825957	1.02128834703468	0.515601618924552	2.13763023288121	0.815233859096319	1.43034588654593	0.82382110753823	0.767422038039023	1.12123190990318	2.37849673887024	1.35946961204556	0.844056333711825	0.735599707113572	1.14519254601106	1.51197166331508	0.474948467524091	2.07694371570979	2.07004220113218	0.634750780404936	0.335672521250957	0.563763115900397	1.06610505611773	0.59754782077709	1.11917700864815	1.82428791711785	1.70431110740686	0.821659410088075	0.893896308466478	1.56125557817444	2.63623565075151	1.37941944284228	1.11344209297109	0.12987642805867	1.50919685512591	1.25273543512876	0.674356256547138	0.251061638926476	0.311132023511014	0.789745023600694	0.677265062476234	0.220552768485577	2.25670304773198	1.37684160163269	1.74835999519439	0.547423253418954	0.891258832441364	0.280447019040108	1.48907640913579	1.26828373016232	1.1665001754392	2.26545145899284	0.97918142467241	1.81627581247511	1.19899049760156	1.89963419941469	2.56880276557384	1.68285492561087	1.95245603702438	1.24245684243107	2.85188281457757	1.47613847385901	0.88503727257152	1.34811018069955	1.55508127396529	1.42967328992476	1.80904735217029	2.02297106504096	0.951075304559638	1.57076990827618	2.07599466726886	0.893459646338095	2.59433284257176	2.03948180291722	1.38828043285562	1.90258809404739	1.63767728198742	1.93714547265366	1.81355356420555
"CD79A"	6.61383528298877	5.78385534539144	5.86511495994637	7.13371522031775	8.44740058059953	6.25243977806113	5.45459030942479	6.43532642255095	5.95371323979116	7.3686500177384	6.75144209674726	5.20887741376067	8.5245260263099	6.29584014816644	5.9123521743525	5.83540332900298	7.2851916749247	6.11951141934122	5.81273786570318	7.70821300605415	6.77615133295017	5.79269156075504	7.62539248627076	7.13283988832217	6.91575345472148	6.08706043078733	5.23658591082939	6.95154381708722	6.82774770936534	6.89612605876243	6.9234856540119	6.14177109461313	4.87218470488259	2.46772858825414	5.9733834217285	5.3597223227137	6.15070679377811	2.35953584898259	6.08371823080216	4.32768580249788	4.41991176124386	3.31784353920036	4.31352824128874	2.9215308641646	1.96197794704264	3.64943706363222	3.22944163650284	3.99377841007712	5.02650187525505	2.90660798598581	2.67811703670558	3.56961374205034	3.3219602923435	2.03203834851592	5.68129301473082	2.06843113188681	4.69487816061832	1.72797411471836	0.980155066254144	4.89499693424879	6.61443775254876	1.46804323663656	2.08582867979978	4.38566989653916	3.01676495709006	4.54356136333146	1.7223851630431	6.77642503459276	4.3690177029644	2.60979685634652	2.76919506818678	3.01815119133563	4.21770374271683	2.49322029949981	3.50662686488962	3.38906009100786	4.66903319062389	1.60282139426162	5.11149523698197	4.94870492929437	5.16894473539339	3.47015435747375	1.88920748576324	2.25244616136015	4.80510905742644	5.31942646341114	2.7187733493486	1.62291236991621	0.462741377184037	4.26789902599337	4.82676441617057	4.47676437574912	5.11543326733064	5.3236766424392	4.82991304769019	2.02025170906099	5.22665842464975	2.13183057108458	4.48945407446562	4.88740502446618	5.1134143995252	5.63172336677763	4.87715595135991	6.57428417518503	5.61172473982273	7.29697983481732	7.3038894243028	6.9153468120205	8.92714687057436	3.05324214254343	7.84431854201854	5.06947835330931	5.41510174816249	4.47784042279836	5.63189370739702	3.5377798890624	6.91169499423296	5.84780819883907	3.93024721343392	6.33934458693678	5.03587100110042	5.83683554769411	7.34238607542468	5.46058723446171	3.45685261611077	5.80741787091889	4.13252557746498	5.73777981027906	6.57288349511284
