"TCGA.05.4410.01A.21R.1858.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.NJ.A4YI.01A.11R.A262.07"	"TCGA.O2.A52S.01A.11R.A262.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.18.3410.01A.01R.0980.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.56.A5DS.01A.11R.A27Q.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.22.4595.01A.01R.1201.07"	"TCGA.34.8456.01A.21R.2326.07"	"TCGA.55.7570.01A.11R.2039.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.77.8139.01A.11R.2247.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.37.A5EN.01A.21R.A26W.07"	"TCGA.44.7659.01A.11R.2066.07"	"TCGA.63.A5ML.01A.31R.A27Q.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"
"CXCR6"	3.90491100694009	4.52456617202747	2.93930173396863	3.32279561678287	4.51840544910004	3.2933497298114	3.72700666739397	3.55662252946426	4.16645584565106	3.99097624062957	4.03972604589537	4.13959197052494	4.10448029231845	4.37300198448781	5.02876422783718	3.86898835802909	3.4561282265502	3.95478281322189	3.65055200391371	4.11112300464799	4.34236199938205	3.53012603760336	3.93811665883486	4.28049148459179	4.6720590225612	2.70265197665086	3.38571369718112	3.93849045668685	3.30296871825986	2.28459420712431	4.21877326803895	3.43187179842753	3.51315893812644	3.94830301193994	3.66114766469323	4.38867789295011	4.58601897078645	2.2755412893291	2.90307445343745	3.05930360110884	1.55301841297345	2.67528151105104	3.37393898745213	3.94354049557532	3.76989538828893	2.19672728198211	3.06339195807085	2.82082508413889	2.31647874959997	2.75331228988045	3.63483219106473	0.9623199302819	2.21868302307481	4.01740021545619	2.89794954833393	3.99576227857049	2.65575902747697	2.5551778286616	1.51417461696639	4.54961340136155	3.46598988721833	3.66726984069966	2.13892723058828	3.4602540891045	3.75053299179973	3.18890727799637	1.52784529008167	3.39334358447405	2.35418734469198	3.9351255899098	3.142185028719	2.17288772946207	2.68953327564963	2.67496706237299	1.46721642609973	2.15722727788191	1.33426313562315	2.11128144547485	2.97129110769958	1.95894743002541	2.85746942023355	1.63461015145054	1.58682549708206	3.01754556814639	2.20067501214369	2.88764766474469	3.11416030184821
"CD2"	5.14070359969829	5.68194432935625	4.55555932541413	5.16246975315362	5.56536897263564	4.79115957233842	4.9573815502251	5.59616506589072	5.15672640431092	5.09468204674944	5.18295431536154	5.46914099250969	5.60346870501697	5.71132946489014	6.00136678723639	5.30191539939741	5.17729381224686	5.74204051981546	5.19617599533526	5.60188792103498	5.87826739207065	5.63331082456542	5.36269996459293	4.87566227637244	6.1333900276541	4.71976900106996	4.81374047711885	5.03302454017076	4.85827118962523	4.29774697270026	5.5468677329765	4.99782605039614	5.04826165661976	5.89300953774662	6.25637048577521	6.14097682349748	6.03389301882997	4.11328744067674	5.15021884198725	4.3369240817564	3.06559524090522	4.04965291945135	4.41986733987198	4.80885590432679	4.98079662428566	3.51225901071917	4.21864610889807	4.11295686813333	3.18209265618428	4.33228768169222	4.84473179053515	2.84972842212725	4.19542431918685	4.5622411412383	4.16050012865163	4.66126611616252	4.62835128212769	3.48687144832897	3.70875237849319	5.65111144079727	4.99756127177913	4.75394798151088	3.53982647579671	5.06269260053346	5.04560098489043	4.96747373821319	2.47490974476038	5.14632288586802	3.99187244052165	5.07209938617729	5.0952281884292	3.88369175709633	5.04859432701738	3.78832374917259	3.08826805004015	2.97203431826352	1.74673882483341	2.57571746231443	3.80624787080697	3.29759879279544	3.65645985530896	5.15851731731138	3.4037973779535	3.57443303331491	4.41748228898996	4.59481897077556	4.29816095835258
"IL2RB"	4.13129020853851	4.48249872521434	3.29886815146135	4.41283315780178	4.87361466566871	3.7764986434901	4.04380854872323	4.41498872518747	4.63067732850146	4.20187747653813	4.2972274223106	4.02917795668236	4.60164342808402	4.63784798555139	5.7114291412111	4.44050161633073	3.93984636146085	4.70391161698032	3.60336157062355	4.32610258303246	4.22248366341429	3.94959308848213	3.70389061093186	3.45551140744253	4.44903877350613	3.05874512829919	3.83749254930398	4.0271340146275	3.43608566585227	3.94262285079088	4.46825149264307	4.42613678140768	3.43774814854908	4.663535316669	4.71735748649643	5.18601920411983	4.97534570982723	2.81964730981146	3.7081792644959	3.55929211370475	2.02025132157531	3.16449990635088	2.9850715103719	3.91514234787301	3.25132330460568	3.16454201256234	3.74545046631353	3.65357473067733	2.43748372259741	3.72222956617322	3.84579674013628	2.97706509531083	3.18835185855194	3.5236735244398	3.00892136729134	2.94071437989213	3.50045322680541	2.32806442970544	3.00982045572302	2.69261381514382	4.46356913775648	3.45678974497213	2.24895722466989	4.16671341106121	3.89307807225777	4.17066628138992	1.81192891157058	4.1179304689097	3.69431297256999	3.35453159599509	4.24392362924784	3.84137465661302	3.77970067180907	3.22768523317978	2.5665021224481	1.98069036286027	2.09237762927736	2.25009528535335	4.72777506742557	3.96905343028302	3.36304831990599	2.08849877094163	2.38220241323322	3.04683198483377	3.104565170429	2.84357814707556	3.29572590134236
"KLRC4"	1.04615746221205	1.98102350462886	1.14660760675655	0.179202320785391	2.63028956871774	1.19901645174926	1.81460468691899	0.802326849796913	1.83161268734185	1.55167289663997	0.673127211512657	1.32682236479914	1.52737527582386	0.650789605111137	2.63288106631091	1.08586404159889	1.6200571486646	2.42774527858242	1.15620516291941	0.392716374767134	0.50407775511368	0.598681627174428	0.341257416486737	0.647232841385236	0.829908137683676	0	0.496447263998814	0.63174794763057	0.501301788401289	0.557381233709384	1.00006789739824	0.577013666374818	0.847282135846052	0.901105134482928	0.996919530787914	1.78833091622853	1.65981413162869	0.979675941928997	0.348313544658489	0.221826214132626	0.16757043439164	0.453073262722103	0.623125639805489	0.597812137495139	0.377913552959955	0.258753228255503	0.57572710316966	0.452793156585631	0.512159162925245	0.832435991150413	1.07003544792485	0	0	1.47691294203784	1.49075546002965	0.333164095176954	1.51126515941665	0.711812882993612	0.885237621419395	0.112088222445685	0.896327672103082	1.45551908689185	0.811143844852815	1.16725718000868	0.825543515664564	0.365503126093634	0.0744220894807822	1.21239305040835	0.541356920133499	0.245446817458021	0.739186188098335	0.503313480452188	0.313128299444937	0.646944197412605	0.533777893792348	0.24864354282359	0.227683843934827	0.370182094742779	0.600877234602531	0.190476616887807	0.659013269039076	0.261484624939978	0.3119532642731	1.00004988095542	0.603866089778806	0.271327804053268	1.5451625160426
"UBD"	7.05262010949355	9.18177497185967	7.55753342427087	7.9153638939493	7.73292338778731	8.54892297587736	7.97290186140085	8.64566632038682	8.24155824670243	8.02719090285331	6.45440217821191	7.23537539320033	8.14120704583827	7.5418128010404	9.50278002611405	7.9988584981473	6.56938689729945	7.03742105567126	6.5787975893685	6.44620166031973	7.37416928926985	6.85300261375585	7.38912772868053	7.52076150432985	7.74374939434272	6.38831526960994	6.59054484178949	8.88644641668793	5.80928071943887	5.94466778571736	6.31991321427048	6.79890084062092	6.17852307241138	6.37354036761355	7.65352911382485	7.45981865931416	8.1316485767353	5.12660409818722	6.3865357398779	6.72439844162415	2.12574425854663	5.70377189181772	4.76672514525639	5.34667179974868	5.19045959405149	4.06842965172022	3.68970402887962	4.7061119560015	4.26590870700065	4.73079586082279	6.05467546973203	3.1917063211896	5.63282537497682	4.30404943426508	4.06118738562898	5.64738659563481	4.96605595184694	4.96284931709246	2.82706805952529	5.82647412380028	6.05721279401608	3.76841702896381	3.53306301243716	5.72932602478382	10.1551380354713	8.67138408630008	3.08690408094107	9.22883700756677	6.53612373152102	8.68405583653655	9.02118922154031	8.64303953773544	8.12788464522735	5.27008904897786	3.11055293603458	4.81113873754046	4.00932253033303	4.68886324133274	3.07521605451505	4.33725145151493	4.67196347343179	5.67035394231691	4.16838760896591	4.55970400572918	6.8052808491564	5.83562791061623	6.7609051736856
"TNFSF13B"	4.82806245985697	4.69818375705926	4.64376476191187	4.61119347687925	4.725571291014	4.01027234975021	4.36339584950084	5.12463289431439	4.14420514131531	3.13068656635656	3.98907277637014	4.53619451016991	5.16558647834322	4.45051611778473	5.05928932027398	5.30738866504944	4.04871312036	4.43693006418755	5.23263508064154	4.45264149498357	5.27329149497699	4.33319953728944	4.11842658028943	4.13342753930914	5.62853211608932	3.58133409516876	3.6861376040516	3.91032561776122	3.98582268628426	3.52372222558094	4.21070810577511	3.98456006439134	3.33726724481712	4.09991549038572	4.63094727839267	5.12796367489977	4.53451698608592	3.3049402059721	3.83635264109299	2.97941631081191	3.22804413525419	3.35580774602849	4.50307176654723	3.73203499165366	2.6443058016587	3.41368735352861	3.60767255654726	3.16530283478463	2.97615667372969	3.98539548778507	4.24932043939643	3.03848934476004	3.64497440451791	4.71993040530131	3.96304292289761	4.09648039302559	4.06863349943988	3.93458077583845	3.99093141738323	4.87682236644332	4.29921332875222	3.86934362056899	2.5504678799437	5.02373047108132	3.74615180157768	4.39159124951299	2.02088424106885	3.95919494848982	2.52072904199505	4.26736860334183	4.11458280322576	2.79701151988915	3.97533016291751	3.7149449433391	2.18489536506377	2.57066913236448	2.38112468824253	1.96790482746223	2.8343854471283	2.23260723968174	3.50074827029623	1.89471547503567	3.20572781354737	2.89313167758384	2.6990048770345	2.67254299602619	3.07610302477305
"GPR25"	1.1562823831512	0.466640033396283	0.396389675949864	0.679636104937728	2.01799621358785	0.397706573861224	0.824143736629267	0.448455451180122	1.13158530274481	0.570646203562678	2.21955497818472	1.82107696232528	0.867090593074443	1.56247877279885	1.99007714361771	0.309775635098861	0.914964764895407	1.0674138980378	0.853335159409133	1.15520387393645	1.08409274616284	1.39510483057057	0.0953307444465221	0.161313893778363	1.53794134041682	0.98722895967578	0.821784178816457	0.781458092745906	0.689109860025029	0.349277957540561	0.447379785087525	0.453498230850643	1.12091303664282	1.40434673899166	1.47128383469907	1.30244426059139	0.967262061678247	0.642599842238106	0.607301272766735	0.981210811255084	0	0.578576457922935	0.312435652793555	0.484687140876095	0.763973142633759	0.385000162247021	0.494648775686044	0.705260305130812	0.0565985770985714	0.49075096214262	0.545354035892393	0.10495165413698	0.274418245025302	0.769587176156155	0.492932549832244	0.489555333338816	0.31908881092593	0.168317431959179	0.0553076031431139	0.288218861913669	0.290693388498166	0.258631881667251	0.299444264512364	0.593713461219028	0.315232359188081	0.311200600797737	0.225378672227954	0.492639389682845	0.2676335640844	0.290408199552663	0.256279118840836	0.241804688116053	0.28378049292739	0.511643730512872	0.185722180074328	0.18508567763286	0.127233973075543	0.133747957821265	0.717700145859424	0.219749176069603	0.193162434784015	0	0.627426463160371	0	0.58059977377662	0.627639126698919	0.202414520314689
"CD7"	5.36058952457497	5.05922267377117	3.93088280202294	4.59202026785309	5.46048206205462	3.95614962490956	4.3808676508489	4.9993628125552	4.72637402858761	4.55389724322477	4.1467866558913	4.5991189775557	4.9142662644336	4.6796820580142	5.4559060488664	4.10154381187339	4.42480095844924	4.92392333824544	4.11501150182386	4.67173215316022	5.90977086833152	3.70385783182371	3.46420668734078	3.09364896487941	5.21050850128744	3.76070870702796	3.90001587591248	4.26176651153816	3.59109952264951	4.40271800829119	5.06197462830434	4.79009554099106	4.79658901336515	4.84480702860349	4.57793012063612	5.24308633305766	5.71108141028757	4.08868245968027	3.07608879857435	3.70365434630515	2.30246073510626	3.58012258811731	3.06133692695255	3.50026389779692	3.53910961992799	3.12368243683989	3.56430162280877	3.49940561026619	2.65066791256485	3.65347911747549	3.29279223268108	3.30333384516037	3.15541457678423	4.4258412765241	3.20761733426704	3.22045106754302	3.06488079912494	3.1975715492749	2.73268619268413	2.92723946775673	3.85087719307125	3.35500873340319	2.95002391318909	4.28792259558095	3.84839061942869	4.05278549959481	2.2815139049891	4.03197999610017	3.41622760242735	4.24837550850247	4.34530286027942	3.36373846516787	3.49821500394711	3.18617113362721	3.1422814690038	2.95375577980896	2.21643479124682	2.58699400471943	3.56637776194095	3.20921514030201	3.50290137102874	2.94025054304457	2.04646146699832	3.5638817845045	3.60762509543903	3.19736104950643	3.87677156790938
"CTLA4"	2.39561434855457	3.25095383630845	2.85493911424955	2.64287637600213	3.30394335226391	2.79340568951497	2.59465437588371	2.80643152043055	2.47228060305454	2.40470992584405	2.39114365764645	3.3379076661701	3.18750107498221	3.50104713145607	3.33511697004544	3.14707199551855	3.00352364358245	3.3660791185739	3.6964382783768	3.48359043943796	2.52586465366783	3.05611501790262	2.63367944448503	1.86777136527502	3.19325305068635	1.58338350607623	2.1348082832539	2.48168370485406	2.73817359096107	2.76271301085659	3.35716561706177	3.03722595967325	4.06953730570613	3.19446997233294	2.71374265350477	3.62824283209114	4.03628936297093	2.80962942540282	2.93237474948276	2.12463482904641	1.38789658563679	2.35416152964235	1.12596065457499	1.38884412669784	0.60399403633955	0.8254165763461	0.803427022151739	0.809348098531756	1.19757221228456	1.38110996272414	2.59485442603802	0.795743507524294	0.791028201452303	2.35876429947867	1.42032173910317	1.91779698905681	2.01192639622586	1.75360322297988	0.755523278515271	1.00644996352507	1.5597858639014	1.6071335899316	1.32926693964748	2.04507765723156	2.7695001252337	3.06971704201875	1.99789150128111	2.27296775040461	1.78399493310749	2.71908918882777	2.54027500030833	2.14866965879765	2.1810062069532	1.60123742935467	1.91444526230044	5.06745248430414	0.768167913633307	1.97226241911055	1.70570798454817	1.56634080487446	1.97838083263422	1.92296305927891	1.29404022602886	1.68180117974827	2.04799929668445	2.36916928164593	2.60246854043932
"FPR3"	4.94840362665949	4.68568189583588	5.19887772540897	5.27424750776093	5.71494763873119	4.55411571290348	3.93239110796998	5.2082926827354	5.34090137913484	3.92177594117529	5.34785716093954	5.29408170450874	5.61992196094402	5.21675771881449	5.46664294230312	5.85797782755813	4.7303640717887	5.23737603384603	6.30736830659647	5.52561753776475	4.71664045930383	5.11683425078696	5.57686185476003	5.09745962689783	5.9161290791003	3.53942064150423	4.89066673084343	4.82793809730573	4.3865508075464	3.67080881067639	4.93011082746181	4.8054356836747	4.41126334074575	3.8838639833198	5.1490423552271	5.70390461777829	4.78576029296653	4.29411084011521	3.83722766864606	3.84563836163263	3.94356175765751	4.66608469874466	5.73922862290581	5.18815862471449	4.21848135423317	5.24429466323157	4.03249342219955	4.55876778761318	3.38700016230375	4.5618187347722	4.67856441131336	4.63508314789419	3.88546269107873	5.68316244878799	4.97026607195518	4.79399508926835	5.02639363719366	4.86410303567566	4.7077927839036	4.43825669025768	4.88197698131809	5.56511894394631	3.20456679705061	6.25019934296435	4.81541965063194	5.08145160720144	2.86648041189356	5.10962700137692	2.53722005788826	4.16908021734384	4.93268641223451	3.04497298727834	4.65015795935885	5.0759371114962	2.84620375475751	2.48853094926251	2.34655244362198	2.80023807605656	3.38990702793739	3.11435035165183	3.9637760568601	2.53992375118952	3.69809715176464	3.43254852193099	2.84433845724639	3.0772150940435	3.7710314703906
