"TCGA.05.4410.01A.21R.1858.07"	"TCGA.21.1076.01A.01R.0692.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.60.2721.01A.01R.0851.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.73.4662.01A.01R.1206.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.90.7767.01A.11R.2125.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.NC.A5HL.01A.11R.A26W.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.4613.01A.01R.1443.07"	"TCGA.35.4122.01A.01R.1107.07"	"TCGA.38.4629.01A.02R.1206.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.66.2759.01A.01R.0851.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.33.4566.01A.01R.1443.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.50.7109.01A.11R.2039.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.77.7465.01A.11R.2045.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.85.A4CL.01A.41R.A26W.07"	"TCGA.O2.A52S.01A.11R.A262.07"
"FCRL3"	1.84401360859643	2.40060656191239	1.92948626596244	1.53012474148035	1.52458385722684	4.40563260070215	3.07852093778697	3.69300801045347	2.53450834398477	2.10426477941819	2.70358702611136	1.77334097600542	1.96130731094669	2.4377292285603	2.52042156393935	1.548104648024	2.62449645440157	2.79273136590997	2.09192059905448	1.99207204836555	2.05550903208341	1.56514517061831	2.58203460687722	2.58748460108572	1.97452306623167	1.95304617939446	2.69661243038433	2.95615442235655	2.16165667828572	4.0764620364066	3.29192409097488	2.37344337067668	1.13152214221963	2.73644909857323	2.3864564396502	2.07303524043132	1.94415102713117	1.54295226202859	2.3457763640025	2.23958978490061	3.18913611726527	3.65574398864006	3.18695648180937	2.21719668525056	2.08894048400081	2.61659370859302	1.98262670904065	3.72002851605059	2.87482401460366	2.50462265902698	3.85388404350494	1.11022467430103	1.66423869766461	0.782762373225349	1.33945158949334	0.473531996688793	0.936246817458421	1.32690941617094	1.13913259044439	0.659912937360705	0.856021001960608	1.13114494820941	1.07016029979818	1.34636278323543	1.15552591721658	0.632437013366074	1.61570508758081	1.420593885515	1.50884092441637	2.08303330266143	1.18136328770632	0.335225198857745	1.12557008493328	0.854264816912038	1.80916657061432	1.22398273349758	1.81149210544417	2.24161043657901	1.86206629387088	1.37113062393153	1.32344854657479	0.96729931533521	1.4639301580288	1.4038794548282	1.33893330704438	1.41623598808001
"PLA2G2D"	4.71072885057979	5.20770900855238	3.26854336892691	3.16227413493752	2.44898822095121	5.32962695820537	3.25782685374958	4.03865785173622	5.55220171577116	3.75303152465661	3.5928090079762	3.78620752450402	2.73165682690502	3.14120266663618	5.38411781536744	4.39973095930648	4.75254303333213	3.82604645658972	2.39129873728879	3.41472668922153	3.13580642361235	4.70857117369909	4.342249350903	4.75429207397774	2.96283930802474	4.51764091751413	4.14774232132275	4.4974329665197	3.58038090667965	5.73004671523752	4.3588069974031	3.89695344048009	4.44913438959748	4.22119428017147	3.49241071921028	4.46668203489115	4.76577299389346	1.93055234679607	3.50302862198494	1.69994237833131	3.07038984653092	5.13580644914699	3.26738980868129	3.03251069698503	3.3875228035217	4.20069755098219	2.25755307645722	5.56769041384584	2.63685774712019	5.14826647343413	2.91673876687376	3.15667930488605	1.5641637586342	1.25817982943331	5.45679010128376	2.01070911075441	3.12910484695353	1.62594442403914	1.8098089243306	2.33691632642302	2.91322394577386	1.80525528353508	0.431506689586776	2.12754304265879	1.46640254701913	4.61233742485036	2.6031371329869	0.925827536117745	4.24408682002764	2.90770043696664	2.10661042689822	2.78249424554587	1.32428019900898	3.66847084823242	5.23764732624399	2.14591636921385	3.49307772675158	4.34956572676171	3.9291915350542	3.3093313163495	0.431598970423157	2.82045902651136	3.115229450567	4.78109523694874	4.04712916572431	3.54020211904663
"BTLA"	1.5508417652578	2.70484702892145	2.4449358154702	1.69651573412127	1.54240921585565	3.51889785819259	1.93522866562409	1.2735349495154	2.30311895813742	1.92151109797402	2.31314621194116	2.35893156710083	1.79705364016781	1.56948028638724	2.42136970441355	1.39527724133855	2.18830207272241	1.99947328191755	2.37741577650648	1.21317166098107	1.59358665604617	0.918813578509212	1.74511705628782	1.70776335801183	1.65870557285854	2.1825901520907	2.05142567476505	1.89732300793818	1.67642630444215	2.76409224255504	1.99140814927983	1.67489673640183	1.82875100750902	1.9561814110246	2.34929996730253	2.55719173986496	2.43090766265669	0.765655977041368	2.23729134136186	1.60739112954658	1.53587114617986	2.52519295798181	2.12377656783769	1.76808994484439	1.6224810873062	2.24196456667074	0.959109312956237	3.08903888541625	1.61872154267099	1.15952157835858	2.06638710026733	1.06563308549693	1.091716508248	0.730106135316922	1.84346798490819	1.52561886749304	0.964956491979089	0.932405010782149	1.27388132145135	0.305694231400497	0.871848884812975	1.04299850259259	0.810353256157302	1.70088355473369	0.966173235542055	1.26119521695242	1.0111228990295	0.680457770671871	1.07296146580726	1.86068381570737	1.00819765575685	0.451873063793083	1.83807379814973	1.49888486593643	1.61824994712464	1.68910630480658	2.06112899490164	1.88314744648939	1.48715129286507	1.44028888593823	0.778126207820108	1.57108010404916	1.52100669068288	1.09351423064908	0.617331461972975	0.937093194388314
"PVRIG"	1.83840297976218	1.5648703251165	2.42810102614426	2.56033580218988	1.83692722702221	4.46657349523327	2.12585170390294	2.36724352003563	2.93626982433089	2.3634983683545	2.37109106982293	1.98853264879536	2.04743874624936	1.63014160645482	3.42261830198516	1.49806090068415	2.2734373937524	3.00440070502705	0.929154422411278	2.03805314869278	2.49856077889715	2.33842038118095	1.76262828207779	2.72739549503476	2.64121661797429	2.4615732507193	2.46786200166963	2.63071460688267	2.22223370806312	3.3871386599832	3.40506778594822	1.97674529690224	2.52845915654269	3.35006160688012	2.15691528368298	3.46309272527799	2.23781310489069	2.44082091428846	3.44261121003321	1.15640758883461	2.68307345552099	3.43707770499403	2.34854481263222	2.21521905427025	2.87025754350041	2.99483622125519	2.68304875789231	3.36255174334366	2.6628006842759	4.06495071662327	3.18320993593425	2.4989359507883	1.44312342897357	1.73816188470755	1.27517789289814	1.66532248660068	1.67001234074895	1.184136486215	2.37635876477034	0.830710886374658	1.63350231864415	0.930859628241324	1.13025528371697	1.32734627157974	1.08992710403296	1.41667832263642	2.42444986746297	1.63100940979459	1.98481220665156	2.31578702486694	2.63164039652306	0.986456217643967	1.91294897340463	2.39387403537946	1.97633739448131	1.52415653566426	2.13648589281469	2.78906050807749	2.5749264214397	2.38579218528517	1.61146221887695	1.81580212459793	1.83020798714294	2.7531594765563	1.91175845129967	2.42676338675153
"GZMK"	3.15295991289336	3.88724600642062	3.87009234497033	3.4151169542497	4.15213150876681	6.16060895619659	3.58388214429979	5.25651138873555	5.50972192228219	4.5900778944322	3.40317825059647	5.07996392615743	3.60487420853649	2.62347530785969	5.63748972590589	3.31733718225743	3.85445658184605	4.40956598625498	4.30109123082554	2.87567941306515	4.09467055726384	3.33893358227063	3.86976431081946	4.61243836437537	4.11063365679209	4.16902770084315	4.96928240599261	4.89840466640619	4.43524130923308	3.17671134501669	5.47366149432216	4.38291786666817	4.69481914015444	4.73913762978221	3.86090675654949	4.55465694544969	3.81990013110208	4.07625698886156	5.18717575751459	2.8519558056445	3.43364664929371	4.27285748893808	4.15062050965538	4.38154946561188	3.72137830600957	4.50124658101437	2.73422355645063	4.9020363696139	3.42051583502863	3.50543602563178	4.51556607079352	3.06539799364312	1.88242833493863	3.08022155525615	2.8378599693365	3.26402024897209	2.98677721949858	1.98831134796574	3.77401902176296	2.4909323103258	3.25469366179016	1.96767734961491	2.77833560000922	2.0427595979807	1.83569477305523	3.15650193210959	3.92870734111521	2.59907723855238	3.70350468530963	3.68638089899631	3.51803616290951	2.57992602244407	3.39097627010432	3.74529685889286	3.53374470588717	3.01255900239521	3.5787469095662	4.82293887573348	3.90206945416524	3.55021768958759	2.76972140762643	3.49728523697015	3.62488730898	3.39472838846318	3.17638997321088	1.9884258930176
"SPIB"	2.92020303621651	3.28924887546063	3.91926830538426	7.52069213720632	7.8693331065505	5.57399114842432	4.35236232931463	2.76106771167289	2.51836604739986	2.2931272008983	4.11407312487415	3.62135197178102	3.3842751641238	3.56362723044321	3.7383081812792	2.90131213356968	4.34350230583305	5.2079185803249	2.45482547398934	3.2658524194502	4.12826165544339	3.17021109471986	3.0750855561114	4.82023624639111	1.81506293217642	3.2307616689282	5.13606121788537	2.68053700134109	3.20710299076636	5.52260433835743	3.20030719999826	2.74254502902527	4.82746860155386	3.64510928229329	2.91646269697573	3.4193240687724	3.69219178457751	8.39560775195861	3.69959147752075	2.18473736394716	3.41594131454536	4.62733037429721	3.50668680727174	2.79125022144298	2.52654025794806	1.74822704467142	2.62861340357796	4.56625665840457	2.29802106760025	3.04160118253759	4.2762374693553	2.13446910163354	1.81064545754848	1.29083910552833	2.24313414280058	1.32191879228893	1.71677555334228	1.34571465283843	2.89597123810814	0.926580714237005	1.640201060537	2.735361580016	0.939379119363908	1.80277025802848	1.5658453207801	1.30659633846983	3.64541324687752	1.38341215194439	1.11773096571196	3.88836300441633	2.54571659502968	0.426499955101489	1.11065538649134	2.21434269474751	2.95571826778877	1.60152259217855	2.21557199129193	2.9346036211096	2.1552199124591	2.85182488126248	0.680113729774447	1.78272999923355	5.5328411681999	3.0572974288132	2.15331946141881	1.85364395702495
"TTC24"	1.25729968517076	1.00607595193711	0.582519521134449	0.474936229560827	0.957067149250921	0.690858891353344	0.477956012452719	1.01726277722971	2.50625937203016	0.508324062388	0.903318543040076	0.251105629604817	0.142819204848645	0.59716737763859	0.339529180197104	0.290641222774276	1.91074915095939	0.606567295991289	0	1.05889644579128	1.05244585893452	0.415140982329585	0.522364769684503	0.545353095777815	0.848198295529215	0.938255412148142	1.32471168832471	1.06592690750784	0.700327729312732	1.54408622726884	1.14196951158946	0.818844757997371	1.16425228126403	1.18235980539099	1.27434514630019	2.38339687495363	0.559302116344409	0.407360482672807	0.810777013870979	0.345252167805466	0.786334925418844	2.0562363240355	0.95887839780822	0.703569481540408	1.59969436492381	1.37694504847045	0.586853092620029	1.49211950004207	0.323938673194783	1.20218273076375	0.330060277036093	0.489515647892923	0.616263118098629	0.0940485779125291	0.655574921746304	0.0995275746440342	0.329276390744822	0.522171054795467	0.354629226929503	0.0282107204434743	0.20047413337817	0.413274068750663	0.201894712799958	0.40026580719367	0.323361456318351	0.348917853098911	0.581502053155525	0.182645909036414	0.791700850414612	0.85162151548599	0.573045110830093	0.206327226043883	0.629969539798254	0.515413859911654	0.743861510098472	0.397524887606721	1.40754865188991	0.98526105990767	1.18566627315392	0.762463286098086	0.844844154708251	0.336226601397663	0.563596182207875	0.857974118343961	0.860725673964812	0.537079848630072
"ZNF831"	0.822894387576187	0.80502811949197	0.720257621160176	0.457683459422749	0.511154759580988	1.53901964441672	0.533465445717835	0.660600687881933	0.985200923145481	0.64388579213685	1.17204483188644	0.711591103067313	0.692381548861387	0.529393479088898	0.904083505760738	0.639665068262208	1.15002971689331	0.658359966617748	0.900212594915398	0.559748601228672	0.803990465091077	0.616575281137486	0.760468196450981	0.716094832775109	0.694264172777843	0.660049250458544	1.33915717230111	1.05812464885662	0.857144597465939	0.934100511388295	1.10668859017914	0.903421889395371	0.814896729848159	0.927119288664202	0.658470883411425	1.44299600532412	1.08095200352317	0.49161102615012	1.1894924946057	0.570830403081848	0.684916240246251	1.4748587418407	0.725097742452258	1.0385343705013	0.774855781487395	1.00801556505682	0.583102451743269	1.43487079888792	0.712933107317751	0.487350690320018	0.927008447057666	0.3052817961207	0.31316865322657	0.426637333848808	0.295151757792779	0.0846261236419786	0.137487512631162	0.428003847050281	0.46434110499371	0.272785142965307	0.535950256657991	0.298210341697866	0.503043502689423	0.305437875074003	0.274892516911708	0.21544079003694	0.596617057701493	0.532926774261355	0.480850965101172	0.891828022834141	0.344298660323586	0.143472111436681	0.350522139964668	0.278792702705793	0.620746916416547	0.41157115612006	0.622853581042361	0.796661798473145	0.856054286450729	0.67229947470257	0.191368520145666	0.317754899215491	0.357535244594319	0.707490996862152	0.243072323186141	0.342230391951679
"RTP5"	0.145825444596658	0.106487065975032	0.058509037635442	0.0765736532475333	0.071625413140034	0.150544734511619	0.152013833487212	0.219383423542534	0.630144382346283	0.252119091010722	0	0.0756302074406516	0.0950062146655784	0.177107602987409	0.127158274673974	0.1025469747926	0.505295938220016	0.0855582194819913	0	0.14972889995746	0.297288586604006	0.0972528579147089	0.185830636352612	0.116332790697836	0.284844373472098	0.278266409752793	0.180575127176469	0.170334081730774	0.123849683290433	0.652120832515701	0.37700173069831	0.195934461587186	0.208468237714551	0.150126606425834	0.353240702677736	0.375217028693583	0.203420387900115	0.0627556986208928	0.216181947404729	0.0312175244511939	0.156295516101122	0.477736823977883	0.11407752290038	0.11370399985857	0.254280986644431	0.50898312602082	0.0843074540445172	0.703259880329195	0.150030930029034	0.2185056420575	0.229496916881962	0.0206235361794398	0.0872909386412652	0.0928813811780989	0.0316073618790719	0.0298370088793679	0.0383368296297529	0	0.0245610316582499	0.0457608194596124	0.130024059581817	0.0255091523451376	0.153543157571641	0.0801443765364487	0.0507108119977392	0.0334019036370286	0.174641328892718	0.136410234923853	0.0622241885967699	0.152508603934316	0.118749882484487	0	0.0457251714270317	0.120782900958068	0.133215659469541	0.055418720929094	0.123772230838618	0.181724457527883	0.273093942804875	0.102898438968213	0.09708655305046	0.0431708321223599	0.0706940036743948	0.17236351963112	0.12219578320546	0.0983549193158207
"GPR174"	2.01812750509914	1.82155124043447	2.24491580592948	1.46069374215583	1.90069890718719	2.13790106657563	0.935940578320416	1.47689429595878	2.67059706137306	1.4687528311289	2.85691447827217	2.23742032779828	1.84059492901369	0.98332898217875	2.26347675410823	1.78953549769845	2.51051000864386	1.73212648132437	1.18753124547766	1.21428309599852	1.97389097027523	1.32203868274903	2.10944989355977	1.88751068604596	1.7038755054054	2.06321179050648	2.51430635464927	2.68023868818831	1.78892670927558	2.30883810652833	2.18904176432824	2.11701836236862	2.5301589818263	2.26026478482753	1.41336465145812	3.49051656826504	2.78887592660652	1.33102807826546	2.62768561796625	1.65572671044251	1.4148539592502	2.79037480318018	2.58990175901223	2.30890641567109	2.33033342533309	2.441900540674	1.10336209786505	3.12762442970632	1.1420742489565	1.79918156894596	2.37765597820785	1.38571035639836	1.08962854903278	0.902089930632079	1.08356810236351	0.735621542621588	1.05714793813796	1.12945435260717	1.03300130544243	0	0.508924457161668	1.20920604221022	0.738843472653869	0.836371630944223	0.625979675183745	1.07123595121255	1.07716114701694	0.745713275881574	1.84100632128244	2.04185345544237	1.01505219551631	0.821017973869958	0.723951897997719	1.56456443710554	1.60746858339583	1.10556057059283	2.26752352259614	2.18668627764364	2.43592026607896	1.80512017361469	1.2453919573245	1.68812554973606	1.05763494020596	1.41038305387038	0.435519902906251	1.11952712770641
