"TCGA.05.4410.01A.21R.1858.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.77.8133.01A.12R.2247.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.95.A4VK.01A.11R.A262.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.63.A5MT.01A.21R.A26W.07"	"TCGA.77.8007.01A.11R.2187.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.NJ.A4YG.01A.22R.A262.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.J2.8194.01A.11R.2241.07"	"TCGA.05.4249.01A.01R.1107.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.55.8087.01A.11R.2241.07"	"TCGA.95.8039.01A.11R.2241.07"	"TCGA.95.8494.01A.11R.2326.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.34.5241.01A.01R.1443.07"	"TCGA.63.A5MM.01A.11R.A26W.07"	"TCGA.66.2734.01A.01R.0980.07"	"TCGA.66.2768.01A.01R.0851.07"	"TCGA.66.2788.01A.01R.0980.07"	"TCGA.85.8351.01A.11R.2296.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.77.8008.01A.21R.2187.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"
"SLAMF1"	2.23665028840044	2.88739229085779	2.9618534245726	3.09420379024924	2.5447623321481	2.5291367404403	2.52979889457828	3.20427025921125	3.09825816514964	3.46854542565742	3.15879400045334	2.80749279113983	2.70061032656397	3.0351305376757	2.99445149257038	2.89143304709887	2.5925101615262	2.09673730225621	3.31383742676353	2.98997097810444	2.43446886841728	3.71125745665977	3.15033164041953	2.65499769169906	1.6203763548941	3.36816579835733	2.99268947967054	2.2585403808968	2.70826596540974	3.36891568237286	2.35582886570225	2.01632432742309	1.17651067565547	1.37186020224285	1.53103456231389	0.520280028127838	2.02702068811867	2.67230795062306	1.48291016794778	1.99645224850835	2.53344874047765	2.54226599925716	2.56380938381824	2.21934735471677	0.88652363082655	2.00953108939095	1.80494619813217	1.22146158148369	2.04780957085129	1.16791898892373	1.71717246790484	1.2583447325706	0.643385302977939	1.93914954318175	1.5540471940892	0.819830961410749	0.984255773046591	1.20809347027319	2.031749500012	0.881900083203727	2.14024142342183	2.29073347603119	1.80931692062774	0.61794915164436	1.20002080470859	1.72181795742013	2.56547606312273	2.08261534269647	1.15463325781977	1.95790292973274	0.958780774081302	1.28663659398967	1.309773386283	1.33096170196584	0.695906905595467	0.539377054987756	1.94336044027285	0.571290475210428	2.28260696121439	1.64746955299284	1.89880062999045	1.3930560552685	0.455464459612389	0.540836442242838	1.51960427538651	1.80124061772774	1.52907725669966	1.14394437802887	1.69664320961283	1.80737532218095
"HLA.DOB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LTB"	4.0768212372569	6.00554683872565	6.01770471182171	7.42757237064667	5.10698470538456	4.85965488734684	5.1688954929627	5.95355406731534	3.3725525463092	7.20807536128373	5.12355933046709	5.86243399373771	2.896096986957	4.92449557667441	5.73329950521071	6.099635045772	6.8248295557169	5.14279304858922	6.71719532148701	5.41526150685509	5.37267133509121	5.49661182003941	4.25927251145018	6.58157030349598	5.55730274033295	6.40126161927977	3.46751651818703	5.22678175880152	5.0261585086507	6.58504558405915	6.18046437180065	4.6575971400299	3.46993364629816	3.53097276679253	4.11378229705198	2.59583897870686	5.10908050370377	4.2846961580973	3.81290824251814	5.55124685058458	5.35122046876534	3.67096405981148	7.49739911732135	4.59667675593476	3.74577930043556	4.35664726256268	2.88020495105434	5.13293152859863	4.31457554508898	3.31158808833872	3.25060797102917	4.48140782426369	2.53624644795054	4.05231122518424	4.44896048794229	3.18998364676181	3.75158720985504	3.5984225038397	3.13900038096695	2.99257345446951	2.3639115534123	2.46550112694389	3.23328114214151	3.01359993763639	3.90995504070567	6.61309236598694	7.07636570774733	6.09950761026519	6.24508796707483	6.23193119473778	6.02723648214991	4.55468974269864	3.27710125420606	3.89119552851004	3.45874530332532	3.43267897086642	3.87086469825479	2.84283637768855	4.65428906987072	2.96556486982853	5.47610889104511	4.56373801627511	3.0092315030279	4.46280368867808	5.30582565735022	4.30199132186877	4.68069193899967	3.4630640654831	3.46853628859291	4.98252442626737
"WDFY4"	3.00374360549191	3.05022139751557	2.74909480526821	4.40574926026851	3.52525054821064	2.80190606551973	2.9903946563167	3.49219420228796	3.72446741655503	3.76880362228744	2.59427529339087	3.32706781360775	3.44509269062769	3.2008091852578	3.30593681370384	3.38969560851869	4.24085835122343	3.56799953703487	2.78452673143346	3.2041024299122	3.56414773899231	3.79644842804115	6.63185836309692	3.4642231302745	3.07791488460914	4.45302894802896	3.37921384191061	2.97804027852638	3.32285166164254	4.51150249335438	3.69891473929919	2.74856888499156	3.18774767881265	3.18262463073471	4.19675607382041	3.42437688535064	3.16930456953437	4.26686118763696	3.5702476264788	3.78979905697139	4.07956797885194	1.32531569191519	3.12314192673155	2.89817876013472	1.71157436237769	3.05972780976345	1.93066463930091	2.57867420281822	3.38561609624302	3.47437733607192	3.77983478967827	3.43239746990413	3.02090352685315	3.45312704471245	2.78988444620513	2.84355826777198	3.30795899306502	3.66036608568918	3.44012095925825	3.39037848620194	2.59078791604876	3.1994966019473	3.92799264403442	2.8764276442059	3.10553481289782	3.14168072696582	3.37575930186623	4.61391503510433	2.06992984354948	3.27850615733605	2.12495005851273	2.24723849895599	1.4531610838632	1.98508334403979	1.87580233933846	1.13039214004011	2.04468084621399	1.30212504838131	2.91031309119725	2.15169060458377	2.55905001654701	3.29115803554115	0.890472426816762	2.60804088720625	2.62632540767478	2.42238602602333	2.61474018738524	2.54542787769222	2.18887190493945	3.45719992831522
"ITK"	2.78633328261833	3.08055189085363	2.47642837642683	4.20172479207316	3.93364230849036	3.2250429241183	2.58743576316917	3.31855027161514	2.27095565243717	3.6064411654254	3.02551321551755	2.9407837485949	3.7697492834622	3.02337474850756	3.87317810927612	3.5677830566787	2.88195258358508	3.30199006896348	3.03501256838468	2.94071451054388	2.98419644600082	3.79348038471147	3.44514093796146	3.11237378405816	2.99122846840474	3.56387368556073	3.60550326183083	3.40578806756342	3.50870320009884	4.30052559154637	3.29580689362552	2.14971952127385	1.96775722873349	2.76977132686756	2.55069656491658	1.09963560159043	2.40425398638447	3.44182684246986	2.6557738977853	2.42800464840986	2.85679713423768	2.25232346219863	2.26535627144387	3.00198465830423	2.21842764827836	2.26128490193653	1.92848809582896	1.78208600980151	2.49701422250375	1.77562068403586	2.81895350108104	2.10072655015654	2.2723079640764	3.1330630430902	2.16959325589011	1.78498360538561	2.02846643778183	2.67951720638034	2.23132378606231	1.97530036981006	2.76622138680413	3.19273400356705	2.81319246220862	2.19305429475089	1.8029212114204	1.50153976386845	3.07597396804296	2.44897154804404	1.6448200389166	2.5672609986521	1.42129145274632	1.5628582899334	2.0016145248668	2.03827659945952	1.03382415357531	1.29106875601475	2.13096643051565	1.20223966779515	2.64550607189229	2.01280825491696	2.30897567729895	2.12595714810112	1.51854924671775	1.10211342139659	1.67036857832851	2.18641717567801	1.8928192672141	1.46455179960988	2.24177596815658	3.05977532461
"CLECL1"	2.22611711843606	2.38772682141821	1.68212193039363	4.25842111609367	2.20437370894614	1.85376143897208	2.42944827789034	2.62756930776998	1.42222309182843	2.99680386975421	1.7090239828322	2.5559941342215	2.41964028680466	2.39085861016938	2.53733292296482	2.56254970572784	2.66446254663168	1.96713001536825	1.82364533213866	2.74009967358767	2.54229767661209	2.61155745383677	2.15197226574578	2.77766748741964	2.05285005481574	2.92399781737928	2.66378056429857	2.53389008913187	2.39317954738082	2.68606294772596	2.94380869458637	2.05868419575493	1.52708011477906	1.21038411576415	1.41287306003206	1.63334799726467	2.3817924195212	1.15488236367617	1.52056442576849	1.83371526345013	2.09160772545031	2.1433911316625	2.65345469318657	1.20157455382369	1.1857989424575	1.17137187953025	0.910884123814804	1.23556483074737	1.46664963554166	1.51530172985956	1.24214703191674	0.790592795659981	0.769288872478371	1.41614840970702	1.38629882623276	1.59619773958798	0.7589564722828	1.1153670013673	1.39507362621336	0.695182244240357	1.68856910052293	1.81495155053604	1.02102679779732	0.510950130797063	1.63079485124443	2.51128774690881	2.8654934688378	1.8434108461369	2.30275792331336	2.27912234934852	2.47287119138539	1.76609163303899	1.75357293725785	0.790476668351796	0.867240480856463	0.717051459556833	0.915072851518231	0.764137075526732	2.33955857528006	0.71737497117821	1.89702943512787	1.85744910550322	0.178779957431764	1.72294562321887	1.84666846075133	0.996124872543852	0.993147637488403	1.29927775469824	1.19277184086607	2.11708055812834
"ADORA2A"	1.61860522159135	1.9287221738573	2.05823041829214	1.85974816621674	1.82335950017811	2.18619500695257	1.30394114724515	2.23527153907111	2.21677718696446	2.24999959578901	2.63836828434391	1.82086285479595	2.12457344873636	2.12733089698072	2.34806115455559	2.32320576144291	1.87492296563228	2.30578492974487	2.26079707810312	2.8071027753097	1.42443149245668	3.32477235008199	1.0612022397826	1.93686743803389	1.13607894095456	2.75095097647944	1.56318608420332	1.5609206116736	1.90128016066872	2.57067913032763	1.58674643308011	1.70162628243324	1.58269160495262	1.26812752668174	1.27367753124487	0.810826289826276	1.40285907702705	2.18232092444343	1.14756251075801	1.45487200706406	1.67997446823993	1.02352583976778	2.06234038296801	1.84849295039207	1.27363713852496	1.61647739681223	1.56326411495332	0.198529671155013	1.30125886710973	2.15794797212846	1.81703799652618	1.05636458069645	0.620398496842123	1.75186096291245	1.08375410955505	1.19692875407636	1.49075689464332	1.4754232775974	1.14410816034003	0.922737760342299	0.945176462113677	0.780518708901413	1.06996140882648	1.54340992270592	0.925677254022925	1.47464420867984	1.77636404184776	0	0.919524119659547	1.2870052711402	0.834220565934673	0.546618371109002	0.771932782471781	0.712755527730387	0.958740669610639	1.03542049404364	1.95510391059307	0.84659541737654	1.19577944794089	1.1442176099511	1.34748711612099	1.88957504673847	2.09502417308742	0.457217959102976	0.835326666817693	1.50100266871332	2.19065650024253	0.976858042759951	0.603446473045007	1.10743237120868
"SP140"	3.56726218582703	3.27036140416975	3.34413966083325	4.99279821946453	3.70127895524871	3.03599034314733	3.44317971450768	4.0502176997437	3.63530798803045	4.28889347576681	5.18784376572574	3.76468125546364	3.76734370019823	3.54990048958539	5.23406650855237	3.88606655289123	4.38240800199957	3.50288512891639	3.42910023036245	3.94564890585969	3.91340840935827	4.45042328375131	3.94335111529838	3.29472613263131	3.83461004176097	3.98950875721628	4.61468364101966	3.60423609341793	4.08066990566709	4.51114464520275	4.1467035777755	3.2187634765289	2.59154487396608	2.36812247537974	3.02470080935362	2.7080328081212	2.98967214626151	3.21959233961904	3.569345914689	3.29519094431663	3.49493653690118	2.98602577022774	3.36206227398488	3.16727309952595	3.24290038915688	2.87338083025495	2.32687543352474	2.45751784437612	2.92294114811882	2.79534476017716	2.71872061386815	2.54336925265673	2.40933724773226	2.73158257690753	2.46297845421848	2.41353497318978	2.69356063661795	2.38100299100075	2.86166639456246	3.17754756548178	2.87239838016784	3.27491014531209	2.68987885806774	2.29041010466655	2.16647270811819	2.97688237913852	3.44948688322341	3.21151209820306	1.93658537536095	2.96396345688987	2.60013745491751	1.85866755432001	1.99991565226859	2.96199392628065	1.53509154176251	2.05135860199303	2.84457421718564	1.68006481095598	2.91529687903165	2.60662930456638	2.63041274395027	2.99831744663264	1.83776189887249	2.02327006454503	2.5497205748685	2.60357120490175	2.27470505138255	1.99282775185021	2.53046002560396	3.47780819283871
"SIT1"	3.0545800906923	3.6184773953588	3.31729880727834	4.54167320449262	3.53898704038085	2.69960783481156	3.71639702132301	4.23578995964	2.83957242133865	3.48797146526155	3.69810060942815	3.9631432886699	2.39334924013824	3.36088669720002	2.96386143691989	3.34536597183129	3.88663164093232	3.65437094728934	3.62959862032351	3.29150800654702	2.83632298352379	4.00191374315254	4.26472742901911	4.13611198966313	2.69198440018817	4.27264197295803	2.88772986414231	3.08302770858332	3.71319082588045	3.87969729999211	3.40683326352699	2.61272791379933	1.33802288093444	2.20517618194833	2.25806970808743	1.20373708750102	2.23943883658202	2.70765416562205	1.68716776825418	2.64169494802118	2.91817790079782	3.88259194295844	3.17077670890817	2.9830640047221	1.13908367632111	2.52355446148382	1.79715147755587	1.41898391090856	2.59523197995659	1.51625008556518	1.85385982142749	2.2468946898329	0.928458400590742	1.99551652559017	1.85934912179318	0.543937091976943	2.0326269686177	1.72649773231296	2.43431809943677	1.41540009178294	3.3465555254446	2.66859930887352	1.9994599559032	1.30300651453873	1.41678602577118	2.22960668002197	3.71266183456236	2.5647550636684	1.4694616952294	2.63990918577383	1.08866775174104	1.71931698935638	2.83958965165647	2.15380003251429	1.21083157322959	1.9144401277918	2.6978681286283	1.48981406557617	2.95621322065506	2.35064573999487	1.82911115274903	2.51613658918591	1.51129466304201	1.02870760752783	2.02369132942259	2.3549751211731	1.9019880456226	1.72066499289535	2.15458561009099	2.72771037056167
"ICOS"	1.58258678339876	3.1449070863819	2.50884293417552	1.69938132132141	2.05311095490631	1.91891211097326	2.46800199773656	2.6684047056309	1.27645278442286	2.1725298197261	1.15143913858486	1.75785152335892	2.19934965928518	2.16785941217742	2.42118400265546	2.25096745715972	1.98903279827806	1.80177369474538	2.56870222724972	1.88533380441475	1.86918500889586	2.50324403930411	2.10276451169276	2.62267211497477	1.28558117183271	2.92402250538252	2.54663364847593	2.15244003049495	2.34203891476331	3.37772858021986	1.28627373251781	1.59176072030023	0.793290078945824	1.32580293644032	1.89804408028415	1.83391730034273	1.9818730616112	2.46996049433254	1.85283226140331	1.53528898687424	2.04439436310262	2.1032150536322	1.97954589217681	1.77144107119129	1.31436551213512	1.630879688325	1.38151177089813	1.22171514114116	1.59839543521326	2.05079918836081	2.21862911501132	2.55066016987291	1.59976058826325	2.65029745372896	0.976603084428904	1.70886934680208	1.88737014894882	1.77684084497394	1.41119845173267	0.759262057884366	2.06288058280647	1.49626420480546	1.89316340678554	1.42826009439195	0.819991224495792	1.54175152725171	2.64275989724421	1.7533548188652	0.453835489102562	2.1063562538171	0.906858612706221	0.946107500822149	1.62751033930684	1.94602285410843	0.545975617354951	1.57738504525613	1.17147767147123	0.593696364402529	1.63711204686102	1.07786759080275	1.18996493261546	1.57621114277079	0.851733657259675	0.599967734351804	1.21554395185495	1.18936647951708	1.54434486075592	0.712558366644578	1.75398294470479	1.34781377185515
