"TCGA.44.3398.01A.01R.1107.07"	"TCGA.78.8640.01A.11R.2403.07"	"TCGA.49.6744.11A.01R.1858.07"	"TCGA.97.A4M2.01A.12R.A24X.07"	"TCGA.49.4512.11A.01R.1858.07"	"TCGA.75.6205.01A.11R.1755.07"	"TCGA.05.4432.01A.01R.1206.07"	"TCGA.75.6203.01A.11R.1755.07"	"TCGA.62.A46O.01A.11R.A24H.07"	"TCGA.78.8662.01A.11R.2403.07"	"TCGA.J2.A4AE.01A.21R.A24H.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.L9.A443.01A.12R.A24H.07"	"TCGA.50.5942.01A.21R.1755.07"	"TCGA.55.6980.11A.01R.1949.07"	"TCGA.L9.A444.01A.21R.A24H.07"	"TCGA.44.A47A.01A.21R.A24H.07"	"TCGA.64.5774.01A.01R.1628.07"	"TCGA.78.7153.01A.11R.2039.07"	"TCGA.78.7156.01A.11R.2039.07"	"TCGA.44.A47B.01A.11R.A24H.07"	"TCGA.50.6590.01A.12R.1858.07"	"TCGA.78.7154.01A.11R.2039.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.55.7815.01A.11R.2170.07"	"TCGA.J2.A4AG.01A.11R.A24H.07"	"TCGA.55.6979.01A.11R.1949.07"	"TCGA.55.8302.01A.11R.2326.07"	"TCGA.55.6985.11A.01R.1949.07"	"TCGA.69.7980.01A.11R.2187.07"	"TCGA.73.4675.01A.01R.1206.07"	"TCGA.55.6969.01A.11R.1949.07"	"TCGA.91.8499.01A.11R.2403.07"	"TCGA.44.6775.01A.11R.1858.07"	"TCGA.55.7284.01B.11R.2241.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.44.6147.11A.01R.1858.07"	"TCGA.38.4631.01A.01R.1755.07"	"TCGA.44.7672.01A.11R.2066.07"	"TCGA.49.AAR2.01A.11R.A39D.07"	"TCGA.55.7227.01A.11R.2039.07"	"TCGA.86.8076.01A.31R.2241.07"	"TCGA.73.A9RS.01A.11R.A41B.07"	"TCGA.05.4417.01A.22R.1858.07"	"TCGA.78.7158.01A.11R.2039.07"	"TCGA.05.4398.01A.01R.1206.07"	"TCGA.50.8460.01A.11R.2326.07"	"TCGA.62.8399.01A.21R.2326.07"	"TCGA.55.7281.01A.11R.2039.07"	"TCGA.49.4488.01A.01R.1755.07"	"TCGA.44.A4SU.01A.11R.A24X.07"	"TCGA.NJ.A4YP.01A.11R.A262.07"	"TCGA.55.8208.01A.11R.2241.07"	"TCGA.55.8097.01A.11R.2241.07"	"TCGA.78.7143.01A.11R.2039.07"	"TCGA.67.3772.01A.01R.0946.07"	"TCGA.05.4405.01A.21R.1858.07"	"TCGA.64.5775.01A.01R.1628.07"	"TCGA.86.8358.01A.11R.2326.07"	"TCGA.99.8028.01A.11R.2241.07"	"TCGA.75.5126.01A.01R.1755.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.49.AAR0.01A.21R.A39D.07"	"TCGA.44.2662.11A.01R.1758.07"	"TCGA.73.4677.01A.01R.1206.07"	"TCGA.MP.A4SY.01A.21R.A24X.07"	"TCGA.55.5899.01A.11R.1628.07"	"TCGA.86.7954.01A.11R.2187.07"	"TCGA.71.6725.01A.11R.1858.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.05.4424.01A.22R.1858.07"	"TCGA.49.4501.01A.01R.1206.07"	"TCGA.44.2657.11A.01R.1758.07"	"TCGA.49.4512.01A.21R.1858.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.50.5055.01A.01R.1628.07"	"TCGA.55.8299.01A.11R.2287.07"	"TCGA.44.5643.01A.01R.1628.07"	"TCGA.55.6987.01A.11R.1949.07"	"TCGA.05.5423.01A.01R.1628.07"	"TCGA.44.2655.01A.01R.0946.07"	"TCGA.80.5608.01A.31R.1949.07"	"TCGA.55.1596.01A.01R.0946.07"	"TCGA.91.6828.11A.01R.1858.07"	"TCGA.44.7661.01A.11R.2066.07"	"TCGA.91.6836.01A.21R.1858.07"	"TCGA.67.6217.01A.11R.1755.07"	"TCGA.64.1678.01A.01R.0946.07"	"TCGA.75.5146.01A.01R.1628.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.44.2659.01A.01R.0946.07"	"TCGA.55.6986.01A.11R.1949.07"	"TCGA.NJ.A55A.01A.11R.A262.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.86.8281.01A.11R.2287.07"	"TCGA.64.1680.01A.02R.0946.07"	"TCGA.05.4403.01A.01R.1206.07"	"TCGA.44.6777.01A.11R.1858.07"
"CE1"	0.284408199794476	0.0146562782608431	0.0454576455551179	0.0116756702503087	0.0212756513710287	0.280901408678377	0.075831743927716	0.0334090732632939	0.00575041884289408	0.0303058680962196	0.00983376856705228	0.0864663047203687	0.117524217147358	0.112211836019352	0.0114366438392863	0.108109749872412	0.0460869564009088	0.0909223558448137	0.00170961370329052	0.00778952403100905	0.146226818595348	0.190456273729253	0.0294424784229585	0.135654830439532	0.235904868913054	0.142600495882377	0.20064073222836	0.077527520171639	0.0229890056171082	0.108749244913556	0.224182204755995	0.206235372097769	0.0751135125757646	0.328509677976145	0.0631671042821542	0.289006168118273	0.179293189841305	0.0565990262074747	0.0456282210449566	0.31390835793319	0.000227508884139291	0.301350995632959	0.0448738578517915	0.00078509091924417	0.293827486739999	0.0484133160088423	0.143271339210308	0.0447767760127623	0.153067121129996	0.26717203235794	0.156182087959343	0.0542410051581071	0.378222285603138	0.186496696444654	0.041294039363585	0.0271333225574948	0.319541842087321	0.301188031036334	0.329658274072031	0.0626608180942517	0.194744834928056	0.123654312208712	0.375457956471593	0.0154018114215325	0.00937281279074	0.0601725338405537	0.0358247412800057	0.262336010364263	0.0895760114064578	0.0851908253078334	0.0901578673218971	0.135228321287862	0.157229401380397	0.194980837538655	0.0268266881503816	0.379835878331037	0.0457126211401734	0.205515376893946	0.283798973373552	0.0278052317956088	0.114046134992363	0.103657100473873	0.0497430515935541	0.0232940292449732	0.0107099588155634	0.00444026411349022	0.233315077042289	0.0718407442118061	0.0463565541712658	0.00646874007861622	0.0750012886384475	0.445812107596254	0.17025427554605	0.138066228159228	0.0282725274171364	0.0154648649577818	0.0408113937098235	0.103463670342364	0.0465443850622092	0.385614974728977
"CE2"	0.111098899043566	0.152232869173242	0.0142703517762159	0.0282550444399103	0.0123634268456527	0.0923347078904171	0.0984148594635111	0.0048998748457604	0.138395165635337	0.192286338590807	0.0330097137208333	0.0367829248286132	0.0986352000374514	0.0333064214739112	0.0224977688081917	0.0308988741277038	0.106912803173698	0.0903861363927814	0.0305191973755444	0.0308872754485021	0.0549671349936813	0.256307012665814	0.234243573940533	0.0318046653411774	0.0682565985209285	0.0381125883541834	0.106016502746061	0.314809714901819	0.0606166826606511	0.08026967341156	0.13937070944771	0.0568189941412362	0.0430141945099655	0.0524675141598876	0.121762210931321	0.00794561290757607	0.0576321514337801	0.0720783280600853	0.224012468919421	0.0445916825313717	0.0752822395255135	0.0548364915085578	0.0916687905411727	0.0849113406245744	0.0378172575378496	0.0554310476504228	0.146017684912074	0.0757339303510558	0.149157434586276	0.180651932169056	0.217808434211171	0.0609953977685171	0.273961801714414	0.0963480782890607	0.0268241835457554	0.0619948988810752	0.137741983783697	0.0421380281215736	0.31744400668761	0.0406775639349972	0.0458768494162942	0.186625353228309	0.069012638423503	0.0162873857184437	0.0375251383797977	0.0220803052638348	0.0974401625831908	0.136964450831263	0.0733421596077646	0.0465922807462338	0.0452648852673673	0.158667265397506	0.0552796534639474	0.0519750608177133	0.0104062840901579	0.0381640950749816	0.203886173959657	0.0358067618961036	0.123505037641106	0.282108577850232	0.069657863703579	0.0277172774090757	0.139335535115889	0.0492800202077588	0.155706336831888	0.0630078954731191	0.163843963432995	0.161296895090727	0.0106965106436245	0.131204632288117	0.00669509652604031	0.170415473007782	0.00739917941439152	0.18144381618466	0.0711127115700169	0.0446252023618139	0.0451100306065457	0.273749393995318	0.278009172749011	0.0294506967643904
"CE3"	0.195057522685515	0.0162294636183314	0.11002992886234	0.107265231639066	0.157622976210739	0.115365065160597	0.061127772158463	0.252212427534429	0.00580273214960629	0.0100982627692975	0.0708933203599418	0.212909217034315	0.00712864857907557	1.75967298574906e-14	0.0779433246502697	0.0135203371276568	0.0491963035373231	0.034778818559109	5.86883804808898e-14	2.69833278257091e-14	0.0389563329515967	0.0536157231987948	0.0158258778926331	0.0117763260660132	0.074146506992191	0.108080143447196	0.0962803404541612	0.0283014036004204	0.204997873026689	0.0352308747143613	0.046007840245829	0.0251178640502109	0.0303962053244687	0.179528964010655	0.0939955338198505	0.0854650068505095	0.00628384431355672	0.208964414390053	0.067522896343623	0.0874198403969002	0.00280649332788936	0.0881936622166537	0.0175344120371125	0.00124655478557939	0.0873676911224953	0.00287317538315782	0.179874126742641	0.0155342440996314	0.0724823024216616	0.191164653238395	0.0201857143971532	0.00197792553268816	0.0180903670828207	0.113354265110559	0.00181009911038276	0.0205243569963063	0.105096726478262	0.0637327707191711	0.0211505265813859	0.00103233539992184	0.111867917993848	0.306720680174959	0.0686907758875119	0.115669088357847	0.0335035427614888	0.238360850923941	0.0187089886004949	0.0385006719980976	0.00738325057254654	0.0790246183530318	0.0165848115086893	0.0929285192017641	0.14505198235941	0.0129168263072466	0.11488758808069	0.0413124968091424	0.0143191085794965	0.00801926338422919	0.0689432330837299	0.0365687362573111	0.0926616245349897	0.299258521647985	0.0427441582445225	0.0165968597970599	0.017091059700862	0.158861017137882	0.145452738344182	0.0289782916189223	0.00359556686595623	0.000432903634977004	2.95328311883851e-14	0.0870252939665019	1.55682615667724e-14	0.0362801087755152	0.00115027151530041	0.22626163873265	0.0037881257247969	8.06218489892726e-14	0.277341115781237	0.219080651770808
"CE4"	0.0532647413252884	0.0979308606529047	0.0629694291481936	0.120728756025619	0.0872268936901967	0.0119876960215929	0.147308074231502	0.0794013292337877	0.122292363940336	0.210281024944484	0.117671832613803	0.0279493221442375	0.198076999384923	0.143059003966101	0.106840565076811	0.0997902352506733	0.159365143953753	0.0741156361465798	0.354926414238611	0.190570560501333	0.13974638342855	0.0288121822768499	0.108886700586418	0.102620340498543	0.0770640185840732	0.0506673476008899	0.0538432353400243	0.0900480077063567	0.0360196114141161	0.119475524644982	0.11165208176107	0.067474833394533	0.117325589542652	0.0502012850057604	0.184050087097007	0.0230179100723957	0.060043483040034	0.0567337237568602	0.109862304757236	0.0310988539655754	0.368134527111284	0.0687674273059054	0.0518468926201604	0.0913103602906656	0.0813428723418002	0.137807736492906	0.0818492427123542	0.145028768038516	0.0933454754861839	0.0805098001710064	0.152541093462101	0.162816381994292	0.0936465857991835	0.0250754493419665	0.0861751684046796	0.0544036023292761	0.0446616500519725	0.0689465615720993	0.0788891670058355	0.100136094140665	0.0642348980164779	0.0250518664809695	0.191306580805056	0.0812649427969409	0.130827962827048	0.0424862345049088	0.0901665493680307	0.110707289835133	0.1161780285484	0.076511835833002	0.117681049447949	0.10822324920652	0.0512222870264004	0.148648794409964	0.0327563916150184	0.170372060617168	0.152446789353936	0.0656294128842777	0.033192503460825	0.0163284537614728	0.0796507704044059	0.128243592196894	0.0652541272075503	0.153448906867409	0.134160450562535	0.0793274200016779	0.0316576098384147	0.0309840974577574	0.114598198989793	0.0767589881588064	0.0683638296175073	0.0591019078134851	0.120135372309045	0.0873831340763582	0.108886557632703	0.10848740754286	0.104728379752736	0.0651273097429152	0.170311155158757	0.0357066691711256
"CE5"	0.0388269802549677	0.197868270059701	0.0142385958759462	0.080298103165849	0.0174037353303937	0.0084441093476409	0.169649630847208	0.0202317234070636	0.131203350859935	0.0980933015744061	0.0534214001572762	0.00695663058233056	0.12454902777267	0.0738778909533047	0.0307969054420814	0.0588858347746034	0.122983016758685	0.210519507779812	0.245192869474846	0.0884497223468712	0.125170450892901	0.0490301523243023	0.0945057720312532	0.0505809658065367	0.0349712100618948	0.0713046178602049	0.024927627408818	0.0717890118686909	0.0250468034602076	0.0901714716904948	0.129386960007448	0.164443461941394	0.307223851791077	0.0319797596124702	0.018397169839151	0.0201069178313052	0.104480086063255	0.026170912829819	0.223568758281413	0.0145492516858155	0.218944545618122	0.0355252081706042	0.0392121386941207	0.115754406037952	0.0576636656103991	0.152022702387715	0.0501641886896108	0.0491092326436073	0.0921204910824347	0.0891375370182956	0.0678606782722716	0.0876686144645834	0.049495216997523	0.0185663436292044	0.126915958620773	0.132450868938205	0.101540763617075	0.0805919994463054	0.0716495300629083	0.383357097347201	0.022072690485683	0.013207414550279	0.0539106808828508	0.0160233302784201	0.239373719477738	0.0006447031960038	0.0146093703383829	0.0459221619825147	0.341547581090984	0.0690557776712534	0.147350537975993	0.0723592696820768	0.0957877471194846	0.128500669090513	0.0299387116132167	0.13532179613802	0.143307758973998	0.060300356864184	0.00791468661570724	0.135844654954538	0.012360098590135	0.0394670847500483	0.0730558704883573	0.210190394114108	0.140563201182433	0.042567320115776	0.0449254282563783	0.0995548747720856	0.0865697179589665	0.403507343897037	0.0660873021928216	0.0862333929581862	0.0679009827219229	0.0913590910845427	0.0815157242295974	0.0102792536368147	0.0771908156196196	0.0475029344860962	0.03029102489624	0.0149196263262473
"CE6"	0.126706080506937	0.00929246202674224	0.634348340686984	0.197231933047184	0.602091565800276	0.019770911748004	0.00277679284379687	0.458091744762738	0.00845271348051232	0.0194368848801591	0.142254821333879	0.211277606392103	0.102511730318509	0.352163210400895	0.500158595465243	0.00432957300251846	0.0120764080381237	0.00353861325330424	0.0292772323748214	0.141215797690314	0.0319541756027398	0.00833951087731552	0.0432586564528054	0.164512705282924	0.0211883702831341	0.130368686403377	0.0154284184390135	0.0033217395280904	0.476195707617495	0.0338883233542489	0.041796431552456	0.00613287268847586	0.0341219483469999	0.0271181465210784	0.257317652933492	0.0322743564375768	0.0178590514670882	0.501510572600096	0.0202497017924005	0.0075155478313151	2.88450904078231e-14	0.0780395502748749	0.041496690988109	0.0143129703455912	0.0948689932134131	0.0414724970458795	0.00195801918697652	0.200648813879869	0.141099283044275	0.0358405308473623	0.00784281786809573	0.0183208274146197	0.0188746705903291	0.0234757302216145	0.240335190140249	0.0146067565257552	0.113720578025669	0.0953733505308613	0.05497000712751	0.00643153309303102	0.0446215430311188	0.0688317744828923	0.0107801546314929	0.633191996603678	0.0728703412412107	0.587366120674434	0.315838396746787	0.00619088262609632	0.0064195344323243	0.00211082445839729	0.02263126915596	0.150056006527879	0.135189996937367	0.13614896990552	0.286357759259807	0.0481574665787868	0.0230219407017332	0.0718818533033103	0.0922865029291623	0.00574522410265118	0.0111470875752761	0.0863112380653433	0.23750990340578	0.0218647961102393	2.98746925568311e-05	0.528570802035236	0.0868415102840923	0.00749875024451752	0.125152542085598	0.0145283073022646	0.25289415247184	0.0104010599679252	0.141585483159474	0.100361971014308	0.198504151734364	0.371697139626888	0.0717559292439384	0.188139897976538	0.111775366383126	0.0860614012193273
"CE7"	0.0384598396105981	0.176001891590686	0.0617855357169559	0.00607140040725741	0.00016514487722491	0.0346153499338179	0.156342206625546	1.51751828520607e-14	0.219009370314884	0.102978761438589	0.0461582080525474	0.0794020368709475	0.0288285147457395	0.0963528454950492	0.0205453926307486	0.0411806298350064	0.0301917577976265	0.232246503581294	0.0731095954303218	0.174205474877669	0.14498874345549	0.0846060884664306	0.274963939709265	0.117723438359773	0.179854995947169	0.085862915926189	0.0462716256171151	0.0663491166429339	0.0172224083633607	0.124702759852709	0.0388538975915607	0.0725279461851957	0.146628846001428	0.104239023964995	0.0904717037284316	0.035505685042256	0.0965558124433372	0.0286600874781431	0.144590095642332	0.0270899703354883	0.00233641824454056	0.0416657758361209	0.0193478380726218	0.223722594369212	0.0498227214660096	0.233429679247878	0.112205727740702	2.25362062067252e-14	0.138812397551968	0.00711236402345246	0.193439345660998	0.0615345985661139	0.00146283162871892	0.0348274729368553	0.0777956430237191	0.257555224407047	0.0702052057839489	0.116250781760541	0.0522250198187737	0.126714907993275	0.00179823383759602	0.0267365747495035	0.0326562641766873	0.0117381818036195	0.0804767366279207	0.000268337743856214	0.287257868784805	0.156893299326308	0.105139856960653	0.143384737186562	0.254282854143167	0.0825350530668766	0.171420703013489	0.112827429300088	8.71677509365095e-15	0.0112126277645842	0.166301579330573	0.0318100117368856	0.0170194186827012	0.206127283362979	0.0116672114059342	0.0770544700260272	0.184491458650192	0.0627451906733605	0.212388754261221	0.0423341864947863	0.0704295350658795	0.344355955189579	0.117638484722812	0.0785261650718459	0.172576169456999	0.0960142139436682	0.118932475221254	0.216987702551264	0.0368598185090172	0.0239964155910289	0.277432754751272	0.135181679332327	0.0241790745052804	0.0216572446988716
"CE8"	0.0107703940052529	0.285936349110617	0.0217111434570497	0.148979361694829	2.14898339409961e-05	0.00635474571888144	0.163937161717835	0.00564698824467718	0.358046483760817	0.331877544087961	0.362380543704436	0.0119273362578522	0.287112239111156	0.133785171367568	0.0995122642267617	0.140770830036085	0.242265262566184	0.216774494877657	0.246871970547054	0.366881645104222	0.236480572155831	0.0216625951250228	0.182286279839276	0.0918912270194289	0.15126244069281	0.114063349793082	0.0510519612915568	0.207272196747458	0.0536555553393478	0.212157431141369	0.265132905330807	0.14232231190264	0.200727193225327	0.0725788172288954	0.1197764031613	0.0199234766419805	0.142280821107809	0.00709719914995582	0.128453370657541	0.00818475357547585	0.266248002185141	0.0644304212055276	0.0865230116794707	0.420494011611667	0.0283488457704542	0.324070027183224	0.0753922388993188	0.0860985834766214	0.154749113507987	0.00613312741005819	0.0817129653438534	0.399855361140645	0.0921013712883464	0.0409701895542222	0.326770256092917	0.342752712698897	0.0101703099473434	0.16417963784727	0.0521768081391649	0.262430338897856	0.018158725220774	0.00254258388808835	0.173198684841527	0.0301491238320276	0.232312609978812	8.35545439562381e-15	0.0971812787716673	0.232438991808141	0.215304629892137	0.16404007410428	0.298287121125513	0.111804023913408	0.0934147668063635	0.0219233939455809	0.00238100905383818	0.142526166271321	0.19504937934667	0.00324268960886759	0.0195246772165537	0.187807512737281	0.036192421219189	0.025440006656162	0.0394834000703931	0.252355501132517	0.260130770717175	0.0699311530972388	0.0237932700953951	0.191633523659475	0.253694820294506	0.22285558493158	0.112237801573009	0.0360716873487284	0.181236572407352	0.119453575354529	0.211386940678317	0.0653350778771843	0.344443110935744	0.155722205318103	3.11393419993813e-14	0.00953942035166897
"CE9"	0.0783867273880555	0.0252613275141232	0.0122693658919795	0.112208418392291	0.053546100172728	0.238785648669343	0.0876181388157749	0.0862472372497637	0.00792281321627089	0.00388071669879941	0.00966482181064258	0.163225723873263	0.0153679597361772	0.0021542620655388	0.0710641087748153	0.276184774498416	0.116589024997196	0.0346782462268404	0.00578096482969555	2.52864912916947e-14	0.0740871239501907	0.212783006738113	0.00753238484150285	0.121050726585498	0.0539426112197812	0.0471452595888115	0.256007310125862	0.126926255925633	0.0592198965321387	0.159797545988148	2.67380615770777e-14	0.138995539879961	0.0384050100170627	0.0910163805175202	0.0193025750254423	0.266766646663131	0.115681262370818	0.0348094591606744	0.0267942719520761	0.207229112724591	0.0181610395666163	0.146364014678164	0.236464902753268	0.0375451543368968	0.113240971640633	0.000558532751045665	0.156986108306717	0.0830031127139814	0.00338074939802468	0.109112389754493	0.0791519808021559	0.0131868602042617	0.074144868998091	0.237332336927977	0.00764120171430078	0.0472486594930712	0.0175540122864979	0.0161287944065097	0.0218366605047684	0.0106140272236672	0.274106477690178	0.2086391143906	0.0147436687585267	0.0374565556498663	0.0417012685101443	0.0328717182152437	0.0225751711002113	0.00471514069195777	0.0416520272875367	0.228164574798748	0.00775960405342187	0.0208516453607205	0.059096626487694	0.0542325208637815	0.104447789272368	0.0152987307775482	0.0553416454346226	0.103006884765095	0.236392801913836	0.0475912338800431	0.314007725504746	0.115989470204461	0.0479848393235529	0.200949271589992	0.0624850126704811	0.0105692446734126	0.108400738517874	0.0559889993857711	0.0479159989312487	0.0638343242994241	0.0358293272460571	0.0084187637582919	0.0726081555475528	6.0627373191372e-06	0.0144264631004838	0.0885808149807222	0.00635943966345941	0.0252606291120268	0.0338071023547192	0.10720386844794
"CE10"	0.0630206153853433	0.02459022799281	0.0229196630292174	0.187286080937685	0.0482830158678197	0.191440356831328	0.0369936193686482	0.0598596014584713	0.00312458779940802	0.000761296919277514	0.154711569679588	0.163102897295969	0.0202654631669406	0.0530893582582627	0.0592044310857916	0.226329161474925	0.114333322776502	0.0120396873378096	0.0126121420257567	2.69447483970822e-14	0.00742226397367204	0.0943874545981042	0.0090543362833551	0.172384774600573	0.103408378784964	0.21179459514369	0.149532246349029	0.0136550329069591	0.0440364559688861	0.0355571502885703	0.00361696930709907	0.119930803718584	0.00704364866525469	0.0623604310025932	0.0317595591818507	0.219988219434997	0.219890297919016	0.00737627636683917	0.00931791060900015	0.258412629020277	0.0478592255367255	0.120826453170633	0.371031464762173	0.00991751667861825	0.155699494556947	0.00392128584892803	0.052281323599298	0.300066538783933	0.00178563179119295	0.0331656330099422	0.0232748820228567	0.139403027756172	2.97435463037038e-10	0.223553437543887	0.0644382599836391	0.0413295971728727	0.079766927938212	0.051470044559335	1.22017772598533e-14	0.0059452838751338	0.222517829379974	0.0379903258456879	0.010242595121251	0.0428175835376242	0.122035867405101	0.0157491956372155	0.020397472426424	0.00533110053622629	0.00345692020119697	0.105924451540658	4.1481264703365e-14	0.067346646355387	0.0363068354054465	0.137845497820939	0.391997778864513	0.017798681637411	0.00061300317914112	0.414787388663101	0.117422165082828	0.0540730912978832	0.258609062069382	0.0968612385701305	0.120397655900209	0.00927503026258265	0.00673458056528539	0.000390696857381295	0.0913401291225002	0.00786786836935948	0.193781605336229	0.00188301033733218	0.210315032277248	0.000506099639177871	0.119947503672942	0.0286583100622766	0.247884833613064	0.045272184692256	0.0283800199920646	0.00585227969423188	0.0277416031093879	0.0907654465206439
