"TCGA.05.4410.01A.21R.1858.07"	"TCGA.22.4596.01A.01R.1201.07"	"TCGA.22.5471.01A.01R.1635.07"	"TCGA.22.5489.01A.01R.1635.07"	"TCGA.34.5239.01A.21R.1820.07"	"TCGA.39.5011.01A.01R.1443.07"	"TCGA.39.5035.01A.01R.1443.07"	"TCGA.43.A475.01A.11R.A24H.07"	"TCGA.50.5049.01A.01R.1628.07"	"TCGA.55.6642.01A.11R.1858.07"	"TCGA.55.6971.01A.11R.1949.07"	"TCGA.55.8085.01A.11R.2241.07"	"TCGA.55.8092.01A.11R.2241.07"	"TCGA.55.8301.01A.11R.2287.07"	"TCGA.55.8508.01A.11R.2403.07"	"TCGA.58.8393.01A.11R.2326.07"	"TCGA.60.2712.01A.01R.0851.07"	"TCGA.63.6202.01A.11R.1820.07"	"TCGA.66.2767.01A.01R.0851.07"	"TCGA.69.7761.01A.11R.2170.07"	"TCGA.69.7978.01A.11R.2187.07"	"TCGA.77.8156.01A.11R.2247.07"	"TCGA.78.7159.01A.11R.2039.07"	"TCGA.78.8660.01A.11R.2403.07"	"TCGA.85.7699.01A.11R.2125.07"	"TCGA.85.A513.01A.12R.A26W.07"	"TCGA.86.6851.01A.11R.1949.07"	"TCGA.86.7701.01A.11R.2170.07"	"TCGA.93.7347.01A.11R.2187.07"	"TCGA.97.A4LX.01A.11R.A24X.07"	"TCGA.MP.A4SV.01A.11R.A24X.07"	"TCGA.MP.A4T4.01A.11R.A262.07"	"TCGA.MP.A4TJ.01A.51R.A262.07"	"TCGA.22.4593.11A.01R.1820.07"	"TCGA.22.5478.11A.11R.1635.07"	"TCGA.22.5481.11A.01R.1949.07"	"TCGA.38.4625.11A.01R.1758.07"	"TCGA.38.A44F.01A.11R.A24H.07"	"TCGA.43.3394.11A.01R.1758.07"	"TCGA.43.6647.11A.01R.1820.07"	"TCGA.44.5645.01A.01R.1628.07"	"TCGA.44.5645.11A.01R.1628.07"	"TCGA.44.6776.11A.01R.1858.07"	"TCGA.44.6777.11A.01R.1858.07"	"TCGA.44.6778.11A.01R.1858.07"	"TCGA.50.5931.11A.01R.1858.07"	"TCGA.50.5935.11A.01R.1858.07"	"TCGA.50.6673.01A.11R.1949.07"	"TCGA.51.4081.11A.01R.1758.07"	"TCGA.55.6970.01A.11R.1949.07"	"TCGA.55.6971.11A.01R.1949.07"	"TCGA.55.6983.11A.01R.1949.07"	"TCGA.55.8510.01A.11R.2403.07"	"TCGA.55.8619.01A.11R.2403.07"	"TCGA.56.7582.11A.01R.2045.07"	"TCGA.56.8309.11A.01R.2296.07"	"TCGA.69.8453.01A.12R.2326.07"	"TCGA.77.7138.11A.01R.2045.07"	"TCGA.77.7335.11A.01R.2045.07"	"TCGA.77.7337.11A.01R.2045.07"	"TCGA.91.6836.11A.01R.1858.07"	"TCGA.91.6849.11A.01R.1949.07"	"TCGA.91.8496.01A.11R.2403.07"	"TCGA.97.7553.01A.21R.2039.07"	"TCGA.99.7458.01A.11R.2039.07"	"TCGA.MP.A4T9.01A.11R.A24X.07"	"TCGA.NC.A5HJ.01A.11R.A26W.07"	"TCGA.22.1016.01A.01R.0692.07"	"TCGA.37.A5EM.01A.21R.A27Q.07"	"TCGA.38.7271.01A.11R.2039.07"	"TCGA.44.3396.01A.01R.1206.07"	"TCGA.44.8120.01A.11R.2241.07"	"TCGA.46.3766.01A.01R.0980.07"	"TCGA.46.3767.01A.01R.0980.07"	"TCGA.50.5946.02A.11R.2090.07"	"TCGA.55.8091.01A.11R.2241.07"	"TCGA.55.8207.01A.11R.2241.07"	"TCGA.56.7731.01A.11R.2125.07"	"TCGA.56.8503.01A.11R.2403.07"	"TCGA.60.2703.01A.11R.2045.07"	"TCGA.60.2704.01A.11R.2045.07"	"TCGA.64.1679.01A.21R.2066.07"	"TCGA.64.5815.01A.01R.1628.07"	"TCGA.85.6561.01A.11R.1820.07"	"TCGA.85.7950.01A.11R.2187.07"	"TCGA.85.8287.01A.11R.2296.07"	"TCGA.86.6562.01A.11R.1755.07"	"TCGA.92.7340.01A.21R.2045.07"	"TCGA.98.7454.01A.11R.2045.07"	"TCGA.MP.A4TK.01A.11R.A24X.07"	"TCGA.49.AARO.01A.12R.A41B.07"	"TCGA.50.5066.01A.01R.1628.07"	"TCGA.55.6983.01A.11R.1949.07"	"TCGA.55.A492.01A.11R.A24H.07"	"TCGA.68.7757.01B.11R.2296.07"	"TCGA.75.6211.01A.11R.1755.07"	"TCGA.85.8288.01A.11R.2296.07"	"TCGA.97.8547.01A.11R.2403.07"	"TCGA.MP.A4T6.01A.32R.A262.07"	"TCGA.O1.A52J.01A.11R.A262.07"	"TCGA.05.4397.01A.01R.1206.07"	"TCGA.33.4533.01A.01R.1201.07"	"TCGA.37.A5EL.01A.11R.A26W.07"	"TCGA.43.7658.01A.11R.2125.07"	"TCGA.55.8620.01A.11R.2403.07"	"TCGA.56.7223.01A.11R.2045.07"	"TCGA.60.2695.01A.01R.0851.07"	"TCGA.62.8394.01A.11R.2326.07"	"TCGA.63.A5MW.01A.11R.A26W.07"	"TCGA.66.2756.01A.01R.0851.07"	"TCGA.77.8009.01A.11R.2187.07"	"TCGA.86.8358.01A.11R.2326.07"
"KIR2DL4"	1.23956683488983	0.921771266869534	1.29608947491302	0.897971319266973	1.07815244284762	2.28849897538634	2.31267650104714	0.740855640581529	0.749072351578883	3.89869318577712	2.2548336306351	1.238889009346	1.15271451506623	2.24436975584512	4.20939271377218	1.71093033309037	0.66604252539651	0.866532826278727	1.31095965151767	0.91780479875594	1.52899521387646	0.720064629976852	3.0964635425612	0.700947702207653	0.150046339904957	0.887871907649854	2.34995988263513	1.64124141116902	0.628272360442609	1.02411896161586	1.3701371571904	2.02895392599558	1.46007536611049	0.496109596468559	0.574821251284464	0.311957025030414	0.337574700212289	0.26514581582906	0.259730860272925	0.483432355415552	0.0910075941958014	0.340254918711092	0.144285745310002	0.549403101531007	1.00262641289153	0.512986752116666	0.448838995403111	0	0.422729252653936	0.710279418811095	0.339394261870321	0.21805290030876	0.423801316997425	0.149804240341858	0.532787717980356	0.262091912621749	0.181791356693079	0.545710876103991	0.219082139186091	0.936446548031152	0.257635619175948	0.502441211195818	0	0.785146509159003	0.427557676577471	0.232596717744257	1.1761586069976	0.153723993212388	0.941359589070009	0.831649683950237	0.458237909867434	0.211867008383443	0.745388744186526	0.295970772999326	0.954505214658631	1.28193322790111	0.0503687638268748	0.374435283087861	0.607514774469595	0.246876372381985	0.577640995345676	0.112156727634987	0.0534996920839286	1.06574228181027	0.852231271298795	0.560149971481219	0.0438093859438662	0.438114452493376	2.13037672433348	1.31620181188834	0.807818037968502	0.68218312911184	0.648264006989294	0.210219858378057	0.136521540075913	0	0.463132685654953	0	0.222032838227691	0.374420862839406	0.833556323093866	0.17718486155782	0.980364158378318	1.16963683069329	0.415003180943298	0.0166116093083058	0.928608514652305	0.362738629178123	0.6885784214673	0.218218473728103	0.767927116874293	0.831333780591524
"PRF1"	3.65302174903156	3.2964611932504	4.60141236433623	3.16856170635255	3.64232459685752	3.98773309603392	4.21485250996364	4.91436305805907	4.09177368953024	3.71014136477114	4.63617936174999	3.15883761495567	3.69050090923802	5.21084241959749	2.43633346320728	4.55599105363263	3.36435025065286	4.525007018217	4.21820826485906	3.52523158894137	4.35021028966727	4.39827737971351	2.28064689760546	4.42883106899464	3.9071298019573	3.86273155074748	5.47327355836143	3.4422303031262	3.41150307295916	3.82331545894479	4.20152491328348	4.41467974328088	4.91013588771629	4.14092261306409	4.97426213735503	4.58467988093196	2.98780576158566	3.10964243623594	4.10093076872612	5.16894034691765	2.577327464221	4.95820166937437	4.33433124196513	5.16420500426499	3.87360101161939	4.18235991950221	4.7876196065252	1.3954203610416	4.45134155657682	2.6846045682295	3.80894980241194	3.50293798023309	3.29233566041932	3.88215520619366	3.61352759202423	4.15781315249816	3.64183064198015	4.62631429464913	4.26583659344733	5.37676999379605	4.25510858149879	4.59053167240284	4.23276395820216	4.11887576873994	3.42631766774497	2.93906732922254	4.47912193526222	2.83704130217469	3.12852638863011	4.44242456535797	3.14012719460153	2.18519366116989	3.39915178324295	2.65617219957387	3.02909380286953	2.73754899238644	2.77090684323028	2.38031141074257	3.32751177115099	2.34938051979839	3.08096120376673	1.11533015653821	2.00895556878832	3.94412350450917	4.22194642010108	3.60022882395721	2.38298533600706	2.94458178164919	4.28989892922453	2.44934861354155	2.60271915646893	2.87633642627048	3.04080803212872	1.42688731342908	2.24000014954686	2.44166666653768	2.67376951763695	3.49732123193377	3.52028410468579	4.45537509552622	2.55087219979554	1.62167450315758	3.39561962060458	4.06441477267971	3.29846552966122	0.745218717841327	3.56242724139943	2.05771514377083	2.046028221412	1.98869331974242	2.70544942385705	2.9439773078079
"ZNF683"	3.47728310334454	1.49486395605881	3.13861899655656	1.72796236830173	3.53829283296975	3.44112045221237	4.20796344825196	3.76076249078045	3.83386350849956	2.69584358219903	3.88284090853768	2.48493328688571	4.63912177999677	3.56114456114258	1.19426420241323	4.06516000979003	1.51039692023459	3.406542416547	2.63672697598668	3.5963079774708	3.50934399523784	3.42445939193809	0.0749903752792754	3.59648742989372	3.721995785695	3.08521305477986	5.10702678846379	1.6896436943863	3.36576030029858	4.11911243696509	3.37126811126504	4.79527410413437	2.52593999185469	1.37346258949502	2.62236631861869	2.6457140622856	0.593363127731553	2.3882187894394	1.72262784123577	1.40715089333917	0.998193915195569	1.0873737999224	1.49371570308826	1.64059765217208	2.14109884106675	0.908087228516812	1.88905114271001	0.404031750873169	2.69325964949783	1.70796271236531	2.35494217166418	2.10723882891234	3.07039780730893	2.08004060533513	2.47243384887977	0.996515402108756	1.9040417240949	0.600413513405387	2.17150477865288	3.1741153365347	2.87044662172628	0.606834645661603	1.05259225722186	3.07657767176402	2.63431542247258	1.74298616007065	3.2265983771418	0.840215455930075	1.55377500279189	1.97341230015524	1.07896865182627	0.799302635565519	1.18754151228674	1.71063731004938	2.16036131488063	2.26208698246852	0.621457645555385	0.455591483161267	1.47416730424488	0.264181492569835	1.18235584929903	0.305638444116633	1.08583121918121	2.0912541435979	2.49838751956056	1.93660550276206	0.907468531227691	1.84055372893667	2.33380640692712	1.1355005270817	2.19700881087584	1.54365282163293	2.44009082628079	1.50929322736742	0.314592765008176	0.659134534140958	2.33629351519351	0.730415961759953	1.75236059403501	1.66018472898249	1.41025220090168	0.217457478813913	0.974772619164056	1.19436769157744	2.19168602434843	0.204492331147977	2.46633248173594	1.63028828445073	0.585510420109865	0.416706710867138	1.13259097035582	1.3619479580203
"KIR3DL2"	0.241743865981375	0.310243537911493	0.0696347569112384	0.674668496837362	0.279989917503722	0.782898241570921	1.29224893446012	0.643952242923461	1.13492973198584	1.28890857639396	0.199086395964969	0.137050614108725	0.168864310817066	0.191128766914289	3.13789509877543	0.264956181467323	0.340536306204546	0.609209583286396	0.392894132798204	0.360373644601429	0.448431517728238	1.08345025735081	5.60831405104119	0.206428171830763	0.162363101874814	0.0642710183360773	1.8620875360004	0.313553572219256	0.978665237113128	0.489220393444838	0.477193491985414	0.434456035718135	1.02690235517045	1.17111181335331	1.43587535182631	0.614343595552477	0.133941901522362	0.125833702909752	0.560118953553499	0.496888896270524	0.180530959419134	0.671307363897185	0.197291571436253	0.626340357394131	0.458279130603732	0.894925257358328	0.4359630785643	0.028574166577201	0.358825743682698	0.20607771843067	0.147250881993036	0.110077032245701	0.131111613672993	0.212928144066818	0.646510097158544	0.508344074942566	0.0981584894605313	0.945295032145223	0.189882356522596	1.16935306984331	0.353188771388063	0.306711318883203	0	1.07090519749185	0.209412372302292	0.186192108226792	1.24985620675615	0.23946278783556	0.125569657944086	0.187660380261423	0.256524925981329	0.190770438576754	0.147620784224807	0.30390729344559	0.409588291211416	0.187331604203503	0.0392608282968836	0.144519910616786	0.0835827564974917	0.08714312136088	0.0704756348805478	0.0313117744754385	0.0444702340649348	0.352851429275543	0.392421847243691	0.405457022461438	0.0588095122969657	0.193643595640849	0.152145262784558	0.166046555550428	1.0821446769362	0.260834437127753	0.111907947940413	0	0	0.94559081908742	0.555826006020128	0.086825961742739	0.0738397634414214	0.158718338146646	0.230478691263215	0	0.221238607473062	0.226846167290179	0.342429421532036	0	0.614499883181776	0.0665621014973746	0.0207422021819157	0.401305239056852	0.0829092339414619	0.188991941923928
"CD7"	5.36058952457497	4.67173215316022	4.37178643784819	4.05278549959481	4.03197999610017	5.15896628339572	4.92912078915768	5.05922267377117	5.21050850128744	3.86813417884071	5.46048206205462	3.95614962490956	4.3808676508489	4.9993628125552	3.78541026438846	4.72637402858761	4.26176651153816	4.1467866558913	4.5991189775557	3.9274700080284	4.9142662644336	5.06197462830434	2.56046888725509	5.22361260068717	4.6796820580142	4.79658901336515	5.4559060488664	4.84480702860349	4.57793012063612	5.24308633305766	4.42480095844924	4.92392333824544	5.71108141028757	3.06133692695255	3.50026389779692	3.53910961992799	2.28978557897604	3.88036763508664	3.12368243683989	3.56430162280877	3.70385783182371	3.49940561026619	2.65066791256485	3.65347911747549	3.29279223268108	3.30333384516037	3.15541457678423	5.20892257450222	4.4258412765241	2.97614546764232	3.20761733426704	3.22045106754302	4.41373913352582	3.90001587591248	3.06488079912494	3.1975715492749	3.47353639216372	2.73268619268413	2.92723946775673	3.85087719307125	3.35500873340319	2.95002391318909	1.89924107250678	4.28792259558095	3.62845103398387	3.15060529432868	3.71976096062285	2.75588425461555	3.55446671144094	5.90977086833152	3.93088280202294	3.34650014575435	3.46420668734078	3.09364896487941	3.71205260193552	3.79706437381733	1.71635635949633	3.96208325467363	4.849325841398	2.21643479124682	3.46080238325504	2.2017438670006	3.24707193797323	3.79027418062399	4.34530286027942	4.79009554099106	2.56288205504522	4.00528229358887	4.10154381187339	4.08868245968027	4.15114965052913	3.7250336158389	3.76070870702796	2.11649873695983	4.49309734648674	3.56637776194095	3.36373846516787	2.50636435890066	3.19736104950643	3.01728827334805	2.84988880074081	2.2815139049891	3.30307417118674	3.79045688681814	3.70365434630515	1.11692329207846	3.79939442770117	3.64127486306261	2.58699400471943	2.64328127681995	1.99147140863612	3.50290137102874
"GNLY"	5.55544192549867	4.43396537850795	4.87130398654575	4.24163810777703	6.07555430738087	7.1393715604309	6.52675574484511	6.12426105586129	3.89543521658454	5.48137158888479	5.4721304078307	4.83736199743788	5.18258883396795	6.0897237011187	4.36611655447152	5.50350102643249	4.98376267393737	5.24593805760881	5.0360358416696	3.79509691516293	5.73190635518087	5.64963689423427	3.02715512895228	6.16255345612278	5.09992844479614	5.39651381375865	7.26492522161788	5.94635605441437	4.34230302164811	4.94484448538872	5.96170534123239	7.00179636506816	6.81181726086292	3.62419608308965	6.0901018719871	5.96100654980406	3.598325419933	5.14210865412093	5.35330242540693	5.73215803304751	1.89503641999406	5.9758078855894	6.26218072930355	5.73139784396169	5.75540745740517	5.43770766362837	5.84773786281682	1.50607480728787	4.50664294634976	3.04509071240734	4.55735706015243	5.21744947435304	4.03759452514933	4.76205008299623	5.0218973332192	4.33818324513919	4.41632229760442	5.97989177956811	5.57532069926769	6.9497644971158	4.2160883214757	6.25354269936417	3.53534856092598	5.4293180548006	4.87452227017797	4.28437840222265	5.40668574147052	3.55680158484591	3.64010031844303	4.35297337512639	3.78043009475182	2.66842391780507	3.52095189923515	3.73476471447685	3.59157707903787	5.53699442402168	3.96186142086432	2.94945835216609	3.75654961047195	2.75596574146521	3.94869436769578	1.60204533250132	5.0870111160237	4.67410695517619	6.59989923069735	4.76620374168005	2.82601161128853	4.04245985386355	6.14688847607328	4.70419391734639	6.35389750298878	4.23846371168158	4.43627766895247	2.85350018752243	2.45063555649303	2.29047957098387	4.92287707620531	2.31231304464636	3.88260655064343	3.08521104622733	3.27157863677486	1.55927171978975	5.17300427750431	2.9977170621173	4.29298220044866	1.07894825633478	4.65637195288601	2.95846036649995	3.31820274339273	3.05552888462036	4.60377903354796	5.09315825259757
"KIR2DL3"	0.0515379731219783	0.163652878834931	0.12569734279272	0.0187741124236767	0.281550948215801	0.539510075236767	1.08732269133559	0.574989295600238	0.29701598337737	0.253983385544483	0.112441104546508	0.636200583366851	0.0708641655623293	0.250647523141625	3.0838216839779	0.639102248796194	0.0935722307478211	0.380409552810851	0.239021650272001	0.18331081781306	0.495583124277509	0.935279066711892	2.83223162043262	0.412160233319657	0.224897626703055	0.383554247603684	1.10684018142753	0.117758671062053	0.188835117583495	0.143186290966277	0.250525771446363	0.255372347660434	0.487238970898425	0.935147137197672	1.11492171915649	0.694436887680761	0.447817610882198	0.129223993176374	0.223526466241033	0.963128390574054	0.0385396914085371	0.860361366244881	0.411906255812799	0.818742781454554	0.821458646008044	0.405680943669985	0.942508780927054	0	0.29154602796255	0.190101532488217	0.442861943640613	0.240733662305497	0.128090039069203	0.220345494794653	1.1427509427362	0.476514158381572	0.124245708162116	0.930551907957266	0.291706369959854	1.57990755513244	0.759192936246472	0.608841648905966	0.0538539868466193	0.750647322261521	0.210662365339034	0.0570865040687049	0.810644325281485	0.109378537359271	0.150708529598873	0.152217509605525	0.07387869590646	0.0260538805680773	0	0.66976956695634	0.0658705435209056	0.356970101637885	0.0770168102294205	0.119933782376668	0.0421733329852968	0.0436635439938864	0.230530785444786	0.0191652017560639	0.0442274608935	0.130949716724315	0.310910219413189	0.460158039560818	0.106215867766126	0.196540996480682	0.30018359715551	0.0608438737030762	0.150198736204486	0.183015983246786	0.126736607783199	0.863379787817134	0.0337264261596814	0.148630143936499	0.346114589746275	0.0853844873688479	0.0334362205852067	0.140174843853872	0.14391092463458	0.0718843860164224	0.392163265873249	0.0204355158216604	0.367254565496929	0	0.917795907824656	0	0	0.490055517305844	0.108823379224643	0.369960726943583
"NCR1"	0.633876299708551	0.33529341600676	0.305756629324957	2.33308042506224	2.17270108914124	0.873594463691016	1.17406305323186	0.952878806297239	0.520009015365628	1.10414799903579	1.54282605629022	0.822266958962647	0.550407588141524	0.681620425395843	0.577298463166765	1.3712716049399	0.618931154140735	0.729412418568003	0.68132382880879	1.0247180828798	0.920334536894183	0.519136137342359	0.369374112358298	0.695910361302703	1.16535370035947	0.931216875642755	2.12662696150694	1.24099611022634	0.553294244730311	0.742043123686438	0.84405032251856	1.13473672272752	1.50792136581093	0.963510608909002	1.31787554502937	0.554632149120575	0.225729032915672	0.311309998452713	1.14336629910832	1.4080907236351	0.236521329324639	0.952018953567743	1.22660480372673	1.01968429746592	1.09568099389613	0.859277054019009	0.656454893621502	0.112057853303006	0.615429954271989	0.314407249698573	0.741094244190272	0.307702019093144	0.31787157760161	0.585736914058743	0.800831642380482	0.832570149728859	0.392657092605894	1.33468142687573	0.45999985929427	1.88715304797465	0.836816544806869	0.764546798769951	0.175601288956659	1.1374901398881	0.264367742340202	0.268422932204574	0.910235929551869	0.637227790059315	0.421628220579634	0.400760819769319	0.431273530919067	0.373704711247682	0.373522687455835	0.386376454027881	0.149699604161267	0.479571073956818	0.183002807897101	0.23034295261698	0.758398616873048	0.34532965371869	0.801377335319195	0.238683297590029	0.0853059633394085	0.571631657532529	3.40179652486585	0.621904815765046	0.173776027833515	0.473388735833012	1.27125439605598	0.331155014016686	0.498697448508004	0.603157249752853	0.16143248369363	0.0600082464174962	0.301859737280319	0.26405620407281	1.57423673894606	0.124833622615562	0.322774639909476	0.332997828075918	0.322351947412728	0.0966964346087636	0.730513259358083	0.47819338704582	0.443918613514045	0.233111895924512	0.69094899255839	0.173277265764552	0.417449608595062	0.0865602092589545	0.148885825559647	0.812482586751981
"CD244"	1.91611306374987	1.58162368993941	1.48672870263087	1.12376037215523	1.35651248013858	2.48744840408549	1.59060831146332	2.5636811825416	1.820973486348	1.76885083622434	2.51153221055458	1.25199962253164	1.85191943588523	1.64733433447841	0.777983344036202	2.4244898892723	1.12559230951561	1.56373258612889	1.71912136786734	1.96077357980387	1.80027440621301	1.21288482481853	0.464483700033939	1.79689776671841	1.90130466629023	1.36821259479146	3.1589977864198	2.0229063450421	1.3438777468668	2.00341441628899	1.31307344437517	2.00390380534644	2.70300116887391	2.07666852255518	2.04447156685639	1.34192392076563	0.918215893376951	1.23603757638198	1.70600744051135	2.25803406756542	1.31380839380139	2.19175441415798	2.31231233780987	1.82453810856921	2.5050509641265	1.38420341814117	1.6905357064066	2.44089114623076	2.04307778929501	1.1340566029488	2.68506415565422	1.38709925111513	1.48991426774548	1.77431797070072	1.69584270701139	0.828315047696543	1.47318976411332	2.72639749678389	2.21968053461355	2.66960572803414	1.92064215370317	1.57218310235694	1.31441140278699	2.39169398992095	1.25657007549742	1.21427512626795	1.76156383794763	1.08029511037766	0.792319033378444	1.17564851728934	0.873620903933143	0.82158346372646	1.17058288949196	1.31323705248404	0.417559427016893	1.19465805883568	1.0923693865266	0.378943785153932	1.14642284608849	0.208449551572432	1.3551054752159	0.255209734533788	0.548018011494073	1.1607496284759	0.609427046956062	1.1686538237031	1.19711021467945	0.697426180128954	1.6728527203983	0.544732611652657	1.21658362523107	1.6375670994765	0.788658045227477	0.327281686674691	0.350908916792698	0.850164607033397	0.351787505882346	0.694515329393573	1.48377608808193	1.06853449849913	0.546505627068217	0.399272184599259	1.2078662176789	1.16963046469531	1.01115932722262	0.259381465186238	1.35817956742313	0.645315605941767	0.587129379551124	1.25808742689753	0.464800821989661	1.26394678634447
"KLRD1"	2.72682747757381	2.21517599863375	2.60431277709794	1.54130604953436	2.16232647448316	3.71153102242119	2.94044470023834	4.06554092831223	3.70365811194173	2.38791177493943	3.56904158994711	2.68661918422622	3.50369013895487	2.72080867767166	0.792673234277776	3.02237023406964	2.03454530946792	2.72156972846276	2.88332389882334	3.24755367283629	2.98386683754297	2.68151555790843	1.49984414828391	2.45615905300479	2.35297955317377	2.69808539034881	3.94543597972632	2.62101506419197	3.1193516814053	2.85446750323259	2.6935329297635	3.67799412627294	3.53002827738726	2.78919818017583	2.93195001261721	2.58318019976333	1.32169940958523	1.45782982126851	2.51325750598111	3.09643602611189	0.843875201402318	2.90729139356581	2.90942029330643	2.9738839922947	3.45735487120425	1.89634498177797	2.86564245039783	0.832826569451583	3.34803527605845	2.19541573679762	2.271722440418	2.29750249471589	1.82979871310727	2.14879526513792	2.63181009492294	2.65065491218975	1.67118258581178	3.14212210350854	4.16578450967446	3.81668023700365	2.64359407607313	2.88791610231622	1.73640612668271	3.33910618126337	2.17020134020276	1.97412074885293	2.9451767741171	1.35838665333352	2.48104583189708	2.9042648494681	2.15756589077995	0.667006609732771	2.13070907445735	2.32427532698521	1.62328049928254	1.83289596079832	1.0419514376689	1.59356960901168	1.99774634710508	1.46256927543208	2.18370115180816	1.48548723030551	1.49683080478071	2.90754870780285	2.92928881879477	2.77933018548913	1.7407582130247	2.60446135527777	3.50949607246007	1.46789090869036	2.09891450811633	4.24757348950735	1.65246716133074	1.03397948441962	0.467391289395222	1.3743497391294	1.84793244327921	0.938076829224056	1.24926834000211	1.035650291156	1.79850057682142	0.704797324311773	2.04801699086674	1.70666025227663	2.04761373150052	0.75423055420007	2.31486822163577	0.784352054904507	1.42170027312192	1.1935533539292	1.58735085794371	2.43439509294352
