"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C01_830810"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C06_830812"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"MS2010072003"	"MS2010072019"	"MS2010072024"	"MS2010072030"	"MS2010072037"	"MS2010072040"	"MS2010072811"	"MS2010072829"	"MS2010072834"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072828"	"MS2010072837"	"MS2010072921"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072001"	"MS2010072036"	"MS2010072831"	"MS2010072835"	"MS2010072902"	"MS2010072917"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072038"	"MS2010072827"	"MS2010072907"	"MS2010072908"	"MS2010072912"	"MS2010072937"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B02_830752"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"MS2010072023"	"MS2010072817"	"MS2010072821"	"MS2010072838"	"MS2010072904"	"MS2010072913"	"MS2010072916"
"MARCKSL1"	11.8590067284183	11.9778727588057	11.9514453004253	12.6899362993195	13.056684828104	12.6767084862236	14.0980195623153	12.8993819397908	12.8510921074154	12.7249317916788	14.3012794916043	13.7561487425438	11.6019045031747	13.8329116200087	12.9232890849638	10.8758069718457	12.8331219353647	10.1099896183779	11.332851360865	9.33174659355464	10.6832574596008	10.9977649353646	9.70381177186909	12.8203623655009	11.2436676674835	10.9755828896742	11.7559900763468	11.5932427363702	10.9879713001919	10.8451475656201	12.3486014796603	9.22068752507745	12.2630392911061	10.7865323388655	12.6869871667733	10.5607439787716	11.81522359541	12.7821046517529	11.4726745495159	11.6612355874583	11.5026183563296	10.5843509538947	13.151346854647	12.0696623522053	12.5151921628664	12.5948967269593	11.8940169535093	12.1166678482124	10.6555333961723	10.5458391515986	11.2701649327892	12.067366668078	12.2955117379691	12.8442438906232	11.2042348516588	12.155446888623	13.2104686406972	10.9559408609329	10.9390299190823	8.63416222692289	13.4976315714621	10.1686819659505	10.8004497228041	13.2571346824413
"AFF2"	6.71209545867723	3.2935265541221	8.42103380970884	6.22848122837172	7.48419654995207	7.50102695183946	3.89865892138424	6.02300293335796	7.13217027273358	3.8313156757713	6.13393749764971	6.35685088887249	6.39891045434717	6.41234472130232	5.4228331616865	4.16330835955044	2.58741887365147	1.96908481366404	2.35634910846318	2.34308318660479	2.46737142188887	5.63406499185263	4.78005459282809	5.52749539783994	4.06616252313773	5.25243909245322	2.29177682452977	2.88530863731933	2.93950888146591	4.03168088818996	5.98515336279842	4.36383970385837	5.10272360576635	4.53518064294789	7.10034682575275	3.45320472721032	4.65076803525219	5.29231658545528	6.1893891835129	4.70619108351456	8.2563327557549	6.0100690665042	5.78509807477306	5.40725984519129	5.99415543306075	5.63169041198086	2.89369995200193	3.7224691950316	5.0702142722628	4.6332662474421	4.65966519716281	5.65765590334514	5.88997095155348	5.79150386758989	3.98071487851715	3.76084586864859	6.70298934718314	4.39597826613829	3.09645996214746	3.2310132018444	6.1107604743107	5.35423336593088	3.85638544160026	5.53727032752045
"RUNDC2C"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ANUBL1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RASL11A"	9.30490220278079	10.7236091176787	7.56110555762019	10.3516921181857	6.40641483324642	3.98203331985768	11.16967594851	7.12145432353877	9.92924944812582	9.90652959509163	9.87258533730142	5.49554490618619	5.57663280797535	6.53080181876893	7.97997622684863	6.21934518866247	5.60320145845314	5.98632205323656	7.49922504984497	5.99862281020506	4.77739088621874	8.16749628208559	7.11805955235168	9.04341851218111	7.17412124539861	5.75823556637414	6.72525861915281	8.94176662216395	6.63295189417522	5.94138940141642	8.96871728640873	6.07287410171997	7.66806877026457	6.93095476944121	7.14305951100586	5.42985620893183	7.9614278340861	7.64430270923634	6.98343129451757	6.04950129490584	6.71765921851573	7.50955742744722	6.7816034504288	7.54701586696638	9.29147748557496	6.70122221299973	6.94245847614743	8.01134228729103	6.50461074822327	6.84906206996805	8.31321761568812	8.53318429481308	7.29757924141899	6.57097923399532	6.34599740612095	4.73024503892513	5.61044906614638	6.34348168761713	6.03571692358488	6.05759881075291	5.89818405242169	5.42228236643386	6.25179718843619	5.39363590006799
"SPRED2"	8.37734066945854	6.62011866781951	8.43020041843237	7.44991059425224	7.08358066962366	7.28393260603765	7.55346756347047	7.73117167242788	8.71946210318432	8.02990747625996	9.09680171567655	8.36714685144006	8.17438788585828	5.95922912559957	8.04489955701726	6.81660041329029	8.08597179961872	6.37554179159969	6.39491256364065	6.77958495832568	6.60709932580426	7.06590867417435	6.45340700762023	7.29378550603929	7.61027592699523	6.650405087923	6.96917203359096	7.09222571880593	6.32447018734353	7.40580886372741	7.96531777251084	6.99480962615608	7.96523376632111	7.24735458774762	7.1367557258676	7.57239515056613	7.5211973261991	7.97982308924406	7.76359185245699	7.305812475072	8.41817369986865	7.46035301517529	7.45233125430783	7.62473060632913	7.7717163261308	7.56028167504077	7.55840783631568	7.18586316279646	6.25678416642619	6.61400940896261	7.10307969130074	6.95298525761635	7.39034300530184	7.88858041698351	6.09984039405901	6.91435334297442	6.83617529162643	6.67123764356625	6.64384564219533	6.70351078199031	6.53473634119003	6.23546159088167	6.32943056787093	7.16509551762081
"MYBL1"	11.1402464463408	9.44583805934402	12.3648161020739	11.0915437964796	13.0563710806069	10.2814523408521	11.132953644824	10.2253204308989	8.03347549981764	9.39455809514971	11.9166231499086	12.2322002654277	13.8284694611459	10.4107933958099	9.25396935623319	6.96660133478324	7.86514319096416	7.71903809520204	8.70882449118639	6.76157037934054	7.80481477700905	7.78707172678561	8.27769108500572	8.0509979285349	6.90810118037448	7.13036123474828	9.20068305315204	9.57828622363252	7.21237464468555	8.94589154329755	10.7553408945709	7.27363649590403	9.25903478428325	8.49608834973582	8.11493833401787	5.35392297737917	8.74942919563743	10.9280441755035	11.039294924376	9.49846563657991	8.59333124569967	9.1658369443629	8.73994489000841	8.25256795558229	8.0283996844345	10.83624280969	7.7967742300451	7.18858868107191	6.6845200458845	8.0742126552443	8.52084201818853	11.1350337103039	10.4537760712474	6.41014218618714	6.28892264479993	7.46390477756993	7.73684064225935	7.30236462178795	6.49101923493264	7.21943474279994	10.6237649660982	6.63580668494655	5.72261942299009	8.09932098993238
"MME"	10.2963981795957	9.92740110749492	10.5584970901556	10.9549887024254	10.9035088123671	10.1042438431738	9.46332009748594	10.5704901079182	8.82503256569781	2.21421664374295	11.1394669254909	10.7246076121019	11.1095197633228	9.02557306300096	8.84213552798572	6.73456365057247	9.55210026134499	6.2621453894336	8.16698947704107	4.80291928280109	5.0612054625735	5.60855551482909	7.29750266843546	9.62125459386905	6.13788454803127	4.48497304392033	6.3197835302071	8.26904645444602	3.5266540891163	5.92285951363828	8.72901531097749	4.89233758180711	8.60133637215298	2.45213011508401	2.33333959476194	5.03624635611706	6.70905874139056	8.71674820625458	5.3800440311814	6.87562531378184	9.23070866469063	9.55164597938625	6.39462998827087	5.44314777988846	9.68162527459683	8.78097233832819	5.77645944152028	9.99543811035063	3.06960661883596	3.07443773573542	2.02509843964211	9.99720091659691	10.1932254936114	9.99486293946323	2.42184446779896	6.42726054237979	8.53893673275259	5.70655868615077	4.78187552108448	6.96694880624831	9.21623300801221	3.74722876060541	5.36835836598832	6.19384138565679
"C7orf10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASB13"	11.4697983939455	11.1698117201273	7.708351909765	10.5282409061969	10.1633236676832	8.89205518061701	10.6578160643334	10.6842943016043	10.101910258924	10.9299382651267	10.8549849641971	7.24741696105703	11.0297292347725	8.90814370571006	11.7592070085176	10.0626958902264	9.04996801741989	8.98466371884079	9.15671048945329	9.69796299099671	9.3077488868967	9.90453979173598	9.66029677810803	10.2397849936016	9.06554124741887	9.49033274951964	9.83494760320331	9.59539466562889	9.49458776901542	9.52375335235207	10.1888048744265	8.47271116266943	9.27737539037661	8.76432106153078	8.46730299446019	9.53004121210959	9.34374882292674	10.7712849674643	10.0921064824347	9.65547818118058	9.58341936055862	9.67552783954398	9.74819106346371	9.70182406841948	9.77970207224499	9.86396798818176	10.4792984389442	9.77528632591514	9.3229502507275	8.65198425692105	9.97814296773484	10.9187595320874	10.0319059289833	8.29968279545225	8.34106357954436	8.36996614261456	9.26344845748294	8.59484606186486	7.65336070981986	8.11867802438099	8.76768274462292	7.88823019780721	7.88530353192068	8.45209135171183
"KIAA1274"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
