"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"MS2010072805"	"MS2010072806"	"MS2010072813"	"MS2010072816"	"MS2010072824"	"MS2010072827"	"MS2010072922"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"MS2010072038"	"MS2010072042"	"MS2010072831"	"MS2010072835"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"MS2010072937"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"MS2010072023"	"MS2010072037"	"MS2010072834"	"MS2010072912"
"COMMD8"	13.1966093104786	12.5860545985325	13.6219718739825	12.9270534257324	13.9839728217185	12.5929224358936	13.0576119309604	13.3045187727664	11.8155404739705	12.5788129779889	12.2260965159059	12.7280536353392	11.9312098279936	12.3614012810605	11.8923262441404	12.2076857677597	9.73983640966707	12.4491896295371	12.9220365631706	13.1374979147352	12.4362772509767	12.4581648339626	12.5692720769832	12.4433636947377	12.7563549445618	12.8072548632811	13.3027705262054	13.0896131999149	12.8110555676865	12.9048289571805	12.2036475909196	12.014663690671	12.5444906452281	12.0332296109037	12.5233898456824	12.4000194976891	11.9937444674832	12.3009010880106	12.4444622720506	12.0242709118472	13.1152215217141	12.9134317166931	12.9144159572694	12.7767387403196	12.6274437900482	12.2290967741629	11.9951980671219	12.7379530228493	12.5038924610285	12.4698770673198
"CGRRF1"	10.2199899356848	10.2651722324054	11.2488946876262	10.5980364232893	10.633426286751	9.77645842668228	9.05727668911968	10.0820164515284	8.52986438785986	9.28948680136843	9.72310425782306	9.80372741013178	8.8663103027019	9.8408992338732	9.4527985983811	9.34121583425109	8.38778109933846	9.42713192178088	9.6766329708584	9.61194577766445	9.39915812147156	9.54606598368035	9.42479613312802	9.59495928735248	9.75916452217519	9.52870962205581	9.52973830833477	9.52687066012379	8.92220313638767	10.1166930455948	8.82526073320266	9.41103168305735	9.65575973935927	9.34775265385199	9.39929612593056	9.18626800938291	9.42192341630017	9.43164334828318	10.2378404149362	9.82562349712591	8.85729235261178	8.84052550947553	9.81620307626056	9.21668153879523	9.23080396144259	9.5537777657867	9.56228282735911	9.59431768517798	9.62709358787052	9.90528990821227
"FAM96A"	13.6687912172424	13.6554965716833	13.5016766064023	13.5759240157794	14.8313873416082	13.6124872215549	13.5438871099678	13.8439927596395	13.0100993870778	12.9294757490495	13.4016976020755	13.7401138011403	13.1298844818086	12.7240104156612	12.3523812919184	12.7265911806063	14.5766787260294	13.014466315039	13.521679005738	13.2720876831346	13.2927813153435	13.4819779102636	13.1455572557781	13.3893581804672	13.3911360015972	13.3545423856466	13.1747435212175	13.3790064044852	13.4816819048276	13.3281644916304	13.1927744145132	12.8492213281498	13.1093438521529	13.2535523853354	13.3940439922005	13.1250519818478	13.2101268514766	12.6363835410227	13.4018759634548	13.1428840200692	13.1246356594911	13.0382737239589	12.7440490700772	13.3049837095772	12.9338342844014	13.0946831894061	13.3793433036582	13.3397066990424	13.4375480157711	12.9677329942465
"SELK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1D"	10.948190988913	10.320346034959	11.0667247339149	11.3235785648537	12.1279777424364	9.94014374884044	10.271246153164	10.5231001165808	7.98500238556794	9.35431934991924	10.0265548649357	10.4086060973612	10.6578587094045	9.19653573345937	9.48766360302191	9.62197739242385	8.18533249875986	9.64385681477057	10.5400994739883	9.32761843703979	10.3577907136306	9.02131067099604	10.2803859962258	9.79204001782196	9.87612910706708	9.5070015475718	8.88455778827101	10.328673207697	8.99956859859807	10.3563298080783	9.32740621154352	10.2872659986212	10.5912047632946	10.0228862927444	9.34239477079174	9.67876476788853	10.6325969706718	9.53995082657962	9.58434367390421	9.15093231783896	10.2637780154853	11.0240451426751	10.6861707848774	11.1725740369497	9.84797067194681	7.67884995023025	9.3650789623483	11.1162577796413	9.38508078729058	10.1459029652257
"PDCD10"	13.846789788396	14.1389711539044	14.0770928329235	13.8144865263025	14.8152730247872	13.6317056823836	14.5708917877043	13.5603717596539	11.9626939168501	13.3566108660032	13.0358669172125	13.6682466637462	13.0858546522229	13.5873665190315	12.8642326548294	13.476957502197	13.8912856930694	13.3036823427724	13.6139561821022	13.3687579038404	13.1801338695202	13.2934841415718	13.3483104514142	13.1027620110956	13.4737642533204	13.4920550996815	13.8323756164922	13.4713397133087	13.006331364131	13.3361087040709	12.8306434320252	12.8079717845884	13.9921833265515	13.171824262996	13.2020164258158	13.2589213860668	13.1793675933815	12.7304741833696	13.6796793756091	13.1492921002557	13.6734084321231	13.3574452365462	13.4715932182819	14.4570848096879	13.2074757825542	13.0714612946739	13.4640184695291	13.7510609454545	13.8214150363559	13.6238176369729
"PXMP3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CAPZA2"	13.2463577338199	12.7243091745142	13.6686856359106	12.8391146455794	13.5991888925498	12.5371846477035	12.7661492045176	12.9580498084343	10.730022307153	12.6073979943946	12.7350960830746	12.4300057308357	12.3257006716005	12.4704096637136	12.2423361866511	12.1955624293375	11.1923863745004	12.4031859359133	13.1840286578989	12.68240616291	12.6706157610293	13.6293327537077	12.9852272805486	12.9103610409317	13.2801033958682	12.9813155287837	12.7543116068424	13.1287542915393	12.58226034704	12.9588383491694	12.9413387237254	12.23647876503	12.7833849714785	12.1825875632445	12.5570294457549	12.5715632538465	12.5000683822925	12.2636539151058	12.5879354810539	12.8066399986502	13.0860339825428	13.1154191149898	12.3626499839414	12.3713597268057	12.0097108148539	11.5517443576845	12.8837204724676	12.4664336009616	12.8268521698999	12.3779970811246
"HSBP1"	11.9382302848669	11.0734744429604	11.1756143951006	11.5743026519034	12.5818219271244	10.6866703928757	10.8951787487265	11.3029850034509	10.7994993904562	11.1305672886208	10.8861487409205	10.9619640384549	10.3849757517961	11.0418939868348	10.9079563615367	10.2883063640088	9.64106935749328	11.1159063407301	11.0606433684909	11.6478596010232	11.2734341407768	11.2959350698886	11.6167104903368	11.2189712894363	11.2204348637775	11.2858019422837	11.1227011443511	12.0617720138068	11.0175991643878	10.5437931001468	10.9362416748156	10.4891353832914	10.9350620358977	10.9308476648876	11.2328640344503	10.9413229580474	10.7838435827691	11.1073644585289	10.9580554137198	11.324053136781	10.0267090424124	11.4022209758463	10.7267504524813	10.0463734997043	10.7325542137932	11.2895220361963	10.6398068232758	10.7196897476098	10.2266814510555	10.9243167138328
"POLB"	8.35917873395521	8.40333890761307	8.67037778137903	8.56934063159915	8.09838938953704	7.98465412941622	8.43142176861127	8.28483318386074	8.05699448502047	7.94256019280307	7.89761957014744	7.95000929424491	8.04704317052016	8.16530629395194	7.9953909883605	8.1438228779723	8.76467045435916	8.1958107250757	8.67285837215879	8.24710535056221	8.28651692930945	8.325438066158	7.60218679446705	7.78483300320174	8.26851986366174	8.09403445561093	8.24682554286955	8.23640773585273	8.62814405164664	7.94252352621621	6.89458754709183	8.50130059880715	8.10511896839562	7.8529441308081	7.83495384482049	8.08998981377562	8.40785002774415	7.80032427648946	8.40454480545308	8.67084143800581	8.44547690329579	7.59383446567513	8.3310816335813	8.34849669421647	8.06051429507105	8.33180095242748	8.16915670160076	7.96617992223219	8.64644492360437	8.512213561616
"SELT"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MAPKSP1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ALG5"	13.0062396514847	11.952914277229	11.3852283213683	12.4893216172174	12.616525271657	11.9106139458163	11.3508974406232	11.8372901252151	10.9539166749989	12.0531560155651	11.7763121438156	11.8473043658128	11.7269073651737	12.0284173225021	11.5927181103228	11.5298838381098	11.8217017756907	11.6555065499674	11.7852335896737	12.0363353142097	11.7730725214487	11.5643524596075	11.8310999900817	11.5375828200427	12.0807137604904	11.2981662596158	11.8059484929055	12.1339328715761	11.1369995830151	11.7923540717024	11.5969142468674	11.2477945829262	12.2488969218995	11.6633026178694	11.5899678413476	11.5929628135538	12.1735216968822	11.4436871925391	11.93547809743	11.6051534495455	11.8548975111773	11.5281133732186	12.7389014685254	11.4329193938926	11.740741149772	11.71385805925	11.71778187377	11.7429461618396	11.9503498585197	12.1519166319232
"ALG13"	9.6800799309624	9.63572965780341	9.81077517438924	9.54819585475262	9.97564771049005	10.1799381225997	10.2207125436736	10.296991486075	9.19573129696034	9.33943822878376	10.347262604131	10.2438492802892	9.82299700532301	10.8467903897951	9.76420586470355	10.1291159662398	9.80261416217459	10.4777120541349	9.75694183134138	9.63668046564097	9.01566171375717	9.4674674557303	9.63815805717849	9.37611721512294	9.38980655235181	9.51669513021794	9.73074412925822	9.49908477332435	9.35768800635154	9.88971137369625	9.35908176375114	9.93948298787083	10.1983416051763	10.5181508254858	9.97142517369577	10.3786370777489	9.86079833778138	10.0852261219347	9.59499055524185	9.91066875667496	10.2059337957489	10.8439688037813	9.71724998416073	9.04121848005653	9.00808703331681	9.4604615934327	9.89398895561821	10.4040505864111	9.74116233334051	9.57989425376053
"C17orf42"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARL1"	10.9590733688785	11.059608092105	11.3483432454301	10.7720092659396	11.3439444008116	10.3582954843688	10.7919308928651	11.0766843372095	9.72220893302615	10.4050582936586	10.4654219364947	10.2062304274404	9.56251317182345	10.6366202750725	10.1484657215699	10.0139454416067	9.98875431680035	10.554684429482	10.9114514908076	10.7369040074938	10.3247670662189	10.1946312287076	10.4463640924238	10.1404429641217	10.1607411406553	10.2508538838314	10.6324925296173	11.1354396425738	10.2144466446354	10.4711333504755	10.7099310371966	9.85013190648141	10.3575030114005	10.2620941723692	9.93078595732087	10.2712974574913	10.534857922905	10.4439297809238	10.1269058894834	10.1598634924647	10.513577094278	10.4566574992697	10.5049084506736	9.99508043691542	10.471117117813	10.3804273213313	10.0569451502104	10.6757002956204	10.5167489345395	10.4991121705961
"COMMD2"	10.4335366192215	9.95838898624805	9.71650539706909	9.82327989893367	10.3826445700546	9.78232570624897	10.5591695079981	10.1570083336517	9.31136196174628	9.63881643666377	9.46098219226013	10.1329199953982	9.50591060170878	10.0417140000081	9.95050026904329	9.80613792632607	10.0274084866589	9.59115792149307	9.91010991565972	9.9721682658586	9.74707988840844	9.6915612648465	10.0489698957205	9.44218611500008	10.5623727063864	9.92028723599304	10.0765255590228	9.85520418062262	9.59740550327662	9.97824681296809	9.85637772967379	9.572807991944	9.73383653244713	9.98410363622986	9.62394743140172	9.66232576380483	9.31698979156554	9.84802272886378	9.80116792785333	9.47566247615775	10.0362873366433	9.71586239152385	10.5683128676837	10.4317991868429	9.81813710732927	10.0363071535143	9.82167665150044	9.96330366942384	10.2638232047462	10.1538065406833
"C15orf24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
