"ID"	"State"	"InitialState"
"MS2010072835"	"S01"	"IS04"
"MS2010072925"	"S01"	"IS04"
"MS2010072930"	"S01"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"S01"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S01"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"S01"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"S01"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S01"	"IS04"
"MS2010072026"	"S02"	"IS03"
"MS2010072034"	"S02"	"IS03"
"MS2010072038"	"S02"	"IS03"
"MS2010072828"	"S02"	"IS03"
"MS2010072837"	"S02"	"IS03"
"MS2010072921"	"S02"	"IS03"
"MS2010072932"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S02"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S02"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S02"	"IS03"
"MS2010072001"	"S03"	"IS05"
"MS2010072004"	"S03"	"IS05"
"MS2010072036"	"S03"	"IS05"
"MS2010072805"	"S03"	"IS05"
"MS2010072813"	"S03"	"IS05"
"MS2010072831"	"S03"	"IS05"
"MS2010072902"	"S03"	"IS05"
"MS2010072917"	"S03"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S03"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S03"	"IS05"
