"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072023"	"MS2010072034"	"MS2010072805"	"MS2010072828"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B03_830732"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"MS2010072019"	"MS2010072030"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072835"	"MS2010072912"	"MS2010072922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072004"	"MS2010072813"	"MS2010072837"	"MS2010072902"	"MS2010072930"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072024"	"MS2010072026"	"MS2010072038"	"MS2010072932"	"MS2010072937"
"RNF130"	5.36275606116958	4.89566355434024	4.68559557066031	5.15980633042672	4.64641433599553	5.63856017659013	5.39983137847392	5.93846013047286	6.12343264590093	5.9443955494251	6.10288025849849	6.19040115881844	5.66571206503398	5.81325775924723	5.26574806479436	5.05781759387392	4.4906735512635	5.81168549446002	6.05455327062619	6.15291493914781	5.54617699143927	6.27770007961613	4.41866571627806	5.05451298393722	4.77382226663316	5.27305216438754	5.82523978792596	5.92646344698684	5.64408378513185	5.97292302318559	5.32338816435998	8.0194164679016	5.17876403146854	5.08974619556591	4.96523576686454	5.3597207100584	4.49408757967707	5.10373252804145	5.8409563782827	6.05276480556102	5.70818642145893	6.46642870542142	5.82828562219199	6.20529088505263
"ZNF385A"	8.19657622825869	7.6181207330746	7.27532291360981	6.329499973211	7.0908696457262	6.95283196184764	7.45505751451854	7.40927570675708	8.1568101594966	2.35358477568574	6.68262806568733	7.48421990404521	7.99306604284361	7.02659714927711	6.48767863802846	6.53391888489326	5.8091335753941	6.14820519570689	6.44112867580932	7.00883015885551	6.83708927937937	6.68077348963407	6.07314390634833	6.80874797899239	6.13152720398009	6.21571175060326	7.91278961519246	6.19042336059927	6.20969391662617	7.87602397794202	6.47584600948258	9.57007505092401	6.77342255755509	6.01251558350994	6.44557136166418	7.41049764908831	7.02503569602442	7.35894571402485	6.7178124182005	7.60198275150446	6.78266475255788	7.21412968333977	7.63072524520114	7.28185026002029
"PLD3"	10.329164700228	11.1437795150388	10.2233571792277	9.83315350577159	8.7781864489147	8.69776637206296	10.5082479424702	9.08838824646917	11.3900339784382	8.46636578882371	9.9147835044533	10.0654189666391	10.8821807239679	10.0424557214897	8.27145227917595	9.21434402349631	7.64429763257008	8.58098887674443	8.97039130379187	8.83891292666995	8.13313061897245	8.3190441214094	8.55811923588663	8.55289580987385	9.73548776742137	8.31843459769028	9.7518284648454	8.06188631447876	6.9307526274551	9.29140310998744	8.55487590591187	9.84265930439031	8.94912516296623	9.45395369259883	8.98675359106115	11.1084271285555	7.962481518479	9.42954262949045	8.60960916680355	9.72420874437937	10.0728709460269	10.0491606229184	9.11103584599139	8.70532132178605
"CXCL16"	11.2500472204129	11.3893475983109	10.1927612245371	9.78530020253471	8.77173844742167	8.20547874414754	10.1549531600885	9.12593594150781	10.9148103676847	7.4106579746256	9.4059814570964	7.9176297264604	10.6906910497298	9.01532378907443	7.09466056327662	9.22578376875444	7.17466373519357	6.96348694298589	7.80197715140116	7.15286680299438	6.93593516835948	8.36591499518785	7.15237217488287	7.25021273783152	8.89174781712274	8.41422157238101	9.58940879205801	8.15330493629869	7.2418915364973	9.16921348503396	6.9604859042254	10.6819522346724	8.00282686959453	9.39693888150263	8.54763996953283	10.3048434579342	8.33736662882966	9.76992951340786	9.71122495183689	9.32676384137803	9.31458917552751	10.0217874288857	8.64378707876066	7.09856336494677
"ITGB2"	13.1276144286754	13.0778600310116	11.9963292628778	11.9054441169493	11.8971173760488	11.0398273873105	12.8910572360705	10.6815520656279	12.7282977768388	10.5487088236107	11.0406008571181	11.8048463477949	13.1855000812237	11.1826501610135	10.6448363911689	11.2596303592906	10.5063959429698	10.1287827700842	11.191317555476	10.028034144608	10.5829597944643	11.1540320370237	10.0282356238202	10.6762682094513	10.8687978052923	11.2606673861768	11.9691053053273	10.6398390222286	9.79962728604735	11.2852229916521	11.4556423258305	10.0451970815638	11.6576520820684	11.1707609252816	10.5276708032901	12.8956358324213	11.2490632104052	11.4773004433781	12.6361972628919	11.4109201737225	12.5016117263862	11.7325301751357	10.8838174433324	10.9715245819632
"EPB41L3"	11.6932198361055	11.5247545864118	10.7671392014807	10.6512136004213	10.0578006572939	9.75031090984325	10.1466982082128	9.82798588548079	10.6055662639595	10.0293812162098	9.87145881007572	9.95287027192485	10.9251874902869	9.53410436861586	8.96142245860312	9.73009900606259	8.73959755984548	7.99513554390882	8.56712879976641	8.54809777333279	8.51281388026233	8.72974808846052	8.44460655165713	8.14496916152834	9.778649367489	9.73551740196691	8.74667331207019	9.79066243827226	9.81289574614455	10.915785320663	9.34576810373721	9.6102747095587	9.7228927059014	9.47671776501632	8.96529175612541	10.7434605597125	9.7504576414727	10.0517120194326	11.1812921439194	9.82629663903548	9.93947263674565	10.8891405452421	9.86735586406312	8.40441748293062
"MYOF"	12.9102322629929	12.7670220142778	12.0308848250633	9.7590860921521	7.84643502017343	9.27435035716818	10.3308524634279	9.40098120584426	11.4336575249636	9.21537936160288	8.56229383915219	11.1311163950502	12.2405640188419	10.4263705482567	8.57943081356817	10.3278969383506	7.14329010907442	8.83142692507884	7.7269140322267	6.82930684441123	8.2868574671148	8.79037791503495	7.6283814519958	6.60881334682329	10.1809959174975	8.45362695636481	9.12136010080646	8.39921548570378	7.69573854901871	11.1672741105341	9.04853513819589	9.39124991516406	9.22535034920034	9.60772237520436	9.7366676330443	11.8397552081629	10.3049303039493	10.2778922740422	10.0603952867317	10.3176076181273	10.1798980827075	10.0750876764267	9.462618808616	7.54995214746405
"GAA"	9.48618756141391	10.2866991391228	8.93385473675993	8.93486360017133	7.88282739208607	8.13302607804662	9.96094929579204	8.80370701868744	9.88392623124038	7.98150944967827	8.20579982121992	8.89866634225045	9.37330867394176	9.33457414591218	7.02152449253193	8.87879215509056	7.3273008347613	8.16906405980112	7.86174945697855	7.66976566239076	8.08049684273608	7.72326690094991	8.08249845009036	6.80313461704527	8.42858314053972	8.35389599791782	8.77481790170778	8.1801144588844	7.74395070015584	9.27985054072298	8.42981714039048	10.1717938490028	7.17066844726897	8.35006105461833	8.59291517625984	9.8735853606967	8.87729307290481	8.86974555641788	9.26287213597001	8.0700757823888	9.18531092709637	8.49508820293675	7.29551580664731	7.9321612309774
"SDC3"	7.65408865714363	8.81269968681295	7.13601858422108	8.24299687735198	7.12234708944298	7.21280181937456	8.28592996489264	5.78423774820958	7.61591638886559	7.87983589094018	7.50570118620362	7.4383416065397	8.22847105162176	7.44386548438613	5.37727566015051	5.45896955167214	6.23735557155861	6.35784985864767	6.55789733805235	2.66649572945998	6.36895259126416	5.85490001696404	7.15040523077229	6.43784144741518	6.6544670456789	7.31606324304547	8.4437206034016	7.00037935636211	7.86080687403557	7.51427198879614	7.14804815644773	8.39142746679499	6.62261760537647	6.33514835245942	5.16063026046295	8.0290477082002	7.08750175442928	7.1406229491543	6.93845067837087	5.92734681891908	7.74502663712714	4.04209790362669	6.37053807396188	6.59480203932574
"CD4"	8.60406964968328	9.06347211927231	8.36246509219914	8.66582241900799	8.38157313042884	7.98405391965996	10.0262392405829	8.2860764614705	8.92876317238665	7.41561069533802	8.11347684410892	7.97299525708826	8.77794447592195	8.49782053260738	7.4628015238039	8.03348190954768	7.79234404631768	7.68884217076337	7.04618195551463	8.01588267861048	8.0569444645195	7.98087338574658	6.90361532955625	7.08671920618094	8.92491015516555	8.70397666259596	9.32587953419019	8.23011407161832	7.33739510594196	8.39673529541167	8.43937587130411	10.0350686924336	8.79538109082908	8.20940167055725	8.63078562544501	10.4173696845301	7.53459638384806	8.20231940824743	8.53359500254663	8.4491250258244	8.65388297807715	8.31700051770161	8.42037937726677	7.62193792678818
