"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072813"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072902"	"MS2010072921"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"MS2010072042"	"MS2010072831"	"MS2010072834"	"MS2010072835"	"MS2010072925"	"MS2010072930"
"FAM134B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C11orf74"	7.74069535677745	7.7620375942341	7.79284914563052	7.49549913899599	7.88447591000337	8.04355526014409	7.3334487957134	8.01063690010333	7.81381979973723	8.5439381048334	7.79456611806173	9.06826724102014	7.28451697684276	8.39871740044692	7.59867652278199	6.41788676031645	8.22758952887455	9.09848848553901	6.87371767604504	7.19239809315752	8.5056929665749	7.4878881034839	7.66552927981206	7.71953418256471	7.72258660096563	7.83175220894426	8.17175402148191	6.26160113256999	7.97225545439082	7.04771012963492	7.66804294500118	7.20319590226696	7.39033929514272	7.09576414475877	7.44073957808177	6.68746500256025
"STBD1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SDC4"	9.92008889860731	10.585605233233	8.66752662830021	10.689860952817	10.5927185360318	9.78231183430537	9.30003702372063	10.2295813173999	10.7310139392182	11.5992202111985	10.6241493538131	12.221690120044	10.6684868679671	9.53661775922353	10.0163487403604	11.5047925189881	11.7147568777102	9.74443019160145	9.603317293745	8.96212363604861	10.0739304932985	10.295585041845	11.3150821913526	10.3095144327128	9.74317980761744	11.2567108826685	10.2214562007739	10.4244392161989	11.0968573623132	8.89688313350264	9.7848820552283	9.5350170555357	9.42670673142452	9.91416135180489	10.8197335490532	9.14763308167485
"GJA1"	13.1724520096636	12.5491345191693	11.9817623982851	12.2602840743602	12.4251057559922	11.8334353256395	11.9769741294829	12.676077552711	12.1312700506148	10.5524597528192	11.0507641061848	12.3806455052471	10.3382706789742	11.9802521331928	11.719209344195	10.2947483082645	13.2117977496401	12.3823315577441	10.4330910379044	11.9877905363849	12.783020200188	11.7201224172947	10.5722574215382	12.2541831954261	11.5199330741342	11.8578552527086	9.81489466252459	9.91102247835183	12.739942204457	10.568957497441	10.1611285775038	10.7920747937402	11.8111573221151	11.4410581166369	9.51376435646444	7.16395113075447
"FUT7"	5.56481760946503	7.09779744591017	6.61081430901446	4.36320792227362	7.44621833055896	5.8991507469912	5.96793101324939	3.56874808466233	5.95553814936213	7.63297789249747	6.07964039556824	5.79239600179946	6.42719909928743	7.36947501577886	6.51248579595966	7.7133918198555	6.76654887805562	6.82163246127143	8.09159603564111	5.85758667034336	6.57372172307372	5.73243426237494	6.53209349821853	6.88672012480212	3.4852521029602	5.4987201474564	5.80742234744744	3.88065019755474	4.95271285769749	5.37253826112834	8.71633607609691	6.14069774326401	5.98957901334736	7.4115838140506	8.36400799912125	9.17840145604273
"COX7A1"	9.28392241972073	8.89848471461872	9.40582307572789	8.77471972047216	10.223281490391	8.08981685546557	9.51437647109663	9.07980557003733	9.39054205090224	8.76255600898252	7.19088944573193	9.27900178511655	8.02402850157868	9.58749969208554	9.69689449178298	8.33451573143153	9.65611665402483	10.5441452694446	8.33107784898921	9.85962325248511	11.1548992927748	9.28551862788255	7.89824082198307	9.09677530130741	8.96249060167332	7.52538457016228	8.55732366048572	8.56942987158933	9.0722492704595	8.26632266162623	7.90393986185742	8.08246155646914	8.53750826462693	7.97467128241693	9.8278371702868	6.75593978659597
"LAMP3"	9.07053124079841	9.50470407518358	10.847688376767	12.0312830368885	10.5363358221532	10.0992581315044	9.605037648126	10.4692454371065	9.70380933375953	9.62964424979839	10.817336689748	10.538544172916	10.0196693318374	10.6442020652012	8.56508681964836	10.3192541693352	8.35112138050785	10.3085004187636	8.33891507064329	8.33498124258322	9.89878046297232	7.89563007839213	9.05458529836809	8.88244704534502	10.6748991191568	10.8305498729373	8.8267077679733	10.3302665115992	10.7526267317457	7.66720188321207	6.04990917823979	8.64878344515435	7.70848689060319	9.9539369604424	7.98395251388326	6.55167732495081
"TPSB2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SEPW1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LIPG"	7.2326991740626	7.88071065124439	7.35435466216533	4.53894164646693	7.95171723401386	7.14378710417562	6.37554478840888	7.90551216712737	7.57551090875484	6.29703321949334	8.21756900546529	8.50865540052801	6.81148128558324	8.22603081001196	7.98646066392218	8.1760838461506	6.1321924486425	7.68329544333148	7.47619894010382	7.14174935466495	8.44076304138234	7.01725419052389	8.79631843957037	7.31378169886421	7.14590467811214	10.0536416832554	6.04979665471419	7.6057266134947	8.82284929063242	7.76799749161074	7.19760976739302	7.24503054825299	6.83581442471698	5.42529321384503	7.72743242021714	7.4904588280909
"UPP2"	3.15267455925652	5.8748280703668	1.77659077945499	4.49628445246786	2.34794457832652	2.1589939493062	5.60304771885411	4.60957564000821	5.31290141702036	5.39679259089201	4.1719255496997	2.02689242897809	4.8598889038811	4.64030021367176	4.14640440066077	3.14647748292335	5.10611862414574	2.64527541639551	5.65195527084526	4.78203046650311	4.78691286849175	2.11157631164985	2.61558607136727	5.62588582114641	3.93606618376989	4.75142461828116	3.63790493268216	5.323020184233	4.25720970958104	4.15830205680326	1.45953854614037	4.66253311396079	4.20859878089927	5.30846263227317	2.42755131774988	8.62075144131571
"LOC100287814"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FUCA2"	9.90174899374522	9.78059029329589	9.76037666390718	9.389352818906	10.4506911250731	8.98706949836019	9.43476775126813	9.59267854548177	10.2405014096199	10.3966159330811	9.72424634396418	10.0100755748572	9.63829107769162	9.59830229545626	9.97005932709514	10.5072349826322	10.7923409491804	9.32678152675025	9.71186623034684	9.91016736194262	10.2061320896618	9.29287240965073	10.2828538322772	9.92002723631596	10.031082000605	9.5322926526413	9.68231355486849	9.89500871177788	9.28682733862082	9.11717728674746	9.31277727775186	9.34060841848305	9.90121322785222	9.35134744042456	9.93156640486725	8.81345933298329
"ANGPT2"	7.24238023968467	5.60803838001044	8.4683144750277	6.44131252500844	7.05948884243232	6.34978752167939	8.38856429135747	6.55866598048721	6.94776663321035	6.8102595699066	6.99053917210008	8.46337510284391	6.51987261781792	8.34640784866561	7.11203676265147	6.7360402668201	8.53677444385373	7.0426482360015	7.29968466563676	9.5671211602833	9.52642005234991	6.89295891448942	7.2538715041244	6.35563093524524	6.87543192876769	6.7267541457133	7.13292796086266	7.50335338948374	8.33985351755344	5.60313305892509	6.35117849695326	7.08100628259298	5.59948967520877	6.1749482601069	7.28049867055097	8.4857460329379
"RCAN2"	8.72933778443204	8.33713505251339	8.56402712669883	8.64640739775723	10.0129168430233	11.4781651327968	9.2838486023558	8.85972056668347	9.13693148476827	9.77135127916707	7.40338658614654	7.42580005385394	11.3351439140655	7.27397650652627	8.52677540930373	6.79456640217376	9.35230820490785	7.81574613843414	8.0346129864701	8.46310806430953	10.0702518434999	9.30394441006486	9.73231029580471	8.05967528836182	7.98317613193726	10.4773218126318	9.58852951106221	7.93307252264492	8.91917074239864	8.41628337082916	6.15494875798454	6.48861081594936	6.38503940106898	8.00868347969041	6.97683152485395	9.88722210993362
"LOC100288944"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ40125"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM19A4"	5.36400796095121	1.56447684333395	4.48848713474023	1.13526887330104	4.68649513702877	1.91089245045278	4.87036132080937	5.61831872053371	5.53261196577892	0.947629337935437	2.55592458521808	6.41445843589851	4.16239098077372	2.24304007466392	1.36808252848273	1.32974797932881	6.24292126370983	4.54949358020277	2.1597052360997	2.01857131198191	1.78112734690304	4.00638420942794	1.62151585029268	6.1099002333755	2.1952724625914	1.40325992797081	3.30684214495113	4.07804978550635	5.28757766292743	3.66739134183111	4.65584045432689	2.22396411010196	1.24700809820051	4.84811353943442	6.23349579260873	7.05071494091692
"PARP9"	10.2318283101243	9.95351773367713	9.89899795886203	10.0393859857827	10.2455379897626	9.9847289215001	10.2090905554795	10.2055489708785	10.119044317831	10.5188242271915	10.7163299430203	9.73330799225199	10.3821465814566	10.1461466948825	10.4713233851081	11.2460617141331	9.01960725181283	9.65252096260334	10.8154724882091	9.74381541837535	10.1645738638268	9.85073637248665	11.0693304652245	9.68291046959621	10.3262175479888	10.7676129523581	10.5292818433498	9.97841949802437	9.91881814350412	8.61944941098526	9.72390936436531	10.0118328947384	9.06183071923629	9.76985596527904	10.0544196896955	11.4095156539275
"TSLP"	4.86541126972371	6.79907449259693	6.38241362074771	6.90337669702252	6.20519512288493	6.22026434455347	5.4983657028753	6.2122880168349	4.27180482621534	4.7267578154493	5.73917964844862	7.07263216477412	3.19603451307977	4.80890676533725	5.01043773411702	2.68319563459722	7.13267103954954	7.64321741513249	5.93444515772936	6.78055004360953	6.68191744157874	3.3200566924993	5.96217577844857	5.62745970918612	5.46217781600568	7.55324883914557	5.97897360971564	3.62484500400498	6.13878261440959	5.30449473850682	5.50380973091852	5.8808881420981	5.02034290121742	6.31626152642009	6.7766929773731	7.80492122566396
"SFTA1P"	3.44892052661952	4.32115527143298	1.49877641506519	1.64665031328471	5.43852990499436	4.57145326451236	3.20657726206732	1.67240952830593	1.67254464496785	4.08250682973427	6.1042887975864	1.47734140885426	1.90150850480213	3.39231631252677	5.06493199307525	6.34852663686162	2.40043197646513	5.14361430673094	5.60278186237067	6.39169350297354	5.00270093737728	3.00467254856903	5.49568614944441	3.09616789385115	4.44249013909898	4.52825368222347	2.35806995188943	3.36238988820693	2.83359683636316	2.39887753113845	2.80863859268663	5.33378187846098	1.69011231045133	2.41358623154607	5.20848597801664	4.81990434851514
"SUB1"	13.7879572618808	12.263644858449	12.6655639995614	11.5724670054608	12.8378007145813	12.8378147437655	13.0558727381566	12.1322037183097	12.6640511787725	13.5455991266277	13.1942572462014	12.4202512426834	12.7459178101345	13.1954172249613	12.2372344323067	13.2727452755038	12.6667695261995	13.8027564414997	13.0225985729391	12.4018658010766	11.8710646336457	12.1708348599446	12.68686099972	12.1943418842225	11.5826158983245	13.0438690035611	12.9497098292025	12.4283615795674	11.9102932813659	11.4867296399212	13.0478853166936	12.6014875760585	11.8351961274894	12.6087609855557	11.5209153652182	11.9417782484739
"LOC653198"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC647281"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
