"ID"	"State"	"InitialState"
"MS2010072001"	"S01"	"IS01"
"MS2010072004"	"S01"	"IS01"
"MS2010072026"	"S01"	"IS01"
"MS2010072034"	"S01"	"IS01"
"MS2010072038"	"S01"	"IS01"
"MS2010072813"	"S01"	"IS01"
"MS2010072821"	"S01"	"IS01"
"MS2010072828"	"S01"	"IS01"
"MS2010072837"	"S01"	"IS01"
"MS2010072902"	"S01"	"IS01"
"MS2010072921"	"S01"	"IS01"
"MS2010072932"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S01"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B03_841912"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S01"	"IS01"
"MS2010072042"	"S02"	"IS02"
"MS2010072831"	"S02"	"IS02"
"MS2010072834"	"S02"	"IS02"
"MS2010072835"	"S02"	"IS02"
"MS2010072925"	"S02"	"IS02"
"MS2010072930"	"S02"	"IS02"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S02"	"IS02"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS02"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S02"	"IS02"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S02"	"IS02"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D07_830762"	"S02"	"IS02"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS02"
