"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C05_830694"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072817"	"MS2010072827"	"MS2010072838"	"MS2010072913"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072004"	"MS2010072024"	"MS2010072038"	"MS2010072835"	"MS2010072837"	"MS2010072902"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"MS2010072001"	"MS2010072023"	"MS2010072026"	"MS2010072034"	"MS2010072042"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072904"	"MS2010072921"
"ROCK1"	6.20401668029674	5.92051039874011	5.43993261225662	6.37717415893318	8.13548369723828	7.02330236240374	9.7998262235139	8.13850626000543	6.68452058012067	3.34610500261014	6.7454934282374	5.84130271943976	6.93929956507688	2.00512426075912	4.71302271191818	2.37990364293754	8.12725731800768	8.02856686723118	7.02075295058114	8.20589086417432	8.19921031812597	8.65705106401889	8.49446694858027	7.53465156093022	3.565295567224	6.3469046707421	6.78990318266522	5.72731261876233	2.01472129724685	6.83349996646196	8.83591257555305	7.63687698446875	7.77451224232862	7.5443734947568	8.39972690649367	7.97829329024503	7.09530080427582	7.48555554686543	7.99749450815786
"POLR1B"	10.0740950517241	9.86162547008192	9.73714815353422	9.607672496132	9.92574559653152	9.27562753716569	9.74082567808214	9.85434628535399	9.72628057526667	9.26429482754845	10.0424711466743	9.13293911842455	9.56173131303683	9.06631688340748	8.98410849662632	9.21747022168487	9.49777400984875	9.7084406524277	9.24250324759141	9.30398049342755	9.34108245749429	9.26722749138486	8.63790234590435	9.40940536320958	9.09953725359006	9.3221164837066	8.83957026243232	8.79496283228506	9.713009021191	8.99840078169108	9.70092589679495	9.16073778465273	9.2558457451624	9.50290244066265	9.67298917800596	9.37156022239731	9.30487686390387	8.68880973423333	8.55673459195551
"EARS2"	7.37275513704887	7.3881939579745	7.57262824068967	7.15461677845383	8.23249017341358	8.09673041881454	7.43772757005416	8.1904575613421	7.46594137319236	7.45161421104507	8.27526510477684	7.25886513554031	7.27725738206432	7.39674115817148	7.2769813095744	7.29184487271144	7.0242781986652	7.33800321599546	7.10833071392773	7.41377835113901	7.50341529783529	7.64905063729	8.50693501639395	7.54888120624586	7.32331530205158	7.36188756374576	7.0183592709088	7.48369202300856	7.51256238668912	6.98312412040673	7.44951590664941	7.5756235547794	7.34127309514352	7.33351585112327	7.63335405803383	7.25682461250685	7.35327648044134	7.55079678359762	7.64395964724147
"TMEM219"	9.87456090814043	10.6025183353398	10.0776712255056	10.3953588038622	9.38851927697335	9.83927059545647	9.68297465948464	9.61912153081203	10.1263873974062	10.6923983079633	10.2850695882918	10.1349789546137	9.94072448983203	10.4162092316704	9.94702972259589	10.3333205584548	10.3681215272999	9.58043329569652	10.4287113721141	9.88905821145898	10.3158598323409	10.4635132956531	9.91716572454617	10.4336223426689	10.839764825753	10.6019304197421	11.1424677616392	10.4897441767177	10.4943861251209	10.5571682689046	9.75577571249613	10.3980172286206	10.5362743630368	10.7103263104871	9.58438049721673	10.1692430319044	9.99275858783886	10.3719019857603	10.7819565467164
"SPATA13"	7.27099071598641	7.35112330470738	6.31446881884157	7.29455459262288	6.52622140762074	7.08752923508066	7.12856417798393	6.54728827488379	6.63166393246544	6.74112385972075	6.93117190703934	6.39636603924436	6.42247939825225	7.15251152073445	7.12250499522873	7.13314996090361	7.07113780940295	6.61235240427191	7.46608185330118	7.23593276646542	7.45807357965281	7.09037082992853	8.98933423928576	7.14832187306936	6.5506205188153	6.63059505288818	6.38264386792981	6.73050324864689	6.78213596675794	6.39408034140996	7.23195102054782	6.99002987059778	7.15286634263122	7.26987131504613	7.00948893384837	7.42705003444568	7.59380688671246	7.21189653320526	7.56865488692189
"KIAA1432"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CXorf15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ENTPD5"	6.04155034405228	7.16323332334166	6.49991620853241	6.97322492748625	6.85789754204801	5.40807648891985	7.17720794898016	6.99306958806553	6.71528344286476	6.53781690175309	6.62124824097154	6.56424152571453	6.55663142520789	6.3600322436259	6.21099119978494	6.54450442246376	6.51112161759625	6.49558616296515	5.66363757902793	7.06596008563582	6.99490551370336	6.0802296744366	8.26192874743976	7.13418886768559	6.47080673926751	6.96745777776813	7.46451971443638	6.64631166403771	6.68320882165259	6.98592464953647	5.88128929768719	4.49651101570711	7.05293607909717	6.0628129576424	6.88891728039809	6.40192797198626	6.95780063332973	6.55728379421016	7.04075910444304
"C1orf109"	9.10467986958543	9.15132041354745	9.31619512796037	9.7355627916911	9.47195985393223	10.0624657594702	8.78144347564602	8.30769034980381	7.84191894463572	8.725096934858	8.15569964663754	8.4921305007101	8.40621033490683	8.67275555840056	8.84224087200861	8.99904088408531	8.40951919411004	8.88175945395042	9.35925991720155	8.97822076367134	8.68166973214884	8.84850632446342	8.69079541192987	9.07719727281994	8.4097750563792	8.45173525102174	8.1562822108285	8.86158352183015	8.530595441083	8.53123683894268	9.04003287048063	8.87583330169844	9.00412869499182	9.19568392935853	8.68052336558868	8.83912552261204	9.1766896880561	7.97042741470418	8.81076662419493
"MTF1"	7.2996896499095	8.21311932408797	8.10625037471023	8.49613114688913	8.76034035447739	8.58021922824056	7.96999067493198	7.70976421296931	7.62780536192331	8.32392396808655	8.54628056680138	7.63774141192153	8.19612821093922	7.91495337152581	7.8227329630068	8.20770428544284	8.47455656063896	8.25502206426527	8.33004609774178	8.01937904355828	8.72799660086647	8.52950367072224	9.39934851327918	8.35884495563674	8.56685332061854	9.23166152364584	9.43137380160142	8.60449590905801	8.22817539959068	9.21661539539685	8.63326170476364	8.46743675684275	9.29036172676584	8.25938808772712	8.22609674874104	8.10093325814041	8.3087280527937	8.60722999288694	9.74928711374861
