"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"MS2010072023"	"MS2010072042"	"MS2010072835"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072034"	"MS2010072038"	"MS2010072821"	"MS2010072828"	"MS2010072837"	"MS2010072904"	"MS2010072921"
"ANKZF1"	7.48908000147537	8.171415397437	8.46896073642634	8.29567867436901	7.18753768436698	8.64707353993559	7.65449566040323	7.19002419289459	8.05341129242604	6.98171913152547	7.45958696114519	6.60595420956543	7.52653565623808	7.21168889604388	7.37105953831834	6.69327242276617	7.30306762153073	7.35354453617617	8.49567968229312	8.06221705732101	8.5292604318365	8.70423364034445	8.38902023864927	8.33497352777144	8.80600747548571	8.2249850776599	8.36008821391948	8.208369570164
"LOC91316"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100289010"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SNORD83B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ10404"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"CXorf65"	6.52137381428987	6.54039270007627	5.74583309938775	7.95817200077847	8.29481127800184	7.19339565617374	7.46444563856391	6.3773785733924	7.2666237311333	6.07220961098581	6.9187112339186	6.32389318119992	7.67363615120002	7.06368046996136	6.56627685376842	6.02970359467593	7.2368597934573	6.35261617347959	8.11542348153741	7.46834713162346	6.93167720562824	7.66484649982289	6.54282198727103	6.92936043728901	6.9522762870437	7.50414129875749	4.97823417895007	7.0150616967977
"TIAF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ITGB1BP2"	6.24070942669275	5.3609861879138	3.87025519400544	6.30658850080788	8.36688185687332	5.08600140601121	4.99128928402776	3.41333307308162	4.44264432902082	5.24162890267917	2.09007124813743	1.72099828097013	2.30172775014688	5.92839726244412	5.99703846315691	4.95853052969202	2.93598796972307	3.49481723108698	5.57288231768455	2.65374406539122	6.75039916006091	5.67927520508041	6.28716951708481	5.14391790727726	3.86121817391695	6.47567907716168	3.84446633218727	4.11980412172193
"GLP.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ACAD11"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"TCIRG1"	9.76303475431019	10.4052718377137	9.34174452889932	10.5282854877901	11.2572154449655	10.3739414614924	10.6151192463038	10.7915668581856	10.1755445010759	10.7002952076096	11.3847724519014	9.88431223372528	10.0101798768943	10.4370087554215	10.3567467045985	9.74480300673769	10.0637181049265	10.4602701566411	11.4638929084259	10.3917945867669	10.2020867505138	11.4233708027106	10.9166464241736	10.9194164416567	10.4861799505896	10.4086342225735	10.6865413674027	11.5730199021264
"ITIH4"	4.92460713660425	6.33416433299095	5.02092058620441	6.40359815033346	7.95462554624171	7.38826094995207	5.85206763315743	4.57894877754402	5.04409457497731	3.27051717392789	3.49734092381952	3.94880791644232	5.81930339522496	5.46796915696763	3.46728353159955	5.57982106223256	4.24860955315045	5.52843808986293	7.75423675817384	4.63823770924947	7.04622460307411	6.91952752996758	5.23427524377951	4.43231570081795	7.14335679696934	6.63694765550888	5.63353531934678	7.07047809294618
