"ID"	"State"	"InitialState"
"MS2010072023"	"S01"	"IS01"
"MS2010072042"	"S01"	"IS01"
"MS2010072835"	"S01"	"IS01"
"MS2010072930"	"S01"	"IS01"
"MS2010072932"	"S01"	"IS01"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"S01"	"IS01"
"MS2010072001"	"S02"	"IS03"
"MS2010072004"	"S02"	"IS03"
"MS2010072026"	"S02"	"IS03"
"MS2010072034"	"S02"	"IS03"
"MS2010072038"	"S02"	"IS03"
"MS2010072821"	"S02"	"IS03"
"MS2010072828"	"S02"	"IS03"
"MS2010072837"	"S02"	"IS03"
"MS2010072904"	"S02"	"IS03"
"MS2010072921"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S02"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S02"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S02"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S02"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS03"
