"ID"	"State"	"InitialState"
"MS2010072001"	"S01"	"IS03"
"MS2010072023"	"S01"	"IS03"
"MS2010072034"	"S01"	"IS03"
"MS2010072042"	"S01"	"IS03"
"MS2010072805"	"S01"	"IS03"
"MS2010072821"	"S01"	"IS03"
"MS2010072824"	"S01"	"IS03"
"MS2010072828"	"S01"	"IS03"
"MS2010072838"	"S01"	"IS03"
"MS2010072904"	"S01"	"IS03"
"MS2010072921"	"S01"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"S01"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S01"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S01"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"S01"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S01"	"IS03"
"MS2010072004"	"S02"	"IS04"
"MS2010072024"	"S02"	"IS04"
"MS2010072026"	"S02"	"IS04"
"MS2010072038"	"S02"	"IS04"
"MS2010072813"	"S02"	"IS04"
"MS2010072831"	"S02"	"IS04"
"MS2010072835"	"S02"	"IS04"
"MS2010072837"	"S02"	"IS04"
"MS2010072930"	"S02"	"IS04"
"MS2010072932"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"S02"	"IS04"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S02"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"S02"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S02"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B01_841924"	"S02"	"IS04"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S02"	"IS04"
