"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072805"	"MS2010072902"	"MS2010072925"	"MS2010072930"	"MS2010072004"	"MS2010072828"	"MS2010072835"	"MS2010072912"	"MS2010072937"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072834"	"MS2010072932"
"XAGE5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SSX9"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC652191"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DAZ2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FEZF1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"HDGFL1"	6.54717364076383	7.96380753173702	6.68076648928173	7.0769783197639	6.93763883665204	5.74091233216561	6.60867406002294	7.15906977728072	7.35406836706908	6.6230423196687	7.50410237429957	7.19765605050473	7.39888135535851	7.00471144411369	6.808614962444	7.34864504008372	7.38420853548884
"NXF2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC440243"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RIT2"	3.30945400910679	2.06641927123267	5.2641493143947	5.27207684142101	3.20707046704533	7.30843284501453	3.00437643296809	5.32331645912805	3.03423826290211	2.76752207674461	4.84984958372217	1.52321641665866	1.53224196410107	3.11691644122837	1.31523462259612	1.72650896055375	6.08221459508741
"TGIF2LX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FTHL17"	3.06336206834448	3.81305898016192	4.60079182785943	5.70724956588299	6.21526059229602	9.88526660358143	4.59848350638432	4.88889366014579	2.81854150049739	3.91100885328609	3.73778814320628	3.97726646087091	5.52289384356687	5.32549338456409	5.3410348229967	2.30117599948016	1.37563145957118
"LOC255025"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SSX7"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC730121"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C10orf96"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OR6B3"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"RHOXF2B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100132257"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287273"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PRG1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC150527"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SSX4B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MGC33407"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"MCHR2"	6.54505464478958	3.02305047304593	6.96144055240902	5.69436586963995	6.27065228051608	8.15855873417433	6.43339617459072	4.94452465889948	5.07504993140543	2.17007140798862	6.1967672780682	5.31821935203416	2.6618099942021	6.03887939462913	3.23804905931383	5.24829960573021	2.69303376234208
"ADAD1"	6.02147681608884	7.06648326355225	5.78119933389813	6.78548132620595	5.96922313773351	7.45606897600338	6.25709583836213	6.27718625373196	5.44156188018082	5.72644313264295	5.87186081399277	4.64754988376318	4.86433032329616	6.16761250637915	5.64019705101483	5.73724716285377	5.75505251077606
"LOC645202"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100127989"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100289603"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DSCR8"	1.82615515197171	3.76358944944591	1.83323960496633	4.65933299371095	2.61221214639934	9.36423306138336	1.83686468999805	2.16216740542683	1.63218585342069	1.79323193936924	3.45808166515287	4.69135603040528	2.89702694692739	1.67510793629036	4.54413163595484	2.17804324335799	1.10405376979655
"LOC100289323"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100287843"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"OLIG3"	1.45317123320003	2.40544513815427	1.18986160874327	1.51500299784024	1.93016457339289	9.9491984034591	1.54834800944533	1.56917454968363	2.89350295751646	2.30844111085943	4.94502488723793	3.2448253686704	2.14985250027035	0.750114261109319	1.8473707919268	2.49799071697432	2.59445412303108
"SSX2"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KRTAP19.1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ARD1B"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"SMEK3P"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC440233"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC401805"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GABRA1"	4.75855588938504	2.16247902094634	2.83134343962288	2.45593751432201	5.50058753413804	7.46163537581824	2.70277703060435	2.9196672043577	2.70089484412699	2.18176436624291	2.37889526019224	2.14169353628382	2.90743071385625	2.30591292533412	1.87889815091065	3.06716748515977	3.18576138233489
"SNORD114.10"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"VCX3A"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GABRG2"	4.83965838818377	5.79819396783022	5.26454203618734	5.1598835983648	5.23672952765695	9.18950435793034	3.27274478795019	5.81856579333158	5.69714198288158	5.28474291744028	4.69447637371751	4.1821913768077	5.0838728508783	6.16826111146059	5.2664535661945	5.12807894092944	5.32271716356489
"STOML3"	6.31015596778473	6.83145526792759	5.53971886483748	5.35359691897054	5.15723856731493	8.79170464644741	5.53374215355121	6.04047906099821	5.66373494035842	5.72291524730579	5.24436914656336	4.36750224488625	5.12377870990819	5.39890613153081	5.29700711551877	4.28190556969496	4.40836471543983
"PRDM9"	2.62140212954471	4.90084610189163	3.82670503606779	1.99124088807909	3.03818168855588	6.97620987044823	4.29560457895665	1.95483551999073	2.29723706249639	1.69537874139266	2.9680188738159	2.62399450517566	2.62998866456825	2.34485978733928	4.32661179959026	3.04760768663372	2.98429411080096
"LOC100288776"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100131132"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"UGT2A1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FAM75C1"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DACH2"	4.55430835414543	6.03933055271929	2.8514085230923	5.43618506503135	6.16634876167176	9.61008007240642	4.89003974006521	5.17610361975912	3.44753867609087	5.41502004134805	3.72953319322908	5.25676334308973	5.06302889431091	5.0557789865672	5.65592576995247	2.16564409838531	3.73970453771679
