"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A10_841922"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B07_830666"	"MS2010072019"	"MS2010072037"	"MS2010072804"	"MS2010072806"	"MS2010072816"	"MS2010072827"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"MS2010072023"	"MS2010072034"	"MS2010072042"	"MS2010072805"	"MS2010072821"	"MS2010072824"	"MS2010072828"	"MS2010072904"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072004"	"MS2010072026"	"MS2010072813"	"MS2010072835"	"MS2010072902"	"MS2010072917"	"MS2010072930"	"MS2010072932"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072038"	"MS2010072837"
"COMMD8"	13.1966093104786	12.9263013823243	13.0925697330033	12.7379530228493	13.2420631936843	13.6219718739825	13.9839728217185	13.0576119309604	12.4581648339626	12.4433636947377	12.7563549445618	12.8072548632811	11.9951980671219	12.5233898456824	12.7280536353392	12.5860545985325	12.4000194976891	12.5929224358936	11.9937444674832	12.4444622720506	12.0242709118472	13.1374979147352	12.4362772509767	12.5692720769832	12.2290967741629	11.8155404739705	12.9048289571805	12.014663690671	12.5444906452281	12.0332296109037	12.9270534257324	12.3614012810605	11.8923262441404	12.2393756483202	9.73983640966707	12.4491896295371	12.6274437900482	13.3027705262054	12.5788129779889	13.0896131999149	12.8110555676865	12.2036475909196	12.2260965159059	12.3009010880106
"MRPL33"	12.0378759826643	12.1532962169671	12.4797377555596	11.9991972347435	12.6827839597663	13.0592568852261	13.0364393193645	12.0554589450498	11.5499400792393	11.6457292197832	11.8304742781992	12.1060235583476	11.4993901421166	11.6894998876674	11.9816099929832	12.4103280586512	11.6385179205388	12.1095238057236	11.8281549945729	11.6757695757128	11.5482067928634	11.9769675460392	11.4758432274247	11.9172557126166	11.1661818445242	10.2579617224285	11.7909978293568	11.6155706345385	11.7096967820122	11.1932598377922	12.6402765649736	12.1148564241858	11.2198508889642	11.565370024686	11.283788908348	11.5505789569555	11.0686452867241	11.8464053402244	11.6976521622201	11.975505226105	11.7867380508239	11.9379307638494	11.4845533916499	11.8206549699509
"LSM1"	12.2061274274744	12.192978702605	11.5094075494864	11.7139173635066	13.159805095425	12.5930291687082	12.9213402448404	11.3790995684916	11.8366733903301	11.8788473086372	11.9242829235053	11.6092028839662	11.493169379886	11.5167923902429	12.5281972153518	12.3324814571194	11.4326110565831	11.659674994644	11.5703599570584	11.7335984501043	11.4585547494552	12.0182029112886	11.5524474483009	11.6384463557066	11.6296698418865	11.1591902639074	11.7936555656635	11.4282627570198	11.7000425707737	11.6314768454708	12.552031161374	11.453073391313	11.2259219452183	11.3276046895027	8.8692025109824	11.232693021962	11.9176518993714	12.2429988085777	12.245918259391	11.7513455596661	11.5319066207164	11.6360839069895	10.8159229044733	11.0016812289234
"ASNSD1"	12.4966673102852	12.0938749485044	11.9316978105276	11.8021585006114	12.3649017097798	12.8275840779051	12.3486297519686	11.1224059726433	11.5099788450775	11.4786772645335	11.8203870319393	12.0923050967718	11.5422678324595	10.9607168240348	11.1382999507407	12.0173153761012	11.3957183488143	11.7581865993148	11.0431162840441	11.9180104461429	11.4038572919744	12.2897754004582	11.9442117335136	12.2558952533717	12.0034964824886	11.3542827467165	12.2111743920986	11.3527844884509	12.1087934927833	10.9126275155819	12.2936826062815	11.3845278079937	11.7916677572226	11.2141248774431	10.1517873058027	11.4038580976254	12.3650893314584	12.1302787009073	12.0463399604644	11.7951038220499	12.01065355421	11.8268160334898	11.1874245882748	11.485521229177
"TPT1"	15.005919036769	14.7812534034342	15.8469566374415	15.8062583803108	15.3531532844535	15.4894600586507	15.5987148507713	15.1507119209703	14.9336377389774	15.3066782182434	14.9811564599555	14.9627876153973	15.2894910273401	15.0633341222483	15.5387823654468	15.4602962634562	15.3611274700032	15.4675452912079	15.5966180182537	15.1830679551689	15.3869685259023	15.1457974416257	14.8886543634364	14.9089688481954	15.690870063387	16.6401203777465	15.0719252772649	15.2922513630111	15.7364628168145	15.111519474641	15.4664684449652	15.1695223016302	15.6297923240119	15.1011152970471	17.0281953812729	15.6751328247768	14.7098866898093	15.3591722230071	15.151756458372	15.0907525463093	15.2766360691145	14.9286246957334	15.6484567988665	15.3437468341955
"SEP15"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C1orf212"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"PSMA5"	8.88588888530125	8.64684437438829	9.19184261311602	8.34847569339969	10.2826989079454	8.87458658268916	8.62399478403085	8.87546178830588	9.30802629250181	9.76444563143178	9.76822268951817	9.22350177491307	9.12644912725953	9.51145349678408	8.95207683514427	9.59718940013673	9.12319895722356	9.37364853435711	9.50367388988027	8.62674961862001	9.42659853142608	9.88966166723548	9.2873830173486	9.90090683640745	9.76379988838271	8.50750218265889	9.89426823854379	9.72503824074617	9.51311340533975	9.43478458962795	9.58246580039032	9.04272763339517	9.57578808147361	9.31214265988902	9.93884131824624	9.45117686643808	8.736691261699	8.57961206089138	9.41819096805232	9.68042834468013	8.4481379733167	8.70335954121424	8.58384674850579	8.91200695800062
"PDCD10"	13.846789788396	14.0042664443073	13.7912193419717	13.7510609454545	14.043114639716	14.0770928329235	14.8152730247872	14.5708917877043	13.2934841415718	13.1027620110956	13.4737642533204	13.4920550996815	13.4640184695291	13.2020164258158	13.6682466637462	14.1389711539044	13.2589213860668	13.6317056823836	13.1793675933815	13.6796793756091	13.1492921002557	13.3687579038404	13.1801338695202	13.3483104514142	13.0714612946739	11.9626939168501	13.3361087040709	12.8079717845884	13.9921833265515	13.171824262996	13.8144865263025	13.5873665190315	12.8642326548294	13.1257781410734	13.8912856930694	13.3036823427724	13.2074757825542	13.8323756164922	13.3566108660032	13.4713397133087	13.006331364131	12.8306434320252	13.0358669172125	12.7304741833696
"C12orf29"	11.098531018622	9.80582158192151	10.4952357574149	10.5107052557672	11.394611568817	11.8763132118389	11.0823249832256	10.7541471216342	9.77687804436364	9.17162136048012	9.69745661755233	10.1858136849151	9.99869476116585	9.00991039969342	9.72975917832563	10.8752902951565	10.3957251676096	10.2245667713457	9.85666234725733	10.11889129254	9.37630596860009	10.2245796444649	9.33765703511284	10.4293261748409	10.1925639958376	9.08311324894313	10.257977774963	9.58829669192346	10.022555341519	9.63655689539485	10.9823776207438	10.6592688092582	9.96717231829163	9.42264257905794	9.54614132516439	9.96850486009054	9.94744953442684	10.2209697080687	10.2216364925069	10.4413043871803	9.36175219818501	9.84290405056974	9.83119339683569	9.63498654164405
