"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"MS2010072019"	"MS2010072023"	"MS2010072026"	"MS2010072036"	"MS2010072037"	"MS2010072038"	"MS2010072040"	"MS2010072828"	"MS2010072834"	"MS2010072837"	"MS2010072904"	"MS2010072930"	"MS2010072932"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072034"	"MS2010072824"	"MS2010072831"	"MS2010072838"	"MS2010072925"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072004"	"MS2010072042"	"MS2010072805"	"MS2010072813"	"MS2010072835"	"MS2010072902"	"MS2010072917"	"MS2010072921"
"LOC100128682"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"AKR1D1"	4.50656597132472	2.07090382351507	5.21146943339135	1.00756055656209	3.45479711099204	1.38436341067438	3.4221359418517	4.19160805524982	3.46490607659591	4.41381914959761	5.67490366761986	2.50132000156556	5.55211340271293	2.11084389401155	4.80444530297879	8.85760493510432	2.26406459294415	4.2531007039783	3.91114358840769	3.37724880217873	4.66237640983194	4.61292928430145	4.38124819599504	3.95579593714598	2.89962631355059	1.22374044403337	1.33147374093692	5.52191498871885	1.79044297297244	1.0172065347478	1.67802859431966	3.10221161928791	2.78303588373123	2.68709364564386	3.79938403371543	1.92744734058303	3.27158688897052	2.07697068292895	2.17702080809946
"GABRB1"	4.30085093659504	5.93235437150461	3.44859163837175	4.95170212083309	2.12979130002866	5.31145032941831	7.48652447168186	4.00511605662356	2.92126315455683	5.21015468610656	2.06995374213178	3.74676046608314	4.91418195878663	5.17057229913588	3.48663236325913	8.26381863002621	5.35837492870617	2.8788618375555	2.63289973915676	4.11243857526263	2.99978202028919	2.15047082473432	5.62039682189172	4.34310575631347	2.12970429152121	2.40434895761513	4.0242352847228	4.22831382015735	4.23972968087918	4.89896612545175	3.82906283499373	5.19133696907143	3.75904080328825	4.4588784749277	4.38389914429662	2.9510713848334	4.91832328799583	4.99940409514648	4.96917208903456
"OR4D5"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ37786"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"KCNU1"	3.21217465653993	1.58815867893247	3.29833982030116	1.36719246447042	2.91716435801329	2.23883733233273	4.08021399821739	2.10557781430727	3.59354927892795	4.33814545063362	3.08694159893678	6.39294735276128	4.80084419757114	1.74225099260165	5.46268275594019	7.71543124162668	1.66207622273055	0.889222198219007	2.08359942190635	2.33175618418958	5.37608942237939	3.94535967417353	2.94005032826584	4.59955769213861	2.39943091363983	4.11450972366502	2.21132074352021	5.44268897883113	2.96524450590101	2.68326698977341	2.49825998728277	2.81284706451199	2.63890799622564	5.09161297896635	4.86700450472208	5.44028823989111	4.45556754417226	2.04502428453366	5.24151253667305
"LOC730109"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"R3HDML"	2.59782603698975	6.03625707206819	6.60640880763323	2.51801712074419	6.30607354576907	1.81741841411579	3.14344818788412	5.74704229811585	1.55554057536624	2.00259217466195	2.15780918391355	2.95702623807194	2.02817102579679	3.34295479310484	4.46456144451271	8.59283223552562	6.11428985962935	1.50719827982896	4.23471242481146	5.38722325787334	2.16554713212317	5.25525435669396	6.60434667714581	2.77863189596145	5.44384657331283	2.00004718978544	4.93164159121254	2.67612094017485	2.79120452273077	4.04498970496221	5.46982391555972	2.48392913716707	3.16717161950436	4.02093733156228	5.65785938133114	3.93125642042661	3.95983189025101	1.94843036167074	5.3174665520504
"LOC646603"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100288728"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
