"ID"	"State"	"InitialState"
"MS2010072019"	"S01"	"IS05"
"MS2010072023"	"S01"	"IS05"
"MS2010072026"	"S01"	"IS05"
"MS2010072036"	"S01"	"IS05"
"MS2010072037"	"S01"	"IS05"
"MS2010072038"	"S01"	"IS05"
"MS2010072040"	"S01"	"IS05"
"MS2010072828"	"S01"	"IS05"
"MS2010072834"	"S01"	"IS05"
"MS2010072837"	"S01"	"IS05"
"MS2010072904"	"S01"	"IS05"
"MS2010072930"	"S01"	"IS05"
"MS2010072932"	"S01"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"S01"	"IS05"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"S01"	"IS05"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"S01"	"IS05"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"S01"	"IS05"
"MS2010072034"	"S02"	"IS01"
"MS2010072824"	"S02"	"IS01"
"MS2010072831"	"S02"	"IS01"
"MS2010072838"	"S02"	"IS01"
"MS2010072925"	"S02"	"IS01"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"S02"	"IS01"
"MS2010072001"	"S03"	"IS03"
"MS2010072004"	"S03"	"IS03"
"MS2010072042"	"S03"	"IS03"
"MS2010072805"	"S03"	"IS03"
"MS2010072813"	"S03"	"IS03"
"MS2010072835"	"S03"	"IS03"
"MS2010072902"	"S03"	"IS03"
"MS2010072917"	"S03"	"IS03"
"MS2010072921"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A03_830756"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"S03"	"IS03"
"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"S03"	"IS03"
"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"S03"	"IS03"
