"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B05_841916"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C03_830686"	"MS2010072004"	"MS2010072925"	"MS2010072930"	"MS2010072932"	"MS2010072003"	"MS2010072019"	"MS2010072024"	"MS2010072037"	"MS2010072040"	"MS2010072908"	"MS2010072937"	"MS2010072036"	"MS2010072042"	"MS2010072813"	"MS2010072827"	"MS2010072828"	"MS2010072831"	"MS2010072838"	"MS2010072902"	"MS2010072913"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B04_841918"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A01_830792"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A07_830800"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_A11_830708"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B11_830836"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C11_830764"	"MS2010072001"	"MS2010072034"	"MS2010072805"	"MS2010072835"	"MS2010072904"	"MS2010072917"	"MS2010072921"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A11_841920"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_A12_841926"	"CROPS_p_DLBCL_Yuan_Multi_Oct11_HG_U133_Plus_2_B08_841908"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_B09_830678"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C07_830734"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C08_830838"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C09_830750"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_C10_830840"	"LONGS_p_DLBCL_AffyExpr_01_HG_U133_Plus_2_D08_830828"	"MS2010072026"	"MS2010072038"	"MS2010072837"
"GPR148"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"C3orf22"	3.15743623768401	3.00434427390892	4.36330817837082	5.76803027182761	8.67835874912492	3.11473374190062	6.14646096972397	2.99665683802645	3.90139652353154	4.34422346000582	4.37479166488988	3.81127184240987	3.8630001908333	4.13122039956773	4.24439397613479	2.88826851332984	2.32049377771891	3.40742277883674	3.90393795283713	3.33040473784518	3.17610175751693	3.25085754145078	4.41883924393285	5.00526543551415	3.57216451568901	2.88319810985766	2.91130917741312	2.94112449528677	3.55975718688061	6.24639127887667	3.09268277792521	3.65182220511276	3.5872456169118	2.52371181559435	3.08029342070266	3.58894726688799	2.51881112269117	4.71850259074905	3.69537780227943	3.53064818809733	2.51831625957968	2.29823597071911	5.07341516361983	1.90638335703761	6.2161741536947	5.81329525822349	3.93973744928479
"C22orf33"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC100128613"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"LOC653073"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"GSTTP1"	4.55091083591472	7.1917653588882	2.17296085310322	2.4975835065425	6.66436279382856	4.74363292615123	3.02602867439869	2.24747242524482	2.58275798414514	2.730501798222	2.2974910793929	2.23049740365594	4.61466493002533	2.8333110289825	3.75316524928977	4.994282597671	1.79150597326011	2.33912314641659	3.91146863757255	2.20355896613258	2.0661789518748	3.3239673553165	1.10690415267812	1.52895867003419	1.90006754180189	2.33348227609194	2.30928683957498	1.49832729393064	2.30108340207026	4.47592297585459	2.47905864200245	2.20295912083109	5.45204495194857	2.05384022094681	5.18987281462593	6.53333453785675	5.43366383134946	3.16790516245564	1.92850503553566	3.76702411193032	1.58046808362217	3.12651286025075	1.72998510863433	1.55357447617881	2.31591600705415	5.00818409123033	4.08713783346989
"C10orf120"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"FLJ25328"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"DEFB123"	2.2330416041599	3.41781307930643	1.91480492262517	1.97769748532944	7.53991519775169	2.01606470912589	3.52045577452549	1.78026105347451	2.29508390199908	1.94981901549878	2.09217380766967	2.00200036169434	1.59785875796596	2.3594595488464	1.76276500542875	1.31383240918031	1.7195330320636	2.00090529302761	2.27581234447324	1.76302485144163	2.79148544459368	1.92208559023886	1.84220186985288	1.51870091599523	1.43439181154751	2.24822875656158	1.30102717330809	1.81026720377755	2.01460088694103	1.87888786700516	1.96219109340345	1.41955575348086	2.47459545747948	1.75698238882382	2.2057868973617	1.85945843645626	1.27926356751763	1.91640806167266	2.59208329944382	2.14982083269492	1.48586689901228	3.35218019939009	2.1523051270542	1.45629331407814	1.94001416125425	1.86795949991168	1.82120362756158
"LOC100288737"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
