"SMC01-N"	"SMC01-T"	"SMC02-N"	"SMC02-T"	"SMC03-N"	"SMC03-T"	"SMC04-N"	"SMC04-T"	"SMC05-N"	"SMC05-T"	"SMC06-N"	"SMC06-T"	"SMC07-N"	"SMC07-T"	"SMC08-N"	"SMC08-T"	"SMC09-N"	"SMC09-T"	"SMC10-N"	"SMC10-T"	"SMC11-T"	"SMC14-T"	"SMC15-T"	"SMC16-T"	"SMC17-T"	"SMC18-T"	"SMC19-T"	"SMC20-T"	"SMC21-T"	"SMC22-T"	"SMC23-T"	"SMC24-T"	"SMC25-T"
"CE1"	0.0301360780866469	0.151493627183213	0.108255039461495	0.216011809546222	0.0293096812271797	0.203798716215902	0.0691931727760424	0.17607459835829	0.0397853632252	0.0895116541847496	0.0167781331043033	0.155273830311091	0.0300638990925996	0.134285288119914	0.0692104053061455	0.221188842707676	0.043585831496988	0.204369960608011	0.0476264513130857	0.249988236709777	0.135581057285093	0.327966154352775	0.22480957999704	0.169701874325938	0.283955573852779	0.0794495293934344	0.0410117985237685	0.417133552873521	0.0461723029939949	0.0954424700091562	0.170451747482208	0.20429337090775	0.0435737543974713
"CE2"	0	0.00961286058655633	0	0.0267188326351673	0	0.178011187693982	0.0552768299755461	0.0876355958901514	0	0	0	0.0191808584507339	0.00893890203602778	0.0119108391969934	0	0.104188623737892	0	0.0216050136619424	0	0.116566927311131	0.0577314106674691	0.114774656605443	0.0239757451923592	0.0548620060257005	0.0937129094703184	0.0685515850961049	0	0.0283281021356827	0.00342939090239289	0.0830435992828912	0.0464507479551668	0.0582875172801784	0.39592159887024
"CE3"	0.0519928968496778	0.0779686583661776	0.211880751577598	0.0730024579225687	0	0.181018631144914	0.0598438615119872	0.108618404259496	0.18188109438187	0.00801596903147012	0	0.0966715265916989	0	0.0718788289366326	0.132408707205453	0.147629826683348	0.18160763123745	0.104882815248929	0.0701277577902466	0.142525255884037	0.10246088796552	0.159557880899668	0.0852470940172772	0.113896961055593	0.177898248041182	0	0	0.188320037995959	0.0435913688037496	0.177078263176753	0.0844141987530933	0.119519723397691	0.0396476110913476
"CE4"	0.0169387765236368	0.0437946626722573	0.0312420245463439	0	0	0	0.0789121758486659	0.0240392454415573	0.00470889564742705	0.0895116541847496	0.0297532227049645	0	0.0297963401200926	0.0370559441684238	0.013500165250992	0	0	0.0989425722751286	0.0612785627935281	0.0583273846805026	0	0.0152104536462023	0.0387316840640699	0	0.0588744409716679	0	0	0.0276247242497619	0	0	0.0256912778813762	0.0519043192380515	0.0548966922803274
"CE5"	0.0628592753385357	0.0225319626172767	0.0111516185040841	0.0640682914943071	0.0319741977023779	0.0483905726113767	0.0829556351880459	0.0241349545768039	0.0554304287639985	0.0573188662761993	0.127697725744041	0.0540975495235362	0.0703063763850611	0.0392819117946082	0.0336049649185259	0.035971435678679	0.0129830136374007	0	0.0445235457704994	0.0513196952938819	0.0503069134603484	0.0335224283655619	0.0357791889793668	0.0626433285805762	0.0899538204515463	0	0.010739281874645	0.0755781266268687	0.206604925059438	0.0627152182084334	0.0227268996642943	0.0340960889242132	0.0594714166370213
"CE6"	0.165082304198769	0.0595420038549017	0.244369133486163	0.018558539540126	0.434456640589326	0.0568138743477049	0.264227474803833	0.0387751898640089	0.144984234215907	0.0173777204094935	0.20461085833152	0.0685966200619829	0.261405408159231	0.0447575448527453	0.251532178731233	0.0055806055373801	0.176307272545524	0.0954089089795883	0.32077992084997	0.0293545448057249	0.0578430288621001	0.0445420573134996	0.101445061582641	0.0693404191272798	0.0441860124312313	0.343941704814994	0.132196486487442	0.00246848074120843	0.0182900848127621	0.00296584283153183	0.0160332163216102	0.0302878050448404	0.0447669454905051
"CE7"	0.147246078289775	0.0915806449358825	0.071461858885659	0.141273379169178	0.204418660919013	0.0665759111109122	0.0538000504098489	0.1623195955373	0.0914129656179009	0.250695227279666	0.139400896740234	0.0268532018310275	0.136528358447706	0.0934572607298637	0.0341753746229974	0.106412428143421	0.150457134489949	0.00667028577135699	0.0964935382203855	0.120050132931362	0.120454635039268	0.0814242141616149	0.123136968257168	0.178980938801646	0.0424299166420352	0.142376369045756	0.234036739001618	0.0159994122115361	0.0208682084698801	0	0.104426185526456	0.107044600753488	0.0454781421341928
"CE8"	0.0396907157743816	0.100058361178901	0.0675011320618828	0.131391882369156	0.0447143043837905	0.0304810085018398	0.0913273883097904	0.0656861620588614	0.131745770723448	0.0149186090307916	0.0510872642598978	0.185487028032338	0.0406047881455764	0.0749587962656652	0.0469392174922272	0.0546325687509246	0.0656945866041558	0.0242820426605885	0.0363624280386976	0.0125337671718718	0.100501849247178	0.0362710817717133	0.111580050521478	0.0423022477483776	0.0345159315672252	0.0386701249260079	0.0816570935155703	0.0450640835603363	0.0656728357808238	0.0657428494322889	0.052271869227877	0.0436572269001013	0.0274867892019847
"CE9"	0.171855801161253	0.310764999594589	0.0876974716718614	0.187849510364312	0.0421533091488829	0.131865899983561	0.0809700393545719	0.152320848526428	0.0685701452081381	0.163766761771749	0.12916229957406	0.231047019937215	0.105026521474673	0.16828748808679	0.0780717195732939	0.153826534992717	0.143786876034212	0.396816600359217	0.0900378356304438	0.145154091769791	0.15574085693664	0.138960766031626	0.181871469248238	0.180138143147346	0.113872678057289	0.16118642442992	0.179651100541647	0.172562729492671	0.222235722286352	0.262150884225211	0.235626791505469	0.239554017004137	0.10388756918841
"CE10"	0.314198073777325	0.132652219010245	0.166440969804912	0.141125296958962	0.21297320602943	0.103044198389807	0.163493371821669	0.160395405487102	0.281481102216111	0.308883537831131	0.30150959954098	0.162792365260377	0.317329406139033	0.324126097848364	0.340557266899131	0.170569133767963	0.22557765395432	0.0470218004352371	0.232769959593144	0.0741799634419206	0.219379360536383	0.0477703068518967	0.0734231581403616	0.128134081187542	0.0606004685147259	0.165824262293782	0.320707500055309	0.0269207501124543	0.373135160890607	0.250860872833734	0.24190706568245	0.11135533054955	0.1848694807085
