"ID"	"State"	"InitialState"	"CellType"	"Tissue"
"Cell_101"	"Cell_101"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_103"	"Cell_103"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_108"	"Cell_108"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_113"	"Cell_113"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_118"	"Cell_118"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_120"	"Cell_120"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_131"	"Cell_131"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_135"	"Cell_135"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_144"	"Cell_144"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_145"	"Cell_145"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_148"	"Cell_148"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_149"	"Cell_149"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_156"	"Cell_156"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_162"	"Cell_162"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_166"	"Cell_166"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_168"	"Cell_168"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_17"	"Cell_17"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_171"	"Cell_171"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_172"	"Cell_172"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_184"	"Cell_184"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_192"	"Cell_192"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_196"	"Cell_196"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_199"	"Cell_199"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_2"	"Cell_2"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_20"	"Cell_20"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_200"	"Cell_200"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_204"	"Cell_204"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_205"	"Cell_205"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_206"	"Cell_206"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_207"	"Cell_207"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_230"	"Cell_230"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_232"	"Cell_232"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_238"	"Cell_238"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_240"	"Cell_240"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_245"	"Cell_245"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_253"	"Cell_253"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_254"	"Cell_254"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_262"	"Cell_262"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_268"	"Cell_268"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_271"	"Cell_271"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_274"	"Cell_274"	"S01"	"IS06"	"B.cells"	"Normal"
"Cell_276"	"Cell_276"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_279"	"Cell_279"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_282"	"Cell_282"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_283"	"Cell_283"	"S01"	"IS06"	"B.cells"	"Tumor"
"Cell_285"	"Cell_285"	"S01"	"IS06"	"B.cells"	"Normal"
