"ID"	"CellType"
"C5696"	"Epithelial.cells"
"C6145"	"Epithelial.cells"
"C32041"	"Epithelial.cells"
"C32102"	"Epithelial.cells"
"C15268"	"Epithelial.cells"
"C32071"	"Epithelial.cells"
"C13739"	"Epithelial.cells"
"C4146"	"Epithelial.cells"
"C10075"	"Epithelial.cells"
"C19963"	"Epithelial.cells"
"C15813"	"Epithelial.cells"
"C114"	"Epithelial.cells"
"C9537"	"Epithelial.cells"
"C2591"	"Epithelial.cells"
"C10830"	"Epithelial.cells"
"C30859"	"Epithelial.cells"
"C31823"	"Epithelial.cells"
"C15150"	"Epithelial.cells"
"C282"	"Epithelial.cells"
"C14488"	"Epithelial.cells"
"C13965"	"Epithelial.cells"
"C17048"	"Epithelial.cells"
"C5389"	"Epithelial.cells"
"C32205"	"Epithelial.cells"
"C31797"	"Epithelial.cells"
"C160"	"Epithelial.cells"
"C13059"	"Epithelial.cells"
"C13173"	"Epithelial.cells"
"C18316"	"Epithelial.cells"
"C31365"	"Epithelial.cells"
"C13101"	"Epithelial.cells"
"C30997"	"Epithelial.cells"
"C17068"	"Epithelial.cells"
"C381"	"Epithelial.cells"
"C3208"	"Epithelial.cells"
"C31141"	"Epithelial.cells"
"C461"	"Epithelial.cells"
"C5194"	"Epithelial.cells"
"C2735"	"Epithelial.cells"
"C1406"	"Epithelial.cells"
"C13988"	"Epithelial.cells"
"C31623"	"Epithelial.cells"
"C30810"	"Epithelial.cells"
"C2943"	"Epithelial.cells"
"C2527"	"Epithelial.cells"
"C31427"	"Epithelial.cells"
"C10454"	"Epithelial.cells"
"C13309"	"Epithelial.cells"
"C15910"	"Epithelial.cells"
"C31439"	"Epithelial.cells"
"C31853"	"Epithelial.cells"
"C12397"	"Epithelial.cells"
"C31900"	"Epithelial.cells"
"C13339"	"Epithelial.cells"
"C11210"	"Epithelial.cells"
"C30693"	"Epithelial.cells"
"C32271"	"Epithelial.cells"
"C12083"	"Epithelial.cells"
"C15491"	"Epithelial.cells"
"C31826"	"Epithelial.cells"
