"ID"	"CellType"	"Tissue"
"Cell_1"	"B.cells"	"Tumor"
"Cell_2"	"B.cells"	"Tumor"
"Cell_3"	"B.cells"	"Tumor"
"Cell_4"	"B.cells"	"Tumor"
"Cell_5"	"B.cells"	"Tumor"
"Cell_6"	"B.cells"	"Tumor"
"Cell_7"	"B.cells"	"Tumor"
"Cell_8"	"B.cells"	"Tumor"
"Cell_9"	"B.cells"	"Tumor"
"Cell_10"	"B.cells"	"Tumor"
"Cell_11"	"B.cells"	"Tumor"
"Cell_12"	"B.cells"	"Tumor"
"Cell_13"	"B.cells"	"Tumor"
"Cell_14"	"B.cells"	"Tumor"
"Cell_15"	"B.cells"	"Tumor"
"Cell_16"	"B.cells"	"Tumor"
"Cell_17"	"B.cells"	"Tumor"
"Cell_18"	"B.cells"	"Normal"
"Cell_19"	"B.cells"	"Tumor"
"Cell_20"	"B.cells"	"Tumor"
"Cell_21"	"B.cells"	"Normal"
"Cell_22"	"B.cells"	"Tumor"
"Cell_23"	"B.cells"	"Tumor"
"Cell_24"	"B.cells"	"Tumor"
"Cell_25"	"B.cells"	"Tumor"
"Cell_26"	"B.cells"	"Tumor"
"Cell_27"	"B.cells"	"Tumor"
"Cell_28"	"B.cells"	"Tumor"
"Cell_29"	"B.cells"	"Tumor"
"Cell_30"	"B.cells"	"Normal"
"Cell_31"	"B.cells"	"Tumor"
"Cell_32"	"B.cells"	"Tumor"
"Cell_33"	"B.cells"	"Tumor"
"Cell_34"	"B.cells"	"Normal"
"Cell_35"	"B.cells"	"Tumor"
"Cell_36"	"B.cells"	"Tumor"
"Cell_37"	"B.cells"	"Tumor"
"Cell_38"	"B.cells"	"Tumor"
"Cell_39"	"B.cells"	"Tumor"
"Cell_40"	"B.cells"	"Tumor"
"Cell_41"	"B.cells"	"Tumor"
"Cell_42"	"B.cells"	"Tumor"
"Cell_43"	"B.cells"	"Tumor"
"Cell_44"	"B.cells"	"Tumor"
"Cell_45"	"B.cells"	"Tumor"
"Cell_46"	"B.cells"	"Tumor"
"Cell_47"	"B.cells"	"Tumor"
"Cell_48"	"B.cells"	"Tumor"
"Cell_49"	"B.cells"	"Tumor"
"Cell_50"	"B.cells"	"Tumor"
"Cell_51"	"B.cells"	"Tumor"
"Cell_52"	"B.cells"	"Tumor"
"Cell_53"	"B.cells"	"Tumor"
"Cell_54"	"B.cells"	"Tumor"
"Cell_55"	"B.cells"	"Tumor"
"Cell_56"	"B.cells"	"Tumor"
"Cell_57"	"B.cells"	"Tumor"
"Cell_58"	"B.cells"	"Tumor"
"Cell_59"	"B.cells"	"Normal"
"Cell_60"	"B.cells"	"Normal"
"Cell_61"	"B.cells"	"Normal"
"Cell_62"	"B.cells"	"Tumor"
"Cell_63"	"B.cells"	"Tumor"
"Cell_64"	"B.cells"	"Tumor"
"Cell_65"	"B.cells"	"Normal"
"Cell_66"	"B.cells"	"Tumor"
"Cell_67"	"B.cells"	"Normal"
"Cell_68"	"B.cells"	"Normal"
"Cell_69"	"B.cells"	"Normal"
"Cell_70"	"B.cells"	"Tumor"
"Cell_71"	"B.cells"	"Tumor"
"Cell_72"	"B.cells"	"Tumor"
"Cell_73"	"B.cells"	"Tumor"
"Cell_74"	"B.cells"	"Tumor"
"Cell_75"	"B.cells"	"Tumor"
"Cell_76"	"B.cells"	"Normal"
"Cell_77"	"B.cells"	"Tumor"
"Cell_78"	"B.cells"	"Normal"
"Cell_79"	"B.cells"	"Tumor"
"Cell_80"	"B.cells"	"Tumor"
"Cell_81"	"B.cells"	"Normal"
"Cell_82"	"B.cells"	"Tumor"
"Cell_83"	"B.cells"	"Tumor"
"Cell_84"	"B.cells"	"Tumor"
"Cell_85"	"B.cells"	"Normal"
"Cell_86"	"B.cells"	"Tumor"
"Cell_87"	"B.cells"	"Tumor"
"Cell_88"	"B.cells"	"Tumor"
"Cell_89"	"B.cells"	"Normal"
"Cell_90"	"B.cells"	"Tumor"
"Cell_91"	"B.cells"	"Tumor"
"Cell_92"	"B.cells"	"Normal"
"Cell_93"	"B.cells"	"Tumor"
"Cell_94"	"B.cells"	"Tumor"
"Cell_95"	"B.cells"	"Tumor"
"Cell_96"	"B.cells"	"Tumor"
"Cell_97"	"B.cells"	"Tumor"
"Cell_98"	"B.cells"	"Normal"
"Cell_99"	"B.cells"	"Tumor"
"Cell_100"	"B.cells"	"Tumor"
"Cell_101"	"B.cells"	"Tumor"
"Cell_102"	"B.cells"	"Tumor"
"Cell_103"	"B.cells"	"Tumor"
"Cell_104"	"B.cells"	"Tumor"
"Cell_105"	"B.cells"	"Tumor"
"Cell_106"	"B.cells"	"Tumor"
"Cell_107"	"B.cells"	"Tumor"
"Cell_108"	"B.cells"	"Tumor"
"Cell_109"	"B.cells"	"Tumor"
"Cell_110"	"B.cells"	"Tumor"
"Cell_111"	"B.cells"	"Tumor"
"Cell_112"	"B.cells"	"Normal"
"Cell_113"	"B.cells"	"Tumor"
"Cell_114"	"B.cells"	"Tumor"
"Cell_115"	"B.cells"	"Tumor"
"Cell_116"	"B.cells"	"Tumor"
"Cell_117"	"B.cells"	"Tumor"
"Cell_118"	"B.cells"	"Normal"
"Cell_119"	"B.cells"	"Normal"
"Cell_120"	"B.cells"	"Normal"
"Cell_121"	"B.cells"	"Tumor"
"Cell_122"	"B.cells"	"Tumor"
"Cell_123"	"B.cells"	"Tumor"
"Cell_124"	"B.cells"	"Tumor"
"Cell_125"	"B.cells"	"Tumor"
"Cell_126"	"B.cells"	"Tumor"
"Cell_127"	"B.cells"	"Tumor"
"Cell_128"	"B.cells"	"Tumor"
"Cell_129"	"B.cells"	"Tumor"
"Cell_130"	"B.cells"	"Tumor"
"Cell_131"	"B.cells"	"Normal"
"Cell_132"	"B.cells"	"Tumor"
"Cell_133"	"B.cells"	"Normal"
"Cell_134"	"B.cells"	"Tumor"
"Cell_135"	"B.cells"	"Tumor"
"Cell_136"	"B.cells"	"Tumor"
"Cell_137"	"B.cells"	"Tumor"
"Cell_138"	"B.cells"	"Tumor"
"Cell_139"	"B.cells"	"Tumor"
"Cell_140"	"B.cells"	"Tumor"
"Cell_141"	"B.cells"	"Tumor"
"Cell_142"	"B.cells"	"Tumor"
"Cell_143"	"B.cells"	"Tumor"
"Cell_144"	"B.cells"	"Tumor"
"Cell_145"	"B.cells"	"Tumor"
"Cell_146"	"B.cells"	"Normal"
"Cell_147"	"B.cells"	"Tumor"
"Cell_148"	"B.cells"	"Tumor"
"Cell_149"	"B.cells"	"Tumor"
"Cell_150"	"B.cells"	"Tumor"
"Cell_151"	"B.cells"	"Normal"
"Cell_152"	"B.cells"	"Tumor"
"Cell_153"	"B.cells"	"Tumor"
"Cell_154"	"B.cells"	"Tumor"
"Cell_155"	"B.cells"	"Tumor"
"Cell_156"	"B.cells"	"Tumor"
"Cell_157"	"B.cells"	"Normal"
"Cell_158"	"B.cells"	"Tumor"
"Cell_159"	"B.cells"	"Tumor"
"Cell_160"	"B.cells"	"Tumor"
