genesinput	B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	Tregs	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils
A1CF	444.6971338	499.6214562	317.3486134	267.475035	215.012469	177.6536026	198.202065	151.1455778	314.0571487	241.8019236	202.005318	179.526008	324.7369183	249.3525074	177.247843	157.0646624	286.2835639	291.6156074	177.061173	156.3848934	175.7118576	447.4197921
A2M	20.30359339	23.55992344	45.83641087	21.88051039	18.57128353	19.23902868	14.90776256	78.44662777	25.610012	121.7065366	71.6951256	16.80025027	46.85515115	2219.315546	1754.337137	8093.64204	10348.01678	8135.849976	811.5822534	1128.085055	14.72962612	31.14083757
A4GALT	33.21255011	42.98332953	127.5849869	44.99074027	142.1822906	98.76355416	37.62419139	102.7089009	132.7223368	60.25568355	44.39804555	38.66823164	37.96388551	46.69470141	225.9822251	32.11044854	33.73880406	85.21156189	116.1963182	88.36281809	128.3792413	49.29402804
A4GNT	381.4687673	499.3997365	289.6932704	201.2945086	219.4947118	150.4754497	138.4573773	162.875904	438.2319401	230.2625388	121.171888	111.6979924	118.781532	123.767691	133.7953159	116.1543509	184.1686368	160.6573014	150.4375422	134.8464989	241.2880237	315.1155006
AAAS	18.37553378	21.25178008	70.26615117	169.8499838	169.843772	134.5949207	355.7183869	308.8764933	80.60642076	36.43051595	92.69509698	124.1861852	50.37145115	94.85671801	66.21223665	214.6914361	46.89256343	20.90365787	71.32445091	24.16501085	29.77309982	25.74150306
AACS	234.7672258	251.0682311	691.3579922	384.9002064	404.6732809	388.5449634	418.55408	1217.157376	240.7686796	450.2286784	432.3344558	565.6431588	311.3648088	245.057468	237.4161371	177.8616964	398.0124297	290.5004254	618.689722	505.2994958	741.8598519	160.4214338
AADAC	54.9827221	76.48989296	33.53821002	23.36550085	24.48518696	24.65043959	23.01988016	27.06832531	35.08062516	64.0670721	36.83384899	29.21501708	22.52582247	17.67951629	26.3738691	17.82502423	19.06255783	21.8132987	24.85721604	100.0522504	101.4922528	46.1252806
AAGAB	36.58717075	46.49566779	42.96136062	293.7459871	220.1087323	273.9554758	369.0450935	296.9269466	63.54175477	121.3292475	305.7129236	378.7293568	242.386834	212.326482	281.228661	262.6228536	281.8639234	253.8362565	267.0858543	302.8835151	249.2708222	59.02780902
AAK1	133.84545	125.9767068	192.8882167	159.4007607	108.9935702	168.835817	107.0290453	118.0901304	245.8804152	239.2147668	174.8000851	130.3828712	128.0535168	91.65427396	80.84943542	104.8531332	98.81973205	57.88233825	100.0668978	89.63712492	177.7182396	155.6010326
AAMP	785.2262643	1016.836195	1258.26072	524.0709423	447.0853908	676.2146267	747.2712018	575.600237	656.1081856	872.2175314	611.0935162	516.54826	916.5456311	705.0041746	738.2321164	701.5416085	735.2824854	682.3156557	609.0523218	666.24741	557.8260159	244.5294852
AANAT	9.985225241	13.14966692	10.97804588	16.94602349	9.140836633	18.00926412	18.08079463	13.00060521	8.107633787	8.603839344	14.16268531	22.98842995	16.69511375	16.24567785	9.544532505	12.24576038	14.69997492	17.50203074	10.84203958	15.38474468	12.45180088	17.77654494
AARS	1959.403375	2049.5136	4227.175652	1082.172686	1759.266082	1050.596544	2102.21617	1631.804333	2349.272642	1318.676508	1356.176962	2984.358981	854.1027708	2118.617729	1019.767442	1342.083538	2104.418588	2089.689688	4446.05897	3568.377407	778.0056074	616.7625084
AARSD1	37.05749544	138.3210511	214.7878683	207.0680975	442.6365341	256.5379971	312.4105544	291.5302874	202.9121448	189.9417034	161.446631	300.1128179	166.2361784	159.2677561	209.8533954	159.2380413	127.6685915	126.8229704	279.7408233	325.9012772	151.9053557	177.4573654
AASDHPPT	916.1139389	1007.813304	826.2642757	636.0233956	588.7015627	618.2666444	1251.127625	579.5218341	648.8445102	755.3828187	959.5683075	1041.664119	963.4320446	781.8921614	663.7145083	642.8556099	800.0078825	784.3866952	1265.272873	980.2740054	663.3073304	627.9984681
AASS	20.31818041	12.9303992	9.294987078	9.084990186	15.50449019	9.996682874	8.615516504	9.085608856	11.89855847	6.646653431	11.98811998	11.22555659	9.886091543	7.500061974	23.05515036	13.21193867	12.44278658	12.24267475	7.453696617	9.489295721	14.41318142	11.23680084
AATF	63.22899437	206.2040738	128.3905829	1178.126992	1522.673237	733.7738154	854.8082801	578.8775535	1369.561656	1300.740698	1849.163175	534.8061268	1373.241939	950.5756799	1219.39293	737.8599039	1394.438389	2210.675971	1024.35466	957.6405656	741.6378791	653.7442133
AATK	109.4328043	246.2205876	168.5377684	83.49860428	48.0230074	86.37087188	92.50411622	322.8496753	400.5993238	245.1195314	328.0884137	300.4440616	641.4440287	283.90467	248.1248145	473.5474127	451.7666788	167.5343483	414.9589122	258.1411341	233.4019655	2274.551651
ABAT	126.7421568	102.2681306	68.77420162	139.1069093	182.5359056	141.4440901	180.7084215	355.3665671	369.8248891	216.8963281	234.5882978	257.5458114	327.7654578	175.0812631	81.54272739	291.4234025	456.6292681	79.70102341	330.2555247	195.9495006	368.0791568	667.7473529
